DR,A%,DF%,1stIn,1st%,2nd%
0.57,0.0%,18.6%,46.5%,75.0%,34.8%
0.92,8.3%,6.3%,60.4%,62.1%,55.3%
1.38,18.0%,4.9%,54.1%,87.9%,53.6%
0.69,4.9%,7.3%,41.5%,58.8%,41.7%
1.60,8.2%,2.0%,44.9%,63.6%,77.8%
0.66,2.0%,2.0%,70.6%,58.3%,53.3%
1.08,6.6%,3.3%,63.6%,64.9%,52.3%
1.40,6.6%,2.2%,68.1%,82.3%,58.6%
1.68,14.5%,1.6%,80.6%,80.0%,66.7%
2.05,17.9%,2.6%,64.1%,80.0%,57.1%
0.58,6.8%,4.1%,57.5%,57.1%,51.6%
1.24,11.3%,7.0%,63.4%,77.8%,23.1%
0.99,3.7%,0.0%,75.9%,61.0%,46.2%
0.96,9.6%,0.0%,67.3%,71.4%,52.9%
1.39,22.7%,0.0%,60.6%,80.0%,61.5%
0.73,8.6%,3.4%,65.5%,63.2%,45.0%
3.44,23.7%,0.0%,68.4%,92.3%,75.0%
0.71,1.9%,5.6%,46.3%,80.0%,31.0%
0.76,2.1%,4.3%,63.8%,56.7%,23.5%
1.57,0.0%,2.0%,74.5%,76.3%,46.2%
1.27,4.8%,1.6%,61.9%,66.7%,58.3%
1.16,7.9%,7.9%,65.8%,66.0%,50.0%
0.54,4.3%,0.0%,73.9%,60.8%,44.4%
1.28,13.2%,0.0%,77.6%,74.6%,58.8%
1.69,6.1%,2.0%,63.3%,77.4%,50.0%
0.90,7.1%,1.8%,60.7%,67.6%,36.4%
1.12,18.6%,1.2%,76.7%,68.2%,55.0%
1.71,16.4%,1.8%,76.4%,78.6%,61.5%
1.25,14.8%,0.0%,72.1%,72.7%,52.9%
2.19,8.2%,0.0%,73.5%,77.8%,92.3%
1.33,8.6%,1.7%,74.1%,76.7%,53.3%
0.91,3.7%,0.0%,73.8%,65.8%,64.3%
1.52,12.7%,1.6%,57.1%,83.3%,55.6%
1.55,14.0%,2.0%,74.0%,78.4%,53.8%
1.48,12.3%,0.0%,70.2%,70.0%,58.8%
1.07,7.0%,0.6%,66.9%,74.3%,67.3%
0.71,6.9%,1.7%,63.8%,54.1%,42.9%
0.87,4.2%,3.1%,58.3%,78.6%,37.5%
1.14,7.5%,0.0%,62.4%,75.9%,42.9%
0.72,19.7%,6.1%,57.6%,78.9%,39.3%
0.85,3.9%,11.8%,45.1%,73.9%,60.7%
0.88,8.3%,0.0%,54.2%,80.8%,50.0%
0.84,8.2%,2.4%,65.9%,69.6%,37.9%
1.13,16.1%,6.5%,54.8%,82.4%,47.6%
1.39,8.6%,5.7%,51.4%,72.2%,70.6%
