DR,A%,DF%,1stIn,1st%,2nd%
0.85,0.0%,1.9%,59.8%,51.6%,41.9%
0.83,0.0%,2.0%,65.3%,46.9%,47.1%
0.75,1.5%,2.9%,63.2%,51.2%,44.0%
0.88,1.6%,0.0%,63.5%,60.0%,56.5%
1.01,1.1%,2.2%,60.0%,66.7%,58.3%
0.93,1.3%,5.2%,68.8%,71.7%,41.7%
1.53,4.1%,5.5%,67.1%,75.5%,58.3%
1.22,1.4%,4.1%,72.6%,56.6%,50.0%
1.14,5.7%,7.1%,51.4%,80.6%,44.1%
0.86,1.0%,3.0%,69.7%,56.5%,46.7%
1.05,2.4%,0.0%,62.2%,66.7%,48.4%
1.09,9.7%,6.2%,54.0%,78.7%,48.1%
1.20,4.9%,2.5%,61.7%,74.0%,58.1%
0.75,4.3%,4.3%,58.7%,74.1%,36.8%
1.58,3.6%,0.0%,66.1%,73.0%,57.9%
0.99,3.4%,0.0%,62.5%,76.4%,39.4%
0.57,5.2%,3.4%,70.7%,63.4%,41.2%
0.86,7.7%,0.0%,57.7%,60.0%,68.2%
0.59,4.1%,8.2%,61.2%,56.7%,26.3%
0.73,13.1%,1.6%,65.6%,72.5%,47.6%
0.51,1.8%,3.6%,64.3%,61.1%,45.0%
1.00,7.8%,2.9%,57.3%,64.4%,52.3%
0.60,3.8%,6.6%,44.3%,63.8%,44.1%
0.89,2.7%,3.6%,51.8%,60.3%,53.7%
0.89,7.6%,3.0%,56.1%,59.5%,51.7%
1.27,6.8%,5.1%,52.5%,71.0%,64.3%
0.55,0.0%,7.5%,66.0%,48.6%,44.4%
0.81,14.3%,0.0%,58.7%,75.7%,57.7%
0.75,4.5%,4.5%,61.8%,69.1%,38.2%
1.16,6.0%,3.6%,48.8%,78.0%,58.1%
1.32,6.9%,0.0%,70.7%,65.9%,58.8%
0.80,7.0%,3.5%,53.5%,67.4%,60.0%
0.82,6.1%,4.5%,62.1%,75.6%,48.0%
0.98,1.8%,4.5%,54.5%,67.2%,56.9%
0.76,2.7%,1.4%,59.5%,56.8%,53.3%
0.73,1.5%,4.4%,60.3%,56.1%,55.6%
1.14,1.5%,0.0%,61.8%,76.2%,50.0%
0.80,7.1%,3.6%,65.5%,65.5%,55.2%
0.81,7.1%,0.9%,56.3%,61.9%,55.1%
1.26,5.7%,2.9%,61.0%,79.7%,34.1%
0.66,6.5%,2.2%,63.0%,55.2%,52.9%
0.93,2.9%,0.0%,68.6%,72.9%,56.3%
2.46,10.0%,2.5%,57.5%,87.0%,70.6%
0.84,3.4%,4.8%,50.3%,56.2%,47.2%
1.30,4.7%,3.5%,47.1%,80.0%,55.6%
0.88,10.8%,3.6%,61.4%,76.5%,43.8%
0.87,2.4%,2.4%,57.6%,67.3%,50.0%
1.04,3.8%,3.8%,55.7%,70.5%,65.7%
0.45,0.0%,7.5%,50.0%,55.0%,35.0%
0.93,10.6%,1.1%,64.9%,75.4%,57.6%
0.90,3.9%,2.6%,68.8%,67.9%,70.8%
0.80,0.7%,3.5%,62.4%,64.8%,60.4%
0.86,7.8%,5.2%,61.0%,68.1%,50.0%
0.41,4.0%,4.0%,48.0%,54.2%,38.5%
0.62,5.4%,3.6%,51.8%,55.2%,51.9%
0.94,6.5%,0.9%,57.9%,67.7%,46.7%
0.75,2.1%,3.2%,47.9%,55.6%,55.1%
0.70,7.4%,0.0%,58.0%,70.2%,38.2%
0.54,4.4%,2.2%,44.4%,55.0%,40.0%
0.38,2.1%,6.4%,57.4%,44.4%,55.0%
0.47,2.3%,0.0%,56.8%,52.0%,47.4%
1.08,9.1%,2.3%,61.4%,64.8%,64.7%
0.45,6.3%,4.8%,58.7%,67.6%,42.3%
1.56,8.6%,3.4%,60.3%,74.3%,56.5%
0.76,7.2%,1.4%,59.4%,73.2%,42.9%
0.54,4.5%,3.4%,70.5%,64.5%,34.6%
0.40,9.1%,3.6%,61.8%,58.8%,38.1%
2.72,22.6%,0.0%,64.5%,95.0%,54.5%
1.33,14.3%,0.0%,68.6%,68.8%,54.5%
0.43,1.7%,0.0%,58.6%,50.0%,33.3%
0.95,4.8%,4.8%,64.4%,62.8%,53.7%
1.15,5.8%,2.5%,64.2%,72.7%,55.8%
1.27,9.9%,4.6%,58.0%,81.6%,49.1%
0.56,1.4%,1.4%,64.3%,66.7%,48.0%
0.53,8.2%,2.0%,67.3%,60.6%,43.8%
1.41,3.2%,1.6%,71.0%,72.7%,72.2%
0.96,7.4%,2.5%,63.0%,78.4%,50.0%
0.77,6.6%,0.0%,57.1%,73.1%,59.0%
1.66,12.5%,0.0%,73.2%,75.6%,80.0%
1.18,6.6%,0.9%,67.0%,64.8%,60.0%
1.73,20.8%,2.1%,72.9%,80.0%,53.8%
0.84,7.1%,0.0%,60.0%,59.5%,50.0%
