DR,A%,DF%,1stIn,1st%,2nd%
0.58,6.0%,0.0%,64.0%,62.5%,33.3%
1.19,1.4%,0.0%,79.7%,76.4%,71.4%
1.41,3.3%,1.6%,72.1%,72.7%,41.2%
0.81,2.7%,1.4%,64.9%,72.9%,34.6%
1.62,0.0%,3.9%,68.6%,71.4%,56.3%
1.44,4.5%,4.5%,70.5%,80.6%,61.5%
2.05,6.8%,2.3%,54.5%,83.3%,70.0%
0.79,1.5%,4.4%,60.3%,68.3%,44.4%
0.66,3.8%,3.8%,73.6%,64.1%,50.0%
1.01,0.0%,0.0%,69.6%,62.5%,38.1%
0.65,3.0%,3.0%,66.7%,52.3%,45.5%
1.26,1.2%,1.2%,65.1%,71.4%,50.0%
0.89,6.3%,2.1%,61.5%,66.1%,40.5%
1.20,1.1%,0.0%,63.2%,70.9%,62.5%
1.08,2.1%,2.1%,73.7%,52.9%,52.0%
0.84,2.0%,4.0%,61.6%,65.6%,55.3%
0.46,0.0%,3.6%,64.3%,22.2%,40.0%
1.27,2.1%,2.1%,69.8%,65.7%,62.1%
1.28,0.0%,0.0%,63.8%,70.3%,66.7%
0.75,1.4%,4.2%,70.4%,60.0%,57.1%
1.62,3.6%,0.0%,69.1%,71.1%,64.7%
0.69,1.3%,2.6%,71.8%,57.1%,31.8%
0.85,2.4%,4.8%,66.7%,64.3%,50.0%
2.00,2.1%,0.0%,68.8%,75.8%,73.3%
1.15,0.0%,2.3%,68.6%,69.5%,44.4%
1.54,6.0%,0.0%,70.0%,77.1%,66.7%
0.80,4.8%,3.6%,65.1%,51.9%,44.8%
1.76,8.7%,0.0%,63.0%,69.0%,70.6%
0.77,1.3%,0.0%,60.0%,55.6%,33.3%
0.84,0.0%,2.9%,72.1%,69.4%,57.9%
1.26,0.0%,5.2%,82.8%,62.5%,50.0%
1.37,0.0%,0.0%,75.9%,72.7%,57.1%
0.63,1.0%,3.8%,54.3%,59.6%,60.4%
0.77,1.6%,6.3%,48.4%,51.6%,33.3%
1.20,1.6%,8.2%,50.8%,71.0%,46.7%
0.88,4.8%,4.8%,62.7%,59.6%,58.1%
0.95,2.1%,4.3%,59.6%,80.4%,34.2%
0.76,2.5%,1.3%,63.3%,74.0%,58.6%
0.98,1.4%,1.4%,65.7%,73.9%,62.5%
0.99,0.0%,3.4%,55.1%,63.3%,60.0%
1.07,1.6%,4.9%,62.3%,71.1%,43.5%
1.50,6.0%,2.0%,58.0%,69.0%,61.9%
0.99,1.1%,3.3%,63.0%,60.3%,64.7%
1.10,0.0%,2.5%,57.0%,60.0%,61.8%
0.73,1.9%,11.5%,57.7%,70.0%,40.9%
1.15,1.1%,3.2%,67.4%,64.1%,41.9%
