DR,A%,DF%,1stIn,1st%,2nd%
0.46,5.4%,0.0%,51.4%,60.5%,50.0%
1.88,10.4%,4.2%,60.4%,79.3%,63.2%
1.51,11.5%,4.9%,65.6%,80.0%,52.4%
0.89,10.9%,10.9%,57.6%,77.4%,51.3%
1.00,12.5%,9.1%,67.0%,67.8%,48.3%
0.51,5.4%,7.1%,55.4%,67.7%,40.0%
1.00,3.4%,4.5%,54.5%,75.0%,52.5%
0.97,4.4%,4.4%,58.9%,62.3%,48.6%
1.65,14.8%,7.4%,57.4%,90.3%,47.8%
1.12,4.6%,6.2%,47.7%,83.9%,58.8%
1.04,17.5%,3.5%,59.6%,79.4%,47.8%
1.22,5.4%,0.0%,51.8%,79.3%,48.1%
1.06,3.6%,3.6%,59.5%,78.0%,50.0%
1.01,5.0%,4.0%,69.3%,65.7%,48.4%
1.81,7.0%,1.8%,59.6%,82.4%,78.3%
1.39,5.5%,3.6%,63.6%,80.0%,50.0%
0.99,5.4%,1.1%,57.6%,69.8%,48.7%
0.78,10.1%,7.9%,60.7%,72.2%,48.6%
1.21,8.0%,2.7%,69.3%,69.2%,47.8%
0.89,4.0%,2.7%,57.3%,76.7%,46.9%
0.88,7.1%,2.0%,60.6%,73.3%,66.7%
0.97,11.7%,1.3%,53.2%,80.5%,50.0%
1.50,6.8%,0.0%,62.7%,83.8%,50.0%
1.20,12.7%,1.4%,62.0%,88.6%,63.0%
0.95,10.8%,6.0%,55.4%,82.6%,43.2%
1.66,15.6%,1.6%,70.3%,88.9%,52.6%
1.36,14.5%,0.0%,55.1%,81.6%,54.8%
1.08,9.3%,2.7%,65.3%,73.5%,50.0%
1.45,10.6%,1.5%,60.6%,82.5%,50.0%
1.17,8.5%,4.2%,59.2%,78.6%,37.9%
1.20,9.9%,7.0%,54.9%,74.4%,37.5%
1.71,13.2%,0.0%,62.3%,90.9%,50.0%
1.92,4.1%,2.0%,46.9%,82.6%,73.1%
1.79,20.4%,7.4%,63.0%,88.2%,40.0%
1.02,14.1%,6.1%,45.5%,84.4%,46.3%
0.87,16.7%,3.0%,69.7%,89.1%,45.0%
1.01,18.6%,5.1%,57.6%,88.2%,56.0%
0.76,6.9%,5.6%,62.5%,60.0%,59.3%
