DR,A%,DF%,1stIn,1st%,2nd%
0.78,5.0%,0.0%,55.0%,72.7%,33.3%
0.69,7.7%,3.1%,53.8%,68.6%,50.0%
1.30,9.4%,1.6%,59.4%,76.3%,65.4%
0.82,9.4%,1.9%,56.6%,63.3%,60.9%
3.10,17.1%,0.0%,62.9%,90.9%,61.5%
1.48,0.0%,0.0%,58.8%,73.3%,47.6%
1.04,7.1%,4.0%,46.5%,73.9%,49.1%
0.83,9.9%,2.0%,65.3%,69.7%,45.7%
0.90,7.1%,2.4%,48.8%,70.7%,58.1%
0.73,6.5%,3.3%,42.4%,69.2%,45.3%
0.86,9.5%,0.0%,62.1%,73.6%,43.2%
0.85,5.2%,2.6%,58.4%,75.6%,34.4%
0.75,7.1%,3.5%,65.9%,73.2%,44.8%
0.92,9.9%,7.9%,55.4%,73.2%,46.7%
0.74,12.5%,2.3%,61.7%,70.9%,46.9%
0.87,18.4%,4.1%,53.1%,73.1%,60.9%
0.61,8.0%,2.0%,70.0%,68.6%,40.0%
0.91,11.7%,3.2%,63.3%,78.2%,40.6%
0.92,11.3%,3.3%,62.7%,70.2%,58.9%
1.26,18.3%,2.3%,58.0%,75.0%,54.5%
0.70,9.0%,3.4%,65.2%,69.0%,38.7%
0.45,6.8%,5.4%,59.5%,70.5%,50.0%
1.54,19.3%,1.8%,54.4%,80.6%,57.7%
0.88,20.7%,3.7%,52.4%,76.7%,46.2%
1.80,21.3%,2.1%,63.8%,86.7%,52.9%
0.99,12.9%,4.0%,54.5%,76.4%,52.2%
1.38,14.1%,1.6%,48.4%,77.4%,60.6%
0.73,12.1%,1.9%,64.5%,69.6%,36.8%
1.38,19.4%,3.0%,70.1%,78.7%,65.0%
1.22,12.9%,0.0%,52.9%,81.1%,60.6%
1.23,20.6%,2.9%,72.1%,79.6%,52.6%
0.53,12.7%,1.4%,56.3%,75.0%,35.5%
1.47,12.7%,5.5%,72.7%,85.0%,60.0%
1.15,7.1%,1.2%,54.1%,69.6%,61.5%
1.75,24.5%,0.0%,69.8%,78.4%,75.0%
1.17,10.3%,1.5%,60.3%,80.5%,70.4%
0.93,15.0%,4.2%,60.8%,71.2%,53.2%
0.59,19.7%,1.6%,63.9%,66.7%,40.9%
1.01,22.3%,3.2%,54.3%,86.3%,55.8%
0.78,16.1%,5.4%,51.6%,66.7%,48.9%
0.70,11.5%,6.9%,44.8%,74.4%,39.6%
1.14,18.3%,2.4%,53.7%,84.1%,50.0%
1.84,19.6%,1.8%,67.9%,89.5%,50.0%
0.70,13.1%,6.6%,49.2%,56.7%,51.6%
1.09,6.8%,6.8%,61.6%,77.8%,39.3%
0.94,15.1%,2.3%,57.0%,73.5%,59.5%
1.19,14.5%,1.6%,51.6%,90.6%,56.7%
0.94,12.7%,1.3%,69.6%,65.5%,50.0%
0.86,12.6%,4.9%,59.2%,77.0%,42.9%
1.79,9.1%,0.0%,70.9%,79.5%,68.8%
1.64,7.1%,0.0%,50.0%,78.6%,57.1%
0.57,2.3%,2.3%,62.1%,59.3%,42.4%
0.98,8.2%,2.6%,60.5%,72.0%,48.1%
0.70,7.6%,4.3%,65.2%,81.7%,46.9%
0.98,13.3%,1.1%,63.3%,82.5%,54.5%
1.61,14.8%,1.9%,53.7%,89.7%,64.0%
1.37,16.4%,1.8%,67.3%,78.4%,66.7%
0.73,12.8%,1.3%,69.2%,63.0%,45.8%
1.60,8.3%,2.1%,66.7%,81.3%,62.5%
1.29,13.3%,0.0%,56.7%,82.4%,73.1%
0.99,15.1%,1.1%,68.8%,71.9%,69.0%
0.97,12.7%,0.0%,58.2%,75.0%,54.3%
1.19,16.2%,0.0%,67.6%,82.6%,50.0%
0.57,9.0%,4.5%,55.2%,75.7%,36.7%
1.82,5.7%,0.0%,62.3%,81.8%,70.0%
0.70,12.7%,0.7%,53.7%,73.6%,48.4%
0.72,5.8%,0.0%,51.9%,77.8%,48.0%
1.82,17.4%,0.0%,54.3%,84.0%,52.4%
0.54,3.3%,1.7%,56.7%,58.8%,42.3%
1.30,6.8%,1.4%,53.4%,69.2%,52.9%
0.64,6.0%,1.5%,55.2%,67.6%,26.7%
0.81,10.8%,7.5%,64.5%,66.7%,30.3%
0.73,12.3%,3.5%,63.2%,61.1%,23.8%
0.93,4.2%,0.0%,63.2%,68.3%,45.7%
0.96,9.3%,3.5%,55.8%,75.0%,55.3%
1.64,16.3%,0.0%,57.1%,78.6%,66.7%
0.50,1.6%,3.2%,54.0%,70.6%,41.4%
0.99,7.0%,1.7%,61.7%,71.8%,59.1%
1.16,10.8%,2.4%,66.3%,78.2%,50.0%
0.62,9.4%,3.1%,59.4%,65.8%,57.7%
0.75,4.7%,1.9%,51.4%,65.5%,48.1%
1.34,11.1%,1.9%,63.0%,88.2%,50.0%
2.50,7.3%,2.4%,56.1%,91.3%,55.6%
2.24,23.8%,0.0%,64.3%,81.5%,53.3%
0.66,9.0%,3.0%,56.0%,78.6%,27.3%
1.10,7.3%,1.2%,56.1%,65.2%,69.4%
0.79,14.0%,2.0%,58.0%,79.3%,42.9%
0.55,4.4%,2.2%,53.3%,62.5%,38.1%
0.99,10.6%,2.1%,53.2%,64.0%,45.5%
0.94,11.5%,3.8%,51.9%,74.1%,48.0%
0.97,8.9%,1.3%,58.9%,71.0%,60.0%
1.04,6.2%,1.5%,53.8%,71.4%,53.3%
0.54,5.6%,0.0%,59.3%,56.3%,45.5%
0.33,2.0%,3.9%,60.8%,61.3%,40.0%
0.79,3.7%,1.5%,63.2%,66.3%,40.0%
0.55,9.1%,1.3%,61.0%,63.8%,50.0%
1.54,14.1%,0.0%,57.8%,86.5%,59.3%
0.75,2.3%,2.3%,52.3%,69.6%,42.9%
1.17,9.7%,1.4%,48.6%,80.0%,56.8%
0.84,6.6%,2.2%,58.2%,62.3%,47.4%
0.68,5.0%,5.0%,61.0%,68.9%,41.0%
0.90,13.3%,7.8%,54.4%,71.4%,36.6%
1.16,19.6%,3.1%,50.5%,77.6%,60.4%
0.76,6.3%,1.6%,59.4%,71.1%,50.0%
1.07,11.1%,2.0%,58.6%,81.0%,53.7%
2.05,8.5%,0.0%,72.3%,85.3%,61.5%
0.76,22.6%,1.6%,62.9%,74.4%,47.8%
1.31,13.2%,3.8%,56.6%,83.3%,52.2%
0.85,7.1%,1.0%,57.1%,62.5%,54.8%
0.60,12.8%,2.8%,58.7%,81.3%,46.7%
0.94,18.3%,2.2%,67.7%,76.2%,60.0%
1.20,15.5%,5.2%,62.1%,75.0%,59.1%
0.98,24.3%,3.7%,58.9%,76.2%,52.3%
0.99,11.8%,0.0%,64.7%,75.0%,58.3%
0.74,9.3%,0.0%,58.7%,70.5%,48.4%
0.54,7.8%,3.9%,62.3%,68.8%,41.4%
1.22,9.6%,2.6%,65.2%,78.7%,52.5%
1.01,13.4%,1.5%,65.7%,70.5%,69.6%
1.13,13.7%,1.6%,60.5%,78.7%,63.3%
1.72,14.0%,6.0%,48.0%,83.3%,69.2%
1.39,8.8%,2.9%,52.9%,63.9%,62.5%
0.48,14.3%,2.0%,57.1%,78.6%,47.6%
1.24,9.5%,0.0%,60.7%,80.4%,60.6%
1.05,14.0%,0.0%,66.7%,68.4%,63.2%
0.91,2.9%,2.9%,55.3%,66.7%,45.7%
0.93,4.4%,2.2%,62.6%,68.4%,52.9%
0.84,2.9%,4.3%,53.6%,59.5%,43.8%
1.12,5.2%,2.1%,60.4%,72.4%,47.4%
1.58,6.7%,1.7%,53.3%,78.1%,60.7%
1.08,6.3%,1.1%,50.5%,68.8%,57.4%
1.29,13.5%,1.4%,63.5%,80.9%,51.9%
1.46,13.2%,0.0%,57.9%,68.2%,56.3%
1.31,8.2%,0.0%,65.6%,80.0%,38.1%
1.11,8.3%,0.9%,61.5%,77.6%,59.5%
1.40,17.7%,0.0%,67.7%,76.2%,60.0%
1.37,9.7%,3.2%,61.3%,76.3%,58.3%
0.88,12.7%,0.0%,60.3%,73.7%,48.0%
1.29,12.3%,2.5%,64.2%,73.1%,58.6%
0.75,10.3%,5.1%,60.3%,72.3%,29.0%
1.40,7.7%,0.0%,46.2%,70.0%,74.3%
1.42,14.8%,3.3%,60.7%,73.0%,62.5%
1.19,12.0%,2.0%,57.0%,64.9%,60.5%
1.73,25.4%,0.0%,76.1%,88.9%,58.8%
0.87,4.1%,8.1%,48.6%,72.2%,47.4%
1.46,8.3%,4.2%,55.6%,72.5%,62.5%
2.36,4.8%,2.4%,52.4%,72.7%,75.0%
1.00,15.6%,2.6%,64.9%,76.0%,44.4%
1.35,4.8%,3.2%,74.2%,69.6%,62.5%
1.27,3.9%,3.9%,56.6%,69.8%,60.6%
0.86,12.2%,0.0%,64.9%,77.1%,26.9%
1.21,8.5%,1.4%,60.6%,74.4%,60.7%
1.71,12.7%,1.8%,58.2%,87.5%,60.9%
0.73,15.5%,2.8%,60.6%,79.1%,57.1%
1.13,6.7%,0.0%,72.1%,69.3%,55.2%
1.26,17.1%,1.4%,61.4%,83.7%,59.3%
1.67,14.5%,2.9%,58.0%,77.5%,69.0%
0.87,8.6%,3.4%,67.2%,74.4%,52.6%
