DR,A%,DF%,1stIn,1st%,2nd%
1.81,8.9%,0.0%,62.2%,75.0%,64.7%
1.00,1.2%,0.0%,61.9%,67.3%,65.6%
1.22,4.8%,1.6%,58.1%,66.7%,53.8%
1.73,9.6%,7.7%,69.2%,83.3%,56.3%
1.89,8.9%,4.4%,71.1%,68.8%,61.5%
2.42,2.6%,0.0%,73.7%,75.0%,80.0%
1.32,1.9%,0.0%,73.1%,57.9%,50.0%
1.79,9.6%,1.9%,69.2%,88.9%,43.8%
1.14,0.0%,2.7%,65.8%,70.8%,48.0%
2.96,6.5%,0.0%,80.6%,84.0%,66.7%
1.13,6.9%,1.1%,75.9%,56.1%,47.6%
1.86,15.2%,8.7%,67.4%,87.1%,40.0%
2.46,2.5%,0.0%,75.0%,80.0%,60.0%
1.00,1.1%,1.1%,71.9%,54.7%,56.0%
1.28,2.6%,5.2%,53.2%,63.4%,66.7%
0.77,5.9%,2.9%,66.7%,58.8%,35.3%
0.85,4.5%,3.6%,48.2%,62.3%,50.9%
1.16,1.0%,8.0%,66.0%,66.7%,38.2%
1.03,2.4%,2.4%,73.2%,55.0%,45.5%
0.42,2.6%,10.5%,65.8%,56.0%,46.2%
0.74,1.9%,11.3%,56.6%,60.0%,34.8%
0.67,9.1%,5.5%,65.5%,61.1%,57.9%
1.10,0.9%,8.0%,71.7%,71.6%,43.8%
0.81,1.5%,14.9%,56.7%,60.5%,24.1%
0.78,2.2%,8.7%,58.7%,50.0%,42.1%
1.19,3.5%,8.1%,58.1%,62.0%,52.8%
1.02,1.2%,12.8%,65.1%,66.1%,36.7%
2.14,2.4%,0.0%,58.5%,87.5%,64.7%
0.76,0.0%,5.6%,67.4%,53.3%,44.8%
0.47,2.0%,10.0%,54.0%,66.7%,34.8%
0.83,5.5%,3.6%,63.6%,60.0%,45.0%
0.50,3.0%,9.1%,51.5%,29.4%,43.8%
1.44,11.3%,1.9%,54.7%,65.5%,62.5%
1.13,0.0%,3.7%,64.6%,60.4%,65.5%
1.13,3.8%,7.7%,53.8%,66.7%,44.4%
0.56,0.0%,7.2%,62.3%,53.5%,46.2%
0.69,0.0%,5.6%,50.0%,55.6%,38.9%
0.69,2.1%,6.4%,57.4%,48.1%,55.0%
1.14,0.0%,6.8%,60.3%,68.2%,41.4%
0.70,3.1%,6.3%,64.1%,46.3%,39.1%
1.26,10.2%,0.0%,62.7%,75.7%,54.5%
1.44,6.6%,6.6%,62.3%,81.6%,56.5%
0.61,0.0%,11.3%,66.0%,65.7%,27.8%
0.91,1.4%,2.9%,53.6%,59.5%,62.5%
1.33,2.7%,2.7%,64.9%,75.0%,30.8%
0.90,2.6%,5.3%,65.8%,60.0%,42.3%
1.28,4.6%,4.6%,73.8%,72.9%,29.4%
1.39,3.7%,3.7%,63.0%,82.4%,50.0%
0.84,1.7%,3.4%,57.6%,64.7%,60.0%
0.95,6.2%,3.1%,75.4%,65.3%,50.0%
0.71,0.0%,6.3%,57.8%,62.2%,37.0%
1.34,5.8%,2.9%,59.4%,75.6%,46.4%
0.78,3.4%,1.7%,67.8%,60.0%,47.4%
1.03,2.5%,1.7%,64.2%,66.2%,58.1%
1.90,6.8%,2.3%,72.7%,81.3%,58.3%
0.65,1.7%,6.9%,67.2%,53.8%,21.1%
1.50,0.0%,1.8%,55.4%,64.5%,64.0%
1.91,2.3%,0.0%,67.4%,79.3%,57.1%
1.12,4.3%,2.2%,69.6%,68.8%,50.0%
0.89,3.6%,4.8%,73.5%,68.9%,40.9%
0.58,2.1%,6.3%,58.3%,50.0%,40.0%
0.91,3.2%,4.3%,59.6%,67.9%,55.3%
0.88,4.4%,4.9%,58.2%,70.8%,57.9%
0.65,0.0%,5.5%,67.1%,55.1%,37.5%
1.82,3.9%,0.0%,62.7%,78.1%,57.9%
0.74,1.5%,1.5%,69.7%,50.0%,45.0%
0.98,4.7%,3.1%,65.6%,72.6%,31.8%
1.68,3.9%,3.9%,64.7%,81.8%,61.1%
0.52,4.8%,2.4%,66.7%,53.6%,35.7%
0.87,2.7%,2.7%,68.1%,63.6%,50.0%
0.91,11.9%,4.2%,67.8%,63.7%,44.7%
