DR,A%,DF%,1stIn,1st%,2nd%
0.81,1.1%,3.2%,55.3%,63.5%,38.1%
1.14,5.0%,1.0%,54.5%,67.3%,47.8%
1.59,1.9%,5.6%,59.3%,78.1%,54.5%
1.11,7.2%,2.7%,60.4%,76.1%,38.6%
1.37,2.8%,1.4%,62.5%,73.3%,66.7%
1.02,3.6%,3.6%,69.1%,71.1%,41.2%
0.46,9.5%,4.8%,57.1%,66.7%,44.4%
0.95,5.6%,4.2%,72.2%,69.2%,50.0%
1.19,6.6%,0.0%,65.8%,72.0%,53.8%
1.06,6.3%,5.1%,68.4%,74.1%,52.0%
0.78,1.5%,3.0%,61.2%,63.4%,42.3%
0.72,3.1%,3.1%,64.6%,64.3%,39.1%
1.86,4.2%,0.0%,64.6%,80.6%,64.7%
0.59,7.7%,13.5%,65.4%,55.9%,44.4%
0.61,5.6%,5.6%,38.9%,71.4%,45.5%
0.87,7.4%,1.5%,55.9%,60.5%,66.7%
1.22,10.4%,1.5%,59.7%,70.0%,59.3%
1.73,13.5%,1.9%,65.4%,82.4%,50.0%
1.41,8.1%,1.6%,59.7%,75.7%,64.0%
1.19,1.3%,7.6%,46.8%,70.3%,52.4%
1.31,1.9%,0.0%,63.0%,76.5%,55.0%
1.34,1.3%,6.6%,51.3%,71.8%,56.8%
1.19,11.4%,0.0%,59.5%,70.2%,71.9%
0.75,1.9%,2.8%,62.3%,56.1%,50.0%
0.69,5.1%,0.0%,66.1%,59.0%,50.0%
0.72,0.0%,0.0%,52.2%,41.7%,27.3%
2.28,7.0%,4.7%,60.5%,88.5%,64.7%
2.02,19.6%,0.0%,66.7%,88.2%,64.7%
0.88,9.8%,1.0%,65.7%,68.7%,57.1%
1.40,0.0%,3.6%,56.4%,74.2%,62.5%
1.26,7.6%,3.8%,60.8%,72.9%,51.6%
1.02,3.3%,3.3%,54.1%,75.8%,46.4%
1.10,1.3%,1.3%,71.3%,57.9%,56.5%
2.75,11.1%,0.0%,77.8%,85.7%,75.0%
1.30,0.0%,5.3%,59.6%,64.7%,56.5%
0.69,2.9%,4.3%,56.5%,64.1%,56.7%
1.32,10.8%,4.1%,75.7%,73.2%,44.4%
0.71,6.0%,8.0%,66.0%,51.5%,29.4%
0.68,3.2%,1.6%,61.9%,56.4%,50.0%
1.21,3.0%,3.0%,62.7%,64.3%,40.0%
1.22,1.0%,1.0%,68.0%,69.1%,62.5%
1.35,5.2%,1.7%,60.3%,65.7%,60.9%
0.87,7.1%,1.8%,57.1%,65.6%,50.0%
1.18,7.8%,3.9%,64.1%,74.2%,40.5%
0.66,4.4%,1.1%,62.6%,73.7%,44.1%
0.54,10.3%,2.9%,69.1%,74.5%,38.1%
1.64,14.0%,0.0%,56.0%,78.6%,59.1%
0.79,0.0%,1.7%,56.9%,45.5%,48.0%
1.42,0.0%,8.0%,52.0%,73.1%,45.8%
1.17,1.3%,5.2%,57.1%,70.5%,48.5%
1.05,4.5%,3.4%,48.9%,53.5%,60.0%
0.91,0.0%,3.2%,56.5%,68.6%,40.7%
1.54,14.3%,5.4%,66.1%,81.1%,52.6%
0.61,7.5%,6.0%,62.7%,64.3%,40.0%
1.10,9.5%,7.4%,56.8%,81.5%,41.5%
0.95,14.0%,2.3%,58.1%,78.0%,47.2%
0.82,0.0%,0.0%,66.7%,50.0%,25.0%
0.69,1.8%,5.4%,62.5%,40.0%,52.4%
0.45,7.7%,3.1%,55.4%,52.8%,37.9%
0.53,9.7%,0.0%,69.4%,69.8%,47.4%
1.35,4.5%,3.0%,73.1%,65.3%,61.1%
1.29,10.8%,2.7%,59.5%,72.7%,43.3%
1.27,4.2%,1.4%,69.4%,72.0%,31.8%
0.54,9.4%,3.8%,67.9%,55.6%,47.1%
0.89,10.2%,5.1%,58.5%,76.8%,46.9%
0.65,2.0%,4.0%,48.0%,54.2%,46.2%
1.20,5.6%,2.2%,61.1%,74.5%,60.0%
0.63,5.7%,1.1%,71.3%,62.9%,32.0%
0.67,7.7%,0.0%,70.8%,65.2%,78.9%
1.39,5.3%,4.0%,66.7%,74.0%,60.0%
1.06,7.8%,1.0%,68.9%,76.1%,43.8%
1.04,17.9%,1.7%,67.5%,78.5%,57.9%
0.30,10.1%,2.9%,65.2%,57.8%,33.3%
1.13,4.3%,4.3%,62.0%,75.4%,60.0%
1.12,9.1%,2.3%,58.0%,74.5%,54.1%
0.84,6.7%,3.3%,66.7%,68.3%,40.0%
0.62,0.0%,5.5%,67.3%,70.3%,33.3%
0.56,4.1%,2.0%,57.1%,39.3%,52.4%
1.81,0.0%,0.0%,67.4%,69.0%,64.3%
1.25,2.8%,2.8%,65.3%,74.5%,44.0%
1.35,12.3%,1.2%,67.9%,72.7%,65.4%
1.04,4.7%,4.7%,62.5%,66.3%,45.8%
1.19,3.9%,5.3%,59.2%,75.6%,45.2%
0.88,11.6%,1.4%,69.6%,77.1%,47.6%
1.14,16.4%,0.0%,77.6%,69.2%,86.7%
1.20,8.7%,1.4%,56.5%,74.4%,63.3%
0.69,2.7%,4.1%,62.2%,60.9%,35.7%
0.83,4.7%,2.3%,60.5%,63.5%,44.1%
