DR,A%,DF%,1stIn,1st%,2nd%
0.69,5.8%,2.9%,62.3%,62.8%,53.8%
1.53,10.3%,1.7%,77.6%,88.9%,30.8%
1.39,4.3%,2.9%,54.3%,81.6%,53.1%
0.56,3.1%,4.6%,49.2%,59.4%,48.5%
1.23,5.2%,0.0%,67.2%,69.2%,68.4%
1.30,3.2%,0.0%,58.7%,62.2%,69.2%
0.60,6.2%,3.1%,76.9%,60.0%,40.0%
0.64,1.9%,3.7%,61.1%,39.4%,47.6%
0.99,3.6%,6.5%,64.5%,59.6%,44.9%
0.79,7.2%,0.0%,60.9%,50.0%,59.3%
1.13,11.0%,0.0%,67.1%,67.3%,54.2%
0.93,5.6%,0.0%,62.0%,72.7%,66.7%
1.14,5.6%,4.2%,70.8%,68.6%,38.1%
0.75,1.9%,1.9%,63.0%,64.7%,40.0%
1.14,0.0%,3.5%,62.8%,66.7%,53.1%
0.57,6.9%,8.6%,51.7%,66.7%,46.4%
1.13,5.4%,0.0%,75.7%,67.9%,44.4%
0.48,1.6%,1.6%,74.6%,55.3%,37.5%
0.74,0.0%,9.4%,66.0%,45.7%,38.9%
0.59,4.4%,2.2%,68.9%,61.3%,14.3%
0.74,4.3%,6.1%,59.1%,66.2%,38.3%
1.37,16.7%,1.7%,63.3%,57.9%,59.1%
0.90,3.8%,3.8%,53.2%,78.6%,35.1%
0.75,13.1%,3.3%,72.1%,81.8%,41.2%
0.61,0.0%,0.0%,59.6%,52.8%,38.9%
0.48,2.0%,2.0%,69.4%,52.9%,60.0%
1.41,2.9%,4.3%,64.3%,68.9%,76.0%
0.44,7.1%,9.5%,57.1%,58.3%,22.2%
0.81,7.5%,6.6%,50.9%,68.5%,50.0%
0.78,10.3%,2.9%,58.8%,77.5%,53.6%
0.63,7.5%,1.9%,64.2%,70.6%,36.8%
1.21,7.5%,0.0%,64.5%,78.3%,60.6%
1.28,12.0%,1.3%,64.0%,75.0%,55.6%
0.61,4.5%,2.3%,56.8%,60.0%,50.0%
1.26,9.6%,2.7%,72.6%,77.4%,45.0%
1.92,5.0%,3.3%,65.0%,82.1%,71.4%
0.88,1.3%,2.7%,64.0%,62.5%,37.0%
0.79,17.7%,6.5%,62.9%,76.9%,34.8%
16.11,13.8%,0.0%,62.1%,94.4%,100.0%
0.67,5.4%,12.5%,42.9%,50.0%,43.8%
1.17,7.1%,6.3%,60.6%,63.6%,58.0%
0.63,4.0%,6.0%,48.0%,62.5%,30.8%
0.64,4.1%,12.2%,59.2%,72.4%,35.0%
0.73,0.0%,1.7%,88.1%,61.5%,57.1%
0.98,2.8%,4.7%,61.7%,65.2%,48.8%
0.90,1.3%,5.3%,52.0%,56.4%,50.0%
1.11,10.8%,3.2%,57.0%,69.8%,50.0%
0.71,6.8%,5.0%,55.3%,64.0%,55.6%
0.66,3.4%,1.7%,70.7%,70.7%,23.5%
1.02,12.0%,0.0%,65.1%,75.9%,37.9%
0.33,5.8%,5.8%,60.9%,59.5%,40.7%
0.95,3.1%,2.0%,55.1%,59.3%,50.0%
0.98,8.1%,2.5%,55.3%,60.7%,47.2%
0.97,3.6%,1.8%,71.4%,62.5%,68.8%
1.17,8.1%,1.4%,62.2%,76.1%,53.6%
1.04,9.2%,3.4%,55.2%,77.1%,59.0%
0.80,4.4%,2.9%,52.9%,69.4%,53.1%
1.73,4.4%,0.0%,62.2%,71.4%,70.6%
0.94,0.0%,4.1%,51.4%,65.8%,38.9%
1.36,5.1%,1.7%,64.4%,68.4%,61.9%
0.58,0.0%,0.0%,58.2%,46.9%,21.7%
1.04,3.1%,1.0%,59.4%,73.7%,61.5%
0.88,6.5%,0.9%,68.2%,68.5%,50.0%
0.63,0.0%,3.7%,64.8%,54.3%,36.8%
0.58,3.3%,5.0%,51.7%,51.6%,41.4%
0.73,5.4%,1.1%,67.4%,74.2%,56.7%
1.06,9.0%,7.5%,59.7%,72.5%,38.9%
0.61,3.3%,3.3%,40.0%,66.7%,38.9%
1.04,7.0%,6.0%,60.0%,68.3%,47.5%
0.83,8.5%,4.2%,64.8%,60.9%,36.0%
