DR,A%,DF%,1stIn,1st%,2nd%
0.68,7.8%,4.7%,56.3%,55.6%,39.3%
1.23,1.9%,9.6%,61.5%,75.0%,45.0%
0.83,11.0%,3.4%,52.5%,71.0%,35.7%
1.28,11.8%,2.9%,50.0%,73.5%,64.7%
1.09,11.0%,5.9%,50.8%,76.7%,48.3%
1.22,11.3%,7.5%,48.8%,87.2%,48.8%
0.87,9.9%,4.5%,51.4%,77.2%,48.1%
1.12,6.8%,8.2%,52.1%,76.3%,45.7%
1.22,4.5%,4.5%,50.0%,54.5%,66.7%
1.30,14.7%,5.9%,60.3%,75.6%,66.7%
1.08,3.6%,3.6%,62.5%,62.9%,47.6%
0.77,4.5%,6.4%,58.2%,70.3%,47.8%
0.71,2.7%,6.8%,64.9%,58.3%,34.6%
0.81,11.0%,2.2%,65.9%,73.3%,48.4%
1.19,13.0%,1.9%,62.0%,65.7%,61.0%
1.23,7.2%,1.0%,60.8%,76.3%,47.4%
1.50,14.0%,1.8%,63.2%,69.4%,61.9%
0.68,13.2%,5.7%,60.4%,62.5%,38.1%
0.66,3.8%,5.0%,55.0%,72.7%,33.3%
0.82,6.0%,2.0%,62.0%,61.3%,52.6%
1.57,8.5%,0.0%,69.5%,65.9%,94.4%
0.74,6.6%,1.6%,62.3%,68.4%,47.8%
1.17,8.1%,1.6%,58.9%,65.8%,54.9%
1.55,11.1%,0.0%,55.6%,76.7%,45.8%
0.69,11.9%,1.2%,59.5%,62.0%,47.1%
0.83,8.8%,2.9%,61.8%,66.7%,53.8%
1.33,9.5%,0.0%,55.6%,71.4%,60.7%
0.68,5.7%,5.7%,41.4%,69.0%,46.3%
0.47,0.0%,17.6%,38.2%,53.8%,28.6%
0.39,3.0%,1.5%,62.1%,53.7%,48.0%
1.15,12.5%,1.6%,65.6%,66.7%,59.1%
0.79,7.0%,2.0%,61.0%,72.1%,56.4%
1.43,10.2%,1.7%,67.8%,82.5%,47.4%
0.92,6.0%,4.5%,54.5%,72.6%,55.7%
1.32,6.1%,3.0%,65.2%,72.1%,43.5%
1.26,6.5%,0.0%,67.5%,71.2%,52.0%
1.01,5.9%,1.0%,59.4%,66.7%,51.2%
0.45,8.9%,6.7%,62.2%,57.1%,23.5%
1.34,11.9%,0.0%,61.0%,72.2%,73.9%
0.51,6.5%,4.3%,52.2%,62.5%,50.0%
0.82,9.7%,1.6%,56.5%,68.6%,44.4%
1.61,5.4%,0.0%,39.3%,95.5%,61.8%
1.73,15.7%,0.0%,66.7%,82.4%,52.9%
1.12,10.7%,6.7%,54.7%,73.2%,55.9%
1.45,16.4%,0.0%,58.2%,71.9%,69.6%
1.56,4.0%,2.0%,50.0%,72.0%,68.0%
0.86,3.2%,7.5%,49.5%,65.2%,48.9%
0.74,10.1%,4.6%,51.4%,80.4%,54.7%
1.08,14.3%,7.1%,57.1%,79.7%,50.0%
1.30,14.1%,5.6%,50.7%,86.1%,54.3%
0.52,4.0%,5.3%,49.3%,67.6%,55.3%
0.74,4.6%,5.7%,50.6%,65.9%,55.8%
1.37,12.1%,10.3%,51.7%,70.0%,35.7%
0.92,6.6%,3.9%,56.6%,65.1%,48.5%
1.32,5.4%,6.8%,41.9%,74.2%,51.2%
1.12,3.8%,7.7%,51.3%,80.0%,60.5%
0.96,7.2%,7.2%,51.5%,78.0%,25.5%
0.61,4.5%,1.5%,59.1%,64.1%,44.4%
1.65,20.4%,6.1%,59.2%,82.8%,65.0%
1.68,25.0%,7.1%,48.2%,85.2%,58.6%
0.92,13.3%,0.0%,61.4%,72.5%,62.5%
0.59,6.5%,6.5%,60.9%,57.1%,22.2%
1.61,5.8%,5.8%,42.3%,77.3%,60.0%
0.67,7.9%,8.9%,46.5%,72.3%,51.9%
0.83,2.2%,2.2%,58.4%,67.3%,48.6%
1.40,18.6%,1.7%,66.1%,76.9%,60.0%
1.14,9.6%,1.4%,60.3%,77.3%,55.2%
1.05,6.0%,4.8%,56.0%,83.0%,21.6%
1.02,5.9%,3.9%,53.9%,69.1%,48.9%
1.90,4.3%,10.6%,57.4%,88.9%,55.0%
0.52,6.9%,5.2%,53.4%,51.6%,48.1%
0.76,4.2%,2.1%,56.8%,70.4%,41.5%
1.35,4.8%,4.8%,61.9%,74.4%,66.7%
1.35,13.0%,4.3%,49.3%,64.7%,54.3%
0.80,6.7%,5.0%,57.5%,65.2%,54.9%
1.22,5.6%,0.0%,51.4%,70.3%,45.7%
1.53,12.3%,5.3%,54.4%,90.3%,42.3%
0.67,8.9%,1.8%,51.8%,72.4%,55.6%
1.18,1.1%,6.3%,62.1%,71.2%,47.2%
0.97,9.3%,9.3%,50.0%,55.6%,44.4%
0.61,1.8%,0.0%,57.9%,72.7%,41.7%
1.26,10.3%,4.4%,55.9%,81.6%,43.3%
1.03,6.0%,4.8%,59.5%,62.0%,55.9%
0.86,5.7%,2.3%,44.8%,66.7%,43.8%
1.14,14.4%,4.4%,55.6%,74.0%,45.0%
1.21,5.0%,5.0%,59.4%,81.7%,63.4%
0.71,5.9%,3.5%,61.2%,65.4%,48.5%
0.69,6.9%,5.7%,50.6%,61.4%,44.2%
0.88,9.9%,12.6%,51.4%,70.2%,48.1%
1.12,5.6%,3.7%,51.4%,67.3%,53.8%
1.51,20.0%,4.0%,64.0%,84.4%,55.6%
0.46,11.1%,6.3%,55.6%,62.9%,25.0%
1.22,8.8%,6.9%,57.8%,79.7%,51.2%
2.45,12.2%,4.9%,61.0%,84.0%,68.8%
0.82,17.0%,8.5%,60.4%,78.1%,45.2%
1.05,15.4%,10.6%,44.2%,76.1%,58.6%
1.02,6.7%,7.6%,45.4%,70.4%,49.2%
0.71,5.4%,10.8%,35.1%,65.4%,39.6%
1.25,6.9%,2.8%,50.0%,88.9%,55.6%
0.77,6.4%,8.5%,38.3%,66.7%,51.7%
1.12,19.7%,3.0%,62.1%,80.5%,60.0%
0.81,10.0%,0.8%,57.5%,71.0%,47.1%
0.89,10.2%,3.4%,55.7%,65.3%,35.9%
1.27,3.2%,1.6%,59.7%,70.3%,52.0%
1.13,4.3%,4.3%,53.2%,58.0%,59.1%
1.35,15.0%,5.0%,55.0%,75.8%,55.6%
0.80,3.6%,7.1%,50.0%,71.4%,42.9%
1.69,16.3%,4.1%,49.0%,75.0%,68.0%
1.16,6.4%,6.4%,58.2%,67.2%,58.7%
0.77,8.1%,3.5%,53.5%,56.5%,60.0%
1.38,17.9%,7.1%,53.6%,73.3%,65.4%
0.42,2.0%,9.8%,52.9%,70.4%,33.3%
1.17,6.5%,3.2%,51.6%,75.0%,56.7%
0.69,2.6%,5.1%,46.2%,63.9%,28.6%
0.87,1.6%,3.2%,55.6%,60.0%,57.1%
1.48,15.4%,4.6%,61.5%,80.0%,48.0%
0.47,3.3%,1.6%,55.7%,61.8%,40.7%
1.10,2.5%,3.7%,67.9%,72.7%,53.8%
1.05,1.7%,5.0%,50.8%,68.9%,59.3%
0.72,4.5%,9.1%,45.5%,60.0%,41.7%
0.89,6.9%,4.9%,52.0%,79.2%,57.1%
0.87,2.8%,2.8%,52.1%,62.2%,47.1%
1.12,6.0%,1.0%,52.0%,78.8%,54.2%
1.50,9.6%,3.8%,55.8%,79.3%,65.2%
0.99,2.4%,3.6%,59.0%,73.5%,61.8%
0.94,8.3%,3.1%,57.3%,63.6%,48.8%
2.02,8.3%,4.2%,62.5%,83.3%,66.7%
0.48,0.0%,8.1%,47.3%,62.9%,53.8%
1.08,6.5%,4.3%,54.8%,74.5%,47.6%
1.47,12.5%,8.9%,55.4%,83.9%,56.0%
1.06,3.4%,3.4%,53.0%,64.5%,54.5%
0.73,1.9%,5.8%,51.9%,44.4%,36.0%
1.20,2.8%,1.4%,43.7%,67.7%,67.5%
1.77,4.3%,6.4%,61.7%,72.4%,61.1%
0.83,3.2%,3.2%,69.4%,58.1%,21.1%
1.44,1.9%,3.7%,61.1%,75.8%,52.4%
0.74,10.1%,5.8%,59.4%,68.3%,42.9%
0.77,0.0%,5.6%,55.6%,70.0%,54.2%
1.19,4.4%,5.9%,50.0%,79.4%,64.7%
0.72,9.5%,7.1%,47.6%,60.0%,40.9%
1.69,11.4%,0.0%,65.7%,78.3%,58.3%
0.66,0.0%,9.8%,58.8%,60.0%,33.3%
0.68,6.7%,6.7%,56.7%,64.7%,61.5%
1.54,17.9%,7.1%,60.7%,76.5%,59.1%
1.92,8.5%,4.3%,68.1%,84.4%,53.3%
0.93,4.0%,3.0%,64.0%,64.1%,61.1%
1.78,6.1%,0.0%,57.1%,71.4%,71.4%
1.25,4.6%,3.1%,56.9%,73.0%,35.7%
1.72,8.0%,0.0%,56.0%,75.0%,77.3%
0.77,1.4%,0.0%,57.1%,67.5%,50.0%
2.43,16.3%,4.1%,71.4%,88.6%,71.4%
0.91,7.3%,6.6%,51.8%,64.8%,54.5%
0.71,5.8%,1.9%,67.3%,62.9%,41.2%
2.42,13.0%,2.2%,67.4%,87.1%,73.3%
1.62,5.6%,0.0%,66.7%,80.6%,61.1%
1.31,1.5%,3.0%,59.1%,69.2%,48.1%
1.04,7.1%,4.1%,57.1%,71.4%,52.4%
1.24,2.2%,2.2%,59.8%,76.4%,48.6%
0.95,7.3%,4.9%,60.2%,68.9%,36.7%
0.79,6.3%,1.6%,57.8%,86.5%,55.6%
0.98,6.3%,3.1%,59.4%,71.9%,43.6%
2.14,30.4%,4.3%,65.2%,90.0%,50.0%
0.76,5.5%,4.1%,49.3%,61.1%,45.9%
0.76,8.8%,1.1%,59.3%,68.5%,51.4%
0.50,1.8%,7.3%,58.2%,59.4%,39.1%
0.94,14.3%,8.6%,62.9%,70.5%,34.6%
1.50,4.0%,4.0%,58.0%,72.4%,57.1%
0.97,5.7%,3.8%,66.0%,62.9%,52.8%
0.36,2.7%,5.4%,51.4%,57.9%,33.3%
0.85,4.2%,5.3%,55.8%,69.8%,45.2%
1.29,10.2%,5.1%,44.1%,69.2%,48.5%
1.82,2.1%,6.4%,55.3%,80.8%,57.1%
0.87,1.1%,5.4%,45.7%,54.8%,40.0%
0.54,5.6%,2.8%,47.2%,52.9%,15.8%
1.39,5.2%,5.2%,48.3%,60.7%,60.0%
0.77,3.7%,5.6%,61.1%,51.5%,42.9%
1.09,2.6%,7.9%,53.9%,73.2%,54.3%
1.37,3.1%,9.2%,58.5%,65.8%,51.9%
1.10,7.5%,4.5%,56.7%,71.1%,55.2%
0.50,0.0%,5.3%,60.5%,65.2%,13.3%
1.04,0.0%,3.7%,52.8%,59.6%,58.8%
0.87,4.5%,3.0%,71.2%,68.1%,52.6%
0.69,2.9%,4.4%,61.8%,66.7%,53.8%
2.22,7.7%,0.0%,59.0%,73.9%,62.5%
0.97,3.0%,3.7%,56.3%,61.8%,47.5%
1.36,6.5%,1.6%,56.5%,62.9%,70.4%
0.84,1.3%,2.7%,61.3%,54.3%,55.2%
1.03,8.6%,6.7%,56.2%,69.5%,58.7%
1.08,2.8%,6.5%,50.5%,75.9%,43.4%
1.36,12.8%,6.4%,61.7%,72.4%,55.6%
0.63,4.8%,7.2%,51.8%,53.5%,45.0%
