DR,A%,DF%,1stIn,1st%,2nd%
0.43,1.7%,6.7%,66.7%,70.0%,35.0%
1.46,4.3%,1.4%,67.1%,80.9%,60.9%
2.13,9.5%,7.1%,69.0%,79.3%,61.5%
0.68,0.0%,5.4%,62.5%,57.1%,47.6%
1.23,3.1%,1.5%,81.5%,67.9%,75.0%
1.09,2.8%,6.5%,69.2%,67.6%,54.5%
1.09,2.5%,2.5%,59.5%,68.1%,56.3%
1.11,1.9%,1.9%,65.0%,61.2%,63.9%
1.47,2.0%,2.0%,71.4%,65.7%,50.0%
2.00,12.8%,4.3%,66.0%,80.6%,62.5%
0.89,4.7%,5.8%,66.3%,63.2%,58.6%
0.99,2.3%,1.1%,62.1%,61.1%,66.7%
1.10,1.0%,3.0%,64.4%,61.5%,63.9%
2.56,5.4%,0.0%,70.3%,76.9%,81.8%
0.68,0.0%,1.5%,73.5%,58.0%,55.6%
0.98,1.6%,0.8%,77.8%,63.3%,57.1%
1.15,10.3%,6.4%,65.4%,66.7%,37.0%
1.07,0.0%,6.3%,63.3%,60.0%,48.3%
1.66,2.0%,4.0%,74.0%,75.7%,61.5%
1.78,5.6%,3.7%,55.6%,70.0%,70.8%
0.54,1.8%,5.5%,52.7%,55.2%,61.5%
0.36,2.2%,8.7%,69.6%,43.8%,28.6%
0.93,0.0%,6.0%,61.2%,78.0%,46.2%
1.22,9.7%,4.8%,74.2%,65.2%,68.8%
0.98,0.0%,3.0%,73.7%,56.2%,50.0%
1.73,1.9%,1.9%,74.1%,75.0%,50.0%
0.86,1.4%,1.4%,63.8%,70.5%,60.0%
1.39,7.1%,2.9%,52.9%,64.9%,66.7%
0.88,1.0%,3.9%,59.8%,60.7%,39.0%
0.81,0.0%,3.3%,60.7%,62.2%,50.0%
1.28,0.0%,6.3%,43.8%,42.9%,33.3%
0.49,3.2%,4.8%,52.4%,69.7%,60.0%
1.50,2.1%,0.0%,56.3%,66.7%,66.7%
0.97,3.2%,1.1%,73.7%,54.3%,52.0%
0.52,1.3%,3.9%,59.2%,66.7%,41.9%
1.15,2.2%,2.2%,58.2%,64.2%,55.3%
2.10,4.7%,0.0%,72.1%,87.1%,50.0%
1.06,1.5%,7.6%,66.7%,70.5%,50.0%
0.49,1.6%,4.8%,61.9%,53.8%,41.7%
0.80,1.8%,5.3%,73.7%,57.1%,26.7%
1.67,2.1%,2.1%,75.0%,69.4%,66.7%
1.51,1.6%,1.6%,59.7%,59.5%,80.0%
1.43,2.5%,2.5%,67.5%,81.5%,50.0%
1.48,3.4%,0.0%,71.2%,78.6%,35.3%
0.58,3.5%,3.5%,61.6%,56.6%,45.5%
0.76,1.8%,7.1%,58.9%,54.5%,39.1%
0.26,0.0%,7.7%,69.2%,59.3%,25.0%
1.29,3.1%,5.2%,66.0%,71.9%,42.4%
2.67,4.1%,4.1%,77.6%,92.1%,63.6%
0.85,1.2%,1.2%,72.3%,53.3%,47.8%
1.03,1.5%,1.5%,71.4%,64.2%,55.3%
0.81,1.4%,2.9%,67.1%,61.7%,34.8%
0.74,0.0%,1.9%,71.7%,57.9%,26.7%
1.19,6.5%,1.1%,79.6%,59.5%,84.2%
1.10,0.0%,4.2%,50.7%,58.3%,54.3%
0.91,3.1%,5.2%,66.0%,60.9%,45.5%
1.25,1.5%,3.0%,62.1%,65.9%,52.0%
1.20,2.1%,5.2%,63.5%,72.1%,62.9%
0.69,5.6%,7.4%,55.6%,66.7%,45.8%
0.53,0.0%,3.8%,58.5%,58.1%,50.0%
0.57,1.6%,1.6%,71.0%,54.5%,61.1%
1.28,4.7%,4.7%,76.6%,69.4%,53.3%
0.76,0.0%,2.2%,73.6%,64.2%,29.2%
0.98,4.1%,1.6%,81.3%,70.0%,69.6%
0.57,13.6%,4.5%,77.3%,50.0%,30.0%
1.32,6.6%,3.3%,82.0%,72.0%,54.5%
0.80,1.4%,1.4%,78.1%,57.9%,62.5%
0.97,1.7%,4.2%,69.2%,55.4%,54.1%
1.20,2.0%,6.1%,61.2%,58.3%,47.4%
0.92,0.0%,2.1%,77.1%,58.1%,54.5%
1.37,0.0%,1.5%,73.5%,60.0%,55.6%
0.58,1.8%,3.5%,75.4%,46.5%,64.3%
0.47,0.0%,1.2%,64.0%,61.8%,48.4%
1.39,3.1%,1.5%,72.3%,80.9%,38.9%
0.31,0.0%,7.1%,57.1%,37.5%,33.3%
1.43,3.5%,0.0%,61.4%,71.4%,45.5%
0.99,1.0%,1.9%,64.4%,65.7%,32.4%
1.09,2.1%,0.0%,68.0%,57.6%,58.1%
0.74,0.0%,4.3%,57.4%,48.1%,60.0%
1.03,6.3%,3.1%,65.6%,66.7%,48.5%
0.87,6.1%,2.0%,73.5%,52.8%,42.3%
0.58,1.9%,9.6%,61.5%,53.1%,50.0%
1.12,0.0%,2.7%,52.1%,65.8%,51.4%
0.76,5.9%,5.9%,58.8%,45.0%,35.7%
0.78,3.7%,1.8%,63.3%,60.9%,47.5%
0.83,0.0%,3.4%,65.5%,57.9%,35.0%
3.17,0.0%,0.0%,65.8%,84.0%,84.6%
0.92,0.0%,0.0%,84.8%,56.2%,25.0%
1.53,2.2%,2.2%,71.1%,68.8%,53.8%
1.99,3.4%,0.0%,82.8%,70.8%,60.0%
1.04,2.7%,0.0%,71.6%,50.9%,61.9%
1.94,5.7%,2.9%,68.6%,79.2%,63.6%
0.95,1.2%,3.6%,76.2%,60.9%,40.0%
1.36,0.0%,3.7%,64.8%,68.6%,57.9%
0.53,0.0%,2.1%,57.4%,40.7%,55.0%
1.07,2.6%,6.4%,55.1%,60.5%,48.6%
1.19,5.4%,9.8%,54.3%,76.0%,52.4%
2.44,3.7%,3.7%,55.6%,86.7%,75.0%
0.95,0.0%,2.1%,72.3%,52.9%,50.0%
1.45,2.1%,0.0%,72.3%,61.8%,61.5%
0.97,1.2%,1.2%,77.4%,64.6%,47.4%
1.26,1.5%,4.4%,69.1%,68.1%,57.1%
1.19,6.6%,3.8%,69.8%,70.3%,68.8%
0.82,2.2%,3.3%,70.3%,60.9%,51.9%
0.81,6.1%,7.6%,57.6%,63.2%,42.9%
0.65,1.6%,3.3%,62.3%,52.6%,39.1%
0.69,0.0%,3.6%,69.6%,48.7%,35.3%
1.12,1.9%,3.7%,61.1%,63.6%,76.2%
1.18,0.0%,1.1%,71.6%,60.3%,52.0%
1.22,5.7%,8.6%,65.7%,76.1%,50.0%
1.70,5.7%,8.6%,68.6%,75.0%,54.5%
0.77,1.1%,7.5%,61.3%,64.9%,50.0%
0.79,3.6%,7.1%,69.0%,60.3%,34.6%
0.77,4.3%,4.3%,57.1%,60.0%,56.7%
0.48,3.7%,7.4%,53.7%,58.6%,24.0%
0.72,8.1%,0.0%,66.1%,70.7%,52.4%
0.72,1.2%,1.2%,72.3%,60.0%,43.5%
1.48,7.6%,1.5%,75.8%,80.0%,62.5%
0.79,1.6%,11.1%,61.9%,69.2%,37.5%
0.51,4.5%,9.1%,77.3%,41.2%,0.0%
0.50,1.8%,7.1%,69.6%,59.0%,58.8%
