DR,A%,DF%,1stIn,1st%,2nd%
0.67,9.3%,7.0%,62.8%,61.1%,43.8%
0.57,8.3%,8.3%,50.0%,58.3%,41.7%
0.87,3.6%,2.7%,61.8%,70.6%,54.8%
1.04,7.7%,4.3%,57.3%,70.1%,48.0%
2.62,10.8%,0.0%,59.5%,81.8%,73.3%
0.97,6.0%,2.4%,60.2%,76.0%,48.5%
1.13,17.3%,1.2%,72.8%,66.1%,54.5%
0.36,6.8%,6.8%,61.0%,52.8%,34.8%
0.99,7.1%,7.1%,61.4%,83.7%,48.1%
1.63,5.7%,5.7%,66.0%,80.0%,66.7%
2.07,13.6%,1.7%,64.4%,89.5%,61.9%
0.89,2.9%,14.3%,50.0%,65.7%,51.4%
1.33,2.8%,4.2%,64.8%,76.1%,48.0%
1.50,11.9%,6.8%,54.2%,78.1%,48.1%
0.86,8.1%,4.1%,56.8%,73.8%,50.0%
0.66,3.5%,1.2%,64.0%,74.5%,48.4%
0.89,14.3%,1.9%,60.0%,71.4%,52.4%
0.39,2.0%,12.0%,56.0%,71.4%,31.8%
0.93,5.4%,1.1%,87.0%,65.0%,33.3%
1.47,8.1%,1.2%,70.9%,70.5%,64.0%
1.38,12.5%,2.5%,72.5%,81.0%,40.9%
0.70,4.7%,1.6%,67.2%,65.1%,38.1%
0.70,10.9%,3.1%,62.5%,62.5%,54.2%
0.76,2.3%,3.4%,52.9%,63.0%,48.8%
0.90,7.0%,4.7%,69.8%,63.3%,53.8%
1.03,4.5%,1.1%,62.5%,67.3%,60.6%
0.65,13.7%,2.0%,64.7%,66.7%,61.1%
2.38,7.1%,4.8%,64.3%,81.5%,73.3%
1.26,5.7%,3.4%,60.2%,75.5%,48.6%
0.91,7.1%,2.7%,61.9%,77.1%,53.5%
0.82,6.3%,7.6%,58.2%,67.4%,45.5%
1.29,10.1%,2.9%,55.1%,78.9%,41.9%
0.91,9.5%,4.8%,60.7%,72.5%,60.6%
0.77,3.1%,1.5%,67.7%,63.6%,47.6%
1.49,5.0%,1.7%,70.0%,73.8%,61.1%
1.73,10.2%,8.2%,55.1%,85.2%,54.5%
1.33,5.4%,1.4%,62.2%,82.6%,50.0%
1.32,8.3%,5.6%,59.7%,65.1%,41.4%
0.67,9.3%,5.6%,61.1%,60.6%,42.9%
1.79,8.0%,0.0%,70.0%,80.0%,53.3%
2.77,8.6%,2.9%,54.3%,94.7%,62.5%
0.59,11.8%,5.3%,48.7%,73.0%,46.2%
1.01,10.3%,3.4%,70.1%,69.5%,45.7%
1.60,16.7%,5.6%,63.0%,91.2%,45.0%
1.48,22.9%,1.4%,70.0%,77.6%,76.2%
1.12,5.7%,4.6%,60.9%,79.2%,52.9%
1.64,7.7%,5.8%,63.5%,72.7%,52.6%
1.66,13.0%,2.9%,47.8%,75.8%,66.7%
0.67,5.4%,3.6%,57.1%,65.6%,50.0%
0.85,6.1%,1.2%,50.0%,63.4%,58.5%
0.58,8.9%,1.8%,62.5%,65.7%,52.4%
2.24,22.7%,2.3%,68.2%,90.0%,64.3%
0.61,15.2%,0.9%,67.9%,65.8%,47.2%
