DR,A%,DF%,1stIn,1st%,2nd%
0.78,6.5%,3.2%,63.4%,67.8%,50.0%
1.50,1.7%,6.7%,56.7%,79.4%,50.0%
0.67,9.7%,8.1%,51.6%,75.0%,43.3%
0.94,5.7%,9.4%,64.2%,73.5%,42.1%
1.91,10.0%,0.0%,62.0%,93.5%,52.6%
0.92,10.5%,3.9%,71.1%,79.6%,50.0%
1.05,14.0%,1.1%,68.8%,75.0%,48.3%
0.80,10.4%,10.4%,53.7%,83.3%,29.0%
1.24,20.2%,2.6%,58.8%,82.1%,55.3%
1.21,7.9%,9.5%,52.4%,81.8%,53.3%
1.36,22.8%,5.3%,61.4%,88.6%,54.5%
1.11,7.8%,3.1%,64.1%,78.0%,52.2%
1.22,19.1%,3.2%,68.1%,79.7%,60.0%
1.16,27.8%,8.3%,75.0%,77.8%,33.3%
1.13,20.0%,4.0%,68.0%,72.1%,53.1%
1.29,13.7%,5.9%,72.5%,83.8%,35.7%
1.54,11.1%,0.0%,71.6%,81.0%,73.9%
1.66,14.6%,4.2%,64.6%,80.6%,47.1%
1.07,14.0%,8.0%,65.0%,73.8%,57.1%
1.28,9.2%,0.0%,71.1%,74.1%,59.1%
1.52,19.7%,1.4%,69.0%,81.6%,68.2%
1.28,14.3%,3.2%,65.1%,73.2%,59.1%
0.75,7.8%,6.5%,55.8%,60.5%,41.2%
0.98,14.2%,4.7%,67.7%,79.1%,46.3%
1.20,9.4%,4.7%,67.1%,82.5%,32.1%
1.09,7.8%,2.0%,68.6%,72.9%,56.3%
0.86,8.3%,7.4%,55.6%,75.0%,45.8%
0.76,7.1%,5.1%,57.6%,80.7%,42.9%
0.79,7.5%,10.4%,62.7%,59.5%,28.0%
1.06,8.0%,4.5%,69.3%,75.4%,48.1%
1.39,14.1%,1.6%,75.0%,70.8%,62.5%
1.30,2.9%,0.0%,62.9%,68.2%,65.4%
0.69,5.5%,5.5%,67.1%,63.3%,45.8%
1.43,12.7%,3.6%,69.1%,73.7%,52.9%
1.64,23.2%,5.4%,71.4%,87.5%,50.0%
0.58,4.6%,1.5%,69.2%,64.4%,25.0%
1.27,15.9%,4.8%,61.9%,87.2%,54.2%
0.49,6.8%,9.1%,47.7%,61.9%,30.4%
0.84,5.3%,6.4%,60.6%,61.4%,43.2%
