DR,A%,DF%,1stIn,1st%,2nd%
0.89,10.2%,2.0%,65.3%,65.6%,52.9%
0.97,7.2%,4.1%,54.6%,71.7%,45.5%
1.03,5.8%,3.3%,52.1%,68.3%,53.4%
1.31,12.1%,3.0%,59.1%,82.1%,40.7%
1.43,21.3%,4.9%,49.2%,80.0%,51.6%
0.71,10.8%,3.1%,63.1%,75.6%,50.0%
0.56,6.9%,4.2%,65.3%,66.0%,52.0%
1.42,0.0%,0.0%,60.7%,85.3%,50.0%
0.85,4.7%,1.9%,58.5%,66.1%,47.7%
1.09,7.0%,0.7%,58.7%,71.4%,55.9%
0.95,8.0%,3.0%,54.0%,70.4%,52.2%
1.40,12.3%,11.0%,52.1%,73.7%,54.3%
0.72,9.9%,7.4%,56.8%,71.7%,37.1%
1.43,4.1%,0.0%,66.2%,75.5%,60.0%
1.40,10.0%,0.0%,71.3%,70.2%,60.9%
0.92,10.8%,1.2%,63.9%,69.8%,53.3%
1.44,15.0%,0.0%,66.7%,90.0%,70.0%
0.90,8.2%,0.0%,62.9%,78.7%,33.3%
1.46,18.3%,3.2%,59.1%,72.7%,52.6%
0.91,10.4%,1.5%,53.7%,77.8%,64.5%
1.76,11.6%,0.0%,58.1%,76.0%,55.6%
1.47,2.4%,4.9%,53.7%,68.2%,52.6%
1.61,10.9%,3.1%,57.8%,86.5%,55.6%
2.34,20.9%,2.3%,55.8%,91.7%,63.2%
0.84,4.8%,2.9%,59.0%,72.6%,44.2%
1.50,12.7%,2.5%,55.7%,79.5%,57.1%
1.49,16.7%,3.3%,56.7%,88.2%,50.0%
0.69,13.8%,3.4%,53.4%,74.2%,37.0%
1.17,9.2%,1.5%,52.3%,85.3%,51.6%
1.08,7.0%,3.5%,62.8%,75.9%,68.8%
1.69,8.0%,2.0%,62.0%,80.6%,63.2%
2.34,20.0%,0.0%,70.0%,78.6%,66.7%
0.67,7.2%,3.6%,53.0%,72.7%,48.7%
1.65,14.9%,1.4%,47.3%,82.9%,53.8%
1.00,10.4%,2.1%,55.2%,66.0%,53.5%
1.43,6.5%,6.5%,53.2%,78.8%,51.7%
0.49,15.6%,1.6%,60.9%,69.2%,44.0%
0.95,14.5%,2.6%,60.7%,74.6%,47.8%
0.76,13.6%,6.8%,52.5%,74.2%,53.6%
1.01,6.2%,0.9%,56.6%,65.6%,67.3%
0.72,4.8%,4.8%,44.4%,67.9%,28.6%
0.73,11.0%,1.4%,50.7%,75.7%,50.0%
0.46,7.4%,9.5%,55.8%,79.2%,40.5%
0.86,11.1%,5.1%,54.5%,82.4%,52.2%
0.81,9.1%,8.0%,59.1%,76.9%,30.6%
0.81,19.1%,10.1%,53.9%,83.3%,48.8%
0.72,9.7%,12.5%,51.4%,75.7%,40.0%
0.73,7.8%,3.1%,61.7%,62.0%,38.8%
0.93,5.7%,0.0%,68.6%,54.2%,45.5%
1.07,5.1%,3.8%,58.2%,69.6%,51.5%
0.81,5.4%,2.2%,50.0%,58.7%,52.2%
1.09,8.7%,7.2%,50.7%,71.4%,64.7%
0.59,6.2%,3.1%,44.6%,79.3%,47.2%
0.68,27.6%,3.4%,53.4%,80.6%,44.4%
1.20,10.7%,1.3%,61.3%,69.6%,65.5%
1.96,19.7%,0.0%,68.9%,90.5%,63.2%
1.17,12.7%,0.0%,57.1%,75.0%,59.3%
0.96,11.9%,2.0%,56.4%,73.7%,40.9%
1.64,19.3%,3.5%,47.4%,85.2%,56.7%
0.46,15.8%,1.8%,59.6%,77.9%,52.2%
1.89,20.0%,4.3%,65.7%,84.8%,58.3%
1.27,15.3%,1.7%,62.7%,82.4%,56.8%
1.56,9.2%,2.5%,65.5%,84.6%,51.2%
2.98,25.6%,0.0%,61.5%,91.7%,60.0%
1.42,14.3%,1.4%,62.9%,86.4%,65.4%
2.14,11.9%,2.4%,64.3%,81.5%,66.7%
1.22,5.7%,2.3%,64.8%,68.4%,64.5%
1.34,6.2%,2.5%,65.4%,73.6%,53.6%
0.88,14.3%,0.0%,70.2%,74.6%,48.0%
0.61,11.1%,7.4%,55.6%,63.3%,45.8%
0.73,6.7%,4.4%,48.9%,72.7%,34.8%
1.10,13.7%,3.2%,56.8%,79.6%,51.2%
1.72,10.7%,1.8%,67.9%,86.8%,55.6%
0.73,5.5%,9.1%,60.0%,63.6%,40.9%
2.36,5.0%,2.5%,57.5%,78.3%,70.6%
1.16,16.4%,1.4%,60.3%,77.3%,41.4%
0.71,13.1%,1.2%,57.1%,70.8%,41.7%
1.89,12.0%,14.0%,48.0%,83.3%,53.8%
0.79,8.5%,0.0%,52.5%,67.7%,42.9%
1.02,8.0%,1.1%,62.5%,69.1%,66.7%
1.52,17.0%,5.7%,50.9%,88.9%,61.5%
0.70,5.4%,1.8%,54.5%,68.9%,41.2%
0.92,15.4%,6.7%,52.9%,76.4%,36.7%
1.87,10.4%,0.0%,54.2%,80.8%,54.5%
2.01,12.0%,4.0%,62.0%,90.3%,57.9%
0.98,2.1%,3.1%,72.2%,50.0%,51.9%
2.22,27.3%,0.0%,63.6%,89.3%,75.0%
1.21,1.1%,8.8%,70.3%,62.5%,33.3%
2.03,18.2%,2.3%,54.5%,83.3%,65.0%
0.84,10.4%,6.0%,59.7%,75.0%,44.4%
2.39,18.6%,0.0%,67.4%,82.8%,71.4%
0.96,23.5%,1.5%,61.8%,78.6%,57.7%
1.69,22.0%,5.1%,55.9%,81.8%,73.1%
1.42,0.0%,6.9%,53.4%,71.0%,59.3%
2.58,4.3%,0.0%,52.2%,87.5%,77.3%
1.08,5.7%,5.7%,51.9%,78.2%,51.0%
1.10,10.5%,3.9%,53.9%,73.2%,60.0%
15.35,6.9%,0.0%,58.6%,94.1%,100.0%
0.68,10.1%,8.7%,60.9%,64.3%,29.6%
1.18,6.2%,8.6%,55.6%,68.9%,50.0%
0.79,5.2%,5.2%,57.1%,79.5%,30.3%
0.63,13.4%,1.5%,58.2%,74.4%,39.3%
5.67,20.0%,0.0%,55.0%,90.9%,88.9%
4.25,13.8%,6.9%,62.1%,94.4%,72.7%
1.12,9.9%,4.4%,67.0%,77.0%,36.7%
0.65,4.5%,0.0%,59.1%,71.8%,40.7%
1.57,11.5%,3.3%,54.1%,87.9%,57.1%
1.30,16.4%,4.1%,65.8%,83.3%,64.0%
1.43,20.8%,1.4%,72.2%,86.5%,65.0%
1.36,5.8%,3.8%,51.9%,85.2%,48.0%
1.33,12.8%,3.5%,53.5%,78.3%,60.0%
1.19,8.3%,6.9%,61.1%,72.7%,50.0%
0.67,1.5%,3.8%,55.6%,71.6%,40.7%
1.18,3.8%,1.0%,63.8%,77.6%,55.3%
0.97,6.8%,2.5%,60.2%,80.3%,53.2%
0.63,5.3%,1.3%,66.7%,68.0%,44.0%
1.31,5.1%,1.7%,59.3%,80.0%,54.2%
1.05,4.1%,4.1%,49.3%,77.8%,37.8%
1.30,3.2%,4.8%,57.1%,75.0%,63.0%
0.65,5.6%,0.0%,57.4%,67.7%,47.8%
1.07,12.6%,1.7%,50.4%,76.7%,55.9%
0.67,6.6%,3.3%,65.6%,77.5%,38.1%
0.83,4.3%,0.0%,47.8%,59.1%,58.3%
1.20,9.7%,3.2%,66.1%,73.2%,42.9%
1.13,2.5%,0.0%,62.0%,71.4%,40.0%
2.61,4.9%,2.4%,68.3%,89.3%,61.5%
0.89,8.9%,1.3%,59.5%,70.2%,56.3%
1.38,6.3%,6.3%,52.4%,78.8%,43.3%
0.87,2.8%,1.4%,63.9%,54.3%,46.2%
2.01,21.4%,0.0%,71.4%,76.7%,58.3%
1.15,2.8%,0.0%,48.6%,51.4%,59.5%
1.34,8.4%,2.1%,57.9%,78.2%,55.0%
0.88,8.4%,3.8%,49.6%,72.3%,48.5%
1.37,11.7%,3.3%,61.7%,73.0%,56.5%
1.70,8.9%,0.0%,53.6%,73.3%,73.1%
1.17,4.1%,0.0%,57.1%,73.2%,50.0%
1.21,17.7%,3.2%,53.2%,75.8%,44.8%
0.43,11.0%,2.7%,57.5%,66.7%,45.2%
1.75,10.5%,0.0%,56.1%,84.4%,72.0%
1.27,9.9%,0.0%,63.4%,75.6%,57.7%
2.38,21.4%,0.0%,69.0%,79.3%,76.9%
1.28,18.4%,1.3%,68.4%,80.8%,45.8%
2.44,15.8%,0.0%,68.4%,92.3%,72.2%
1.29,10.0%,3.3%,63.3%,78.9%,45.5%
1.60,11.1%,3.2%,60.3%,86.8%,56.0%
1.13,5.5%,1.1%,60.4%,74.5%,52.8%
2.00,17.4%,2.2%,56.5%,92.3%,65.0%
1.23,7.0%,0.0%,64.3%,78.4%,51.2%
1.63,21.8%,1.8%,72.7%,85.0%,53.3%
1.36,11.8%,1.2%,62.4%,75.5%,56.3%
1.64,1.9%,1.9%,61.1%,81.8%,57.1%
0.77,6.3%,1.3%,62.5%,60.0%,53.3%
1.63,23.6%,0.0%,63.6%,82.9%,75.0%
0.96,15.6%,2.5%,62.3%,77.6%,52.2%
1.22,7.2%,1.4%,55.1%,78.9%,48.4%
0.60,8.9%,1.8%,58.9%,63.6%,39.1%
1.22,11.5%,1.3%,57.7%,66.7%,57.6%
0.94,18.4%,1.1%,60.9%,79.2%,47.1%
1.42,12.3%,1.5%,49.2%,78.1%,48.5%
0.67,8.8%,3.5%,61.4%,77.1%,18.2%
4.03,31.8%,0.0%,68.2%,86.7%,71.4%
1.36,5.4%,1.4%,66.2%,75.5%,48.0%
1.74,17.7%,1.6%,71.0%,81.8%,55.6%
1.41,10.9%,1.6%,62.5%,77.5%,58.3%
1.29,20.3%,5.4%,63.5%,83.0%,44.4%
1.67,16.4%,0.0%,50.8%,71.0%,76.7%
1.67,14.5%,7.3%,65.5%,83.3%,47.4%
2.26,26.2%,7.1%,73.8%,90.3%,27.3%
2.11,9.3%,7.0%,58.1%,80.0%,72.2%
1.48,5.4%,1.4%,59.5%,81.8%,46.7%
2.15,37.2%,2.3%,65.1%,85.7%,60.0%
0.94,8.8%,0.0%,57.4%,74.4%,51.7%
0.53,7.4%,5.6%,51.9%,50.0%,38.5%
1.00,21.3%,2.2%,64.0%,73.7%,46.9%
0.84,10.6%,1.8%,50.4%,73.7%,35.7%
0.79,4.9%,5.8%,43.7%,93.3%,39.7%
1.29,15.9%,7.3%,48.8%,87.5%,47.6%
1.88,32.7%,3.6%,56.4%,90.3%,66.7%
0.88,9.6%,4.3%,41.5%,76.9%,49.1%
0.77,8.8%,1.1%,60.4%,65.5%,47.2%
0.93,15.9%,0.9%,54.0%,73.8%,48.1%
2.07,22.7%,2.3%,56.8%,92.0%,52.6%
0.76,8.2%,4.9%,54.1%,63.6%,32.1%
0.32,3.3%,5.0%,43.3%,65.4%,47.1%
1.13,7.0%,1.7%,50.4%,72.4%,52.6%
0.71,5.1%,5.1%,40.7%,83.3%,31.4%
1.17,10.2%,5.1%,50.0%,67.3%,55.1%
0.84,5.4%,0.0%,60.2%,60.7%,48.6%
0.93,5.7%,1.9%,56.2%,74.6%,50.0%
1.33,3.7%,3.7%,51.9%,64.3%,53.8%
1.35,8.2%,4.9%,47.5%,75.9%,56.3%
0.76,1.7%,6.8%,61.0%,61.1%,39.1%
1.10,2.4%,1.2%,57.1%,66.7%,58.3%
1.13,4.1%,2.7%,47.3%,74.3%,56.4%
1.40,13.5%,4.8%,49.0%,86.3%,62.3%
0.92,14.9%,5.3%,55.3%,78.8%,45.2%
2.68,19.4%,0.0%,72.2%,80.8%,70.0%
