DR,A%,DF%,1stIn,1st%,2nd%
0.52,6.4%,6.4%,59.6%,75.0%,31.6%
1.53,7.7%,0.0%,59.6%,80.6%,61.9%
1.02,9.5%,2.4%,59.5%,74.0%,47.1%
0.63,10.5%,5.8%,57.0%,71.4%,43.2%
1.31,9.2%,3.1%,60.2%,81.4%,61.5%
0.78,4.2%,0.0%,66.7%,71.9%,50.0%
1.63,12.3%,0.0%,73.7%,88.1%,40.0%
0.65,5.7%,5.7%,59.1%,69.2%,41.7%
0.68,1.6%,0.0%,77.4%,62.5%,57.1%
1.05,12.6%,1.9%,61.2%,74.6%,45.0%
0.62,2.0%,3.0%,60.0%,63.3%,30.0%
1.20,3.4%,0.0%,47.5%,78.6%,38.7%
0.87,17.3%,4.0%,68.0%,70.6%,45.8%
1.16,10.5%,2.9%,66.7%,77.1%,54.3%
0.79,4.8%,1.0%,64.4%,55.2%,48.6%
0.65,10.3%,1.5%,75.0%,56.9%,47.1%
0.66,14.7%,10.5%,53.7%,80.4%,27.3%
1.58,5.6%,0.0%,70.4%,76.3%,62.5%
0.38,8.6%,1.7%,63.8%,73.0%,28.6%
0.70,9.7%,4.2%,65.3%,59.6%,32.0%
0.88,15.1%,6.6%,57.5%,78.7%,46.7%
0.95,20.5%,6.2%,58.4%,84.0%,44.8%
0.78,9.9%,1.4%,67.6%,77.1%,69.6%
0.54,11.8%,2.0%,60.8%,74.2%,55.0%
0.59,14.0%,0.0%,66.7%,74.2%,61.3%
1.07,4.3%,3.3%,63.0%,70.7%,50.0%
1.43,19.0%,1.7%,63.8%,78.4%,66.7%
0.43,8.2%,1.6%,78.7%,68.8%,46.2%
0.80,10.5%,0.0%,73.3%,79.4%,47.8%
1.41,7.4%,0.0%,73.5%,70.0%,33.3%
0.57,6.6%,3.3%,60.7%,56.8%,41.7%
1.35,8.5%,0.0%,71.8%,78.4%,60.0%
0.97,13.6%,6.8%,56.8%,84.0%,52.6%
0.67,4.7%,7.5%,52.8%,67.9%,42.0%
1.28,21.1%,1.3%,65.8%,76.0%,38.5%
1.05,11.1%,1.4%,72.2%,78.8%,45.0%
0.83,12.4%,4.8%,53.8%,67.9%,38.8%
1.19,14.4%,2.7%,60.3%,79.5%,63.8%
0.50,12.1%,3.0%,60.6%,75.0%,30.8%
1.46,14.3%,0.0%,67.3%,75.8%,56.3%
0.96,10.3%,7.7%,61.5%,79.2%,46.7%
1.70,6.4%,2.1%,61.7%,75.9%,66.7%
0.96,15.2%,5.1%,49.4%,74.4%,60.0%
