DR,A%,DF%,1stIn,1st%,2nd%
0.64,6.2%,6.2%,53.8%,65.7%,26.7%
1.98,12.0%,10.0%,64.0%,87.5%,55.6%
0.94,1.1%,11.0%,46.2%,69.0%,51.0%
1.57,10.9%,1.8%,61.8%,67.6%,61.9%
0.63,7.3%,7.3%,58.5%,50.0%,47.1%
0.79,3.2%,7.9%,57.1%,61.1%,33.3%
1.47,1.7%,10.0%,58.3%,74.3%,52.0%
1.41,1.7%,8.6%,56.9%,75.8%,44.0%
1.41,8.3%,3.3%,60.0%,80.6%,58.3%
0.68,3.3%,5.0%,56.7%,61.8%,26.9%
1.03,2.0%,5.1%,64.3%,68.3%,34.3%
1.20,3.9%,6.6%,68.4%,69.2%,50.0%
1.51,7.9%,13.2%,65.8%,80.0%,38.5%
0.89,5.4%,1.1%,61.3%,66.7%,50.0%
0.81,9.6%,2.7%,63.0%,65.2%,55.6%
1.03,10.8%,7.2%,62.7%,71.2%,58.1%
0.66,2.1%,6.4%,63.8%,50.0%,35.3%
0.70,2.6%,1.8%,60.5%,60.9%,68.9%
0.98,2.7%,1.8%,72.3%,61.7%,48.4%
1.17,5.3%,3.9%,65.8%,80.0%,50.0%
2.29,9.8%,2.4%,61.0%,92.0%,62.5%
1.87,4.4%,0.0%,62.2%,78.6%,52.9%
2.44,8.7%,4.3%,58.7%,92.6%,63.2%
1.43,12.3%,5.3%,50.9%,72.4%,60.7%
0.69,0.0%,5.1%,74.4%,72.4%,10.0%
0.51,2.3%,0.0%,75.0%,57.6%,45.5%
1.33,11.1%,3.2%,66.7%,83.3%,57.1%
1.02,5.5%,1.6%,71.1%,68.1%,56.8%
0.83,3.4%,1.1%,64.0%,70.2%,59.4%
1.06,18.8%,2.9%,68.1%,80.9%,50.0%
1.55,10.4%,0.0%,60.4%,89.7%,42.1%
1.55,14.8%,4.9%,63.9%,74.4%,59.1%
0.64,1.4%,1.4%,68.1%,55.1%,60.9%
1.18,10.1%,5.1%,61.6%,73.8%,63.2%
0.69,4.5%,13.6%,54.5%,62.5%,50.0%
1.63,10.2%,4.1%,67.3%,84.8%,56.3%
0.40,5.3%,1.8%,57.9%,48.5%,41.7%
0.96,7.9%,6.7%,61.8%,72.7%,41.2%
2.55,2.5%,5.0%,50.0%,90.0%,70.0%
2.16,7.7%,2.6%,64.1%,80.0%,64.3%
0.88,7.8%,5.8%,60.2%,69.4%,53.7%
1.75,5.1%,0.0%,66.1%,76.9%,70.0%
0.94,3.0%,6.1%,57.6%,64.9%,42.9%
0.71,5.7%,9.4%,64.2%,70.6%,36.8%
0.91,15.4%,4.4%,65.9%,68.3%,61.3%
2.86,15.0%,0.0%,70.0%,82.1%,83.3%
0.73,3.1%,3.9%,63.8%,75.3%,47.8%
0.80,5.9%,2.9%,66.7%,70.6%,50.0%
1.02,0.8%,2.3%,68.5%,66.3%,31.7%
0.66,0.0%,6.8%,65.8%,58.3%,28.0%
0.82,1.8%,1.8%,60.0%,60.6%,59.1%
1.04,2.0%,4.0%,63.6%,66.7%,52.8%
0.75,1.1%,7.5%,51.6%,64.6%,48.9%
1.09,2.9%,8.6%,55.7%,74.4%,45.2%
0.50,5.5%,7.3%,49.1%,70.4%,39.3%
0.49,3.2%,6.3%,57.1%,61.1%,48.1%
1.46,10.2%,0.0%,57.6%,85.3%,60.0%
1.14,4.3%,4.3%,62.3%,72.1%,53.8%
2.23,8.2%,10.2%,49.0%,95.8%,68.0%
0.99,12.2%,6.1%,63.4%,71.2%,53.3%
0.94,8.4%,5.3%,60.0%,80.7%,42.1%
0.84,13.6%,8.5%,55.9%,72.7%,34.6%
1.03,10.8%,6.0%,62.7%,76.9%,64.5%
1.23,10.2%,4.5%,58.0%,80.4%,40.5%
1.51,17.9%,9.5%,63.2%,83.3%,57.1%
0.61,1.9%,14.2%,51.9%,74.5%,43.1%
1.13,7.5%,10.4%,56.0%,78.7%,50.8%
1.41,10.0%,1.3%,48.8%,89.7%,46.3%
0.82,2.7%,13.7%,46.6%,64.7%,53.8%
0.83,4.1%,13.5%,55.4%,63.4%,33.3%
0.90,8.0%,5.7%,54.5%,77.1%,57.5%
2.09,13.0%,5.6%,59.3%,75.0%,81.8%
0.81,6.1%,3.8%,59.8%,67.1%,54.7%
1.19,8.1%,5.9%,54.8%,74.3%,55.7%
0.68,3.6%,7.2%,61.4%,72.5%,28.1%
0.65,9.5%,6.0%,69.0%,67.2%,34.6%
1.24,10.8%,8.6%,65.6%,80.3%,56.3%
1.04,16.4%,6.6%,57.4%,82.9%,57.7%
1.04,5.8%,9.4%,57.6%,73.8%,52.5%
0.75,10.9%,6.4%,62.7%,71.0%,43.9%
1.49,6.2%,3.5%,61.9%,78.6%,60.5%
1.26,3.0%,4.5%,67.2%,71.1%,36.4%
1.22,3.4%,3.4%,60.7%,74.1%,51.4%
1.01,3.4%,4.5%,58.0%,70.6%,59.5%
1.42,9.1%,3.0%,66.7%,81.8%,68.2%
1.38,3.1%,0.0%,67.2%,79.1%,66.7%
0.91,4.2%,0.0%,64.2%,73.8%,50.0%
1.50,5.4%,3.6%,64.3%,72.2%,65.0%
1.05,3.4%,2.3%,60.2%,71.7%,60.0%
1.85,5.9%,2.0%,66.7%,82.4%,64.7%
1.46,3.3%,1.7%,61.7%,70.3%,56.5%
0.58,4.8%,0.0%,61.9%,38.5%,50.0%
1.19,2.5%,4.2%,70.6%,76.2%,42.9%
2.61,4.9%,0.0%,78.0%,87.5%,55.6%
1.82,11.1%,1.6%,63.5%,87.5%,52.2%
0.82,3.7%,11.9%,58.7%,76.6%,26.7%
0.78,5.3%,14.9%,54.3%,60.8%,41.9%
0.64,8.9%,11.1%,66.7%,76.7%,33.3%
0.40,2.6%,5.3%,47.4%,61.1%,40.0%
1.25,12.7%,7.6%,68.4%,72.2%,56.0%
1.58,19.2%,3.8%,67.3%,80.0%,64.7%
0.83,9.0%,7.0%,55.0%,76.4%,51.1%
0.49,7.9%,9.6%,57.9%,75.8%,37.5%
0.39,5.1%,8.5%,52.5%,71.0%,50.0%
1.60,22.4%,5.2%,69.0%,82.5%,33.3%
1.08,10.2%,6.8%,64.8%,82.5%,51.6%
2.77,12.5%,2.5%,65.0%,88.5%,64.3%
0.96,18.2%,9.1%,58.2%,78.1%,43.5%
0.65,4.8%,4.8%,62.9%,64.1%,60.9%
0.80,5.7%,9.8%,52.8%,72.3%,41.4%
1.36,8.1%,1.6%,64.5%,80.0%,54.5%
0.82,5.9%,5.0%,58.8%,62.9%,44.9%
2.14,9.5%,2.4%,52.4%,86.4%,65.0%
0.72,7.0%,2.3%,66.3%,54.4%,41.4%
1.40,4.4%,6.7%,51.1%,91.3%,45.5%
0.78,6.4%,10.1%,55.0%,56.7%,46.9%
0.72,9.6%,4.8%,60.6%,65.1%,53.7%
0.80,1.6%,9.7%,62.9%,69.2%,26.1%
1.06,3.1%,3.1%,62.6%,64.6%,57.1%
0.90,6.2%,9.7%,51.3%,69.0%,40.0%
1.40,8.1%,6.5%,61.3%,86.8%,58.3%
0.79,5.1%,5.1%,61.0%,55.6%,52.2%
1.00,3.2%,6.5%,57.0%,69.8%,45.0%
0.76,3.2%,6.3%,57.1%,72.2%,55.6%
1.02,5.5%,4.4%,68.1%,64.5%,44.8%
1.21,8.5%,8.5%,52.1%,89.2%,50.0%
2.43,10.5%,2.6%,55.3%,85.7%,64.7%
0.81,1.8%,3.6%,65.5%,52.8%,36.8%
1.39,6.5%,9.7%,54.8%,73.5%,57.1%
1.09,0.0%,5.1%,60.3%,55.3%,64.5%
0.88,1.1%,5.7%,48.3%,69.0%,51.1%
1.27,2.7%,10.7%,58.7%,79.5%,54.8%
0.49,4.4%,8.8%,60.4%,74.5%,41.7%
0.83,10.2%,6.8%,55.9%,69.7%,38.5%
0.98,2.1%,5.5%,67.1%,59.2%,50.0%
0.97,4.5%,12.4%,58.4%,71.2%,35.1%
0.60,6.3%,6.3%,52.4%,69.7%,30.0%
1.00,2.9%,3.9%,61.2%,74.6%,50.0%
0.63,3.7%,8.5%,53.7%,65.9%,39.5%
0.78,4.6%,6.4%,56.9%,64.5%,48.9%
0.80,0.9%,4.7%,56.1%,60.0%,53.2%
0.78,6.4%,3.2%,56.4%,69.8%,63.4%
1.35,8.6%,8.6%,57.1%,70.0%,60.0%
0.54,9.4%,8.2%,58.8%,72.0%,48.6%
0.86,7.8%,3.1%,70.3%,66.7%,42.1%
0.33,4.8%,4.8%,61.3%,60.5%,29.2%
1.21,2.0%,3.0%,66.7%,74.2%,45.5%
1.11,4.0%,6.1%,64.6%,70.3%,45.7%
0.55,6.9%,8.3%,54.2%,69.2%,48.5%
0.88,8.6%,3.2%,62.0%,74.1%,43.7%
