DR,A%,DF%,1stIn,1st%,2nd%
0.48,1.8%,5.5%,60.0%,78.8%,36.4%
1.34,11.3%,2.8%,59.2%,76.2%,51.7%
0.64,5.2%,3.4%,50.0%,65.5%,44.8%
0.41,3.9%,5.9%,35.3%,72.2%,39.4%
0.78,3.4%,3.4%,67.8%,75.0%,36.8%
0.81,1.0%,2.9%,54.9%,67.9%,45.7%
0.88,2.2%,2.2%,66.3%,72.1%,54.8%
1.11,10.3%,0.0%,57.7%,77.8%,54.5%
0.89,8.0%,2.0%,58.0%,72.4%,54.8%
0.79,1.8%,4.5%,60.0%,66.7%,36.4%
0.84,10.1%,4.0%,66.7%,75.8%,30.3%
1.58,7.0%,3.5%,63.2%,77.8%,57.1%
1.05,4.8%,1.6%,60.0%,62.7%,56.0%
0.86,6.3%,3.1%,61.5%,72.9%,51.4%
0.64,0.0%,0.0%,75.7%,49.1%,35.3%
0.72,13.2%,5.9%,58.8%,70.0%,42.9%
1.01,12.8%,5.1%,62.8%,77.6%,34.5%
1.94,12.8%,2.1%,61.7%,86.2%,66.7%
2.25,16.7%,8.3%,54.2%,84.6%,54.5%
0.80,8.8%,7.4%,38.2%,76.9%,66.7%
2.12,22.7%,11.4%,54.5%,95.8%,50.0%
0.83,10.1%,3.4%,62.9%,62.5%,45.5%
1.37,21.2%,0.0%,69.7%,76.1%,55.0%
1.16,12.2%,1.4%,71.6%,64.2%,52.4%
0.75,6.7%,1.7%,56.7%,58.8%,38.5%
1.39,4.4%,5.5%,67.0%,77.0%,60.0%
1.26,4.7%,9.3%,55.8%,81.3%,44.7%
1.28,7.4%,2.9%,54.4%,70.3%,64.5%
1.62,0.0%,0.0%,72.9%,80.0%,61.5%
1.13,5.3%,4.0%,61.3%,84.8%,51.7%
1.12,2.4%,2.4%,62.2%,66.7%,45.2%
1.34,14.8%,1.9%,63.0%,85.3%,40.0%
1.19,3.1%,3.1%,54.7%,65.7%,44.8%
0.71,6.5%,3.9%,59.7%,67.4%,32.3%
2.53,18.6%,2.3%,60.5%,88.5%,64.7%
0.91,6.1%,2.0%,66.7%,75.8%,60.6%
0.61,8.9%,2.5%,68.4%,77.8%,48.0%
0.47,5.4%,1.8%,64.3%,47.2%,45.0%
0.86,10.0%,4.4%,55.6%,74.0%,45.0%
0.81,7.1%,2.0%,62.6%,69.4%,54.1%
0.87,8.6%,1.7%,70.7%,65.9%,41.2%
0.66,2.0%,0.0%,72.5%,59.5%,64.3%
1.39,5.8%,5.8%,75.0%,74.4%,61.5%
0.81,17.2%,4.7%,53.1%,85.3%,66.7%
0.92,6.1%,7.8%,47.8%,70.9%,53.3%
0.44,0.0%,21.6%,43.2%,50.0%,19.0%
0.80,14.1%,7.1%,55.3%,78.7%,47.4%
0.77,7.8%,0.0%,64.7%,60.6%,55.6%
0.92,9.4%,2.4%,64.7%,76.4%,53.3%
1.78,18.4%,2.0%,61.2%,80.0%,68.4%
0.98,8.4%,5.6%,54.2%,74.1%,32.7%
1.44,4.7%,1.6%,76.6%,81.6%,46.7%
0.73,16.2%,6.8%,50.0%,70.3%,37.8%
1.62,9.1%,7.3%,54.5%,80.0%,48.0%
1.18,6.9%,8.0%,51.7%,75.6%,52.4%
0.75,13.7%,5.9%,52.0%,81.1%,44.9%
1.08,7.5%,7.5%,50.0%,77.5%,50.0%
0.75,2.6%,5.3%,56.6%,60.5%,54.5%
1.84,16.0%,4.0%,68.0%,91.2%,43.8%
0.98,5.9%,3.9%,58.8%,83.3%,33.3%
0.35,6.0%,8.0%,64.0%,62.5%,27.8%
1.25,12.2%,4.1%,59.2%,77.6%,52.5%
1.30,10.0%,2.9%,72.9%,60.8%,63.2%
0.23,7.6%,10.1%,55.7%,63.6%,45.7%
1.18,4.5%,2.2%,62.9%,69.6%,60.6%
1.38,2.4%,3.7%,56.1%,78.3%,50.0%
1.49,19.4%,8.1%,48.4%,90.0%,53.1%
0.61,6.1%,2.0%,66.7%,69.4%,44.9%
0.72,7.9%,5.0%,69.3%,74.3%,41.9%
1.31,8.1%,1.0%,70.7%,77.1%,72.4%
1.18,6.0%,2.4%,59.0%,69.4%,50.0%
1.34,14.7%,2.9%,69.1%,85.1%,57.1%
0.54,2.9%,1.5%,67.6%,63.0%,59.1%
2.39,17.6%,0.0%,60.8%,87.1%,85.0%
1.37,11.6%,1.4%,58.0%,87.5%,65.5%
0.76,13.6%,3.0%,54.5%,75.0%,36.7%
2.58,13.3%,0.0%,63.3%,94.7%,54.5%
1.12,10.6%,4.3%,61.7%,81.0%,55.6%
1.57,7.5%,0.0%,79.2%,83.3%,63.6%
0.82,6.3%,3.1%,65.6%,73.8%,45.5%
0.97,9.3%,1.6%,58.9%,75.0%,49.1%
1.53,5.7%,2.9%,71.4%,82.0%,65.0%
1.64,13.6%,1.5%,80.3%,81.1%,61.5%
0.85,4.0%,0.0%,58.7%,59.1%,64.5%
1.16,7.4%,0.0%,71.3%,65.7%,51.9%
1.20,6.6%,2.6%,86.8%,71.2%,20.0%
0.69,4.0%,9.3%,50.7%,65.8%,45.9%
0.86,3.0%,4.0%,70.0%,54.3%,36.7%
0.84,3.1%,3.1%,62.5%,70.0%,47.2%
1.75,15.1%,0.0%,67.9%,86.1%,58.8%
1.01,2.0%,2.9%,66.7%,60.3%,55.9%
0.96,3.5%,4.7%,52.9%,53.3%,60.0%
0.77,1.5%,1.5%,63.1%,56.1%,45.8%
0.89,0.0%,5.8%,52.2%,63.9%,51.5%
2.67,0.0%,0.0%,75.0%,75.0%,75.0%
2.14,12.2%,4.9%,41.5%,88.2%,66.7%
0.62,4.1%,4.1%,71.6%,67.9%,28.6%
0.65,8.1%,0.0%,68.9%,76.5%,43.5%
0.84,14.3%,1.3%,55.8%,72.1%,32.4%
1.04,4.7%,0.9%,65.1%,76.8%,54.1%
0.81,2.8%,3.8%,60.4%,68.8%,45.2%
0.88,8.6%,3.8%,68.6%,70.8%,33.3%
1.27,3.7%,3.7%,65.4%,75.5%,50.0%
0.64,9.4%,2.4%,63.5%,70.4%,29.0%
1.76,8.0%,2.0%,70.0%,82.9%,46.7%
1.09,6.0%,6.0%,58.0%,79.3%,57.1%
0.80,2.9%,0.0%,75.0%,68.6%,58.8%
1.76,2.0%,0.0%,79.6%,79.5%,80.0%
0.84,3.4%,4.5%,70.8%,65.1%,30.8%
0.89,5.6%,3.4%,55.1%,79.6%,57.5%
1.14,16.0%,1.2%,54.3%,79.5%,59.5%
0.71,2.5%,5.1%,67.1%,60.4%,42.3%
0.73,5.6%,7.9%,65.2%,69.0%,38.7%
1.20,8.6%,3.4%,63.8%,73.0%,52.4%
0.97,3.8%,5.7%,62.9%,68.2%,38.5%
1.27,2.9%,5.7%,62.9%,68.2%,53.8%
0.76,8.4%,4.8%,63.9%,71.7%,43.3%
1.10,9.6%,1.1%,64.9%,83.6%,42.4%
4.35,6.3%,0.0%,65.6%,90.5%,81.8%
1.08,7.6%,3.4%,62.2%,77.0%,48.9%
0.58,9.7%,3.2%,59.7%,54.1%,36.0%
0.94,19.3%,7.2%,62.7%,82.7%,29.0%
1.18,5.0%,1.3%,57.5%,80.4%,70.6%
1.40,14.5%,3.2%,62.9%,71.8%,56.5%
2.42,15.4%,5.1%,51.3%,95.0%,57.9%
0.67,7.9%,4.8%,63.5%,72.5%,60.9%
1.29,13.2%,1.1%,72.5%,80.3%,68.0%
1.42,6.7%,1.7%,55.0%,78.8%,70.4%
1.27,21.1%,1.8%,56.1%,78.1%,56.0%
0.99,14.3%,3.3%,64.8%,74.6%,37.5%
1.45,12.3%,4.1%,65.8%,77.1%,56.0%
1.63,11.3%,1.6%,66.1%,82.9%,57.1%
1.53,6.7%,1.7%,66.7%,82.5%,35.0%
0.91,3.3%,6.7%,70.0%,69.0%,44.4%
1.09,8.5%,1.4%,63.4%,84.4%,46.2%
1.83,9.3%,0.0%,55.6%,80.0%,75.0%
2.29,5.3%,2.6%,63.2%,83.3%,64.3%
1.39,4.8%,0.0%,66.7%,69.0%,71.4%
0.80,3.1%,4.6%,58.5%,55.3%,44.4%
2.63,27.0%,2.7%,64.9%,87.5%,61.5%
1.55,9.6%,4.8%,56.6%,80.9%,61.1%
1.45,2.7%,4.1%,64.4%,76.6%,53.8%
0.76,14.1%,5.6%,57.7%,75.6%,43.3%
1.03,12.5%,3.6%,62.5%,78.6%,54.8%
1.38,3.7%,9.3%,48.1%,80.8%,71.4%
0.66,4.5%,4.5%,56.7%,68.4%,34.5%
1.31,12.3%,9.9%,55.6%,80.0%,38.9%
0.93,11.0%,2.4%,59.8%,73.5%,54.5%
0.87,5.3%,5.3%,56.0%,71.4%,63.6%
0.95,4.9%,6.2%,63.0%,68.6%,40.0%
1.14,0.9%,1.9%,72.6%,62.3%,62.1%
1.78,15.1%,3.8%,62.3%,90.9%,60.0%
1.06,17.4%,4.1%,60.3%,82.2%,43.8%
1.25,16.7%,2.4%,64.3%,77.8%,53.3%
1.06,7.2%,2.4%,59.0%,77.6%,61.8%
1.21,6.3%,0.0%,57.8%,86.5%,51.9%
0.89,10.3%,4.4%,58.8%,65.0%,50.0%
0.59,13.0%,4.6%,62.0%,77.6%,48.8%
0.89,9.4%,5.2%,66.7%,73.4%,46.9%
1.19,13.8%,4.3%,58.5%,81.8%,43.6%
0.77,6.0%,6.0%,48.0%,58.3%,53.8%
