DR,A%,DF%,1stIn,1st%,2nd%
0.67,5.1%,0.0%,64.4%,60.5%,52.4%
1.45,10.9%,1.8%,58.2%,71.9%,65.2%
1.56,28.4%,1.4%,66.2%,85.7%,68.0%
1.10,10.3%,1.1%,64.4%,75.0%,38.7%
0.78,6.1%,1.2%,62.2%,64.7%,41.9%
1.04,5.0%,2.0%,61.0%,60.7%,59.0%
1.69,8.7%,0.0%,60.9%,78.6%,44.4%
0.84,1.7%,0.0%,70.9%,63.9%,52.9%
1.84,14.9%,0.0%,70.2%,72.7%,71.4%
1.21,5.2%,0.0%,74.1%,62.8%,40.0%
1.03,10.1%,4.5%,57.3%,74.5%,47.4%
1.13,5.6%,0.0%,68.5%,70.5%,60.7%
0.52,1.9%,7.5%,52.8%,64.3%,40.0%
1.05,8.2%,2.0%,73.5%,56.9%,65.4%
1.01,5.3%,0.0%,63.2%,71.7%,57.1%
1.44,5.4%,2.7%,73.0%,74.1%,60.0%
0.95,8.0%,0.0%,64.0%,66.7%,63.0%
0.67,1.6%,1.6%,68.9%,52.4%,47.4%
1.27,7.3%,1.8%,74.5%,58.5%,64.3%
1.39,4.7%,1.6%,64.1%,70.7%,69.6%
1.20,4.8%,3.2%,66.7%,76.2%,52.4%
1.09,9.4%,2.1%,64.6%,67.7%,61.8%
1.22,11.3%,1.6%,56.5%,82.9%,59.3%
0.74,3.5%,0.0%,77.2%,50.0%,53.8%
1.26,10.0%,0.0%,81.7%,63.3%,63.6%
1.20,6.1%,0.0%,76.8%,71.4%,36.8%
1.21,5.7%,0.0%,68.6%,70.8%,54.5%
2.93,7.7%,0.0%,64.1%,80.0%,85.7%
0.96,2.2%,1.1%,73.1%,64.7%,44.0%
1.10,2.5%,0.0%,82.5%,66.7%,57.1%
1.05,7.5%,0.0%,69.2%,65.1%,48.6%
1.19,5.7%,1.1%,78.2%,64.7%,63.2%
0.62,6.9%,1.7%,69.0%,62.5%,38.9%
1.50,0.0%,1.8%,84.2%,72.9%,33.3%
0.88,8.2%,2.0%,76.5%,69.3%,39.1%
1.78,7.4%,0.0%,72.2%,66.7%,60.0%
1.59,7.8%,0.0%,80.4%,68.3%,80.0%
1.44,11.5%,0.0%,69.2%,72.2%,56.3%
1.40,9.0%,0.0%,74.2%,78.8%,69.6%
1.69,10.9%,0.0%,61.8%,73.5%,61.9%
1.41,5.9%,0.0%,66.7%,79.4%,41.2%
0.93,11.9%,0.0%,74.6%,58.0%,70.6%
1.52,14.5%,0.0%,85.5%,78.0%,70.0%
0.83,8.0%,1.0%,67.0%,70.1%,45.5%
1.33,8.5%,0.0%,74.6%,66.0%,61.1%
0.79,1.2%,3.5%,65.9%,64.3%,41.4%
2.06,2.5%,2.5%,70.0%,85.7%,50.0%
0.85,1.4%,1.4%,73.6%,64.2%,68.4%
