DR,A%,DF%,1stIn,1st%,2nd%
0.63,2.6%,1.3%,59.7%,56.5%,41.9%
1.16,0.0%,4.8%,58.3%,65.3%,54.3%
0.79,0.0%,5.1%,69.5%,65.9%,50.0%
1.00,6.3%,5.0%,77.5%,66.1%,44.4%
8.86,0.0%,0.0%,53.8%,100.0%,83.3%
1.20,3.9%,5.2%,63.6%,59.2%,50.0%
0.59,0.0%,7.8%,52.9%,59.3%,41.7%
1.09,0.0%,2.5%,82.7%,58.2%,42.9%
1.28,0.0%,0.0%,74.6%,55.3%,68.8%
1.16,1.4%,9.6%,50.7%,40.5%,58.3%
0.83,4.9%,4.9%,60.7%,62.2%,41.7%
1.25,0.0%,0.0%,71.9%,71.7%,50.0%
0.88,0.0%,1.0%,57.1%,53.6%,50.0%
1.17,1.0%,5.1%,71.4%,58.6%,42.9%
1.22,0.0%,4.7%,51.8%,81.8%,43.9%
0.69,0.0%,3.7%,70.4%,47.4%,56.3%
0.93,3.1%,1.0%,75.3%,76.7%,29.2%
1.00,1.0%,1.0%,69.7%,60.9%,56.7%
0.93,0.7%,1.4%,69.7%,60.4%,59.1%
1.17,1.0%,2.9%,69.2%,63.9%,46.9%
1.60,1.4%,2.7%,67.1%,87.8%,45.8%
0.73,3.6%,7.2%,51.8%,62.8%,60.0%
0.91,3.6%,4.8%,58.3%,57.1%,42.9%
2.23,4.3%,2.2%,47.8%,86.4%,70.8%
0.84,4.3%,1.4%,67.1%,61.7%,52.2%
0.51,5.3%,2.7%,60.0%,71.1%,56.7%
1.21,3.8%,6.4%,51.3%,85.0%,52.6%
1.39,3.1%,2.0%,60.2%,74.6%,59.0%
0.63,5.9%,2.0%,60.8%,45.2%,50.0%
1.27,4.0%,0.0%,64.4%,61.5%,69.4%
0.98,1.1%,4.5%,64.8%,61.4%,51.6%
1.82,4.0%,4.0%,62.0%,77.4%,73.7%
0.40,2.0%,9.8%,52.9%,63.0%,29.2%
1.02,2.4%,7.2%,60.2%,72.0%,51.5%
0.62,4.0%,8.0%,72.0%,58.3%,28.6%
0.75,6.6%,7.9%,65.8%,58.0%,42.3%
1.03,5.2%,6.2%,60.8%,62.7%,50.0%
0.96,1.0%,3.9%,72.8%,65.3%,42.9%
1.28,3.2%,0.0%,58.1%,58.3%,61.5%
0.50,0.0%,6.9%,69.0%,50.0%,50.0%
0.93,0.8%,6.5%,66.7%,58.5%,56.1%
1.78,2.0%,3.9%,68.6%,74.3%,62.5%
0.84,0.0%,3.0%,69.7%,43.5%,55.0%
1.03,2.5%,6.3%,78.8%,61.9%,23.5%
0.35,2.3%,2.3%,60.5%,61.5%,29.4%
1.25,0.9%,6.4%,58.7%,76.6%,35.6%
1.48,6.0%,4.0%,68.0%,73.5%,68.8%
0.94,1.1%,1.1%,67.4%,65.0%,51.7%
0.73,0.0%,2.0%,68.0%,52.9%,25.0%
1.36,2.8%,8.5%,60.6%,58.1%,57.1%
1.04,1.1%,4.6%,69.0%,63.3%,37.0%
1.43,0.0%,1.6%,64.5%,65.0%,68.2%
1.59,0.0%,3.6%,58.2%,90.6%,52.2%
1.41,0.0%,1.7%,69.5%,75.6%,50.0%
1.34,2.7%,1.3%,78.7%,69.5%,68.8%
1.12,0.8%,4.7%,80.5%,63.1%,32.0%
1.51,0.0%,0.0%,78.0%,76.1%,38.5%
1.59,0.0%,0.0%,72.2%,69.2%,66.7%
1.07,4.8%,1.2%,55.4%,63.0%,51.4%
1.27,0.0%,2.9%,72.5%,64.0%,42.1%
1.34,1.6%,1.6%,60.3%,65.8%,56.0%
1.45,2.0%,3.9%,72.5%,73.0%,57.1%
1.16,3.3%,6.6%,59.0%,61.1%,48.0%
0.93,4.5%,1.5%,62.7%,71.4%,56.0%
0.79,0.0%,1.5%,71.2%,53.2%,31.6%
1.37,0.0%,0.0%,64.5%,62.5%,54.5%
1.12,0.0%,3.4%,75.0%,63.6%,45.5%
1.01,3.2%,3.2%,60.6%,68.4%,48.6%
0.89,5.6%,3.4%,68.5%,55.7%,46.4%
1.04,0.0%,0.0%,73.8%,53.9%,55.6%
1.45,1.2%,0.0%,76.5%,75.4%,50.0%
1.58,1.9%,1.9%,77.8%,61.9%,66.7%
0.56,4.0%,2.0%,60.6%,70.0%,51.3%
