DR,A%,DF%,1stIn,1st%,2nd%
0.77,6.3%,7.9%,69.8%,65.9%,57.9%
1.18,9.2%,2.0%,65.3%,64.1%,44.1%
0.62,7.4%,2.9%,66.2%,64.4%,47.8%
0.75,2.9%,4.9%,59.2%,62.3%,38.1%
0.72,4.6%,4.6%,75.4%,71.4%,50.0%
2.02,9.1%,4.5%,68.2%,73.3%,71.4%
1.43,10.0%,0.0%,66.3%,73.6%,59.3%
0.76,18.0%,8.2%,65.6%,82.5%,33.3%
1.82,9.4%,3.1%,62.5%,60.0%,91.7%
0.73,9.2%,0.0%,69.2%,82.2%,45.0%
0.55,8.9%,7.1%,73.2%,63.4%,40.0%
0.60,9.3%,1.9%,59.3%,62.5%,45.5%
0.31,7.4%,5.6%,74.1%,57.5%,42.9%
0.83,5.1%,0.0%,67.8%,72.5%,68.4%
0.84,12.7%,1.8%,76.4%,76.2%,30.8%
1.78,11.1%,0.0%,82.2%,73.0%,75.0%
1.23,7.7%,1.5%,78.5%,70.6%,64.3%
0.60,15.4%,1.9%,80.8%,64.3%,50.0%
1.36,12.9%,1.6%,75.8%,80.9%,40.0%
0.85,5.6%,1.4%,65.3%,76.6%,52.0%
0.63,10.1%,0.0%,63.8%,65.9%,52.0%
1.62,26.5%,4.1%,77.6%,84.2%,54.5%
1.77,7.1%,2.9%,71.4%,78.0%,75.0%
0.92,10.6%,2.9%,59.6%,72.6%,54.8%
0.99,11.3%,4.8%,62.9%,76.9%,60.9%
0.99,24.2%,4.5%,63.6%,81.0%,62.5%
0.72,12.6%,8.4%,62.1%,72.9%,27.8%
1.06,12.8%,3.8%,66.7%,75.0%,61.5%
1.27,16.5%,2.5%,70.9%,87.5%,43.5%
0.95,19.6%,2.0%,68.6%,82.9%,53.1%
0.99,17.4%,3.7%,70.6%,70.1%,40.6%
1.21,17.5%,1.3%,62.5%,74.0%,60.0%
2.03,14.9%,6.4%,74.5%,85.7%,50.0%
0.76,13.6%,4.5%,66.7%,68.2%,22.7%
1.20,14.6%,5.2%,62.5%,75.0%,55.6%
1.32,22.2%,4.9%,67.9%,80.0%,50.0%
1.18,23.9%,2.8%,74.6%,79.2%,50.0%
0.79,16.2%,9.5%,66.2%,77.6%,36.0%
1.02,12.9%,2.4%,69.4%,64.4%,53.8%
1.96,10.2%,6.1%,51.0%,76.0%,75.0%
1.40,17.5%,3.1%,64.9%,82.5%,52.9%
1.00,18.0%,9.0%,60.4%,77.6%,56.8%
1.38,9.7%,16.1%,56.5%,82.9%,44.4%
1.74,29.8%,3.5%,61.4%,80.0%,63.6%
0.84,9.8%,4.0%,64.2%,76.6%,53.2%
0.88,6.4%,4.6%,63.3%,72.5%,52.5%
0.88,15.5%,4.9%,71.8%,71.6%,51.7%
2.20,12.2%,4.1%,67.3%,87.9%,62.5%
1.12,15.7%,6.7%,52.8%,80.9%,54.8%
0.51,23.4%,4.3%,63.8%,76.7%,47.1%
1.33,17.9%,6.3%,62.1%,84.7%,52.8%
2.20,20.0%,2.0%,70.0%,80.0%,86.7%
0.91,11.8%,8.6%,67.7%,65.1%,36.7%
1.32,22.7%,5.3%,62.7%,87.2%,50.0%
0.60,7.7%,1.9%,88.5%,58.7%,33.3%
0.94,6.6%,5.3%,53.9%,73.2%,51.4%
1.17,13.7%,7.4%,69.5%,80.3%,41.4%
1.03,14.2%,7.1%,67.3%,69.7%,54.1%
0.30,11.3%,5.0%,62.5%,64.0%,50.0%
0.66,13.4%,1.5%,79.1%,67.9%,50.0%
0.85,20.7%,0.0%,78.2%,76.5%,36.8%
0.88,8.1%,3.3%,70.7%,67.8%,55.6%
1.64,22.2%,3.7%,74.1%,77.5%,57.1%
0.66,17.2%,3.1%,68.8%,75.0%,65.0%
0.69,4.3%,9.7%,60.2%,62.5%,37.8%
0.97,12.0%,4.8%,68.7%,77.2%,42.3%
0.79,6.2%,1.5%,72.3%,70.2%,50.0%
0.90,3.6%,2.4%,59.5%,60.0%,32.4%
0.58,0.0%,8.3%,66.7%,53.1%,43.8%
0.86,10.5%,2.6%,68.4%,75.0%,54.2%
0.80,11.3%,3.2%,74.2%,69.6%,50.0%
0.66,19.1%,2.7%,70.9%,74.4%,53.1%
0.75,9.2%,2.3%,65.5%,63.2%,50.0%
0.68,8.3%,6.7%,66.7%,72.5%,65.0%
0.76,10.5%,3.2%,65.3%,80.6%,48.5%
0.40,17.1%,1.4%,75.7%,71.7%,58.8%
1.78,18.5%,0.0%,75.9%,70.7%,84.6%
1.38,11.5%,3.3%,75.4%,67.4%,60.0%
0.48,10.5%,2.1%,77.9%,66.2%,52.4%
1.92,12.3%,2.7%,78.1%,87.7%,56.3%
0.44,6.5%,1.3%,72.7%,62.5%,47.6%
0.79,13.0%,3.7%,67.6%,69.9%,42.9%
0.79,14.6%,3.7%,69.5%,73.7%,52.0%
1.01,12.1%,3.0%,66.7%,83.3%,45.5%
0.47,14.5%,1.8%,63.6%,60.0%,55.0%
1.12,16.5%,1.2%,77.6%,65.2%,63.2%
0.85,11.3%,5.3%,60.2%,73.8%,56.6%
1.05,12.5%,3.6%,60.7%,75.0%,45.5%
0.78,9.1%,3.4%,68.2%,65.0%,75.0%
0.79,4.8%,3.2%,61.9%,65.4%,54.2%
0.31,3.6%,3.6%,60.0%,63.6%,31.8%
1.28,18.3%,1.7%,66.7%,77.5%,55.0%
0.84,16.1%,3.2%,64.5%,62.5%,63.6%
0.93,18.8%,3.6%,72.3%,77.8%,51.6%
3.02,11.6%,2.3%,67.4%,89.7%,78.6%
0.71,10.7%,6.3%,70.4%,73.2%,40.4%
0.80,8.6%,3.3%,67.1%,73.5%,52.0%
1.38,20.7%,3.6%,68.5%,86.8%,60.0%
1.49,20.0%,2.9%,70.5%,75.7%,67.7%
1.08,23.9%,3.4%,76.1%,85.4%,42.9%
1.70,22.9%,0.0%,72.9%,88.6%,46.2%
0.88,13.2%,4.7%,76.4%,76.5%,44.0%
1.37,13.0%,3.9%,74.0%,82.5%,50.0%
1.23,9.3%,2.8%,72.2%,79.5%,56.7%
1.08,15.5%,1.9%,78.6%,80.2%,45.5%
0.83,9.5%,2.1%,73.7%,72.9%,68.0%
1.08,7.5%,3.8%,69.8%,73.0%,62.5%
1.14,11.2%,3.7%,71.0%,72.4%,64.5%
