DR,A%,DF%,1stIn,1st%,2nd%
0.87,3.2%,3.2%,56.0%,61.4%,49.1%
1.41,3.1%,0.0%,54.7%,71.4%,65.5%
2.12,8.5%,0.0%,66.0%,74.2%,87.5%
0.79,1.3%,5.2%,57.1%,59.1%,45.5%
1.56,2.0%,0.0%,58.0%,75.9%,57.1%
1.38,5.4%,0.0%,46.4%,69.2%,60.0%
1.05,5.6%,0.0%,51.7%,73.9%,46.5%
0.96,1.3%,1.3%,62.8%,67.3%,51.7%
1.14,1.1%,2.2%,51.6%,68.1%,72.7%
1.40,1.4%,0.0%,70.0%,71.4%,57.1%
0.61,0.0%,3.7%,57.4%,48.4%,43.5%
0.77,0.0%,1.2%,67.9%,65.5%,50.0%
0.82,0.0%,0.0%,50.9%,57.1%,40.7%
1.09,0.0%,5.3%,53.9%,73.2%,48.6%
0.85,8.5%,0.0%,61.0%,70.0%,59.4%
1.98,3.6%,0.0%,50.0%,82.1%,78.6%
1.24,10.5%,2.6%,67.1%,82.4%,56.0%
1.55,7.9%,6.3%,58.7%,89.2%,50.0%
0.96,2.4%,1.2%,59.8%,65.3%,51.5%
1.40,10.3%,2.6%,42.3%,75.8%,66.7%
0.63,2.5%,5.0%,52.5%,52.4%,42.1%
0.69,0.0%,1.7%,53.3%,50.0%,42.9%
1.01,9.2%,3.1%,55.0%,72.2%,50.8%
1.49,9.4%,3.1%,60.9%,74.4%,52.0%
1.26,4.5%,4.5%,61.6%,63.8%,48.8%
1.05,2.8%,7.5%,64.2%,79.4%,31.6%
0.77,2.9%,2.9%,55.8%,55.2%,54.3%
1.04,10.2%,0.0%,59.3%,74.3%,50.0%
0.79,11.7%,3.9%,58.4%,82.2%,40.6%
1.94,2.3%,6.8%,50.0%,77.3%,72.7%
1.08,4.6%,4.6%,50.9%,76.4%,60.4%
0.70,5.9%,2.0%,51.0%,46.2%,56.0%
0.46,0.0%,5.6%,70.4%,55.3%,31.3%
0.76,9.0%,0.0%,56.7%,76.3%,34.5%
1.54,17.2%,0.0%,58.6%,70.6%,70.8%
1.00,14.1%,1.6%,53.9%,78.3%,45.8%
1.85,22.7%,0.0%,65.9%,86.2%,40.0%
0.54,1.6%,1.6%,65.6%,50.0%,61.9%
1.25,1.3%,2.5%,67.5%,72.2%,53.8%
1.73,0.0%,1.9%,67.3%,77.1%,58.8%
1.23,2.0%,1.0%,48.5%,83.3%,54.9%
0.87,4.4%,3.3%,62.6%,78.9%,47.1%
