DR,A%,DF%,1stIn,1st%,2nd%
0.99,7.7%,11.5%,51.3%,72.5%,42.1%
2.01,14.0%,9.3%,72.1%,80.6%,50.0%
0.80,4.5%,6.0%,43.3%,65.5%,47.4%
0.71,3.3%,11.7%,55.0%,39.4%,25.9%
0.97,3.1%,4.1%,45.4%,79.5%,47.2%
0.55,9.3%,18.6%,34.9%,60.0%,42.9%
0.94,7.0%,1.4%,59.2%,66.7%,34.5%
1.17,5.6%,7.0%,57.7%,63.4%,63.3%
1.22,6.8%,2.7%,56.8%,64.3%,40.6%
0.86,2.9%,2.9%,52.9%,64.9%,42.4%
0.76,4.8%,4.8%,54.2%,62.2%,44.7%
1.30,3.3%,5.0%,48.3%,65.5%,58.1%
0.80,6.0%,1.5%,55.2%,64.9%,46.7%
1.50,5.8%,0.0%,65.2%,80.0%,45.8%
1.03,4.7%,1.9%,66.4%,70.4%,47.2%
0.76,1.1%,3.4%,54.0%,59.6%,52.5%
1.28,1.3%,0.0%,63.2%,77.1%,50.0%
1.06,0.0%,4.4%,57.8%,65.4%,50.0%
0.44,6.6%,6.6%,52.5%,68.8%,24.1%
1.28,3.2%,3.2%,67.7%,78.6%,50.0%
1.67,8.3%,2.1%,72.9%,74.3%,46.2%
1.53,4.1%,6.1%,51.0%,72.0%,58.3%
0.92,10.4%,0.0%,72.9%,74.3%,76.9%
1.12,4.4%,2.9%,60.3%,85.4%,51.9%
0.60,0.0%,0.0%,64.4%,44.8%,25.0%
1.00,2.0%,5.1%,53.5%,67.9%,39.1%
1.12,2.9%,2.9%,65.4%,58.8%,44.4%
1.44,3.3%,1.1%,65.2%,75.0%,71.9%
1.23,4.6%,1.5%,63.1%,68.3%,45.8%
0.91,3.4%,2.3%,62.1%,64.8%,57.6%
1.38,3.4%,0.0%,62.7%,73.0%,50.0%
1.10,11.6%,0.0%,56.5%,74.4%,46.7%
1.09,1.8%,1.8%,66.1%,63.9%,54.1%
0.71,5.0%,15.0%,63.3%,76.3%,22.7%
1.36,5.8%,9.6%,42.3%,72.7%,53.3%
0.68,4.9%,1.2%,59.8%,69.4%,42.4%
0.88,5.5%,4.4%,59.3%,66.7%,29.7%
1.90,20.7%,1.7%,56.9%,90.9%,60.0%
0.99,4.5%,3.6%,64.5%,67.6%,56.4%
0.93,4.9%,4.9%,62.0%,63.6%,53.7%
1.72,2.2%,2.2%,56.5%,76.9%,55.0%
1.85,1.8%,1.8%,58.2%,71.9%,56.5%
0.99,10.9%,2.2%,62.0%,78.9%,51.4%
3.22,7.9%,0.0%,65.8%,84.0%,84.6%
0.79,1.4%,7.0%,50.7%,75.0%,48.6%
0.99,6.1%,6.1%,47.8%,69.1%,55.0%
1.34,4.7%,4.7%,48.4%,64.5%,63.6%
0.95,1.7%,1.7%,54.8%,60.3%,46.2%
0.87,1.5%,2.9%,52.9%,75.0%,53.1%
2.38,2.6%,2.6%,66.7%,73.1%,76.9%
0.73,2.3%,2.3%,69.8%,71.7%,46.2%
1.11,7.0%,1.2%,66.3%,71.9%,41.4%
1.43,6.8%,0.0%,61.0%,75.0%,47.8%
1.03,1.0%,2.1%,63.5%,57.4%,51.4%
0.73,7.6%,6.1%,53.0%,65.7%,41.9%
1.23,4.1%,1.4%,58.9%,76.7%,46.7%
0.58,1.3%,7.7%,56.4%,61.4%,32.4%
0.59,9.3%,3.7%,46.3%,68.0%,37.9%
0.77,3.4%,3.4%,56.2%,76.0%,46.2%
0.89,2.3%,3.8%,57.9%,70.1%,32.1%
0.98,0.0%,1.2%,63.0%,70.6%,46.7%
2.32,9.1%,0.0%,70.5%,87.1%,69.2%
1.41,8.3%,1.7%,63.3%,68.4%,59.1%
0.68,2.6%,5.3%,65.8%,76.0%,26.9%
1.07,4.5%,1.8%,62.5%,72.9%,42.9%
0.82,1.6%,1.6%,68.0%,57.5%,43.9%
0.93,3.0%,4.0%,51.5%,63.5%,49.0%
0.69,3.5%,3.5%,61.2%,63.5%,57.6%
0.16,0.0%,10.5%,47.4%,55.6%,30.0%
1.81,4.9%,0.0%,53.7%,77.3%,57.9%
0.58,1.4%,5.8%,50.7%,60.0%,44.1%
1.04,4.2%,1.7%,58.0%,60.9%,46.0%
1.45,4.4%,2.2%,48.9%,63.6%,52.2%
1.21,5.1%,1.3%,57.0%,80.0%,44.1%
0.62,2.1%,3.1%,55.7%,59.3%,44.2%
1.25,11.5%,3.3%,49.2%,86.7%,51.6%
0.86,2.8%,8.5%,60.6%,65.1%,35.7%
0.77,10.8%,3.1%,56.9%,64.9%,50.0%
1.07,5.6%,2.8%,52.8%,73.7%,52.9%
0.82,6.5%,1.3%,63.6%,55.1%,46.4%
0.61,9.0%,3.0%,53.7%,58.3%,38.7%
1.33,6.5%,1.3%,72.7%,69.6%,61.9%
0.88,9.1%,7.8%,46.8%,83.3%,51.2%
0.88,6.1%,3.5%,61.7%,64.8%,52.3%
0.72,2.8%,0.0%,65.1%,62.0%,52.6%
2.13,6.3%,6.3%,43.8%,81.0%,59.3%
0.67,4.7%,4.7%,46.9%,70.0%,50.0%
2.77,13.2%,2.6%,55.3%,95.2%,52.9%
0.70,13.2%,4.4%,61.8%,61.9%,53.8%
1.49,16.1%,1.8%,66.1%,81.1%,47.4%
0.80,7.9%,3.9%,55.3%,71.4%,41.2%
1.96,6.4%,4.3%,63.8%,83.3%,58.8%
5.68,22.7%,0.0%,68.2%,86.7%,100.0%
1.31,6.7%,8.0%,60.0%,80.0%,60.0%
0.85,2.2%,4.3%,48.9%,55.6%,55.3%
1.36,5.3%,0.0%,50.9%,75.9%,57.1%
1.24,1.8%,5.4%,48.2%,70.4%,62.1%
0.54,7.1%,4.3%,55.7%,64.1%,38.7%
1.34,1.8%,8.8%,57.9%,81.8%,58.3%
1.30,7.4%,3.2%,57.9%,81.8%,45.0%
1.18,6.8%,9.5%,60.8%,84.4%,48.3%
1.43,4.7%,1.6%,60.9%,69.2%,80.0%
2.13,0.0%,2.7%,59.5%,90.9%,33.3%
1.50,11.5%,6.6%,55.7%,76.5%,59.3%
0.81,5.8%,3.5%,64.0%,65.5%,38.7%
1.17,9.6%,4.1%,54.8%,70.0%,48.5%
1.12,8.5%,3.8%,50.9%,70.4%,51.9%
1.33,0.0%,0.0%,56.5%,61.5%,70.0%
5.06,16.7%,0.0%,66.7%,91.7%,83.3%
1.10,11.2%,2.2%,67.4%,68.3%,58.6%
1.63,7.5%,1.9%,67.9%,75.0%,52.9%
0.71,10.1%,5.1%,60.8%,64.6%,45.2%
0.76,6.2%,5.4%,56.6%,64.4%,37.5%
0.90,12.7%,4.5%,53.6%,76.3%,37.3%
1.19,2.6%,2.6%,65.8%,74.0%,50.0%
1.58,17.0%,7.5%,60.4%,81.3%,47.6%
1.42,6.6%,6.6%,57.4%,74.3%,53.8%
1.09,5.5%,6.4%,63.3%,75.4%,40.0%
1.00,8.3%,11.1%,54.2%,84.6%,36.4%
1.12,11.8%,8.2%,63.5%,68.5%,51.6%
0.82,7.4%,5.6%,46.3%,76.0%,58.6%
0.98,3.3%,3.3%,66.3%,62.3%,45.2%
0.85,3.5%,8.8%,61.9%,61.4%,39.5%
0.66,4.4%,3.3%,69.2%,50.8%,42.9%
0.70,4.1%,8.2%,65.3%,62.5%,35.3%
0.97,6.3%,10.5%,56.8%,68.5%,41.5%
0.85,7.1%,7.1%,60.6%,71.7%,30.8%
0.90,7.3%,5.5%,53.2%,70.7%,43.1%
0.80,2.7%,2.7%,54.1%,67.5%,55.9%
1.27,9.5%,1.6%,68.3%,79.1%,65.0%
1.09,8.6%,2.9%,66.7%,71.4%,51.4%
0.86,1.4%,4.1%,59.6%,51.7%,49.2%
0.43,5.6%,11.1%,61.1%,45.5%,14.3%
0.67,0.0%,7.4%,66.7%,44.4%,11.1%
0.83,1.0%,3.1%,53.1%,62.7%,40.0%
0.80,4.7%,6.3%,60.9%,76.9%,44.0%
0.54,4.2%,8.3%,56.9%,53.7%,38.7%
0.75,11.2%,4.1%,64.3%,68.3%,42.9%
0.83,3.4%,3.4%,63.8%,51.4%,57.1%
0.82,1.5%,6.1%,60.6%,65.0%,34.6%
1.55,11.1%,0.0%,66.7%,83.3%,61.9%
1.12,5.4%,3.2%,69.9%,72.3%,39.3%
0.75,4.8%,1.6%,60.3%,61.8%,44.0%
0.85,0.0%,1.4%,76.3%,63.2%,36.4%
1.26,4.4%,2.7%,75.2%,80.0%,35.7%
0.99,4.2%,0.8%,65.3%,70.1%,46.3%
0.86,4.4%,6.6%,64.8%,72.9%,31.3%
1.81,17.1%,2.4%,73.2%,80.0%,45.5%
