DR,A%,DF%,1stIn,1st%,2nd%
0.59,0.0%,4.1%,64.9%,45.8%,38.5%
0.87,3.5%,5.9%,67.1%,49.1%,35.7%
0.31,0.0%,2.5%,75.0%,40.0%,50.0%
1.12,2.5%,0.0%,71.3%,61.4%,43.5%
1.91,0.0%,4.2%,77.1%,70.3%,63.6%
1.08,2.7%,1.8%,77.9%,55.7%,48.0%
1.16,0.0%,1.4%,83.1%,62.7%,41.7%
1.33,0.0%,3.5%,77.2%,75.0%,46.2%
1.67,0.0%,2.1%,68.8%,75.8%,46.7%
1.34,0.0%,3.4%,69.0%,65.0%,55.6%
1.01,1.2%,1.2%,75.3%,54.1%,40.0%
1.31,0.0%,1.6%,73.8%,51.1%,68.8%
1.22,2.2%,2.2%,68.5%,67.2%,39.3%
1.08,0.0%,3.6%,69.4%,61.0%,47.1%
0.98,0.0%,2.2%,79.6%,52.7%,42.1%
2.44,2.6%,0.0%,78.9%,80.0%,62.5%
1.35,3.2%,1.6%,68.3%,67.4%,55.0%
1.56,8.0%,1.3%,68.0%,74.5%,58.3%
1.63,0.0%,4.0%,60.0%,73.3%,55.0%
1.17,4.2%,1.4%,70.4%,72.0%,61.9%
1.24,4.2%,1.1%,76.8%,68.5%,54.5%
0.69,0.0%,4.8%,59.5%,32.0%,47.1%
1.36,1.5%,4.5%,63.6%,76.2%,37.5%
0.66,0.0%,3.4%,72.4%,57.1%,31.3%
1.87,8.5%,0.0%,55.3%,73.1%,66.7%
1.58,4.3%,12.8%,66.0%,80.6%,12.5%
1.11,2.7%,5.4%,47.3%,69.8%,39.0%
0.83,2.3%,8.0%,64.4%,66.1%,35.5%
0.55,0.0%,8.9%,60.0%,55.6%,11.1%
1.15,4.7%,8.4%,55.1%,72.9%,45.8%
1.32,6.9%,12.1%,60.3%,77.1%,39.1%
0.92,1.2%,8.6%,54.3%,59.1%,37.8%
1.00,4.3%,12.9%,50.0%,62.9%,40.0%
1.29,2.7%,5.4%,58.1%,81.4%,54.8%
0.79,2.0%,10.8%,53.9%,74.5%,40.4%
1.12,4.9%,11.0%,53.7%,63.6%,50.0%
0.69,0.0%,12.9%,62.9%,46.2%,34.8%
1.27,0.0%,0.0%,71.7%,60.5%,47.1%
0.51,4.2%,6.3%,62.5%,60.0%,33.3%
