DR,A%,DF%,1stIn,1st%,2nd%
0.51,2.6%,2.6%,50.0%,52.6%,21.1%
1.73,0.0%,3.5%,49.1%,67.9%,55.2%
0.78,0.0%,13.1%,47.5%,48.3%,37.5%
1.35,0.0%,5.8%,66.7%,67.4%,47.8%
0.58,9.3%,9.3%,51.9%,67.9%,61.5%
2.32,0.0%,2.5%,52.5%,85.7%,63.2%
0.83,0.0%,4.5%,52.3%,54.3%,42.9%
0.76,2.1%,4.1%,59.8%,65.5%,43.6%
1.62,6.4%,0.0%,53.2%,72.0%,68.2%
1.15,2.4%,3.6%,65.1%,66.7%,62.1%
0.93,3.0%,6.1%,60.6%,60.0%,41.0%
0.53,0.0%,8.0%,56.0%,67.9%,18.2%
1.18,6.4%,1.3%,56.4%,72.7%,55.9%
1.23,6.9%,1.4%,61.1%,70.5%,67.9%
0.95,5.7%,1.9%,60.0%,65.1%,47.6%
1.18,5.8%,4.8%,64.4%,73.1%,54.1%
0.66,2.2%,6.5%,63.0%,69.0%,70.6%
0.91,1.2%,4.7%,52.3%,66.7%,53.7%
0.90,3.8%,1.9%,65.7%,68.1%,38.9%
0.38,10.5%,5.3%,59.6%,52.9%,52.2%
0.96,4.6%,6.9%,63.2%,69.1%,40.6%
0.74,11.7%,3.9%,68.0%,74.7%,36.6%
1.33,11.7%,2.6%,53.2%,80.5%,47.2%
1.22,15.9%,2.3%,72.7%,78.1%,45.8%
2.05,11.1%,0.0%,73.3%,78.8%,83.3%
0.91,5.9%,4.0%,64.4%,64.6%,52.8%
1.10,8.5%,1.4%,60.6%,81.4%,50.0%
1.53,10.6%,1.2%,61.2%,78.8%,75.8%
0.91,2.8%,4.2%,43.1%,61.3%,53.7%
1.36,6.7%,0.0%,52.0%,71.8%,55.6%
0.43,3.6%,3.6%,58.9%,66.7%,39.1%
0.83,1.7%,3.4%,64.4%,71.1%,38.1%
1.87,1.7%,0.0%,61.0%,91.7%,52.2%
0.63,3.6%,8.0%,57.1%,64.1%,33.3%
1.46,3.4%,4.6%,55.2%,79.2%,48.7%
1.03,6.7%,5.8%,51.9%,74.1%,47.0%
0.54,5.2%,6.3%,46.9%,66.7%,49.0%
0.38,7.3%,4.9%,58.5%,66.7%,29.4%
1.18,8.9%,3.3%,63.3%,75.4%,42.4%
0.61,5.3%,7.4%,43.2%,73.2%,46.3%
1.07,6.1%,6.1%,44.9%,86.4%,44.4%
0.84,7.4%,2.5%,65.4%,69.8%,50.0%
1.28,12.8%,1.3%,61.5%,77.1%,66.7%
1.03,4.1%,5.1%,53.1%,80.8%,41.3%
0.91,9.6%,4.8%,58.7%,68.9%,37.2%
1.32,12.6%,4.2%,60.0%,93.0%,52.6%
0.82,2.0%,5.0%,48.5%,69.4%,51.9%
0.83,3.5%,3.5%,52.6%,70.0%,53.7%
0.92,9.0%,3.8%,62.8%,75.5%,34.5%
1.50,4.5%,1.5%,49.3%,81.8%,67.6%
1.12,6.3%,4.7%,56.3%,77.8%,42.9%
0.90,4.1%,5.2%,55.7%,55.6%,53.5%
0.79,1.1%,5.4%,59.8%,49.1%,59.5%
