DR,A%,DF%,1stIn,1st%,2nd%
0.95,3.6%,1.2%,60.7%,58.8%,39.4%
1.53,3.8%,1.9%,59.6%,80.6%,57.1%
1.03,2.7%,2.7%,61.3%,67.4%,48.3%
0.64,3.7%,3.7%,64.6%,60.4%,48.3%
0.95,3.0%,5.0%,53.0%,66.0%,48.9%
1.18,1.4%,4.1%,58.1%,69.8%,51.6%
0.80,4.5%,1.5%,47.8%,71.9%,42.9%
1.38,8.9%,3.6%,50.0%,82.1%,46.4%
0.86,8.7%,3.8%,57.7%,68.3%,52.3%
0.61,2.6%,5.3%,34.2%,53.8%,32.0%
1.08,5.0%,2.5%,55.8%,71.6%,52.8%
0.97,4.2%,3.1%,63.5%,62.3%,54.3%
0.69,9.6%,0.0%,61.5%,53.1%,30.0%
1.67,3.6%,0.0%,57.1%,75.0%,58.3%
0.70,7.0%,1.7%,56.5%,64.6%,34.0%
1.25,17.5%,3.5%,59.6%,82.4%,47.8%
0.85,7.1%,4.1%,61.2%,73.3%,36.8%
1.18,6.0%,3.0%,60.0%,73.3%,67.5%
0.65,0.0%,5.7%,64.2%,61.8%,36.8%
1.21,9.0%,0.0%,62.9%,71.4%,60.6%
1.58,5.2%,0.0%,72.4%,71.4%,68.8%
1.15,8.4%,3.6%,59.0%,63.3%,52.9%
0.72,0.0%,3.8%,63.5%,57.6%,36.8%
0.83,7.3%,3.6%,72.7%,57.5%,46.7%
1.33,6.5%,2.2%,47.8%,63.6%,54.2%
1.33,3.3%,0.0%,63.3%,76.3%,45.5%
0.50,6.8%,3.4%,55.9%,57.6%,46.2%
1.97,4.7%,0.0%,65.1%,71.4%,66.7%
0.94,4.4%,2.7%,61.9%,68.6%,65.1%
1.18,7.7%,2.6%,60.3%,76.6%,48.4%
1.11,9.8%,4.1%,62.6%,80.5%,39.1%
1.84,2.2%,0.0%,57.8%,84.6%,57.9%
0.79,7.5%,1.3%,63.7%,66.7%,34.5%
0.97,1.1%,3.3%,65.2%,63.3%,40.6%
1.08,3.8%,6.3%,58.2%,69.6%,51.5%
0.71,1.4%,4.1%,57.5%,54.8%,38.7%
0.94,7.0%,2.8%,67.6%,66.7%,43.5%
1.08,6.4%,2.6%,66.7%,71.2%,53.8%
1.06,3.9%,2.0%,64.7%,71.2%,58.3%
0.77,2.0%,3.9%,60.8%,74.2%,35.0%
0.95,0.0%,9.4%,55.7%,71.2%,34.0%
1.46,4.5%,6.0%,52.2%,77.1%,53.1%
1.39,12.7%,8.5%,63.4%,80.0%,57.7%
1.27,1.5%,6.0%,46.3%,58.1%,58.3%
1.20,5.8%,1.4%,52.2%,72.2%,60.6%
1.46,23.7%,0.0%,60.5%,73.9%,53.3%
0.64,6.6%,4.9%,59.0%,69.4%,44.0%
2.19,14.0%,0.0%,69.8%,80.0%,69.2%
1.04,6.3%,5.2%,58.3%,75.0%,52.5%
1.36,3.8%,3.8%,71.2%,73.0%,73.3%
0.79,3.6%,3.6%,60.0%,60.6%,50.0%
0.46,8.1%,8.1%,71.0%,65.9%,44.4%
0.75,3.0%,7.6%,54.5%,63.9%,33.3%
0.75,7.0%,5.3%,61.4%,54.3%,59.1%
0.64,14.9%,4.3%,66.0%,67.7%,50.0%
1.24,10.4%,1.9%,66.0%,78.6%,52.8%
1.08,10.8%,1.1%,62.4%,67.2%,51.4%
0.95,6.5%,6.5%,50.5%,70.2%,32.6%
0.92,10.0%,3.6%,54.5%,63.3%,48.0%
1.34,1.6%,4.7%,73.4%,61.7%,58.8%
0.56,5.9%,5.9%,51.0%,57.7%,56.0%
0.89,4.2%,4.2%,60.6%,67.4%,39.3%
1.44,4.8%,0.0%,64.5%,80.0%,63.6%
3.18,8.6%,5.7%,62.9%,77.3%,76.9%
1.02,3.2%,9.5%,49.5%,72.3%,37.5%
0.93,6.5%,5.6%,62.6%,67.2%,42.5%
0.85,3.7%,2.8%,60.2%,64.6%,48.8%
0.63,6.7%,0.0%,77.3%,63.8%,29.4%
1.13,12.2%,2.7%,66.2%,69.4%,36.0%
0.91,11.0%,2.2%,72.5%,63.6%,52.0%
0.41,8.2%,2.0%,53.1%,61.5%,39.1%
1.25,10.3%,1.3%,70.5%,69.1%,60.9%
0.98,4.4%,8.9%,64.4%,82.8%,25.0%
0.36,0.0%,4.5%,65.9%,62.1%,33.3%
0.69,8.6%,1.2%,56.8%,67.4%,51.4%
1.61,6.0%,4.0%,54.0%,92.6%,52.2%
0.49,6.5%,4.8%,69.4%,58.1%,31.6%
0.94,7.1%,7.1%,57.6%,71.4%,55.6%
1.23,6.2%,3.1%,50.8%,84.8%,46.9%
