DR,A%,DF%,1stIn,1st%,2nd%
1.71,0.0%,4.2%,50.0%,58.3%,83.3%
1.13,4.9%,3.9%,56.3%,70.7%,51.1%
1.38,6.5%,4.8%,53.2%,75.8%,58.6%
1.24,7.2%,4.8%,61.4%,64.7%,50.0%
2.63,16.3%,0.0%,58.1%,80.0%,77.8%
0.88,2.8%,5.5%,52.3%,64.9%,46.2%
1.30,6.2%,7.7%,60.0%,71.8%,42.3%
1.06,0.0%,13.0%,63.6%,69.4%,35.7%
0.87,1.4%,6.8%,63.5%,63.8%,40.7%
1.71,7.5%,2.5%,70.0%,71.4%,41.7%
0.83,2.3%,1.2%,58.1%,66.0%,41.7%
0.70,1.8%,10.7%,60.7%,67.6%,40.9%
2.03,6.3%,4.2%,54.2%,80.8%,72.7%
1.39,6.8%,5.1%,57.6%,70.6%,64.0%
2.34,4.4%,6.7%,64.4%,89.7%,62.5%
1.22,1.3%,3.8%,70.5%,70.9%,56.5%
1.63,15.4%,9.6%,55.8%,79.3%,65.2%
0.63,3.6%,1.8%,52.7%,48.3%,42.3%
4.65,22.2%,2.8%,75.0%,96.3%,66.7%
0.84,3.8%,7.7%,55.1%,60.5%,42.9%
0.75,11.1%,5.6%,68.5%,67.6%,41.2%
1.62,2.9%,1.4%,65.2%,80.0%,75.0%
0.80,3.1%,0.0%,54.6%,58.5%,52.3%
1.03,3.8%,2.8%,60.4%,68.8%,54.8%
1.36,1.5%,6.2%,60.0%,66.7%,46.2%
0.89,1.8%,3.5%,56.1%,59.4%,56.0%
1.06,6.5%,2.2%,68.8%,70.3%,55.2%
1.09,6.4%,1.1%,74.5%,65.7%,50.0%
1.56,13.0%,1.4%,65.2%,80.0%,58.3%
1.73,1.8%,0.0%,56.1%,78.1%,76.0%
0.77,8.0%,8.0%,58.0%,65.5%,28.6%
0.40,3.8%,3.8%,75.5%,57.5%,46.2%
1.10,10.1%,1.1%,69.7%,72.6%,70.4%
1.32,10.8%,0.0%,62.4%,75.9%,57.1%
1.06,3.7%,1.2%,67.1%,65.5%,44.4%
0.67,3.9%,7.8%,58.8%,50.0%,38.1%
1.12,9.0%,9.0%,51.0%,76.5%,38.8%
0.97,4.8%,3.6%,48.8%,65.9%,41.9%
-,50.0%,0.0%,100.0%,100.0%,-
1.18,1.2%,9.6%,61.4%,60.8%,56.3%
0.73,1.6%,9.8%,36.1%,63.6%,43.6%
0.41,10.2%,6.1%,63.3%,61.3%,27.8%
0.75,3.9%,1.9%,61.2%,55.6%,57.5%
1.37,10.7%,3.6%,60.7%,70.6%,63.6%
0.68,3.8%,9.6%,51.9%,63.0%,36.0%
1.08,13.3%,7.1%,46.9%,76.1%,46.2%
0.66,11.1%,2.8%,50.0%,66.7%,44.4%
1.23,3.8%,6.3%,55.7%,68.2%,48.6%
1.62,7.3%,1.8%,58.2%,62.5%,73.9%
0.58,5.7%,3.8%,66.0%,57.1%,55.6%
0.94,4.1%,3.1%,64.9%,68.3%,52.9%
1.16,3.8%,2.5%,68.8%,69.1%,52.0%
1.10,3.1%,3.1%,65.6%,63.5%,54.5%
0.97,2.2%,1.1%,62.6%,56.1%,55.9%
0.78,5.7%,5.7%,68.3%,65.5%,30.8%
1.68,8.9%,7.1%,64.3%,88.9%,50.0%
1.97,10.4%,0.0%,72.9%,71.4%,84.6%
1.17,7.4%,2.1%,70.2%,68.2%,42.9%
0.59,2.1%,10.4%,47.9%,56.5%,32.0%
1.43,10.8%,1.2%,59.0%,79.6%,58.8%
0.74,12.9%,1.2%,65.9%,76.8%,34.5%
0.77,2.4%,2.4%,60.0%,60.8%,35.3%
1.49,3.3%,1.6%,67.2%,82.9%,50.0%
1.03,4.5%,2.7%,62.2%,66.7%,61.9%
2.52,21.4%,9.5%,57.1%,83.3%,55.6%
0.51,0.0%,2.6%,71.8%,57.1%,36.4%
0.95,1.8%,3.7%,60.6%,60.6%,48.8%
1.72,11.4%,2.3%,65.9%,72.4%,46.7%
0.89,1.4%,1.4%,60.8%,55.6%,48.3%
1.10,3.3%,1.1%,67.8%,68.9%,58.6%
0.68,2.8%,2.8%,85.9%,52.5%,50.0%
0.96,0.9%,5.5%,62.4%,58.8%,48.8%
1.21,1.1%,5.4%,65.2%,73.3%,40.6%
1.49,3.3%,4.3%,56.5%,75.0%,67.5%
1.36,0.0%,3.0%,61.2%,56.1%,46.2%
1.24,3.1%,1.5%,56.9%,59.5%,57.1%
1.55,1.8%,3.6%,47.3%,73.1%,62.1%
1.09,4.3%,5.4%,67.4%,61.3%,43.3%
0.93,3.4%,2.6%,62.9%,56.2%,48.8%
1.19,3.1%,3.1%,61.5%,72.5%,48.0%
1.20,5.3%,2.6%,59.2%,66.7%,64.5%
0.86,2.4%,12.0%,54.2%,75.6%,42.1%
1.97,2.0%,8.2%,61.2%,83.3%,63.2%
1.72,2.1%,0.0%,51.1%,79.2%,65.2%
0.71,3.1%,10.4%,59.4%,57.9%,51.3%
1.58,17.2%,3.4%,63.8%,78.4%,52.4%
0.77,6.3%,6.3%,50.8%,68.8%,41.9%
0.89,3.7%,3.7%,48.8%,72.5%,47.6%
1.27,7.1%,7.1%,54.3%,76.3%,46.9%
0.78,0.0%,11.5%,44.2%,65.2%,37.9%
1.56,4.3%,6.5%,63.0%,79.3%,47.1%
1.05,0.7%,6.6%,53.9%,61.0%,47.1%
0.71,1.8%,0.0%,65.5%,50.0%,42.1%
1.25,7.4%,7.4%,70.4%,73.7%,18.8%
2.81,2.5%,2.5%,67.5%,85.2%,61.5%
0.80,5.0%,3.8%,62.5%,60.0%,36.7%
1.20,3.3%,0.0%,67.2%,61.0%,75.0%
1.23,4.3%,3.3%,53.3%,63.3%,58.1%
0.50,0.0%,5.0%,62.5%,52.0%,26.7%
1.35,4.9%,1.6%,65.6%,72.5%,61.9%
1.57,5.5%,1.8%,63.6%,60.0%,75.0%
0.93,7.0%,4.2%,66.2%,63.8%,41.7%
1.35,6.5%,3.2%,69.4%,67.4%,63.2%
2.90,11.1%,3.7%,63.0%,88.2%,60.0%
1.52,6.9%,0.0%,63.8%,67.6%,61.9%
1.08,7.1%,7.1%,61.4%,74.4%,40.7%
0.76,1.6%,1.6%,73.4%,66.0%,23.5%
1.34,0.0%,2.9%,60.3%,68.3%,66.7%
1.36,2.9%,5.8%,60.9%,78.6%,44.4%
1.35,6.6%,2.2%,62.6%,77.2%,55.9%
2.17,4.3%,4.3%,56.5%,88.5%,65.0%
0.81,0.0%,4.0%,54.0%,48.1%,34.8%
0.75,0.0%,1.9%,67.3%,65.7%,52.9%
0.65,0.0%,2.2%,60.9%,50.0%,27.8%
1.04,1.2%,4.8%,54.8%,56.5%,65.8%
1.46,0.0%,7.0%,57.9%,69.7%,58.3%
