DR,A%,DF%,1stIn,1st%,2nd%
0.74,3.6%,1.8%,60.0%,48.5%,36.4%
0.68,4.5%,1.5%,61.2%,58.5%,46.2%
1.31,8.3%,1.7%,68.3%,78.0%,42.1%
1.42,6.1%,1.5%,72.7%,72.9%,50.0%
1.50,4.4%,2.2%,64.8%,79.7%,68.8%
0.90,1.0%,2.0%,62.7%,60.9%,52.6%
0.80,3.0%,3.0%,63.6%,61.9%,37.5%
1.50,14.0%,0.0%,70.0%,80.0%,40.0%
0.98,2.7%,1.4%,63.0%,60.9%,66.7%
0.75,7.4%,7.4%,55.6%,66.7%,25.0%
2.09,6.4%,0.0%,68.1%,75.0%,86.7%
1.69,0.0%,3.3%,67.2%,75.6%,70.0%
0.74,5.3%,1.8%,73.7%,47.6%,46.7%
1.54,0.0%,1.7%,66.7%,75.0%,55.0%
1.36,1.1%,3.3%,65.6%,69.5%,58.1%
0.78,0.0%,0.0%,60.6%,58.1%,39.3%
0.60,0.0%,2.4%,66.7%,46.4%,14.3%
1.45,7.4%,5.6%,63.0%,76.5%,60.0%
1.81,0.0%,2.1%,61.7%,86.2%,50.0%
1.48,1.8%,1.8%,66.7%,71.1%,68.4%
0.72,3.2%,3.2%,72.6%,71.1%,23.5%
0.63,3.1%,1.0%,64.3%,65.1%,54.3%
0.79,4.5%,3.0%,62.1%,68.3%,48.0%
1.96,2.2%,0.0%,75.6%,79.4%,45.5%
0.91,5.4%,1.1%,76.3%,57.7%,40.9%
1.17,5.6%,0.0%,72.2%,63.5%,70.0%
0.65,4.3%,1.4%,75.4%,63.5%,41.2%
0.73,4.9%,2.5%,75.3%,63.9%,35.0%
1.24,8.6%,1.2%,54.3%,68.2%,51.4%
1.00,10.8%,1.9%,63.9%,68.3%,50.9%
0.88,9.5%,3.6%,66.7%,64.3%,46.4%
0.58,9.1%,1.8%,78.2%,48.8%,50.0%
1.39,1.6%,1.6%,67.2%,65.9%,75.0%
0.55,5.5%,1.8%,81.8%,64.4%,60.0%
1.59,8.8%,1.5%,76.5%,78.8%,68.8%
