DR,A%,DF%,1stIn,1st%,2nd%
0.73,0.0%,2.0%,70.6%,44.4%,46.7%
0.63,0.0%,0.0%,64.1%,48.0%,50.0%
0.98,1.1%,3.4%,70.5%,62.9%,42.3%
1.20,0.0%,3.1%,69.2%,55.6%,45.0%
1.35,0.0%,1.5%,52.3%,58.8%,54.8%
1.70,3.7%,1.9%,68.5%,83.8%,64.7%
0.79,4.7%,7.0%,60.5%,57.7%,44.1%
0.88,0.0%,0.0%,62.2%,69.6%,60.7%
1.10,0.0%,4.8%,66.3%,63.6%,32.1%
1.29,1.2%,4.9%,72.0%,61.0%,34.8%
1.36,1.6%,3.2%,69.8%,72.7%,52.6%
0.80,5.3%,0.0%,77.2%,61.4%,38.5%
1.19,3.2%,0.0%,69.1%,76.9%,44.8%
0.99,6.3%,0.0%,77.9%,66.2%,42.9%
1.41,3.2%,0.0%,71.0%,81.8%,44.4%
0.37,0.0%,2.7%,67.6%,48.0%,8.3%
1.17,1.3%,1.3%,76.0%,66.7%,27.8%
0.90,0.0%,0.0%,68.1%,67.7%,51.7%
1.12,2.7%,5.4%,65.8%,65.8%,50.0%
1.41,7.2%,2.4%,65.1%,77.8%,51.7%
1.22,4.5%,1.5%,74.6%,64.0%,64.7%
2.19,7.0%,0.0%,60.5%,88.5%,58.8%
0.77,2.1%,2.1%,70.8%,55.9%,50.0%
0.74,2.7%,1.4%,64.4%,57.4%,26.9%
0.86,2.9%,2.0%,69.6%,59.2%,61.3%
1.29,3.2%,1.6%,73.0%,65.2%,76.5%
1.05,6.3%,3.2%,67.4%,73.4%,54.8%
1.22,4.2%,1.4%,67.6%,77.1%,52.2%
2.02,9.3%,2.3%,60.5%,80.8%,70.6%
0.69,2.7%,2.7%,62.7%,68.1%,50.0%
1.09,3.9%,0.0%,69.7%,73.6%,60.9%
0.96,3.9%,5.9%,60.8%,77.4%,45.0%
1.33,5.3%,2.7%,64.0%,81.3%,37.0%
0.35,2.7%,5.4%,59.5%,40.9%,40.0%
1.44,8.0%,4.0%,52.0%,69.2%,62.5%
1.28,6.9%,0.0%,70.1%,67.2%,50.0%
1.46,12.0%,4.0%,66.0%,78.8%,64.7%
1.01,6.9%,2.9%,72.5%,66.2%,50.0%
1.26,6.7%,2.2%,73.0%,72.3%,54.2%
1.39,2.9%,0.0%,76.5%,76.9%,62.5%
0.74,4.7%,3.1%,53.1%,64.7%,36.7%
0.60,0.0%,1.4%,69.0%,55.1%,50.0%
1.78,16.7%,2.1%,68.8%,72.7%,66.7%
0.90,6.8%,1.4%,68.5%,62.0%,47.8%
1.99,7.3%,4.9%,85.4%,82.9%,50.0%
0.50,2.3%,4.5%,63.6%,42.9%,25.0%
1.17,4.5%,2.7%,69.1%,65.8%,58.8%
0.95,5.7%,4.6%,63.2%,52.7%,37.5%
1.15,5.1%,0.0%,64.6%,60.9%,60.0%
1.00,8.2%,2.4%,63.5%,68.5%,45.2%
1.03,11.9%,4.0%,62.4%,82.5%,44.7%
0.56,5.0%,12.5%,47.5%,52.6%,28.6%
0.92,9.6%,4.8%,61.5%,75.0%,65.0%
1.26,7.1%,7.1%,67.1%,76.6%,43.5%
0.66,1.3%,7.9%,52.6%,45.0%,38.9%
1.28,2.9%,3.8%,53.8%,75.0%,64.6%
1.15,1.2%,6.0%,54.8%,80.4%,57.9%
1.41,8.6%,8.6%,69.0%,72.5%,55.6%
0.74,2.5%,1.3%,73.4%,70.7%,52.4%
0.76,2.7%,5.4%,59.5%,68.2%,60.0%
1.17,5.2%,2.6%,66.2%,72.5%,34.6%
1.74,5.0%,3.3%,53.3%,81.3%,64.3%
0.46,6.3%,0.0%,58.3%,60.7%,20.0%
0.56,9.1%,4.5%,60.6%,67.5%,42.3%
1.52,7.8%,4.7%,64.1%,80.5%,52.2%
1.14,6.6%,2.6%,69.7%,60.4%,65.2%
1.27,6.8%,9.5%,51.4%,71.1%,58.3%
1.06,8.2%,1.4%,61.6%,68.9%,64.3%
1.86,6.3%,10.4%,56.3%,92.6%,52.4%
0.65,5.9%,1.5%,79.4%,63.0%,42.9%
0.90,3.0%,6.0%,62.7%,59.5%,56.0%
0.90,5.8%,3.5%,68.6%,64.4%,48.1%
0.86,4.3%,1.4%,56.5%,66.7%,36.7%
1.42,15.1%,1.9%,66.0%,80.0%,72.2%
1.21,12.1%,0.0%,72.5%,68.2%,64.0%
0.55,2.1%,2.1%,60.4%,34.5%,63.2%
0.92,5.1%,5.1%,69.5%,70.7%,61.1%
1.20,4.2%,2.8%,63.4%,77.8%,50.0%
0.69,2.5%,4.9%,65.4%,52.8%,46.4%
0.64,4.2%,9.7%,55.6%,50.0%,50.0%
0.55,13.5%,1.4%,74.3%,67.3%,57.9%
0.69,2.8%,0.9%,57.0%,65.6%,56.5%
1.11,10.0%,2.0%,69.0%,68.1%,61.3%
