DR,A%,DF%,1stIn,1st%,2nd%
0.47,7.1%,11.9%,52.4%,45.5%,40.0%
1.13,6.1%,5.1%,70.7%,65.7%,44.8%
0.70,1.5%,4.5%,62.7%,64.3%,28.0%
0.61,12.3%,4.6%,49.2%,75.0%,39.4%
0.75,3.3%,10.0%,50.0%,86.7%,46.7%
0.76,6.1%,7.6%,62.1%,68.3%,40.0%
1.38,10.7%,5.4%,57.1%,84.4%,41.7%
0.97,7.4%,2.5%,56.8%,67.4%,54.3%
0.63,3.1%,1.6%,71.9%,56.5%,50.0%
1.30,3.3%,3.3%,67.2%,80.5%,30.0%
0.78,8.0%,1.3%,56.0%,73.8%,48.5%
1.40,14.5%,11.8%,67.1%,82.4%,44.0%
1.07,5.5%,5.5%,61.5%,76.8%,40.0%
1.87,8.9%,0.0%,64.4%,72.4%,75.0%
0.96,13.2%,3.8%,67.9%,69.4%,29.4%
0.93,7.1%,4.7%,60.0%,76.5%,61.8%
1.00,9.3%,0.8%,56.8%,76.1%,66.7%
0.68,6.8%,2.3%,67.7%,68.9%,55.8%
1.03,5.3%,3.8%,67.4%,79.8%,53.5%
0.90,7.7%,3.3%,67.0%,70.5%,53.3%
1.00,7.4%,0.0%,64.2%,75.0%,55.2%
1.15,6.8%,1.4%,75.3%,70.9%,88.9%
0.85,4.0%,6.0%,60.0%,76.7%,50.0%
0.76,6.3%,0.8%,67.5%,50.6%,56.1%
1.62,5.5%,1.8%,61.8%,64.7%,81.0%
1.01,2.7%,1.4%,57.5%,73.8%,61.3%
1.19,6.0%,0.9%,58.6%,72.1%,64.6%
0.92,2.3%,3.5%,64.0%,56.4%,48.4%
0.77,2.7%,1.8%,69.0%,62.8%,57.1%
0.94,5.3%,1.1%,65.3%,56.5%,45.5%
1.03,3.7%,3.7%,59.3%,70.8%,54.5%
0.77,3.0%,3.0%,65.2%,60.5%,34.8%
0.31,0.0%,0.0%,71.4%,40.0%,25.0%
1.56,5.4%,7.1%,64.3%,72.2%,60.0%
1.17,2.5%,6.3%,68.4%,79.6%,48.0%
0.95,3.9%,1.3%,71.1%,77.8%,54.5%
1.36,8.9%,5.4%,62.5%,74.3%,57.1%
0.95,5.5%,2.7%,60.9%,74.6%,55.8%
0.78,2.7%,4.0%,57.3%,65.1%,46.9%
1.81,14.0%,5.3%,54.4%,90.3%,69.2%
2.10,9.5%,0.0%,50.0%,81.0%,71.4%
0.91,0.6%,2.3%,61.6%,57.8%,52.9%
1.43,15.4%,4.1%,62.6%,85.7%,58.7%
0.67,8.1%,6.5%,62.9%,66.7%,52.2%
1.39,10.2%,1.1%,68.2%,80.0%,57.1%
1.16,6.6%,0.0%,57.9%,75.0%,59.4%
1.11,5.2%,3.1%,60.4%,70.7%,52.6%
1.21,5.1%,4.1%,52.0%,64.7%,53.2%
0.74,1.2%,2.5%,71.6%,51.7%,52.2%
0.52,2.2%,2.2%,57.8%,50.0%,57.9%
1.41,4.5%,1.5%,43.3%,69.0%,63.2%
1.53,7.2%,4.3%,63.8%,81.8%,48.0%
0.70,0.0%,0.0%,61.3%,71.1%,29.2%
0.81,6.4%,0.0%,68.1%,65.6%,33.3%
1.83,19.3%,0.0%,70.2%,80.0%,64.7%
0.98,5.6%,2.8%,61.1%,65.9%,60.7%
2.05,4.2%,2.1%,64.6%,77.4%,64.7%
1.15,1.2%,2.4%,64.3%,64.8%,43.3%
1.11,15.9%,1.4%,66.7%,89.1%,47.8%
0.95,9.5%,3.2%,71.4%,77.8%,38.9%
1.06,9.8%,6.6%,54.1%,84.8%,42.9%
1.01,4.1%,4.8%,62.8%,61.5%,51.9%
1.68,2.0%,4.1%,57.1%,82.1%,61.9%
0.93,4.5%,3.4%,71.9%,71.9%,52.0%
0.75,2.7%,1.4%,58.9%,60.5%,53.3%
1.33,10.5%,3.5%,60.5%,78.8%,55.9%
1.22,11.3%,0.0%,74.2%,73.9%,68.8%
0.87,3.1%,6.2%,62.9%,73.8%,50.0%
0.88,2.8%,2.8%,58.5%,69.4%,50.0%
1.07,9.4%,3.1%,69.3%,69.3%,61.5%
0.57,0.0%,8.8%,47.4%,55.6%,46.7%
0.88,20.0%,3.3%,58.3%,82.9%,56.0%
1.75,3.8%,5.8%,55.8%,100.0%,47.8%
1.12,7.8%,1.9%,68.9%,70.4%,59.4%
0.93,14.9%,6.9%,52.9%,78.3%,56.1%
0.84,4.8%,1.9%,57.1%,61.7%,46.7%
1.23,8.6%,2.9%,62.1%,71.3%,51.5%
0.79,0.0%,0.0%,74.5%,57.9%,30.8%
1.03,9.1%,3.0%,61.6%,65.6%,52.6%
1.09,4.2%,4.2%,62.5%,73.3%,51.9%
1.23,11.3%,1.3%,61.3%,79.6%,54.8%
0.88,5.4%,0.0%,76.8%,69.8%,53.8%
1.03,9.2%,3.3%,70.8%,64.7%,45.7%
1.90,0.0%,2.1%,61.7%,75.9%,66.7%
0.80,1.7%,3.4%,50.8%,56.7%,48.3%
0.98,3.2%,2.1%,63.2%,65.0%,42.9%
1.52,5.0%,1.7%,58.3%,74.3%,68.0%
0.45,3.6%,0.0%,63.6%,65.7%,30.0%
1.02,3.9%,3.9%,67.6%,69.6%,39.4%
1.01,7.9%,2.6%,69.7%,75.5%,47.8%
1.11,9.1%,2.6%,66.2%,72.5%,53.8%
2.03,8.3%,0.0%,58.3%,78.6%,75.0%
1.03,2.6%,3.9%,62.3%,72.9%,48.3%
2.09,2.2%,4.3%,80.4%,75.7%,55.6%
1.13,4.3%,1.1%,69.1%,75.4%,44.8%
1.39,9.7%,1.6%,62.9%,79.5%,56.5%
1.85,4.8%,2.4%,66.7%,82.1%,50.0%
0.75,4.8%,3.6%,59.0%,67.3%,47.1%
0.55,9.0%,0.0%,61.2%,70.7%,46.2%
1.21,11.3%,8.1%,61.3%,76.3%,41.7%
0.76,3.1%,6.3%,54.7%,65.7%,37.9%
1.09,8.0%,0.0%,64.0%,87.5%,50.0%
2.21,9.5%,2.4%,61.9%,69.2%,81.3%
0.86,7.4%,1.6%,64.8%,69.6%,48.8%
1.22,7.1%,2.9%,67.9%,73.7%,57.8%
0.78,4.0%,2.0%,71.3%,68.1%,44.8%
0.87,10.0%,4.0%,72.0%,75.0%,50.0%
0.80,3.6%,6.0%,48.2%,77.5%,48.8%
0.75,6.3%,7.4%,57.9%,72.7%,55.0%
1.88,2.2%,2.2%,65.2%,86.7%,50.0%
0.56,2.0%,4.1%,59.2%,51.7%,35.0%
2.56,17.1%,2.4%,65.9%,96.3%,50.0%
2.06,15.9%,0.0%,61.4%,81.5%,58.8%
1.43,3.2%,4.8%,52.4%,81.8%,46.7%
0.50,1.7%,3.4%,71.2%,52.4%,41.2%
1.77,0.0%,2.1%,64.6%,77.4%,52.9%
0.76,1.4%,1.4%,56.3%,60.0%,41.9%
2.05,9.1%,2.3%,61.4%,66.7%,82.4%
1.09,6.8%,0.0%,62.5%,74.5%,51.5%
1.71,6.1%,6.1%,59.2%,82.8%,65.0%
0.81,7.6%,4.5%,66.7%,77.3%,31.8%
0.63,5.8%,1.9%,59.6%,58.1%,47.6%
0.86,4.6%,2.8%,60.6%,63.6%,44.2%
1.31,17.7%,1.6%,72.6%,68.9%,58.8%
0.85,3.2%,7.5%,73.1%,69.1%,52.0%
1.05,4.3%,3.2%,73.1%,70.6%,44.0%
0.93,1.8%,4.4%,66.4%,53.3%,36.8%
1.12,4.1%,4.1%,65.8%,77.1%,68.0%
0.95,3.6%,9.6%,55.4%,65.2%,43.2%
0.82,0.0%,2.9%,79.4%,55.6%,42.9%
1.13,1.1%,2.2%,67.8%,62.3%,55.2%
0.89,1.1%,7.9%,61.8%,56.4%,52.9%
0.75,7.1%,4.5%,69.6%,67.9%,47.1%
1.44,8.5%,4.7%,67.9%,76.4%,58.8%
0.68,5.1%,6.8%,66.1%,61.5%,35.0%
0.69,5.4%,8.1%,59.5%,65.9%,53.3%
2.04,21.1%,1.8%,66.7%,89.5%,63.2%
1.25,8.4%,3.2%,66.3%,77.8%,53.1%
1.28,7.3%,2.7%,68.2%,80.0%,60.0%
2.05,6.7%,4.4%,62.2%,85.7%,58.8%
0.72,4.9%,8.2%,59.0%,61.1%,56.0%
1.42,3.9%,3.9%,65.8%,70.0%,61.5%
0.71,5.7%,8.0%,66.7%,62.1%,44.8%
1.20,2.2%,2.2%,63.8%,76.1%,50.0%
0.83,3.2%,7.4%,60.0%,73.7%,44.7%
0.86,1.5%,4.4%,75.0%,56.9%,47.1%
0.90,2.9%,1.9%,65.4%,61.8%,38.9%
1.30,4.4%,5.5%,65.9%,73.3%,48.4%
0.49,2.2%,8.7%,76.1%,45.7%,36.4%
1.56,3.6%,7.1%,64.3%,80.6%,45.0%
1.11,1.0%,3.0%,76.2%,67.5%,45.8%
0.62,9.1%,11.4%,63.6%,64.3%,31.3%
2.35,4.9%,2.4%,75.6%,77.4%,80.0%
2.69,2.7%,5.4%,64.9%,87.5%,61.5%
0.97,3.3%,10.0%,75.0%,64.4%,33.3%
1.19,4.2%,11.3%,63.4%,66.7%,38.5%
