DR,A%,DF%,1stIn,1st%,2nd%
0.85,6.3%,3.8%,69.6%,61.8%,58.3%
0.52,2.7%,2.7%,60.0%,62.2%,43.3%
1.38,10.9%,3.1%,67.2%,69.8%,61.9%
0.77,4.2%,0.0%,64.6%,74.2%,52.9%
0.88,3.1%,5.2%,55.2%,67.9%,53.5%
1.57,8.3%,8.3%,60.4%,79.3%,57.9%
1.34,7.3%,9.1%,58.2%,62.5%,56.5%
1.39,11.9%,3.4%,59.3%,80.0%,54.2%
1.64,21.8%,1.8%,65.5%,80.6%,63.2%
1.43,7.3%,5.5%,54.5%,80.0%,52.0%
1.14,6.3%,3.1%,68.8%,72.7%,65.0%
1.25,7.9%,10.5%,60.5%,76.1%,46.7%
1.53,9.6%,3.8%,73.1%,73.7%,50.0%
1.40,15.8%,7.0%,57.9%,78.8%,58.3%
1.51,9.7%,1.6%,66.1%,80.5%,47.6%
1.67,9.1%,5.5%,61.8%,79.4%,57.1%
1.50,13.5%,1.9%,65.4%,76.5%,50.0%
1.69,9.8%,5.9%,52.9%,81.5%,54.2%
1.72,11.5%,0.0%,75.0%,82.1%,46.2%
1.46,19.0%,5.2%,69.0%,85.0%,50.0%
1.27,5.3%,8.8%,56.1%,84.4%,36.0%
1.00,10.5%,1.1%,65.3%,66.1%,51.5%
1.26,9.8%,1.1%,62.0%,71.9%,51.4%
1.32,8.3%,8.3%,65.0%,84.6%,38.1%
0.84,8.6%,7.1%,58.6%,70.7%,48.3%
1.20,7.9%,6.7%,60.7%,83.3%,34.3%
1.31,14.5%,5.8%,58.0%,75.0%,55.2%
1.69,10.6%,4.3%,59.6%,75.0%,68.4%
1.10,19.1%,6.7%,65.2%,74.1%,45.2%
1.74,10.0%,4.0%,66.0%,84.8%,52.9%
0.71,8.9%,5.4%,57.1%,81.3%,37.5%
0.80,6.1%,9.1%,53.0%,62.9%,35.5%
1.35,7.3%,2.4%,61.0%,80.0%,56.3%
1.53,8.0%,2.0%,46.0%,78.3%,59.3%
0.95,13.0%,6.5%,55.6%,71.7%,50.0%
1.27,7.9%,1.1%,58.4%,71.2%,70.3%
0.63,2.0%,4.1%,55.1%,51.9%,31.8%
1.08,14.9%,5.4%,62.2%,73.9%,21.4%
1.75,10.4%,4.2%,54.2%,92.3%,54.5%
1.17,8.3%,2.4%,63.1%,67.9%,54.8%
0.98,6.8%,6.8%,69.5%,68.3%,55.6%
1.15,5.3%,10.5%,57.9%,65.9%,43.8%
1.12,6.9%,5.0%,55.4%,69.6%,48.9%
0.81,15.1%,0.0%,58.9%,69.8%,60.0%
1.04,12.0%,2.4%,57.8%,68.8%,48.6%
0.74,10.5%,7.9%,57.9%,68.2%,40.6%
2.14,4.4%,8.9%,60.0%,77.8%,61.1%
0.85,11.7%,1.9%,73.8%,68.4%,63.0%
1.55,21.1%,1.8%,50.9%,86.2%,57.1%
1.19,13.8%,3.2%,63.8%,73.3%,67.6%
1.00,15.9%,1.2%,54.9%,71.1%,62.2%
0.78,21.5%,4.6%,70.8%,71.7%,36.8%
0.79,4.1%,4.1%,64.4%,51.1%,50.0%
1.11,10.6%,7.7%,63.5%,72.7%,50.0%
0.90,11.1%,6.2%,66.7%,72.2%,33.3%
0.87,7.8%,2.6%,55.8%,65.1%,44.1%
1.26,7.1%,2.4%,72.9%,64.5%,52.2%
0.64,1.8%,1.8%,75.4%,44.2%,57.1%
1.84,13.0%,2.2%,69.6%,71.9%,64.3%
1.27,11.0%,1.4%,65.8%,72.9%,44.0%
1.17,13.4%,4.5%,70.1%,76.6%,40.0%
0.72,18.9%,5.7%,64.2%,76.5%,42.1%
0.79,14.3%,6.5%,55.8%,62.8%,41.2%
0.97,11.8%,4.4%,58.8%,72.5%,53.6%
1.28,9.6%,6.0%,61.4%,82.4%,46.9%
2.02,9.1%,9.1%,72.7%,75.0%,66.7%
0.71,3.8%,7.5%,64.2%,70.6%,42.1%
0.56,16.1%,0.0%,66.1%,87.8%,42.9%
1.65,7.5%,3.8%,52.8%,78.6%,68.0%
2.57,44.4%,4.4%,68.9%,90.3%,64.3%
0.95,10.0%,7.0%,44.0%,84.1%,46.4%
0.57,5.0%,3.3%,60.0%,61.1%,45.8%
0.85,8.5%,6.1%,56.1%,69.6%,47.2%
0.71,14.8%,3.7%,68.5%,78.4%,52.9%
2.38,20.0%,0.0%,66.7%,80.0%,86.7%
0.77,23.4%,1.6%,62.5%,72.5%,58.3%
0.93,14.8%,1.9%,68.5%,73.0%,64.7%
1.25,16.5%,2.1%,64.9%,82.5%,64.7%
1.30,13.3%,1.2%,54.2%,75.6%,68.4%
0.83,7.3%,4.9%,80.5%,63.6%,31.3%
0.80,9.3%,6.7%,49.3%,56.8%,34.2%
1.02,3.3%,6.6%,61.2%,68.9%,44.7%
0.71,8.3%,6.9%,51.4%,56.8%,62.9%
0.87,2.0%,6.1%,56.1%,56.4%,44.2%
1.12,6.0%,4.8%,47.6%,70.0%,56.8%
2.21,8.5%,4.3%,61.7%,72.4%,83.3%
0.69,3.4%,1.7%,74.6%,63.6%,46.7%
0.78,2.2%,4.5%,57.3%,62.7%,50.0%
1.04,2.3%,5.7%,61.4%,75.9%,47.1%
0.86,17.7%,2.5%,72.2%,70.2%,36.4%
1.16,9.3%,2.3%,60.5%,75.0%,55.9%
1.58,14.0%,1.8%,71.9%,85.4%,68.8%
0.70,5.8%,1.4%,68.1%,68.1%,50.0%
1.69,6.8%,2.3%,65.9%,65.5%,66.7%
1.31,4.9%,4.9%,59.0%,69.4%,64.0%
1.86,11.5%,0.0%,59.6%,80.6%,71.4%
0.47,10.3%,1.5%,63.2%,53.5%,40.0%
1.11,12.7%,4.2%,60.2%,81.7%,46.8%
0.63,7.1%,5.9%,67.1%,71.9%,32.1%
1.17,7.7%,7.7%,52.3%,73.5%,45.2%
1.13,1.5%,4.5%,54.5%,66.7%,56.7%
0.89,6.5%,4.6%,60.2%,67.7%,41.9%
0.61,12.3%,6.8%,63.0%,73.9%,48.1%
0.53,1.5%,1.5%,69.7%,56.5%,35.0%
1.03,12.4%,4.4%,64.6%,71.2%,42.5%
1.17,18.8%,3.1%,67.2%,79.1%,47.6%
1.04,20.9%,3.3%,60.4%,76.4%,61.1%
2.12,11.1%,2.2%,66.7%,90.0%,60.0%
1.70,11.8%,2.0%,58.8%,83.3%,52.4%
1.04,9.0%,2.6%,64.1%,78.0%,60.7%
1.44,22.2%,1.9%,61.1%,81.8%,66.7%
1.21,20.8%,1.3%,72.7%,75.0%,47.6%
0.77,17.6%,6.9%,69.6%,71.8%,41.9%
0.72,3.4%,8.6%,72.4%,61.9%,37.5%
0.67,13.9%,3.3%,67.2%,63.4%,37.5%
1.10,9.1%,4.5%,64.8%,63.2%,58.1%
1.18,3.9%,5.9%,56.9%,65.5%,50.0%
1.26,7.8%,3.1%,68.8%,81.8%,50.0%
0.66,6.8%,10.2%,57.6%,61.8%,32.0%
0.78,11.2%,6.5%,57.0%,73.8%,50.0%
0.82,2.3%,1.1%,62.1%,66.7%,51.5%
0.59,6.7%,3.3%,67.8%,72.1%,48.3%
0.97,7.8%,2.9%,67.0%,59.4%,55.9%
1.50,20.0%,5.7%,71.4%,86.0%,50.0%
1.19,10.2%,1.7%,57.6%,73.5%,56.0%
0.47,0.0%,0.0%,56.4%,27.3%,35.3%
1.64,10.9%,3.6%,63.6%,82.9%,55.0%
0.70,4.3%,2.9%,59.4%,58.5%,42.9%
1.20,2.1%,1.1%,64.9%,70.5%,63.6%
0.72,6.1%,1.0%,70.7%,67.1%,37.9%
1.10,10.2%,2.3%,72.7%,76.3%,57.1%
1.17,13.2%,7.4%,66.2%,64.4%,52.2%
1.15,12.3%,3.7%,65.4%,69.8%,50.0%
