DR,A%,DF%,1stIn,1st%,2nd%
0.61,0.0%,5.6%,57.7%,63.4%,50.0%
1.37,4.5%,6.1%,47.0%,77.4%,57.1%
0.75,1.8%,1.8%,49.1%,51.9%,42.9%
0.75,5.2%,12.5%,42.7%,87.8%,45.5%
0.39,0.0%,12.1%,46.6%,59.3%,41.9%
1.00,0.7%,3.7%,56.7%,61.8%,46.6%
1.42,4.6%,6.2%,72.3%,78.7%,33.3%
0.36,0.0%,10.2%,52.5%,51.6%,42.9%
0.72,1.8%,7.3%,43.6%,58.3%,51.6%
0.93,1.0%,12.6%,57.3%,55.9%,31.8%
0.85,1.6%,7.9%,66.7%,69.0%,33.3%
1.11,3.7%,2.4%,47.6%,71.8%,58.1%
0.66,0.0%,16.1%,43.5%,63.0%,42.9%
0.76,5.6%,22.2%,50.0%,88.9%,33.3%
1.07,2.4%,8.5%,51.2%,61.9%,47.5%
1.32,2.2%,4.3%,60.2%,66.1%,54.1%
1.41,2.2%,6.7%,68.9%,64.5%,64.3%
1.79,5.8%,3.8%,67.3%,82.9%,47.1%
0.92,2.5%,4.2%,62.2%,66.2%,46.7%
0.54,3.4%,0.0%,59.3%,60.0%,41.7%
0.72,4.4%,4.4%,57.4%,64.1%,55.2%
1.11,6.5%,6.5%,55.6%,75.0%,54.2%
1.48,6.7%,11.7%,60.0%,83.3%,45.8%
0.73,0.0%,6.3%,59.4%,76.3%,53.8%
0.61,2.9%,1.4%,75.7%,64.2%,47.1%
0.80,1.3%,10.5%,55.3%,66.7%,47.1%
1.34,6.7%,6.7%,55.0%,75.8%,51.9%
1.74,6.5%,6.5%,45.7%,81.0%,56.0%
0.41,0.0%,8.0%,60.0%,56.7%,35.0%
1.16,8.9%,2.0%,49.5%,84.0%,56.9%
0.78,4.8%,8.7%,48.1%,66.0%,40.7%
0.81,10.0%,5.6%,67.8%,62.3%,48.3%
0.59,3.9%,10.5%,47.4%,69.4%,37.5%
0.83,5.6%,2.8%,59.2%,54.8%,37.9%
1.36,5.3%,8.8%,59.6%,79.4%,47.8%
1.07,2.6%,7.9%,48.7%,75.7%,48.7%
1.36,8.3%,3.1%,66.7%,75.0%,53.1%
