DR,A%,DF%,1stIn,1st%,2nd%
0.94,3.9%,1.9%,70.9%,67.1%,53.3%
0.97,8.5%,5.7%,58.5%,75.8%,47.7%
1.47,18.9%,3.8%,69.8%,81.1%,31.3%
1.24,2.9%,2.9%,60.0%,52.4%,57.1%
0.86,5.6%,6.4%,64.0%,61.3%,46.7%
0.83,9.6%,3.8%,52.9%,65.5%,53.1%
1.75,4.1%,8.2%,57.1%,89.3%,61.9%
2.08,3.9%,3.9%,68.6%,80.0%,81.3%
0.43,10.0%,6.7%,63.3%,68.4%,45.5%
0.74,6.3%,0.0%,59.4%,57.9%,38.5%
1.41,1.7%,1.7%,72.4%,71.4%,25.0%
1.50,14.6%,2.1%,72.9%,74.3%,46.2%
0.66,3.8%,5.7%,66.0%,45.7%,50.0%
0.98,8.4%,0.0%,64.2%,70.5%,58.8%
0.08,0.0%,7.7%,69.2%,11.1%,0.0%
1.06,4.9%,3.7%,61.7%,60.0%,48.4%
1.29,1.9%,1.9%,65.0%,77.6%,55.6%
0.95,3.7%,2.8%,54.6%,66.1%,63.3%
1.26,7.4%,4.4%,60.3%,80.5%,48.1%
0.70,6.8%,4.1%,70.3%,51.9%,45.5%
1.38,7.5%,3.0%,58.2%,76.9%,71.4%
1.53,7.3%,1.8%,74.5%,78.0%,71.4%
1.23,5.5%,4.1%,71.2%,65.4%,61.9%
0.98,0.0%,4.3%,58.5%,65.5%,43.6%
0.69,5.0%,1.7%,53.3%,53.1%,50.0%
1.29,9.6%,1.4%,58.9%,72.1%,56.7%
1.29,8.0%,0.0%,60.0%,71.1%,76.7%
1.48,9.4%,1.9%,67.9%,80.6%,58.8%
1.39,7.0%,5.3%,52.6%,73.3%,51.9%
0.81,2.7%,4.0%,72.0%,51.9%,42.9%
1.06,2.9%,6.8%,60.2%,69.4%,43.9%
1.08,9.6%,2.6%,64.3%,75.7%,61.0%
0.79,10.9%,3.1%,64.1%,65.9%,47.8%
1.34,9.5%,5.3%,55.8%,75.5%,57.1%
0.58,1.7%,1.7%,61.7%,51.4%,43.5%
1.10,6.2%,1.2%,67.9%,76.4%,38.5%
1.14,1.2%,0.0%,65.4%,66.0%,46.4%
1.19,2.6%,3.9%,57.1%,77.3%,51.5%
1.48,0.0%,3.4%,69.5%,65.9%,55.6%
1.00,4.7%,2.4%,64.7%,74.5%,53.3%
2.43,13.9%,2.8%,72.2%,76.9%,60.0%
0.65,2.9%,7.4%,58.8%,60.0%,46.4%
1.10,2.2%,3.3%,55.6%,78.0%,52.5%
1.02,0.9%,3.7%,73.1%,57.0%,37.9%
1.35,0.0%,8.5%,64.4%,76.3%,47.6%
1.47,5.3%,1.8%,64.9%,73.0%,50.0%
1.12,6.0%,3.0%,69.0%,68.1%,41.9%
1.35,11.1%,0.0%,68.5%,70.3%,35.3%
0.88,1.4%,1.4%,78.9%,60.7%,60.0%
0.44,4.9%,3.3%,73.8%,62.2%,31.3%
0.91,4.7%,1.9%,61.3%,67.7%,46.3%
1.76,2.0%,2.0%,59.2%,69.0%,65.0%
1.57,3.4%,1.7%,56.9%,66.7%,76.0%
0.43,9.8%,7.8%,56.9%,51.7%,31.8%
1.26,5.4%,2.7%,75.7%,73.2%,38.9%
1.67,15.4%,5.1%,56.4%,90.9%,47.1%
0.97,12.9%,7.2%,59.0%,75.6%,36.8%
