DR,A%,DF%,1stIn,1st%,2nd%
0.56,5.6%,8.3%,55.6%,62.5%,37.5%
1.07,9.0%,3.4%,65.2%,79.3%,54.8%
0.84,12.5%,6.3%,63.7%,64.7%,51.7%
0.55,0.0%,7.4%,66.7%,38.9%,33.3%
1.07,5.2%,5.8%,60.4%,77.4%,50.8%
0.70,0.0%,1.7%,66.7%,62.5%,35.0%
1.16,5.1%,6.3%,55.7%,72.7%,51.4%
1.39,1.9%,9.3%,74.1%,70.0%,35.7%
0.77,1.9%,1.9%,67.6%,69.0%,55.9%
1.65,4.3%,2.1%,70.2%,78.8%,57.1%
0.83,1.9%,1.9%,54.7%,69.0%,62.5%
0.57,7.1%,0.0%,76.2%,59.4%,60.0%
0.95,7.4%,0.7%,69.6%,69.1%,39.0%
0.75,5.6%,1.4%,66.7%,75.0%,25.0%
0.95,6.7%,4.5%,70.8%,71.4%,61.5%
0.57,2.3%,4.7%,61.6%,64.2%,39.4%
2.05,4.4%,2.9%,60.3%,75.6%,74.1%
0.97,5.8%,1.9%,65.4%,64.7%,61.1%
0.86,2.4%,8.2%,67.1%,61.4%,42.9%
0.28,3.8%,7.7%,57.7%,33.3%,36.4%
1.13,6.0%,2.6%,62.9%,71.2%,46.5%
1.19,3.3%,3.3%,71.4%,66.2%,46.2%
1.36,1.5%,4.5%,62.1%,68.3%,60.0%
1.07,3.1%,3.1%,64.9%,61.9%,55.9%
0.64,2.8%,6.5%,64.8%,54.3%,44.7%
0.94,1.3%,0.0%,69.3%,69.2%,56.5%
1.15,1.2%,3.5%,61.2%,78.8%,51.5%
1.28,4.5%,3.0%,70.1%,72.3%,50.0%
1.70,5.7%,0.0%,69.8%,70.3%,81.3%
1.80,0.0%,2.0%,48.0%,83.3%,69.2%
0.63,3.2%,4.8%,57.1%,55.6%,48.1%
0.97,1.2%,3.6%,66.7%,57.1%,53.6%
1.46,1.7%,5.2%,46.6%,81.5%,58.1%
0.98,5.0%,3.8%,62.5%,68.0%,66.7%
0.63,3.8%,7.5%,66.0%,54.3%,44.4%
0.78,4.5%,3.6%,62.7%,62.3%,48.8%
0.91,5.2%,2.2%,63.7%,68.6%,49.0%
0.76,4.3%,1.4%,72.5%,62.0%,52.6%
1.09,1.3%,2.7%,66.7%,66.0%,52.0%
1.23,2.9%,2.9%,74.3%,73.1%,61.1%
1.62,5.6%,1.9%,70.4%,73.7%,56.3%
1.61,7.7%,3.8%,69.2%,75.0%,68.8%
1.30,1.5%,3.0%,64.2%,62.8%,62.5%
1.21,1.4%,5.6%,61.1%,63.6%,46.4%
0.53,2.4%,9.5%,59.5%,56.0%,23.5%
1.44,2.5%,6.3%,58.2%,73.9%,60.6%
1.84,2.0%,8.2%,51.0%,84.0%,58.3%
0.91,2.5%,4.5%,63.1%,65.7%,43.1%
0.44,3.6%,7.1%,62.5%,45.7%,61.9%
0.99,4.0%,3.0%,72.0%,69.4%,53.6%
1.13,2.7%,2.7%,60.9%,74.6%,65.1%
0.57,6.1%,4.5%,56.1%,75.7%,65.5%
1.50,5.6%,0.0%,59.3%,84.4%,59.1%
1.08,2.8%,5.6%,70.1%,72.0%,37.5%
1.10,3.8%,4.8%,63.8%,68.7%,50.0%
1.78,6.5%,2.2%,63.0%,75.9%,52.9%
1.44,1.9%,1.9%,70.4%,65.8%,43.8%
0.75,2.1%,6.3%,54.2%,61.5%,31.8%
0.28,0.0%,5.0%,55.0%,45.5%,33.3%
0.93,0.0%,4.8%,65.5%,67.3%,34.5%
1.36,1.6%,3.2%,60.3%,76.3%,36.0%
0.71,0.0%,2.0%,69.4%,47.1%,53.3%
0.93,2.1%,4.2%,65.0%,62.4%,48.0%
1.15,1.3%,5.1%,65.4%,58.8%,44.4%
1.28,0.0%,3.4%,70.7%,70.7%,35.3%
0.86,1.3%,9.1%,55.8%,55.8%,47.1%
