DR,A%,DF%,1stIn,1st%,2nd%
0.49,0.0%,4.5%,45.5%,80.0%,33.3%
1.12,0.0%,12.8%,59.0%,65.2%,37.5%
1.23,0.0%,6.0%,68.0%,61.8%,50.0%
0.76,2.6%,7.9%,68.4%,50.0%,41.7%
0.60,0.0%,7.8%,62.2%,62.5%,29.4%
1.21,1.3%,3.8%,64.1%,68.0%,39.3%
0.82,1.2%,8.3%,67.9%,63.2%,25.9%
1.64,4.0%,2.0%,78.0%,76.9%,63.6%
1.52,5.1%,10.3%,59.0%,65.2%,56.3%
0.77,4.2%,1.4%,50.0%,61.1%,41.7%
0.80,6.8%,4.1%,69.9%,64.7%,40.9%
1.13,8.8%,4.4%,67.6%,65.2%,54.5%
1.41,3.1%,6.3%,68.8%,77.3%,35.0%
0.95,9.7%,0.0%,63.1%,72.3%,52.6%
0.74,3.2%,3.2%,65.1%,51.2%,31.8%
1.10,9.9%,3.0%,63.4%,70.3%,56.8%
2.00,5.6%,8.3%,61.1%,81.8%,50.0%
0.88,3.9%,1.3%,62.3%,68.8%,24.1%
0.97,9.2%,2.3%,62.1%,70.4%,39.4%
1.80,7.1%,0.0%,66.7%,82.1%,42.9%
0.49,1.5%,6.2%,64.6%,64.3%,39.1%
1.04,5.2%,4.2%,64.6%,75.8%,38.2%
1.01,2.4%,6.0%,74.7%,58.1%,66.7%
1.03,5.5%,4.5%,74.5%,70.7%,39.3%
0.55,4.9%,4.9%,61.7%,72.0%,41.9%
1.19,5.7%,4.3%,61.4%,60.5%,48.1%
1.22,0.0%,3.0%,67.2%,60.0%,36.4%
0.93,1.1%,3.4%,65.5%,56.1%,40.0%
1.60,4.8%,4.8%,71.4%,70.0%,58.3%
1.04,3.2%,5.4%,59.1%,78.2%,47.4%
0.69,6.1%,4.9%,63.8%,69.2%,47.5%
0.78,0.0%,3.1%,64.1%,58.5%,34.8%
1.04,1.8%,1.8%,71.2%,51.9%,68.8%
2.08,0.0%,4.5%,50.0%,81.8%,63.6%
0.82,3.7%,9.3%,57.4%,67.7%,30.4%
2.36,2.3%,0.0%,63.6%,78.6%,75.0%
1.31,4.7%,3.5%,72.9%,64.5%,60.9%
1.25,3.7%,2.5%,69.1%,58.9%,40.0%
0.72,0.0%,1.4%,73.0%,44.4%,55.0%
1.51,0.0%,0.0%,71.9%,65.9%,50.0%
1.46,3.2%,3.2%,68.3%,65.1%,60.0%
0.93,6.1%,7.1%,63.6%,61.9%,38.9%
2.00,3.8%,7.7%,57.7%,86.7%,63.6%
1.16,6.7%,1.1%,61.1%,63.6%,40.0%
1.17,1.4%,2.8%,63.9%,63.0%,53.8%
0.88,2.5%,6.3%,72.5%,60.3%,50.0%
0.91,2.6%,5.2%,55.8%,60.5%,29.4%
