DR,A%,DF%,1stIn,1st%,2nd%
0.49,0.0%,0.0%,71.9%,43.5%,11.1%
2.09,2.1%,0.0%,70.2%,84.8%,64.3%
1.12,5.9%,5.0%,62.4%,76.2%,57.9%
1.81,8.2%,0.0%,49.0%,87.5%,64.0%
1.47,4.5%,3.0%,68.7%,76.1%,52.4%
1.08,7.5%,5.6%,63.6%,70.6%,48.7%
0.69,11.5%,3.8%,62.8%,69.4%,41.4%
1.10,8.5%,4.2%,50.7%,83.3%,54.3%
1.15,6.4%,3.2%,62.8%,79.7%,57.1%
1.33,6.3%,3.1%,73.4%,68.1%,58.8%
1.20,7.5%,2.2%,67.7%,71.4%,50.0%
2.27,8.2%,0.0%,71.4%,74.3%,50.0%
1.51,5.2%,3.4%,65.5%,78.9%,50.0%
1.34,4.7%,0.0%,68.8%,65.9%,65.0%
0.77,4.4%,1.1%,71.4%,72.3%,50.0%
1.66,12.2%,2.0%,67.3%,81.8%,62.5%
1.25,6.1%,6.1%,69.7%,63.0%,60.0%
0.73,5.2%,3.4%,60.3%,54.3%,26.1%
0.97,1.0%,2.0%,68.7%,66.2%,41.9%
1.05,11.1%,1.9%,72.2%,71.8%,50.0%
0.86,2.8%,0.9%,69.2%,66.2%,51.5%
1.04,5.6%,0.0%,70.4%,66.0%,76.2%
0.94,3.0%,1.0%,55.6%,63.6%,52.3%
0.71,9.2%,1.5%,66.2%,55.8%,45.5%
0.62,1.6%,3.3%,67.2%,65.9%,50.0%
1.13,21.1%,1.3%,65.8%,78.0%,53.8%
1.55,16.1%,1.8%,69.6%,76.9%,52.9%
0.35,2.3%,2.3%,62.8%,37.0%,50.0%
1.89,1.8%,0.0%,72.7%,75.0%,66.7%
1.84,2.3%,0.0%,76.7%,72.7%,60.0%
0.36,3.0%,0.0%,74.2%,59.2%,47.1%
0.75,1.7%,1.7%,60.3%,74.3%,56.5%
1.34,1.8%,5.3%,63.2%,66.7%,52.4%
1.24,2.2%,0.0%,63.0%,60.3%,58.8%
0.93,9.4%,1.9%,74.5%,74.7%,44.4%
1.10,12.1%,1.5%,63.6%,81.0%,41.7%
0.33,5.6%,0.0%,55.6%,56.7%,25.0%
0.74,1.4%,1.4%,71.0%,73.5%,40.0%
1.41,2.8%,0.0%,71.8%,76.5%,75.0%
0.54,3.9%,3.9%,64.5%,63.3%,44.4%
0.94,3.7%,0.9%,65.4%,58.6%,54.1%
0.82,14.7%,1.3%,66.7%,72.0%,36.0%
0.85,4.6%,2.3%,64.4%,60.7%,51.6%
0.50,0.0%,3.9%,62.7%,50.0%,31.6%
1.40,1.9%,1.9%,60.4%,78.1%,61.9%
1.25,8.5%,0.0%,69.5%,70.7%,55.6%
0.84,6.4%,2.1%,68.1%,67.2%,43.3%
1.23,15.5%,0.0%,63.8%,83.8%,42.9%
1.15,5.4%,5.4%,59.8%,74.5%,56.8%
0.55,4.8%,0.0%,65.1%,51.2%,50.0%
0.72,5.7%,3.4%,64.8%,75.4%,41.9%
0.87,4.1%,0.7%,72.4%,67.6%,65.0%
1.20,20.5%,0.0%,67.9%,79.2%,64.0%
1.75,9.8%,0.0%,76.5%,79.5%,66.7%
0.43,4.2%,2.8%,64.8%,60.9%,44.0%
0.49,4.4%,0.0%,68.9%,64.5%,50.0%
1.60,3.7%,0.0%,75.9%,75.6%,69.2%
1.96,13.0%,4.3%,73.9%,79.4%,58.3%
1.60,5.2%,0.0%,79.3%,76.1%,75.0%
0.57,4.0%,0.0%,68.0%,58.8%,31.3%
0.91,2.6%,0.9%,73.0%,63.1%,58.1%
1.45,5.5%,5.5%,61.6%,71.1%,71.4%
1.75,17.8%,2.2%,71.1%,68.8%,69.2%
1.44,5.3%,0.0%,71.9%,75.6%,50.0%
0.81,1.2%,2.4%,68.7%,57.9%,42.3%
1.65,4.4%,2.9%,76.5%,80.8%,62.5%
0.90,5.4%,0.0%,65.2%,70.0%,62.5%
