DR,A%,DF%,1stIn,1st%,2nd%
0.94,0.0%,1.7%,66.1%,64.1%,50.0%
0.93,6.3%,1.8%,62.5%,65.7%,40.5%
3.24,2.9%,2.9%,76.5%,84.6%,75.0%
1.79,2.3%,2.3%,65.9%,75.9%,60.0%
1.22,1.5%,6.0%,65.7%,63.6%,56.5%
1.60,0.0%,9.8%,45.1%,73.9%,60.7%
1.69,0.0%,0.0%,52.2%,79.2%,54.5%
1.13,2.6%,3.9%,59.2%,55.6%,45.2%
0.72,2.6%,0.0%,59.2%,60.0%,58.1%
1.20,9.7%,5.3%,49.6%,80.4%,52.6%
0.89,2.8%,1.9%,61.3%,60.0%,36.6%
1.67,3.3%,1.7%,65.0%,69.2%,71.4%
1.74,3.1%,0.0%,62.5%,65.0%,58.3%
0.81,3.4%,3.4%,65.9%,62.1%,43.3%
1.61,5.6%,0.0%,75.9%,65.9%,46.2%
1.33,1.7%,5.0%,71.7%,72.1%,52.9%
4.81,8.1%,2.7%,45.9%,88.2%,90.0%
1.22,4.3%,8.6%,61.4%,76.7%,44.4%
0.58,0.0%,0.0%,70.8%,58.8%,42.9%
1.53,3.6%,0.0%,66.1%,67.6%,68.4%
1.58,0.0%,5.8%,60.9%,81.0%,51.9%
1.86,9.5%,0.0%,73.8%,74.2%,63.6%
0.82,0.0%,3.2%,51.6%,53.1%,40.0%
0.70,0.0%,6.6%,54.1%,60.6%,35.7%
0.48,0.0%,0.0%,74.1%,65.1%,40.0%
1.35,5.6%,1.4%,58.3%,73.8%,76.7%
1.16,1.0%,3.1%,67.7%,63.1%,64.5%
0.63,4.1%,4.1%,57.1%,60.7%,42.9%
1.53,3.8%,1.9%,61.5%,84.4%,45.0%
0.98,4.2%,1.0%,67.7%,63.1%,48.4%
1.33,1.5%,3.1%,66.2%,69.8%,50.0%
1.19,8.4%,2.4%,69.9%,79.3%,32.0%
1.46,14.0%,1.8%,75.4%,67.4%,78.6%
2.35,11.1%,6.7%,60.0%,88.9%,66.7%
1.14,6.8%,0.0%,68.2%,66.7%,50.0%
1.58,10.2%,3.4%,71.2%,78.6%,52.9%
0.63,1.6%,4.8%,66.7%,59.5%,47.6%
0.73,10.9%,4.3%,56.5%,57.7%,55.0%
0.98,7.5%,2.5%,61.3%,69.4%,51.6%
0.65,5.4%,3.6%,60.7%,52.9%,50.0%
0.81,2.2%,0.0%,55.4%,56.9%,41.5%
1.01,1.2%,2.4%,58.8%,64.0%,54.3%
0.61,1.7%,3.3%,45.0%,51.9%,39.4%
0.61,3.0%,4.5%,56.1%,64.9%,41.4%
0.99,0.0%,5.3%,56.4%,69.8%,43.9%
0.76,1.1%,2.2%,57.8%,51.9%,57.9%
0.80,0.0%,3.2%,58.9%,69.6%,41.0%
1.34,1.7%,1.7%,59.3%,60.0%,58.3%
1.07,1.0%,3.0%,41.4%,73.2%,53.4%
0.89,3.7%,0.0%,67.9%,70.9%,50.0%
1.04,2.1%,2.1%,58.9%,66.1%,51.3%
0.74,3.6%,7.3%,41.8%,52.2%,43.8%
0.78,6.8%,4.9%,65.0%,64.2%,44.4%
1.09,4.7%,2.8%,55.1%,62.7%,77.1%
0.59,1.9%,1.9%,53.4%,56.4%,39.6%
1.08,0.6%,1.9%,63.5%,65.7%,45.6%
0.98,2.1%,5.3%,61.1%,67.2%,51.4%
1.32,0.0%,1.7%,57.6%,76.5%,48.0%
1.41,3.2%,1.6%,55.6%,71.4%,64.3%
0.81,8.9%,5.1%,55.7%,65.9%,57.1%
0.56,0.0%,8.0%,47.1%,73.2%,39.1%
1.08,1.1%,10.0%,38.9%,77.1%,47.3%
1.07,6.3%,8.9%,40.5%,65.6%,55.3%
0.88,3.2%,3.2%,57.1%,72.2%,48.1%
0.67,1.6%,3.1%,59.4%,60.5%,42.3%
1.24,5.2%,3.9%,68.8%,83.0%,50.0%
1.31,7.9%,4.8%,61.9%,76.9%,41.7%
0.82,1.5%,3.0%,44.8%,56.7%,56.8%
2.19,4.7%,2.3%,72.1%,77.4%,66.7%
0.66,3.7%,2.5%,61.7%,68.0%,35.5%
0.88,4.3%,7.4%,48.9%,65.2%,39.6%
0.74,3.1%,1.5%,53.8%,68.6%,40.0%
0.93,12.8%,2.6%,60.3%,74.5%,51.6%
0.88,5.8%,5.8%,55.8%,67.2%,45.7%
0.50,10.6%,4.7%,70.6%,73.3%,48.0%
0.93,5.4%,4.5%,63.4%,60.6%,46.3%
1.81,5.9%,3.9%,66.7%,88.2%,47.1%
1.28,3.2%,2.2%,58.1%,74.1%,59.0%
1.57,5.5%,1.8%,58.2%,84.4%,56.5%
0.91,7.5%,1.1%,65.6%,70.5%,62.5%
1.63,6.2%,1.2%,67.9%,78.2%,69.2%
1.65,7.0%,0.0%,49.1%,82.1%,62.1%
0.67,3.0%,3.0%,56.1%,75.7%,34.5%
1.21,11.9%,1.5%,53.7%,80.6%,54.8%
1.48,4.9%,0.0%,60.7%,62.2%,66.7%
1.20,11.1%,4.8%,69.8%,75.0%,57.9%
0.99,9.3%,4.1%,67.0%,70.8%,62.5%
0.82,3.0%,1.0%,55.4%,55.4%,53.3%
