DR,A%,DF%,1stIn,1st%,2nd%
0.93,2.4%,0.0%,85.4%,65.7%,16.7%
1.35,4.1%,5.5%,58.9%,83.7%,50.0%
1.17,4.8%,4.8%,58.1%,75.4%,56.8%
0.49,2.4%,4.9%,56.1%,43.5%,22.2%
1.51,1.7%,3.4%,70.7%,82.9%,41.2%
1.27,9.5%,2.4%,66.7%,75.0%,39.3%
1.00,2.0%,5.0%,59.4%,61.7%,61.0%
0.91,0.0%,2.1%,72.2%,60.0%,51.9%
1.65,7.4%,1.9%,72.2%,76.9%,60.0%
0.59,0.0%,3.8%,73.1%,42.1%,35.7%
1.80,13.5%,1.9%,76.9%,85.0%,50.0%
1.09,3.6%,2.4%,54.2%,57.8%,63.2%
0.93,8.0%,3.0%,71.0%,70.4%,62.1%
1.44,12.8%,0.0%,56.4%,72.7%,70.6%
0.87,11.1%,4.8%,73.0%,69.6%,29.4%
1.15,7.2%,1.8%,70.3%,70.5%,45.5%
1.52,8.8%,0.0%,67.6%,80.4%,63.6%
0.92,9.1%,3.6%,69.1%,78.9%,47.1%
1.33,5.0%,2.5%,57.5%,71.7%,55.9%
1.18,6.5%,2.2%,60.2%,73.2%,56.8%
0.81,3.2%,0.0%,80.6%,50.0%,58.3%
1.36,1.4%,1.4%,78.6%,67.3%,53.3%
1.42,1.7%,3.4%,61.0%,72.2%,56.5%
1.12,1.4%,2.9%,64.3%,62.2%,60.0%
1.96,2.4%,2.4%,63.4%,69.2%,80.0%
0.71,2.3%,5.8%,53.5%,69.6%,42.5%
1.60,0.0%,1.8%,76.4%,69.0%,84.6%
0.99,2.9%,2.9%,72.9%,72.5%,52.6%
0.96,0.0%,1.1%,62.5%,65.5%,45.5%
1.07,8.0%,2.7%,55.4%,72.6%,56.0%
1.54,0.0%,0.0%,76.9%,66.0%,60.0%
1.23,6.5%,1.9%,72.9%,71.8%,58.6%
0.86,0.0%,2.5%,65.3%,57.1%,48.8%
1.26,2.4%,0.0%,64.3%,63.0%,73.3%
0.43,4.7%,7.0%,65.1%,46.4%,20.0%
1.06,1.8%,1.8%,67.3%,58.1%,63.9%
0.57,10.9%,8.7%,46.7%,72.1%,40.8%
0.50,1.5%,7.6%,56.1%,45.9%,51.7%
0.52,4.9%,4.9%,71.6%,74.0%,31.0%
0.84,5.5%,0.0%,67.3%,64.9%,33.3%
2.28,11.9%,2.4%,61.9%,84.6%,68.8%
1.49,1.6%,0.0%,54.8%,67.6%,75.0%
0.94,2.1%,3.2%,54.7%,67.3%,51.2%
2.11,11.4%,4.5%,45.5%,95.0%,62.5%
0.89,3.5%,7.0%,61.4%,71.4%,40.9%
1.09,2.3%,0.0%,64.8%,77.2%,48.4%
1.59,0.0%,0.0%,70.0%,65.7%,80.0%
2.13,6.8%,2.3%,72.7%,68.8%,83.3%
1.10,7.4%,2.8%,58.3%,81.0%,53.3%
0.99,3.4%,3.4%,59.1%,76.9%,55.6%
1.27,5.0%,1.0%,62.4%,71.4%,60.5%
0.80,9.2%,3.8%,57.3%,76.0%,50.0%
1.13,7.4%,6.3%,58.9%,80.4%,61.5%
1.09,5.1%,1.7%,60.7%,74.6%,69.6%
1.01,11.0%,0.8%,58.5%,79.7%,55.1%
1.66,16.4%,3.3%,50.8%,80.6%,70.0%
0.87,0.0%,2.8%,75.0%,60.5%,63.0%
1.58,10.7%,7.1%,55.4%,80.6%,52.0%
0.87,5.3%,2.6%,63.2%,70.8%,46.4%
0.82,8.9%,6.7%,62.2%,71.4%,52.9%
2.11,11.1%,1.9%,79.6%,83.7%,63.6%
1.39,0.0%,1.8%,76.8%,69.8%,69.2%
0.93,0.9%,2.6%,76.7%,57.3%,44.4%
1.41,8.1%,3.5%,74.4%,84.4%,54.5%
1.57,11.8%,2.0%,60.8%,83.9%,60.0%
0.76,1.6%,0.0%,81.0%,54.9%,50.0%
0.94,2.5%,1.3%,64.6%,66.7%,50.0%
1.23,2.4%,1.2%,68.2%,63.8%,51.9%
0.93,2.1%,2.1%,73.7%,65.7%,52.0%
1.18,12.1%,2.0%,63.6%,68.3%,61.1%
0.96,1.7%,2.6%,70.7%,69.5%,41.2%
1.53,8.2%,0.0%,68.9%,78.6%,36.8%
2.93,7.3%,0.0%,73.2%,83.3%,81.8%
0.45,0.0%,7.8%,52.9%,48.1%,50.0%
0.68,4.9%,6.6%,57.4%,54.3%,34.6%
0.64,3.4%,3.4%,71.6%,61.9%,56.0%
1.06,19.1%,4.3%,71.3%,76.1%,59.3%
1.30,13.1%,1.6%,65.6%,75.0%,42.9%
0.92,6.7%,2.9%,59.6%,80.6%,52.4%
1.41,6.0%,3.0%,52.2%,77.1%,71.9%
2.50,11.4%,2.3%,63.6%,85.7%,75.0%
0.94,7.8%,3.3%,65.6%,69.5%,38.7%
0.49,6.0%,4.5%,62.7%,71.4%,40.0%
1.52,7.7%,2.6%,71.8%,78.6%,50.0%
0.66,6.2%,1.5%,64.6%,69.0%,39.1%
1.24,10.4%,3.0%,68.7%,82.6%,52.4%
0.91,0.0%,5.1%,70.5%,54.5%,43.5%
0.79,0.0%,0.0%,55.6%,50.0%,62.5%
0.95,1.2%,4.8%,79.8%,65.7%,35.3%
0.85,7.4%,2.1%,61.7%,58.6%,58.3%
1.45,6.3%,6.3%,50.0%,66.7%,62.5%
0.68,4.8%,3.6%,71.4%,65.0%,45.8%
0.74,0.0%,5.1%,67.3%,51.5%,53.1%
1.90,0.0%,4.4%,64.4%,65.5%,75.0%
0.72,2.1%,4.3%,67.0%,63.5%,35.5%
1.01,4.4%,2.2%,76.7%,75.4%,33.3%
1.42,2.1%,0.0%,84.2%,76.3%,60.0%
1.29,4.1%,0.0%,77.6%,71.1%,59.1%
0.83,3.8%,4.8%,62.5%,52.3%,41.0%
1.16,2.3%,2.3%,62.5%,65.5%,54.5%
1.16,6.6%,2.2%,83.5%,71.1%,40.0%
1.40,6.9%,1.4%,65.3%,78.7%,48.0%
1.61,7.5%,1.9%,67.9%,80.6%,76.5%
0.53,1.8%,7.3%,69.1%,47.4%,29.4%
0.98,3.8%,2.5%,65.8%,75.0%,51.9%
0.92,1.6%,9.8%,54.1%,60.6%,42.9%
0.88,14.5%,2.9%,73.9%,54.9%,50.0%
0.85,7.9%,3.5%,61.4%,67.1%,45.5%
0.68,3.0%,0.0%,70.1%,66.0%,60.0%
0.65,0.0%,1.3%,73.3%,61.8%,50.0%
1.24,3.2%,3.2%,77.4%,70.8%,50.0%
0.99,2.3%,2.3%,72.4%,69.8%,50.0%
1.35,0.0%,1.6%,73.0%,71.7%,70.6%
0.76,1.3%,1.3%,76.0%,52.6%,38.9%
0.43,1.8%,5.4%,57.1%,50.0%,33.3%
0.85,6.1%,4.9%,63.4%,61.5%,46.7%
1.02,5.4%,1.8%,72.1%,62.5%,48.4%
1.04,4.3%,4.3%,62.4%,62.1%,54.3%
0.60,1.7%,1.7%,50.0%,62.1%,41.4%
1.93,7.7%,5.1%,53.8%,85.7%,44.4%
0.90,1.1%,3.4%,69.3%,59.0%,44.4%
0.97,1.1%,2.2%,71.7%,66.7%,53.8%
2.01,2.1%,2.1%,63.8%,93.3%,52.9%
1.71,6.4%,6.4%,61.7%,72.4%,66.7%
0.86,9.1%,1.8%,70.9%,64.1%,56.3%
1.21,3.3%,14.3%,56.0%,74.5%,50.0%
0.48,6.3%,4.2%,47.9%,52.2%,40.0%
1.15,6.7%,4.4%,60.0%,70.4%,47.2%
0.56,1.9%,1.9%,67.9%,63.9%,35.3%
0.67,9.9%,1.2%,63.0%,68.6%,60.0%
1.80,22.2%,11.1%,66.7%,75.0%,66.7%
1.08,5.1%,3.1%,64.3%,73.0%,40.0%
0.76,11.9%,1.7%,71.2%,61.9%,35.3%
1.54,11.9%,5.1%,61.0%,75.0%,52.2%
0.83,4.3%,2.1%,57.4%,61.1%,27.5%
1.33,3.1%,3.1%,66.2%,69.8%,54.5%
1.07,3.2%,2.1%,69.5%,71.2%,58.6%
1.26,8.2%,2.7%,67.1%,73.5%,58.3%
0.82,1.6%,1.6%,74.2%,56.5%,31.3%
1.75,13.6%,0.0%,63.6%,71.4%,68.8%
1.62,5.7%,1.9%,67.9%,77.8%,58.8%
0.80,6.7%,5.3%,61.3%,60.9%,41.4%
0.98,8.1%,3.0%,60.6%,63.3%,56.4%
0.74,4.5%,3.0%,52.2%,74.3%,46.9%
0.97,7.1%,4.4%,64.6%,72.6%,47.5%
0.59,5.4%,5.4%,71.4%,52.5%,62.5%
0.82,8.5%,4.3%,70.2%,57.6%,50.0%
0.59,5.5%,8.2%,68.5%,64.0%,43.5%
1.00,9.6%,6.0%,51.8%,62.8%,42.5%
1.31,18.8%,1.3%,55.0%,79.5%,55.6%
0.82,4.3%,0.0%,78.3%,55.6%,53.3%
0.96,6.1%,1.2%,51.2%,81.0%,67.5%
0.67,7.3%,3.6%,63.6%,65.7%,20.0%
0.80,1.1%,3.4%,73.0%,58.5%,29.2%
1.23,9.2%,1.1%,67.8%,69.5%,57.1%
0.73,1.3%,9.0%,65.4%,68.6%,33.3%
1.11,4.2%,2.8%,45.1%,78.1%,41.0%
0.78,1.4%,5.4%,62.2%,63.0%,35.7%
0.82,3.9%,1.3%,61.8%,55.3%,48.3%
1.93,2.2%,2.2%,77.8%,77.1%,70.0%
1.34,3.9%,2.9%,67.0%,71.0%,64.7%
1.26,4.8%,6.3%,63.5%,65.0%,39.1%
0.93,5.0%,2.0%,68.3%,69.6%,56.3%
0.62,2.8%,4.2%,59.7%,72.1%,48.3%
1.46,15.9%,3.2%,63.5%,80.0%,65.2%
0.49,1.7%,5.0%,66.7%,47.5%,35.0%
0.97,3.3%,0.0%,70.0%,60.3%,48.1%
1.32,9.7%,2.8%,58.3%,69.0%,60.0%
2.00,4.2%,0.0%,81.3%,74.4%,66.7%
1.31,2.9%,1.5%,63.2%,67.4%,68.0%
1.67,1.7%,0.0%,57.6%,76.5%,56.0%
1.58,1.8%,1.8%,53.6%,73.3%,61.5%
0.85,0.9%,0.9%,64.2%,60.0%,43.6%
1.20,3.8%,0.0%,67.1%,71.7%,26.9%
1.24,2.6%,0.0%,73.1%,61.4%,76.2%
1.06,2.6%,2.6%,69.7%,60.4%,52.2%
0.73,3.0%,1.5%,65.7%,56.8%,73.9%
1.18,6.6%,1.3%,60.5%,67.4%,53.3%
2.21,2.3%,0.0%,67.4%,79.3%,64.3%
1.66,6.4%,2.1%,55.3%,69.2%,61.9%
2.53,0.0%,0.0%,50.0%,85.0%,70.0%
0.80,2.8%,5.6%,49.3%,74.3%,52.8%
0.91,3.3%,3.3%,67.2%,58.5%,70.0%
1.06,1.0%,1.0%,72.1%,61.3%,55.2%
0.86,0.0%,2.2%,74.2%,60.9%,45.8%
1.03,0.0%,6.3%,55.7%,79.5%,37.1%
1.96,4.3%,4.3%,55.3%,84.6%,66.7%
1.67,5.3%,5.3%,47.4%,77.8%,60.0%
1.56,6.5%,2.2%,63.0%,82.8%,41.2%
1.48,1.6%,1.6%,66.1%,78.0%,38.1%
1.09,3.6%,7.1%,59.5%,68.0%,50.0%
0.72,0.0%,3.4%,59.3%,48.6%,29.2%
0.98,1.1%,2.2%,61.3%,57.9%,47.2%
1.50,0.0%,5.5%,61.8%,76.5%,52.4%
0.93,1.3%,0.0%,57.5%,67.4%,32.4%
1.53,7.4%,0.0%,48.1%,76.9%,53.6%
1.24,3.6%,2.4%,59.0%,63.3%,55.9%
1.72,1.9%,1.9%,77.4%,70.7%,58.3%
1.40,4.4%,2.9%,61.8%,69.0%,50.0%
2.39,16.7%,4.8%,54.8%,91.3%,52.6%
1.79,7.3%,1.8%,49.1%,77.8%,71.4%
0.81,4.8%,1.6%,51.6%,62.5%,40.0%
0.83,1.4%,2.9%,51.4%,58.3%,35.3%
0.44,1.7%,1.7%,70.0%,54.8%,55.6%
0.80,4.3%,3.2%,65.6%,57.4%,40.6%
0.96,0.0%,1.2%,77.1%,60.9%,31.6%
1.94,6.8%,0.0%,81.8%,75.0%,50.0%
1.75,7.7%,0.0%,80.8%,76.2%,70.0%
0.87,1.3%,4.0%,80.0%,58.3%,33.3%
0.61,1.4%,6.8%,68.5%,62.0%,56.5%
1.31,1.2%,2.4%,73.8%,67.7%,59.1%
1.21,2.1%,1.0%,77.3%,68.0%,68.2%
0.86,3.6%,5.4%,73.2%,68.3%,46.7%
0.96,0.8%,4.1%,76.9%,63.4%,42.9%
0.70,6.7%,5.0%,68.3%,58.5%,47.4%
0.94,7.4%,9.8%,54.1%,66.7%,46.4%
1.40,0.0%,1.8%,74.5%,63.4%,71.4%
0.71,2.5%,6.3%,72.2%,61.4%,40.9%
1.12,2.4%,2.4%,69.0%,70.7%,50.0%
0.69,1.9%,7.7%,50.0%,61.5%,42.3%
0.61,2.6%,5.1%,66.7%,59.6%,38.5%
