DR,A%,DF%,1stIn,1st%,2nd%
0.81,5.1%,3.0%,65.7%,64.6%,41.2%
1.31,8.8%,2.9%,67.6%,73.9%,68.2%
1.21,5.1%,5.1%,62.7%,81.1%,59.1%
1.39,6.8%,1.4%,71.6%,66.0%,71.4%
2.45,8.2%,2.0%,61.2%,90.0%,73.7%
0.70,7.1%,4.8%,61.9%,59.6%,43.8%
1.01,5.5%,0.9%,62.7%,65.2%,41.5%
0.89,5.5%,1.1%,61.5%,73.2%,42.9%
1.17,6.3%,2.1%,64.2%,77.0%,52.9%
1.82,4.3%,6.4%,55.3%,73.1%,61.9%
0.34,5.7%,5.7%,62.3%,60.6%,55.0%
0.66,2.4%,0.0%,48.8%,45.0%,38.1%
0.72,7.6%,10.6%,57.6%,60.5%,46.4%
0.33,12.3%,7.0%,66.7%,63.2%,47.4%
0.98,6.7%,1.9%,61.5%,75.0%,55.0%
0.64,4.5%,3.0%,56.7%,55.3%,44.8%
1.31,18.6%,8.6%,58.6%,90.2%,37.9%
1.58,11.1%,5.6%,63.0%,82.4%,40.0%
0.68,5.3%,2.7%,66.7%,68.0%,60.0%
1.05,15.4%,1.9%,67.3%,78.6%,55.9%
0.90,13.4%,3.7%,54.9%,66.7%,62.2%
2.20,6.8%,4.5%,59.1%,84.6%,77.8%
0.66,6.3%,1.3%,67.1%,69.8%,46.2%
0.85,11.1%,11.1%,66.7%,50.0%,16.7%
0.77,9.3%,1.7%,61.0%,68.1%,43.5%
0.98,6.5%,3.9%,58.4%,68.9%,53.1%
1.34,5.7%,2.9%,58.1%,67.2%,65.9%
2.07,11.4%,0.0%,77.3%,79.4%,70.0%
1.14,6.7%,1.1%,62.9%,71.4%,27.3%
1.64,20.4%,1.9%,90.7%,75.5%,60.0%
0.49,5.8%,1.9%,55.8%,62.1%,26.1%
0.83,5.9%,5.9%,60.4%,73.8%,42.5%
2.40,12.5%,0.0%,82.5%,78.8%,85.7%
0.76,2.2%,0.0%,52.7%,57.1%,47.7%
0.65,0.0%,7.9%,46.0%,55.2%,35.3%
0.66,4.9%,3.3%,67.2%,70.7%,50.0%
1.21,11.9%,4.5%,59.7%,80.0%,55.6%
0.80,5.7%,2.3%,68.2%,75.0%,46.4%
0.89,16.4%,1.4%,69.9%,72.5%,45.5%
1.10,9.8%,2.2%,63.0%,82.8%,47.1%
0.51,5.9%,3.5%,62.4%,71.7%,53.1%
0.84,15.4%,1.3%,59.0%,76.1%,40.6%
0.86,6.6%,1.3%,64.5%,77.6%,40.7%
1.43,6.7%,6.7%,65.0%,69.2%,57.1%
1.71,10.4%,0.0%,66.7%,81.3%,62.5%
0.62,5.1%,6.4%,56.4%,56.8%,44.1%
1.24,11.6%,2.9%,59.4%,75.6%,42.9%
0.75,4.8%,2.4%,61.4%,68.6%,59.4%
0.74,7.0%,5.0%,63.0%,69.8%,37.8%
8.26,35.7%,2.4%,73.8%,100.0%,81.8%
0.90,9.1%,3.0%,59.6%,66.1%,47.5%
1.45,12.6%,3.4%,55.2%,77.1%,61.5%
0.85,18.1%,5.0%,58.8%,77.7%,45.5%
1.35,13.2%,5.3%,52.6%,83.3%,66.7%
2.72,14.0%,0.0%,67.4%,86.2%,78.6%
1.38,18.5%,7.4%,57.4%,77.4%,52.2%
2.68,18.9%,0.0%,67.6%,84.0%,66.7%
1.11,15.6%,3.3%,53.3%,83.3%,47.6%
1.24,12.5%,1.4%,63.9%,73.9%,50.0%
0.84,6.5%,3.2%,53.2%,75.8%,62.1%
1.31,18.2%,6.8%,65.9%,75.9%,60.0%
0.76,14.3%,3.6%,65.5%,67.3%,51.7%
1.45,8.2%,1.6%,62.3%,78.9%,56.5%
0.27,8.6%,8.6%,57.1%,40.0%,33.3%
