DR,A%,DF%,1stIn,1st%,2nd%
0.75,4.0%,8.0%,52.0%,65.4%,41.7%
1.59,14.8%,1.9%,61.1%,78.8%,52.4%
1.41,4.2%,8.3%,43.8%,71.4%,55.6%
0.92,3.7%,6.4%,47.7%,65.4%,45.6%
0.41,1.6%,6.6%,47.5%,55.2%,46.9%
0.92,1.3%,2.6%,62.3%,58.3%,55.2%
1.16,7.6%,1.3%,58.2%,73.9%,48.5%
1.07,5.4%,2.7%,60.8%,71.1%,44.8%
0.77,0.0%,3.1%,55.4%,58.3%,51.7%
0.92,1.3%,2.6%,63.6%,67.3%,42.9%
0.87,1.7%,5.0%,58.3%,60.0%,40.0%
0.95,3.1%,6.3%,57.8%,67.6%,55.6%
0.66,9.1%,10.9%,60.0%,63.6%,22.7%
1.42,3.7%,2.5%,55.6%,95.6%,55.6%
0.85,4.5%,6.3%,55.9%,69.4%,32.7%
0.85,9.2%,2.6%,65.8%,72.0%,50.0%
1.14,4.6%,3.4%,58.6%,74.5%,66.7%
1.28,13.0%,1.4%,65.2%,66.7%,62.5%
1.27,3.8%,0.0%,68.8%,69.1%,64.0%
1.07,5.3%,1.3%,56.6%,62.8%,51.5%
0.63,5.6%,0.0%,77.8%,61.9%,50.0%
0.98,9.1%,0.8%,72.7%,79.2%,44.4%
1.38,6.1%,1.0%,69.7%,71.0%,56.7%
1.30,10.1%,1.4%,66.7%,69.6%,69.6%
0.76,4.2%,0.0%,74.6%,58.5%,61.1%
0.72,3.1%,6.3%,62.5%,65.0%,33.3%
1.15,9.8%,0.0%,75.4%,76.1%,53.3%
0.46,5.9%,5.9%,52.9%,63.0%,41.7%
1.34,3.1%,0.0%,61.5%,65.0%,64.0%
0.59,7.0%,1.8%,70.2%,57.5%,41.2%
1.10,4.9%,8.8%,52.9%,72.2%,56.3%
1.19,5.9%,4.4%,60.3%,70.7%,51.9%
1.53,5.3%,3.5%,54.4%,74.2%,61.5%
0.63,3.2%,2.1%,52.1%,67.3%,48.9%
1.03,11.6%,1.7%,64.5%,70.5%,53.5%
1.02,0.0%,1.3%,49.4%,57.9%,61.5%
0.71,11.9%,14.9%,46.3%,58.1%,50.0%
0.54,6.4%,1.1%,56.4%,73.6%,48.8%
0.73,6.1%,2.0%,55.1%,70.4%,59.1%
0.44,4.0%,4.0%,56.0%,75.0%,54.5%
0.84,9.9%,1.4%,78.9%,62.5%,60.0%
1.19,3.4%,2.2%,62.9%,71.4%,63.6%
0.88,2.0%,3.1%,63.3%,56.5%,47.2%
1.24,14.5%,1.3%,61.8%,72.3%,48.3%
1.32,5.5%,1.4%,53.4%,64.1%,67.6%
1.60,7.7%,1.9%,59.6%,77.4%,57.1%
0.72,7.0%,0.0%,62.0%,50.0%,59.3%
1.31,6.8%,1.7%,74.6%,72.7%,66.7%
1.30,4.8%,4.8%,58.1%,69.4%,34.6%
1.75,8.2%,0.0%,60.7%,78.4%,79.2%
0.66,1.5%,0.0%,61.5%,55.0%,20.0%
1.23,2.6%,2.6%,59.2%,60.0%,64.5%
1.52,8.2%,3.3%,55.7%,82.4%,70.4%
0.74,6.0%,0.0%,54.0%,59.3%,47.8%
1.06,2.2%,2.2%,67.8%,68.9%,62.1%
1.36,1.8%,3.6%,61.8%,73.5%,52.4%
0.68,2.0%,2.0%,60.8%,64.5%,35.0%
0.73,1.3%,1.3%,62.7%,51.1%,46.4%
1.21,7.1%,3.1%,64.3%,69.8%,54.3%
1.07,1.7%,0.0%,70.0%,57.1%,44.4%
1.16,2.6%,2.6%,64.5%,73.5%,59.3%
1.14,1.3%,1.3%,59.5%,72.3%,59.4%
1.48,1.8%,8.8%,61.4%,77.1%,59.1%
0.77,0.0%,1.2%,65.9%,73.2%,62.1%
1.29,12.1%,6.1%,60.6%,70.0%,61.5%
0.89,1.2%,2.4%,60.2%,60.0%,51.5%
0.89,1.4%,2.9%,62.9%,68.2%,34.6%
1.34,2.7%,2.7%,63.0%,69.6%,55.6%
0.78,5.9%,2.0%,70.6%,55.6%,33.3%
1.20,6.1%,0.0%,63.3%,67.7%,55.6%
1.40,5.9%,0.0%,62.7%,71.9%,57.9%
0.98,7.7%,1.5%,72.3%,55.3%,66.7%
0.31,5.7%,4.3%,50.0%,71.4%,37.1%
0.98,10.3%,2.6%,62.8%,81.6%,37.9%
0.99,5.5%,1.1%,58.2%,77.4%,55.3%
1.34,10.9%,1.1%,73.9%,75.0%,62.5%
0.73,5.2%,3.9%,57.1%,79.5%,39.4%
0.49,8.2%,2.7%,64.4%,63.8%,42.3%
0.58,3.8%,5.7%,69.8%,56.8%,31.3%
0.57,4.8%,2.4%,56.6%,61.7%,41.7%
3.20,5.9%,2.9%,55.9%,89.5%,73.3%
0.99,10.8%,0.8%,68.3%,73.2%,44.7%
1.19,8.8%,1.3%,65.0%,76.9%,57.1%
0.55,1.6%,3.2%,60.3%,65.8%,44.0%
1.24,7.1%,5.1%,52.5%,82.7%,57.4%
0.64,2.0%,0.0%,56.0%,64.3%,50.0%
1.55,9.8%,0.0%,68.9%,81.0%,68.4%
0.76,6.3%,6.3%,53.2%,61.9%,45.9%
1.64,3.8%,3.8%,71.7%,73.7%,66.7%
1.12,4.3%,1.1%,61.7%,77.6%,55.6%
0.98,1.3%,1.3%,67.5%,71.2%,60.0%
