DR,A%,DF%,1stIn,1st%,2nd%
0.86,9.2%,7.7%,51.5%,85.1%,52.4%
1.61,11.3%,6.5%,62.9%,74.4%,73.9%
1.64,12.9%,3.5%,57.6%,91.8%,61.1%
2.33,2.4%,2.4%,50.0%,81.0%,76.2%
0.69,7.2%,8.6%,56.1%,73.1%,47.5%
0.71,7.0%,1.8%,63.2%,58.3%,61.9%
0.91,2.7%,6.7%,68.0%,78.4%,41.7%
2.18,6.5%,3.2%,51.6%,81.3%,73.3%
0.85,10.1%,2.8%,45.0%,73.5%,48.3%
1.95,22.6%,3.2%,58.1%,91.7%,69.2%
1.48,8.0%,2.0%,58.0%,69.0%,66.7%
1.66,6.4%,6.4%,48.9%,69.6%,62.5%
0.96,9.8%,4.3%,53.3%,77.6%,48.8%
0.46,2.0%,0.0%,60.8%,48.4%,45.0%
0.48,0.0%,10.5%,60.5%,43.5%,40.0%
1.08,26.3%,7.9%,65.8%,78.0%,50.0%
1.28,14.1%,1.6%,57.8%,75.7%,66.7%
0.42,2.4%,4.9%,63.4%,42.3%,53.3%
1.31,5.6%,5.6%,56.9%,75.6%,67.7%
2.18,2.6%,0.0%,48.7%,84.2%,65.0%
0.67,1.6%,0.0%,60.3%,44.7%,60.0%
0.78,4.1%,2.0%,55.1%,66.7%,63.6%
1.19,5.9%,5.9%,54.1%,82.6%,46.2%
1.01,7.1%,5.9%,56.5%,79.2%,51.4%
1.69,8.0%,6.0%,60.0%,80.0%,70.0%
0.90,4.8%,5.8%,52.9%,58.2%,49.0%
0.57,0.0%,0.0%,60.5%,53.8%,47.1%
2.24,11.9%,4.8%,50.0%,76.2%,71.4%
0.91,3.2%,1.6%,55.6%,51.4%,53.6%
1.17,10.8%,0.0%,63.5%,74.5%,59.3%
1.12,2.7%,1.4%,51.4%,73.7%,63.9%
0.83,2.8%,8.5%,56.3%,65.0%,51.6%
3.01,8.8%,5.9%,41.2%,78.6%,85.0%
1.55,6.9%,3.4%,62.1%,69.4%,63.6%
0.47,5.9%,3.9%,54.9%,64.3%,39.1%
0.47,5.1%,10.3%,35.9%,64.3%,24.0%
0.67,1.4%,5.6%,61.1%,63.6%,39.3%
1.13,3.6%,4.5%,58.0%,75.4%,40.4%
1.32,7.7%,5.1%,66.7%,80.8%,34.6%
0.89,6.9%,1.1%,64.4%,53.6%,64.5%
0.89,6.9%,10.3%,52.9%,76.1%,48.8%
2.46,4.9%,4.9%,51.2%,85.7%,75.0%
0.67,5.3%,5.3%,54.4%,61.3%,46.2%
1.05,9.4%,2.8%,52.8%,73.2%,66.0%
1.16,5.3%,0.9%,61.9%,75.7%,60.5%
1.13,10.6%,0.0%,64.7%,74.5%,56.7%
1.70,4.2%,4.2%,62.5%,83.3%,55.6%
0.65,4.9%,4.9%,55.3%,61.4%,56.5%
0.89,2.2%,7.7%,57.1%,67.3%,41.0%
1.77,5.2%,0.0%,60.3%,71.4%,82.6%
0.86,11.0%,3.3%,59.3%,68.5%,54.1%
0.85,1.4%,2.2%,49.3%,58.8%,45.7%
1.47,1.6%,1.6%,47.5%,75.9%,59.4%
1.69,13.8%,3.4%,51.7%,80.0%,75.0%
0.99,5.4%,5.4%,71.7%,71.2%,61.5%
0.74,0.0%,7.2%,58.0%,67.5%,44.8%
2.11,0.0%,0.0%,65.8%,68.0%,84.6%
0.70,3.7%,16.7%,46.3%,72.0%,27.6%
1.07,4.9%,1.2%,68.3%,64.3%,61.5%
1.14,6.2%,3.1%,61.2%,70.9%,48.0%
1.69,6.5%,4.3%,63.0%,79.3%,64.7%
1.09,3.4%,4.5%,56.8%,66.0%,60.5%
1.92,9.1%,4.5%,70.5%,90.3%,38.5%
1.36,6.5%,3.3%,59.8%,78.2%,62.2%
0.77,7.6%,6.3%,50.6%,65.0%,46.2%
1.39,3.0%,6.1%,71.2%,74.5%,47.4%
1.21,7.5%,4.5%,56.7%,71.1%,51.7%
1.36,6.6%,4.9%,62.3%,81.6%,47.8%
0.77,3.3%,3.3%,55.7%,73.5%,40.7%
0.50,5.6%,4.5%,55.1%,67.3%,50.0%
0.76,4.7%,7.0%,57.0%,67.3%,54.1%
1.67,5.7%,3.8%,69.8%,86.5%,43.8%
0.93,1.9%,2.8%,71.3%,68.8%,54.8%
1.01,7.9%,7.9%,63.2%,77.1%,42.9%
1.40,4.7%,4.7%,48.4%,67.7%,63.6%
0.92,16.7%,12.1%,57.6%,76.3%,50.0%
1.24,15.2%,3.0%,62.1%,78.0%,60.0%
0.93,3.7%,3.7%,56.0%,72.1%,41.7%
1.10,4.1%,6.1%,50.0%,71.4%,55.1%
1.38,3.2%,6.5%,58.1%,66.7%,57.7%
1.30,3.4%,8.6%,58.6%,73.5%,45.8%
0.97,3.8%,3.8%,53.2%,61.9%,48.6%
0.58,2.8%,22.2%,33.3%,66.7%,45.8%
1.51,6.2%,7.7%,55.4%,91.7%,55.2%
2.43,13.6%,6.8%,56.8%,88.0%,73.7%
1.26,3.2%,4.8%,46.8%,79.3%,60.6%
2.04,13.5%,10.8%,51.4%,94.7%,61.1%
0.98,6.3%,4.2%,62.1%,59.3%,66.7%
1.10,0.0%,4.1%,56.7%,58.2%,54.8%
0.58,3.0%,6.1%,66.7%,65.9%,59.1%
1.13,2.3%,8.0%,68.2%,63.3%,39.3%
1.04,4.7%,3.5%,57.6%,59.2%,50.0%
1.33,4.2%,2.1%,65.3%,64.5%,51.5%
0.74,2.7%,6.8%,56.2%,80.5%,50.0%
0.90,0.0%,3.2%,63.5%,65.0%,47.8%
0.76,3.7%,4.9%,56.8%,65.2%,48.6%
1.08,20.3%,9.5%,45.9%,70.6%,52.5%
0.39,2.0%,10.0%,48.0%,66.7%,23.1%
1.48,7.3%,1.8%,50.9%,71.4%,63.0%
1.88,0.0%,0.0%,58.7%,81.5%,63.2%
0.77,3.4%,3.4%,60.3%,65.7%,52.2%
1.31,18.8%,2.0%,60.4%,80.3%,60.0%
1.57,7.7%,0.0%,61.5%,75.0%,70.0%
1.28,17.6%,5.4%,60.8%,80.0%,55.2%
1.62,8.2%,6.1%,61.2%,83.3%,63.2%
1.75,16.0%,0.0%,66.0%,78.8%,82.4%
0.64,12.5%,6.3%,68.8%,72.7%,40.0%
0.99,12.3%,0.0%,64.9%,73.0%,45.0%
1.50,11.8%,5.9%,55.9%,81.6%,60.0%
0.88,8.3%,5.2%,53.1%,70.6%,37.8%
0.69,1.1%,2.1%,63.2%,51.7%,34.3%
1.47,5.1%,5.1%,54.2%,71.9%,70.4%
0.53,2.1%,0.0%,66.7%,50.0%,43.8%
