DR,A%,DF%,1stIn,1st%,2nd%
0.70,7.8%,2.0%,58.8%,66.7%,38.1%
1.64,10.7%,1.8%,64.3%,77.8%,60.0%
1.01,15.9%,3.4%,67.0%,74.6%,51.7%
1.53,5.4%,5.4%,62.5%,77.1%,57.1%
0.63,0.0%,8.6%,53.4%,54.8%,44.4%
0.51,7.1%,4.8%,57.1%,66.7%,44.4%
1.03,13.4%,3.1%,61.9%,75.0%,43.2%
1.37,7.1%,5.4%,55.4%,83.9%,60.0%
1.73,18.5%,3.7%,61.1%,81.8%,76.2%
1.30,22.2%,2.8%,66.7%,81.3%,58.3%
0.72,11.7%,2.6%,70.1%,66.7%,43.5%
1.20,12.7%,1.6%,69.8%,77.3%,42.1%
0.67,9.8%,9.8%,65.6%,67.5%,23.8%
0.84,8.7%,4.3%,60.9%,71.4%,48.1%
0.46,17.3%,1.9%,51.9%,74.1%,48.0%
0.87,6.7%,1.1%,72.2%,67.7%,64.0%
0.50,12.4%,4.5%,65.2%,72.4%,45.2%
2.16,20.2%,2.2%,66.3%,88.1%,76.7%
1.02,20.8%,4.0%,63.4%,70.3%,32.4%
1.26,23.6%,0.0%,69.4%,78.0%,59.1%
1.03,29.3%,1.3%,61.3%,80.4%,44.8%
0.82,18.3%,2.9%,59.6%,80.6%,47.6%
2.00,22.0%,0.0%,62.0%,83.9%,73.7%
2.09,18.8%,0.0%,75.0%,87.5%,68.8%
1.14,16.4%,7.8%,58.6%,86.8%,41.7%
4.46,45.0%,2.5%,85.0%,91.2%,83.3%
1.47,21.1%,3.5%,59.6%,79.4%,60.9%
1.20,19.4%,4.1%,69.4%,75.0%,50.0%
1.37,22.2%,1.4%,72.2%,71.2%,60.0%
0.77,9.8%,3.3%,61.8%,69.7%,55.3%
1.05,14.4%,1.1%,66.7%,90.0%,46.7%
1.52,20.4%,6.5%,66.7%,85.5%,61.3%
0.88,15.8%,5.3%,57.9%,75.8%,54.2%
1.23,10.8%,2.4%,65.1%,74.1%,41.4%
0.57,15.5%,6.9%,67.2%,61.5%,36.8%
0.74,3.4%,3.4%,65.5%,63.2%,40.0%
1.18,5.3%,6.7%,56.0%,78.6%,60.6%
0.66,3.2%,1.6%,58.1%,69.4%,46.2%
0.71,5.2%,3.9%,51.9%,77.5%,54.1%
0.43,0.0%,13.9%,63.9%,39.1%,7.7%
1.22,14.4%,5.6%,60.0%,81.5%,58.3%
0.69,3.4%,4.6%,66.7%,75.9%,41.4%
0.71,4.3%,2.9%,65.2%,60.0%,58.3%
1.25,9.7%,5.6%,59.7%,72.1%,58.6%
1.09,11.5%,7.3%,56.3%,81.5%,40.5%
1.96,10.3%,3.4%,63.8%,83.8%,71.4%
0.75,6.5%,1.9%,56.5%,68.9%,51.1%
1.26,7.1%,5.9%,56.5%,77.1%,48.6%
0.46,4.8%,4.8%,66.7%,50.0%,47.6%
0.81,13.1%,4.8%,50.0%,81.0%,47.6%
1.17,15.7%,1.2%,61.4%,76.5%,40.6%
0.68,6.0%,16.0%,54.0%,74.1%,43.5%
1.10,11.7%,5.8%,57.3%,72.9%,50.0%
1.78,6.1%,6.1%,61.2%,80.0%,57.9%
0.87,17.0%,6.3%,52.7%,74.6%,58.5%
1.10,9.8%,4.9%,67.2%,80.5%,75.0%
1.39,17.9%,2.6%,56.4%,77.3%,58.8%
1.68,19.6%,10.9%,65.2%,90.0%,56.3%
0.87,9.5%,9.5%,64.9%,72.9%,38.5%
0.96,8.3%,6.9%,61.8%,70.8%,41.8%
1.38,14.5%,6.6%,59.2%,80.0%,61.3%
1.38,1.6%,6.3%,60.9%,82.1%,64.0%
0.89,8.1%,7.0%,64.0%,74.5%,45.2%
0.84,5.7%,1.1%,60.9%,67.9%,50.0%
0.99,6.0%,7.2%,63.9%,75.5%,40.0%
1.52,11.1%,3.7%,57.4%,83.9%,65.2%
0.83,6.2%,6.2%,54.9%,77.4%,35.3%
1.33,14.9%,9.0%,58.2%,74.4%,39.3%
1.56,12.8%,10.6%,57.4%,81.5%,35.0%
0.73,3.9%,3.9%,68.6%,60.0%,25.0%
0.76,3.8%,5.7%,64.2%,61.8%,42.1%
0.72,12.3%,4.6%,70.8%,65.2%,26.3%
1.12,6.8%,2.7%,63.0%,65.2%,59.3%
0.76,4.6%,1.5%,61.5%,65.0%,44.0%
0.93,8.8%,2.5%,63.7%,64.7%,51.7%
0.91,7.0%,2.8%,57.7%,68.3%,33.3%
0.87,8.4%,6.5%,57.0%,83.6%,50.0%
0.51,9.3%,5.6%,72.2%,48.7%,53.3%
0.88,11.5%,2.3%,55.2%,72.9%,33.3%
1.86,10.8%,1.5%,58.5%,84.2%,70.4%
0.71,14.3%,4.1%,67.3%,60.6%,43.8%
0.88,10.9%,7.8%,68.8%,65.9%,40.0%
0.51,3.6%,3.6%,76.8%,55.8%,61.5%
1.21,10.4%,0.0%,66.2%,58.8%,53.8%
0.97,15.2%,4.3%,69.6%,84.4%,42.9%
0.83,3.6%,10.9%,45.5%,80.0%,26.7%
1.35,14.1%,5.6%,53.5%,84.2%,51.5%
1.68,9.8%,5.9%,56.9%,82.8%,68.2%
0.99,6.0%,7.8%,48.3%,76.8%,55.0%
0.82,8.3%,9.1%,61.2%,74.3%,48.9%
1.21,20.2%,9.6%,59.6%,77.4%,42.9%
1.24,13.4%,1.2%,75.6%,72.6%,60.0%
1.38,8.8%,5.9%,64.7%,81.8%,54.2%
0.93,3.9%,8.7%,55.3%,64.9%,43.5%
0.50,12.5%,5.6%,61.1%,61.4%,42.9%
1.01,6.1%,4.1%,53.1%,71.2%,43.5%
3.63,13.5%,5.4%,67.6%,92.0%,75.0%
1.29,8.2%,7.1%,63.5%,75.9%,41.9%
1.04,9.4%,5.2%,55.2%,73.6%,55.8%
0.69,3.8%,9.4%,47.2%,52.0%,35.7%
0.88,9.4%,4.7%,58.6%,70.7%,64.2%
0.40,7.3%,5.5%,54.5%,60.0%,32.0%
1.41,25.7%,5.7%,68.6%,83.3%,27.3%
1.67,5.6%,3.7%,63.0%,82.4%,60.0%
0.54,5.2%,8.6%,56.9%,72.7%,44.0%
1.07,6.2%,6.2%,50.5%,73.5%,47.9%
0.77,7.7%,7.7%,71.2%,64.9%,46.7%
0.84,12.5%,8.3%,64.6%,77.4%,41.2%
0.79,17.1%,9.9%,58.6%,69.2%,41.3%
0.64,23.7%,6.8%,66.1%,74.4%,30.0%
1.86,23.4%,4.7%,59.4%,92.1%,65.4%
1.65,16.7%,9.3%,57.4%,87.1%,56.5%
0.78,10.1%,4.5%,57.3%,78.4%,39.5%
1.04,12.1%,8.9%,51.6%,70.3%,53.3%
0.41,2.0%,6.0%,70.0%,54.3%,33.3%
1.12,6.8%,5.7%,61.4%,74.1%,52.9%
0.68,3.8%,17.0%,41.5%,63.6%,29.0%
0.49,7.4%,13.2%,52.9%,72.2%,40.6%
0.84,8.4%,8.4%,56.8%,61.1%,56.1%
0.63,4.0%,11.9%,57.4%,74.1%,48.8%
1.21,7.5%,13.4%,61.2%,73.2%,53.8%
0.40,13.3%,6.7%,54.4%,61.2%,53.7%
0.64,4.8%,7.9%,66.7%,50.0%,42.9%
0.83,7.5%,3.8%,58.5%,75.8%,47.7%
1.43,20.3%,4.3%,66.7%,82.6%,47.8%
1.05,10.1%,7.1%,65.7%,80.0%,52.9%
1.70,8.3%,6.3%,70.8%,79.4%,64.3%
1.11,16.9%,8.5%,59.2%,78.6%,55.2%
1.28,7.1%,1.8%,67.9%,84.2%,55.6%
0.61,11.5%,5.2%,59.4%,63.2%,59.0%
