DR,A%,DF%,1stIn,1st%,2nd%
0.83,2.6%,3.9%,68.4%,53.8%,54.2%
1.65,5.6%,3.7%,64.8%,77.1%,47.4%
1.13,3.1%,0.0%,65.3%,64.1%,58.8%
1.53,1.9%,1.9%,73.1%,68.4%,64.3%
0.84,1.8%,0.0%,66.7%,63.2%,57.9%
1.19,2.3%,1.1%,64.8%,70.2%,54.8%
0.78,4.6%,0.0%,80.0%,59.6%,30.8%
1.36,5.6%,1.1%,73.0%,75.4%,54.2%
0.79,5.2%,1.7%,70.7%,51.2%,47.1%
1.14,2.9%,0.0%,69.6%,58.3%,76.2%
0.87,2.9%,1.9%,78.6%,74.1%,36.4%
0.61,6.6%,4.9%,75.4%,56.5%,33.3%
0.72,1.9%,3.8%,71.4%,61.3%,46.7%
1.16,4.5%,0.0%,77.3%,67.1%,68.0%
0.58,5.4%,3.6%,75.0%,52.4%,42.9%
0.88,2.5%,2.5%,72.7%,65.9%,45.5%
1.75,7.7%,0.0%,80.8%,69.0%,60.0%
1.16,2.8%,0.9%,77.4%,69.5%,58.3%
1.13,3.0%,3.0%,71.2%,70.2%,63.2%
0.85,1.8%,1.8%,76.8%,65.1%,38.5%
1.10,1.4%,0.0%,68.6%,66.7%,54.5%
1.89,4.2%,2.1%,62.5%,80.0%,61.1%
0.81,1.0%,2.0%,70.7%,55.7%,37.9%
1.29,1.1%,0.0%,64.5%,71.7%,57.6%
1.26,4.5%,0.0%,72.7%,76.6%,66.7%
1.40,5.4%,2.7%,81.1%,66.7%,50.0%
0.96,1.2%,1.2%,79.8%,68.7%,41.2%
0.64,1.4%,4.2%,71.8%,52.9%,55.0%
1.19,9.7%,4.2%,69.4%,82.0%,40.9%
0.93,3.4%,2.6%,68.4%,67.5%,54.1%
1.27,5.5%,1.8%,61.8%,70.6%,66.7%
0.55,5.6%,4.2%,67.6%,60.4%,47.8%
0.58,1.8%,3.5%,68.4%,56.4%,27.8%
1.28,7.9%,1.3%,63.2%,79.2%,60.7%
1.63,4.2%,0.0%,77.1%,75.7%,63.6%
0.64,1.8%,0.0%,75.4%,60.5%,57.1%
1.23,0.0%,1.8%,62.5%,65.7%,52.4%
2.83,15.4%,0.0%,76.9%,80.0%,77.8%
1.64,4.6%,3.1%,70.8%,82.6%,63.2%
1.73,6.3%,4.2%,62.5%,66.7%,72.2%
0.78,0.0%,7.1%,65.5%,72.7%,48.3%
2.28,2.3%,0.0%,72.1%,83.9%,58.3%
0.80,2.7%,1.3%,70.7%,58.5%,63.6%
0.85,0.0%,5.4%,66.3%,67.2%,38.7%
2.25,2.6%,0.0%,66.7%,76.9%,61.5%
0.87,2.0%,2.0%,65.3%,54.5%,60.0%
1.77,4.3%,0.0%,66.0%,77.4%,62.5%
1.52,0.0%,3.5%,78.9%,66.7%,66.7%
0.83,0.0%,2.8%,68.9%,60.3%,48.5%
1.17,1.5%,0.0%,76.5%,71.2%,50.0%
1.85,2.0%,5.9%,70.6%,77.8%,73.3%
2.35,10.3%,0.0%,69.2%,85.2%,33.3%
0.74,1.5%,4.5%,71.2%,55.3%,31.6%
1.64,2.1%,0.0%,68.1%,78.1%,60.0%
0.88,2.0%,4.0%,68.7%,64.7%,48.4%
1.34,8.6%,7.1%,68.6%,83.3%,68.2%
1.41,1.6%,3.1%,67.2%,72.1%,52.4%
1.15,8.6%,3.7%,72.8%,72.9%,50.0%
1.44,3.4%,0.0%,64.4%,63.2%,61.9%
0.92,4.8%,1.2%,67.5%,60.7%,48.1%
0.71,5.8%,1.9%,76.9%,62.5%,50.0%
1.58,3.5%,0.0%,71.9%,70.7%,68.8%
1.19,5.0%,0.0%,67.5%,68.5%,57.7%
3.62,8.1%,0.0%,83.8%,80.6%,83.3%
1.54,4.2%,6.3%,64.6%,64.5%,58.8%
1.80,2.3%,0.0%,72.7%,68.8%,75.0%
1.21,3.1%,1.0%,67.3%,68.2%,43.8%
1.16,0.0%,2.7%,64.0%,68.8%,63.0%
1.76,4.2%,0.0%,70.8%,79.4%,57.1%
2.02,13.2%,2.6%,84.2%,71.9%,83.3%
1.47,0.0%,1.5%,64.6%,69.0%,52.2%
1.13,1.4%,1.4%,69.4%,70.0%,50.0%
1.22,10.0%,0.0%,74.3%,75.0%,38.9%
1.39,4.7%,1.2%,73.3%,74.6%,52.2%
0.62,8.9%,3.6%,69.6%,64.1%,41.2%
2.25,10.5%,2.6%,71.1%,81.5%,54.5%
1.52,5.4%,1.8%,73.2%,82.9%,46.7%
1.41,3.3%,3.3%,76.9%,77.1%,52.4%
1.25,5.0%,3.3%,68.3%,70.7%,47.4%
1.04,4.9%,2.5%,81.5%,80.3%,46.7%
1.03,0.0%,2.0%,67.3%,69.1%,54.5%
0.71,3.7%,2.4%,74.4%,68.9%,38.1%
0.95,6.0%,3.4%,72.4%,70.2%,59.4%
0.60,0.0%,0.0%,95.0%,36.8%,0.0%
