DR,A%,DF%,1stIn,1st%,2nd%
0.92,0.0%,1.1%,53.7%,64.7%,56.8%
1.00,2.7%,0.0%,71.2%,59.6%,61.9%
1.28,1.4%,4.3%,71.0%,73.5%,40.0%
0.73,1.3%,3.8%,66.3%,71.7%,51.9%
0.97,1.9%,1.9%,64.2%,61.8%,57.9%
0.81,3.5%,5.3%,50.9%,72.4%,50.0%
1.33,4.8%,1.6%,50.0%,80.6%,58.1%
0.90,0.8%,3.1%,50.0%,68.8%,50.0%
0.58,2.1%,0.0%,57.4%,66.7%,45.0%
0.66,6.3%,6.3%,52.1%,52.0%,30.4%
0.93,3.2%,2.2%,46.2%,72.1%,46.0%
1.10,5.3%,4.2%,51.6%,69.4%,45.7%
0.60,5.2%,1.0%,55.2%,71.7%,46.5%
1.26,4.4%,4.4%,48.9%,63.6%,65.2%
0.63,0.0%,2.8%,54.2%,64.1%,39.4%
1.48,3.8%,5.7%,58.5%,87.1%,40.9%
0.71,5.3%,0.0%,56.1%,68.8%,40.0%
1.39,4.7%,4.7%,60.9%,84.6%,56.0%
1.41,5.2%,0.0%,48.3%,67.9%,66.7%
1.02,1.8%,7.1%,41.1%,95.7%,48.5%
1.29,8.3%,1.7%,46.7%,89.3%,40.6%
2.67,2.7%,2.7%,54.1%,80.0%,70.6%
2.01,2.2%,6.7%,46.7%,85.7%,66.7%
0.62,0.0%,9.2%,46.2%,56.7%,40.0%
0.80,2.6%,5.1%,55.1%,60.5%,37.1%
0.56,0.0%,4.9%,60.7%,48.6%,37.5%
0.63,1.8%,1.8%,68.4%,59.0%,27.8%
1.38,11.9%,2.0%,60.4%,75.4%,55.0%
0.78,3.1%,3.1%,56.1%,69.1%,48.8%
0.47,1.9%,0.0%,68.5%,45.9%,47.1%
0.65,1.6%,3.1%,64.1%,73.2%,39.1%
1.11,4.1%,1.0%,52.6%,72.5%,56.5%
0.55,5.7%,4.3%,55.7%,59.0%,29.0%
0.64,7.7%,3.1%,61.5%,67.5%,52.0%
0.92,6.1%,0.0%,65.3%,65.6%,55.9%
0.97,2.7%,1.8%,60.4%,71.6%,50.0%
1.01,7.1%,0.0%,61.6%,68.9%,42.1%
0.85,0.0%,6.7%,56.7%,61.8%,38.5%
0.65,0.0%,4.3%,53.6%,45.9%,46.9%
0.61,6.1%,1.5%,53.0%,65.7%,51.6%
0.49,2.6%,5.3%,46.1%,54.3%,43.9%
0.45,4.1%,2.0%,59.2%,62.1%,45.0%
0.75,0.0%,4.7%,45.3%,58.6%,48.6%
0.66,4.9%,3.3%,65.6%,62.5%,42.9%
3.60,4.5%,0.0%,63.6%,85.7%,75.0%
1.00,3.6%,1.4%,47.1%,67.7%,54.8%
1.37,7.4%,2.9%,50.0%,64.7%,70.6%
1.17,2.1%,2.1%,43.3%,69.0%,67.3%
0.83,4.4%,1.1%,53.8%,63.3%,45.2%
0.93,2.8%,3.7%,55.0%,53.3%,61.2%
0.88,1.8%,1.8%,56.9%,62.9%,44.7%
1.13,6.2%,3.5%,46.0%,75.0%,52.5%
