DR,A%,DF%,1stIn,1st%,2nd%
0.78,8.1%,3.5%,64.0%,56.4%,32.3%
0.93,6.3%,3.8%,64.6%,64.7%,42.9%
1.83,7.0%,0.0%,67.4%,86.2%,78.6%
2.20,9.1%,0.0%,68.2%,76.7%,78.6%
1.46,5.5%,0.0%,56.4%,71.0%,62.5%
1.33,9.8%,0.0%,75.4%,69.6%,53.3%
1.01,9.7%,1.9%,59.2%,62.3%,42.9%
0.80,2.7%,1.4%,64.9%,62.5%,42.3%
1.02,1.3%,1.3%,64.6%,70.6%,53.6%
1.52,1.5%,0.0%,75.4%,73.5%,75.0%
1.65,1.7%,3.3%,63.3%,60.5%,68.2%
1.87,4.3%,0.0%,78.3%,72.2%,80.0%
0.63,1.2%,3.7%,66.7%,57.4%,40.7%
1.53,1.8%,1.8%,61.8%,70.6%,76.2%
0.86,0.0%,2.4%,69.0%,62.1%,42.3%
1.76,7.0%,0.0%,72.1%,77.4%,50.0%
1.26,1.1%,1.1%,71.3%,69.4%,44.0%
1.03,1.3%,3.8%,63.7%,64.7%,51.7%
0.64,1.6%,0.0%,65.6%,42.5%,42.9%
0.77,1.1%,4.6%,56.3%,61.2%,42.1%
0.75,0.0%,0.0%,62.3%,57.6%,40.0%
0.84,4.9%,0.0%,61.8%,64.5%,42.6%
0.59,4.4%,13.3%,44.4%,50.0%,24.0%
1.19,1.0%,4.0%,50.0%,66.0%,50.0%
0.69,4.3%,4.3%,59.6%,57.1%,42.1%
0.95,5.8%,1.0%,72.1%,70.7%,41.4%
1.19,0.0%,1.4%,78.4%,75.9%,31.3%
0.80,2.0%,5.0%,50.0%,70.0%,40.0%
0.71,3.1%,1.6%,57.8%,43.2%,55.6%
1.40,3.4%,1.7%,56.9%,66.7%,60.0%
1.94,2.1%,0.0%,66.0%,67.7%,81.3%
0.79,4.6%,3.1%,53.8%,62.9%,40.0%
1.33,6.5%,3.9%,58.4%,71.1%,53.1%
1.04,4.8%,4.8%,65.5%,67.3%,44.8%
1.54,5.2%,0.0%,55.2%,75.0%,65.4%
1.16,4.3%,3.2%,61.3%,71.9%,50.0%
1.68,2.2%,2.2%,69.6%,65.6%,78.6%
0.91,0.0%,0.0%,70.0%,59.2%,42.9%
1.28,1.3%,0.0%,58.4%,68.9%,43.8%
1.33,6.0%,3.0%,59.7%,65.0%,63.0%
1.64,9.3%,0.0%,48.1%,76.9%,67.9%
2.53,7.3%,0.0%,58.5%,83.3%,76.5%
0.83,3.8%,5.1%,60.3%,72.3%,32.3%
1.80,19.6%,0.0%,52.2%,83.3%,59.1%
0.84,3.2%,3.2%,45.2%,60.7%,47.1%
1.30,1.9%,0.0%,56.6%,66.7%,39.1%
0.75,1.1%,2.2%,68.5%,60.7%,39.3%
0.93,2.2%,4.4%,58.2%,64.2%,52.6%
1.18,2.9%,1.9%,75.0%,70.5%,46.2%
1.15,3.4%,5.6%,55.1%,63.3%,50.0%
1.27,7.8%,5.9%,56.9%,69.0%,45.5%
0.88,0.9%,2.8%,58.7%,54.7%,51.1%
2.33,11.9%,2.4%,69.0%,86.2%,61.5%
1.31,2.8%,0.0%,73.6%,66.0%,63.2%
0.88,0.0%,2.4%,55.4%,60.9%,59.5%
1.26,12.5%,2.8%,52.8%,68.4%,50.0%
1.08,6.8%,2.3%,48.9%,69.8%,46.7%
2.31,2.7%,2.7%,75.7%,75.0%,77.8%
0.77,4.0%,2.7%,70.7%,60.4%,31.8%
4.52,3.6%,0.0%,75.0%,85.7%,85.7%
1.32,7.7%,0.0%,62.8%,69.4%,62.1%
0.79,4.9%,0.0%,63.9%,74.4%,45.5%
1.43,1.6%,0.0%,57.4%,71.4%,46.2%
1.47,6.0%,2.0%,76.0%,78.9%,33.3%
0.77,0.0%,1.6%,66.7%,64.3%,47.6%
1.35,0.0%,5.6%,68.5%,62.2%,35.3%
1.08,0.0%,4.3%,60.9%,67.9%,38.9%
0.97,1.2%,3.7%,73.2%,58.3%,40.9%
