DR,A%,DF%,1stIn,1st%,2nd%
1.00,20.0%,0.0%,80.0%,100.0%,0.0%
0.69,8.1%,0.0%,66.1%,70.7%,42.9%
1.44,11.4%,4.3%,65.7%,73.9%,29.2%
1.13,7.0%,2.6%,63.2%,73.6%,59.5%
1.45,5.2%,0.0%,62.1%,77.8%,40.9%
0.84,4.1%,4.1%,59.8%,69.0%,53.8%
1.60,12.5%,12.5%,52.5%,90.5%,36.8%
1.98,8.7%,6.5%,60.9%,92.9%,50.0%
0.95,25.0%,0.0%,68.8%,81.8%,20.0%
0.94,13.3%,3.3%,46.7%,69.0%,47.9%
0.85,10.0%,5.0%,53.8%,74.4%,48.6%
1.06,14.5%,7.9%,63.2%,58.3%,35.7%
1.06,12.1%,8.1%,40.4%,70.0%,45.8%
0.93,8.3%,8.3%,41.7%,86.7%,38.1%
0.61,12.9%,8.1%,53.2%,66.7%,37.9%
1.03,16.7%,4.4%,53.3%,68.8%,66.7%
2.15,8.3%,10.4%,45.8%,86.4%,69.2%
0.60,6.8%,4.1%,45.2%,75.8%,40.0%
0.88,7.6%,3.0%,57.6%,76.3%,50.0%
1.46,17.9%,5.4%,48.2%,92.6%,55.2%
0.88,10.4%,7.3%,52.1%,66.0%,45.7%
0.66,4.3%,0.0%,60.0%,57.1%,50.0%
1.13,13.3%,5.3%,53.3%,70.0%,57.1%
0.46,6.0%,4.0%,56.0%,67.9%,31.8%
0.74,19.2%,3.8%,57.7%,66.7%,54.5%
1.38,9.9%,1.4%,59.2%,76.2%,72.4%
0.94,5.0%,8.3%,50.0%,76.7%,53.3%
1.36,4.5%,3.0%,62.1%,70.7%,52.0%
0.89,1.8%,1.8%,51.8%,72.4%,40.7%
1.52,11.1%,3.7%,61.1%,75.8%,47.6%
1.38,18.6%,6.8%,54.2%,81.3%,51.9%
0.52,0.0%,1.5%,56.7%,44.7%,27.6%
0.60,9.1%,11.4%,43.2%,68.4%,32.0%
1.53,9.6%,1.9%,53.8%,85.7%,50.0%
1.55,7.9%,2.2%,65.2%,74.1%,58.1%
0.65,4.0%,4.0%,52.0%,80.8%,29.2%
