DR,A%,DF%,1stIn,1st%,2nd%
0.11,0.0%,0.0%,63.6%,28.6%,37.5%
1.03,6.5%,2.8%,57.0%,65.6%,56.5%
0.72,6.5%,8.1%,58.1%,66.7%,38.5%
0.95,3.8%,9.4%,61.3%,80.0%,39.0%
1.16,14.7%,7.3%,56.9%,83.9%,59.6%
1.51,20.3%,5.1%,67.8%,82.5%,57.9%
0.82,10.6%,4.7%,65.9%,76.8%,31.0%
1.20,9.0%,4.5%,55.2%,81.1%,56.7%
1.32,10.2%,8.5%,52.5%,83.9%,50.0%
0.92,4.0%,3.0%,58.0%,70.7%,50.0%
1.06,4.5%,4.5%,58.0%,80.4%,59.5%
0.81,1.9%,9.4%,58.5%,64.5%,40.9%
0.52,5.7%,11.3%,49.1%,69.2%,37.0%
0.66,13.1%,5.6%,58.9%,63.5%,38.6%
2.08,14.3%,4.3%,62.9%,77.3%,76.9%
0.95,16.3%,9.8%,58.7%,83.3%,34.2%
1.63,10.6%,8.5%,61.7%,72.4%,61.1%
1.46,8.8%,5.3%,59.6%,79.4%,69.6%
0.67,9.5%,7.9%,55.6%,68.6%,28.6%
1.33,14.0%,8.8%,61.4%,85.7%,59.1%
1.28,10.2%,10.2%,55.9%,84.8%,57.7%
1.43,2.5%,8.8%,58.8%,78.7%,48.5%
1.52,8.6%,8.6%,46.6%,88.9%,51.6%
1.28,4.4%,9.9%,54.9%,80.0%,46.3%
0.44,5.8%,15.4%,44.2%,56.5%,20.7%
0.71,8.1%,0.0%,54.8%,44.1%,35.7%
1.06,6.7%,9.5%,59.0%,75.8%,48.8%
1.57,6.1%,0.0%,67.3%,72.7%,50.0%
1.04,5.9%,4.2%,59.7%,66.2%,50.0%
0.94,2.0%,11.8%,57.8%,67.8%,44.2%
0.65,5.5%,5.5%,50.9%,64.3%,55.6%
0.54,20.8%,9.4%,58.5%,74.2%,22.7%
1.00,17.7%,6.3%,60.8%,70.8%,45.2%
1.23,14.9%,4.5%,50.7%,85.3%,45.5%
0.75,6.8%,5.9%,52.5%,62.9%,53.6%
1.27,15.0%,3.3%,53.3%,78.1%,53.6%
0.68,3.6%,10.9%,56.4%,61.3%,41.7%
0.73,2.4%,9.5%,40.5%,58.8%,40.0%
1.08,2.7%,5.4%,62.2%,55.1%,52.4%
0.91,1.2%,10.6%,49.4%,66.7%,46.5%
1.86,11.8%,3.9%,54.9%,78.6%,65.2%
0.61,2.5%,6.3%,56.3%,51.1%,48.6%
0.69,13.6%,5.7%,59.1%,67.3%,55.6%
1.50,11.1%,1.9%,61.1%,75.8%,52.4%
1.23,12.9%,1.6%,64.5%,77.5%,59.1%
0.74,8.8%,19.3%,47.4%,70.4%,40.0%
0.79,11.2%,6.7%,58.4%,69.2%,67.6%
0.73,4.7%,1.2%,67.1%,68.4%,57.1%
0.61,0.0%,6.4%,48.9%,73.9%,45.8%
0.62,11.3%,3.8%,64.2%,64.7%,47.4%
1.53,19.0%,3.4%,60.3%,88.6%,52.2%
1.51,8.0%,2.0%,70.0%,68.6%,46.7%
1.05,3.6%,2.4%,59.5%,68.0%,38.2%
1.16,0.0%,3.9%,50.0%,64.7%,52.9%
1.12,7.8%,3.9%,67.5%,69.2%,36.0%
1.35,9.8%,8.2%,62.3%,78.9%,52.2%
1.34,8.8%,8.8%,54.4%,73.0%,51.6%
0.65,11.3%,4.8%,43.5%,66.7%,54.3%
1.48,6.9%,8.6%,50.0%,75.9%,58.6%
0.75,4.2%,3.4%,55.5%,71.2%,41.5%
1.08,6.5%,9.7%,57.0%,66.0%,42.5%
1.31,8.3%,8.3%,50.0%,77.8%,44.4%
0.67,8.0%,2.7%,55.8%,74.6%,42.0%
0.93,4.1%,2.7%,55.4%,78.0%,48.5%
1.35,5.6%,5.6%,51.9%,71.4%,65.4%
1.09,17.7%,3.8%,65.8%,76.9%,59.3%
0.91,1.6%,1.6%,64.1%,65.9%,43.5%
1.17,7.4%,7.4%,59.6%,76.8%,60.5%
1.17,2.8%,2.8%,51.4%,73.0%,48.6%
0.51,4.8%,9.5%,57.1%,58.3%,22.2%
0.89,9.3%,7.2%,55.7%,70.4%,34.9%
1.09,12.9%,0.0%,71.0%,65.9%,44.4%
1.45,11.9%,5.1%,61.0%,83.3%,65.2%
0.87,3.7%,3.7%,64.5%,59.4%,39.5%
1.45,3.3%,3.3%,51.7%,64.5%,58.6%
0.86,3.2%,3.2%,55.8%,67.9%,64.3%
1.26,6.4%,9.0%,42.3%,66.7%,51.1%
0.64,6.5%,4.3%,56.5%,42.3%,40.0%
1.44,6.1%,10.2%,57.1%,78.6%,38.1%
1.14,5.8%,5.8%,45.3%,66.7%,55.3%
0.77,9.1%,9.1%,56.4%,83.9%,33.3%
1.29,11.4%,5.7%,61.4%,74.4%,44.4%
0.92,2.0%,5.0%,56.4%,68.4%,43.2%
1.30,6.8%,5.1%,59.3%,74.3%,62.5%
1.60,3.1%,4.7%,51.6%,81.8%,64.5%
1.25,0.0%,0.0%,57.1%,62.5%,70.8%
0.91,3.7%,9.8%,45.1%,64.9%,53.3%
0.49,1.9%,3.8%,53.8%,57.1%,37.5%
1.27,4.6%,6.2%,53.8%,71.4%,46.7%
1.10,7.9%,6.6%,61.8%,63.8%,55.2%
0.86,5.8%,3.8%,57.7%,60.0%,40.9%
0.29,0.0%,6.5%,50.0%,43.5%,34.8%
0.68,4.1%,2.7%,61.6%,60.0%,32.1%
1.89,2.3%,2.3%,58.1%,76.0%,61.1%
0.52,2.5%,7.5%,47.5%,42.1%,33.3%
1.36,8.7%,4.3%,52.2%,66.7%,54.5%
0.71,2.1%,4.2%,43.8%,61.9%,40.7%
0.78,4.6%,3.4%,58.6%,52.9%,50.0%
0.86,0.0%,3.5%,62.8%,51.9%,43.8%
0.79,3.3%,1.7%,50.0%,53.3%,40.0%
0.41,2.1%,4.2%,52.1%,60.0%,17.4%
0.95,2.0%,2.0%,61.2%,66.7%,52.6%
