DR,A%,DF%,1stIn,1st%,2nd%
0.73,3.7%,1.9%,50.0%,63.0%,48.1%
2.13,2.4%,2.4%,58.5%,83.3%,58.8%
4.85,18.5%,0.0%,66.7%,100.0%,66.7%
0.97,7.0%,1.8%,57.9%,69.7%,47.9%
0.78,13.6%,7.6%,66.7%,63.6%,18.2%
1.73,10.3%,6.9%,62.1%,80.6%,59.1%
1.92,19.6%,6.5%,65.2%,86.7%,50.0%
0.59,8.5%,3.7%,51.2%,81.0%,47.5%
0.74,9.3%,9.3%,60.5%,73.1%,29.4%
0.59,1.9%,3.7%,66.7%,55.6%,33.3%
1.51,12.1%,1.5%,77.3%,76.5%,26.7%
0.94,14.5%,7.2%,56.6%,68.1%,55.6%
0.89,17.3%,5.5%,55.5%,75.4%,30.6%
2.22,17.8%,2.2%,62.2%,85.7%,58.8%
0.65,16.1%,6.9%,56.3%,73.5%,60.5%
1.00,9.0%,4.5%,59.7%,62.5%,51.9%
2.05,7.1%,7.1%,64.3%,88.9%,53.3%
0.64,7.3%,2.8%,67.9%,71.6%,60.0%
1.71,24.0%,4.0%,74.0%,81.1%,53.8%
2.34,11.5%,1.9%,57.7%,86.7%,81.8%
1.00,12.1%,0.0%,63.6%,76.2%,62.5%
1.33,11.9%,0.0%,64.2%,74.4%,62.5%
1.18,17.3%,2.5%,67.9%,81.8%,53.8%
0.88,4.8%,3.2%,61.9%,61.5%,66.7%
2.28,13.0%,0.0%,68.5%,89.2%,70.6%
3.11,20.6%,2.9%,61.8%,90.5%,69.2%
1.58,11.5%,5.8%,57.7%,80.0%,50.0%
1.03,11.9%,2.8%,67.0%,69.9%,44.4%
1.32,7.5%,1.3%,70.0%,80.4%,45.8%
0.99,5.3%,4.3%,72.3%,73.5%,53.8%
0.92,15.1%,3.5%,66.3%,77.2%,34.5%
2.11,18.8%,2.1%,60.4%,75.9%,73.7%
1.70,17.9%,1.8%,60.7%,85.3%,59.1%
2.39,8.8%,0.0%,64.7%,81.8%,83.3%
1.00,6.4%,2.8%,54.1%,72.9%,46.0%
1.69,7.4%,3.7%,48.1%,84.6%,50.0%
1.76,14.5%,5.5%,52.7%,82.8%,53.8%
0.90,6.9%,5.9%,51.5%,76.9%,51.0%
1.67,11.3%,1.9%,64.2%,73.5%,52.6%
1.26,7.5%,0.0%,73.1%,69.4%,27.8%
1.78,13.8%,1.7%,60.3%,85.7%,82.6%
0.99,14.2%,3.0%,65.7%,75.0%,52.2%
1.03,15.3%,3.5%,61.2%,73.1%,36.4%
1.60,6.7%,2.2%,48.9%,77.3%,56.5%
0.86,17.2%,5.7%,60.9%,71.7%,38.2%
1.52,17.2%,0.0%,69.0%,75.0%,61.1%
0.58,10.4%,10.4%,52.2%,60.0%,31.3%
1.38,6.3%,3.8%,56.3%,73.3%,54.3%
1.02,13.3%,5.1%,61.2%,83.3%,34.2%
0.92,11.3%,1.0%,57.7%,67.9%,56.1%
1.55,22.2%,2.5%,65.4%,81.1%,57.1%
0.92,6.1%,2.6%,69.6%,67.5%,40.0%
1.23,9.7%,0.9%,65.5%,77.0%,48.7%
2.36,8.6%,0.0%,77.1%,85.2%,37.5%
1.27,6.1%,2.4%,58.5%,79.2%,44.1%
1.36,7.0%,5.6%,60.6%,67.4%,60.7%
1.00,3.9%,5.2%,58.4%,68.9%,37.5%
1.24,6.7%,0.0%,56.7%,73.5%,57.7%
1.87,13.5%,1.9%,65.4%,94.1%,44.4%
1.45,6.0%,2.0%,64.0%,68.8%,61.1%
1.34,5.2%,0.0%,55.2%,65.6%,61.5%
1.30,6.2%,6.2%,52.3%,76.5%,51.6%
1.00,7.8%,1.0%,57.8%,67.8%,60.5%
2.27,11.4%,0.0%,65.9%,86.2%,60.0%
0.88,12.5%,6.9%,62.5%,68.9%,51.9%
2.78,18.9%,3.8%,71.7%,89.5%,73.3%
1.41,9.3%,2.3%,64.0%,76.4%,61.3%
0.65,5.3%,3.5%,54.4%,67.7%,42.3%
0.80,2.6%,3.8%,53.8%,61.9%,44.4%
5.11,22.2%,2.8%,72.2%,96.2%,70.0%
1.49,12.7%,4.2%,63.4%,80.0%,61.5%
1.02,7.8%,2.2%,62.2%,76.8%,52.9%
0.73,5.7%,1.4%,62.9%,79.5%,34.6%
1.09,5.8%,1.7%,63.3%,77.6%,52.3%
1.32,13.9%,4.2%,62.5%,77.8%,51.9%
1.42,15.1%,5.7%,71.7%,71.1%,60.0%
1.41,8.6%,0.0%,62.1%,72.2%,72.7%
0.98,7.1%,4.3%,61.4%,76.7%,55.6%
1.28,10.0%,1.4%,67.1%,78.7%,69.6%
1.30,11.4%,2.5%,65.8%,78.8%,55.6%
1.03,2.0%,3.0%,64.4%,69.2%,72.2%
0.80,1.7%,0.0%,66.1%,69.2%,45.0%
0.97,8.3%,5.8%,53.7%,72.3%,50.0%
0.88,10.8%,0.0%,68.8%,65.6%,41.4%
2.30,12.2%,2.4%,65.9%,77.8%,64.3%
1.04,15.4%,5.5%,71.4%,86.2%,50.0%
0.92,5.2%,15.5%,62.1%,72.2%,27.3%
1.01,7.5%,6.0%,59.7%,75.0%,40.7%
0.97,7.9%,5.3%,66.7%,65.8%,55.3%
1.38,20.3%,1.7%,69.5%,70.7%,50.0%
1.46,14.1%,4.7%,62.5%,77.5%,66.7%
1.04,9.0%,7.0%,66.0%,77.3%,44.1%
1.31,12.3%,7.0%,68.4%,74.4%,33.3%
0.92,7.8%,4.3%,64.7%,62.7%,41.5%
0.95,18.2%,0.0%,72.7%,79.2%,44.4%
1.34,8.1%,2.7%,67.6%,70.0%,54.2%
1.37,17.9%,6.0%,64.2%,86.0%,33.3%
1.20,13.0%,3.7%,66.7%,77.8%,44.4%
1.32,16.9%,3.1%,55.4%,77.8%,44.8%
0.57,9.4%,1.9%,64.2%,64.7%,52.6%
0.67,6.0%,7.5%,64.2%,58.1%,41.7%
1.36,12.0%,10.0%,64.0%,59.4%,50.0%
0.66,4.2%,8.3%,56.3%,74.1%,42.9%
