DR,A%,DF%,1stIn,1st%,2nd%
0.63,1.7%,1.7%,48.3%,53.6%,36.7%
1.63,4.4%,2.2%,66.7%,76.7%,33.3%
1.78,9.3%,3.7%,61.1%,87.9%,52.4%
0.76,8.3%,2.8%,51.4%,62.2%,62.9%
1.39,10.2%,1.7%,59.3%,77.1%,41.7%
0.91,4.1%,4.1%,56.2%,68.3%,34.4%
1.65,4.0%,2.0%,56.0%,85.7%,59.1%
1.05,6.5%,3.3%,67.4%,75.8%,63.3%
0.57,4.2%,6.3%,60.4%,48.3%,42.1%
1.48,10.8%,3.1%,56.9%,78.4%,67.9%
1.36,4.2%,0.0%,62.5%,71.1%,66.7%
0.52,3.5%,7.0%,49.1%,64.3%,48.3%
4.14,6.7%,2.2%,55.6%,92.0%,85.0%
1.13,11.5%,1.9%,71.2%,78.4%,40.0%
1.26,5.5%,2.2%,58.2%,79.2%,44.7%
1.72,6.7%,2.2%,68.9%,77.4%,64.3%
1.32,1.5%,1.5%,61.2%,73.2%,53.8%
1.08,16.3%,3.8%,63.7%,80.4%,44.8%
1.52,5.0%,6.7%,61.7%,75.7%,65.2%
1.06,5.4%,4.3%,56.5%,69.2%,40.0%
1.86,12.2%,6.1%,57.1%,85.7%,66.7%
0.83,6.1%,4.1%,69.4%,70.6%,53.3%
0.77,13.0%,2.9%,55.1%,76.3%,48.4%
0.75,10.0%,6.0%,54.0%,85.2%,39.1%
1.12,9.4%,2.1%,60.4%,79.3%,42.1%
0.81,12.8%,2.3%,66.3%,70.2%,37.9%
1.02,10.0%,1.3%,68.8%,80.0%,56.0%
1.57,14.1%,1.6%,46.9%,90.0%,58.8%
1.62,13.0%,6.5%,54.3%,84.0%,71.4%
0.90,13.1%,6.6%,44.3%,51.9%,38.2%
0.85,6.5%,2.8%,58.3%,73.0%,44.4%
0.97,16.4%,4.9%,52.5%,78.1%,58.6%
0.61,14.9%,2.7%,60.8%,75.6%,48.3%
1.06,9.0%,5.0%,66.0%,72.7%,44.1%
2.06,10.6%,4.3%,57.4%,85.2%,65.0%
0.87,8.3%,2.8%,59.7%,74.4%,58.6%
0.98,3.0%,4.0%,56.6%,71.4%,37.2%
1.34,6.6%,8.2%,47.5%,82.8%,37.5%
1.15,5.1%,3.1%,55.1%,68.5%,54.5%
1.36,3.0%,3.0%,66.7%,72.7%,50.0%
1.21,4.7%,4.7%,51.6%,78.8%,41.9%
0.85,5.9%,5.9%,66.2%,66.7%,47.8%
1.66,7.7%,3.8%,65.4%,82.4%,61.1%
1.65,1.9%,0.0%,68.5%,78.4%,47.1%
0.79,6.0%,6.0%,62.7%,64.3%,16.0%
1.40,5.2%,10.3%,62.1%,72.2%,50.0%
1.09,9.1%,0.0%,57.6%,73.7%,57.1%
1.64,7.0%,1.8%,54.4%,80.6%,61.5%
0.97,6.5%,5.7%,52.8%,70.8%,41.4%
1.15,4.2%,4.2%,50.0%,70.8%,56.3%
1.45,10.4%,2.6%,62.3%,85.4%,55.2%
1.33,11.9%,6.0%,48.8%,73.2%,48.8%
0.82,6.0%,7.2%,59.0%,65.3%,44.1%
1.48,1.8%,7.1%,46.4%,73.1%,63.3%
2.11,18.8%,8.3%,62.5%,83.3%,50.0%
0.95,10.3%,6.4%,59.0%,71.7%,43.8%
1.61,7.8%,3.9%,58.8%,73.3%,66.7%
1.22,8.6%,7.1%,64.3%,62.2%,64.0%
0.56,1.9%,1.9%,44.4%,66.7%,40.0%
1.48,9.4%,0.0%,58.5%,61.3%,68.2%
2.00,14.0%,0.0%,70.0%,80.0%,66.7%
1.01,11.5%,5.7%,54.9%,79.1%,47.3%
1.35,10.0%,3.3%,61.7%,81.1%,47.8%
1.51,5.2%,3.4%,51.7%,80.0%,57.1%
2.05,27.9%,3.3%,67.2%,87.8%,55.0%
1.09,5.7%,6.8%,47.7%,78.6%,52.2%
1.14,2.3%,5.8%,54.7%,74.5%,53.8%
1.29,6.8%,8.5%,47.5%,75.0%,45.2%
0.83,6.5%,0.0%,56.5%,68.6%,40.7%
1.30,4.3%,2.9%,69.6%,81.3%,38.1%
0.82,1.6%,5.6%,58.1%,55.6%,44.2%
1.09,7.1%,3.9%,50.0%,74.0%,51.9%
1.66,11.1%,7.4%,64.8%,80.0%,47.4%
1.26,4.8%,0.0%,63.5%,70.0%,52.2%
1.18,7.1%,3.6%,57.1%,68.8%,50.0%
0.96,7.6%,3.3%,48.9%,80.0%,57.4%
0.81,5.1%,4.1%,60.2%,71.2%,48.7%
1.00,4.7%,2.8%,54.2%,60.3%,51.0%
0.45,1.8%,7.1%,62.5%,57.1%,33.3%
1.16,2.9%,1.0%,65.4%,77.9%,44.4%
2.35,4.5%,2.3%,54.5%,83.3%,70.0%
0.75,1.6%,3.2%,55.6%,62.9%,46.4%
1.79,10.0%,0.0%,58.0%,79.3%,61.9%
1.00,3.5%,2.3%,57.0%,77.6%,51.4%
0.68,10.0%,5.0%,56.7%,58.8%,34.6%
1.70,11.1%,3.7%,59.3%,78.1%,63.6%
0.86,1.3%,6.3%,59.5%,55.3%,31.3%
1.22,5.3%,8.8%,54.4%,71.0%,38.5%
3.52,10.3%,0.0%,56.4%,86.4%,82.4%
1.08,6.6%,1.3%,55.3%,66.7%,58.8%
3.21,6.7%,0.0%,46.7%,85.7%,75.0%
1.79,7.8%,3.9%,66.7%,76.5%,64.7%
0.53,7.0%,0.0%,70.2%,50.0%,35.3%
0.88,8.9%,2.5%,69.6%,72.7%,37.5%
0.79,6.4%,6.4%,59.6%,66.2%,45.5%
0.72,8.9%,5.1%,55.7%,84.1%,48.6%
0.56,7.8%,1.3%,53.2%,63.4%,41.7%
0.35,7.5%,3.8%,62.5%,58.0%,40.0%
1.33,9.8%,1.8%,67.0%,74.7%,62.2%
0.96,5.7%,4.1%,58.5%,75.0%,52.9%
1.29,15.4%,9.2%,63.1%,73.2%,41.7%
2.10,8.9%,0.0%,55.6%,84.0%,65.0%
1.08,12.8%,4.3%,67.0%,73.0%,45.2%
2.02,8.7%,4.3%,65.2%,76.7%,50.0%
1.46,6.3%,6.3%,55.6%,82.9%,50.0%
0.85,8.3%,3.3%,66.7%,70.0%,20.0%
0.98,6.5%,3.3%,53.3%,75.5%,46.5%
1.02,3.2%,2.4%,64.3%,69.1%,62.2%
1.32,1.5%,4.6%,63.1%,75.6%,58.3%
1.82,5.7%,0.0%,73.6%,79.5%,57.1%
1.38,4.8%,2.4%,66.7%,69.6%,64.3%
1.11,8.1%,3.0%,62.6%,67.7%,45.9%
1.39,11.3%,3.8%,58.5%,74.2%,45.5%
1.32,7.3%,1.8%,61.8%,58.8%,61.9%
1.21,2.8%,2.8%,58.3%,81.0%,43.3%
3.15,17.6%,2.9%,67.6%,91.3%,63.6%
1.12,9.6%,2.7%,60.3%,65.9%,55.2%
2.32,4.4%,4.4%,53.3%,95.8%,66.7%
0.48,9.7%,1.4%,63.9%,67.4%,46.2%
0.70,3.4%,5.2%,55.2%,62.5%,34.6%
1.61,12.8%,0.0%,66.0%,71.0%,75.0%
1.04,1.8%,4.6%,63.3%,71.0%,45.0%
1.01,7.5%,5.0%,62.5%,76.0%,46.7%
0.70,7.7%,5.1%,57.7%,66.7%,57.6%
1.62,10.7%,1.8%,58.9%,75.8%,60.9%
0.75,16.1%,1.6%,64.5%,75.0%,50.0%
1.35,4.2%,8.3%,50.0%,58.3%,50.0%
0.97,5.4%,3.2%,53.8%,56.0%,46.5%
1.70,2.2%,4.3%,54.3%,80.0%,61.9%
0.97,8.3%,5.6%,55.6%,67.5%,43.8%
1.29,4.5%,7.6%,68.2%,75.6%,47.6%
1.21,4.5%,2.2%,70.8%,69.8%,50.0%
0.67,0.0%,4.4%,53.3%,37.5%,42.9%
1.07,4.4%,5.5%,63.7%,56.9%,48.5%
1.52,5.1%,6.8%,55.9%,72.7%,69.2%
1.13,0.0%,7.8%,56.9%,65.5%,40.9%
1.64,5.2%,5.2%,53.4%,64.5%,66.7%
1.32,2.9%,2.9%,61.4%,69.8%,51.9%
0.68,0.0%,3.9%,52.9%,48.1%,33.3%
