DR,A%,DF%,1stIn,1st%,2nd%
0.68,3.8%,7.7%,48.1%,64.0%,51.9%
1.11,2.7%,2.7%,51.4%,71.1%,47.2%
0.64,1.9%,1.9%,53.8%,60.7%,37.5%
1.27,0.0%,0.0%,58.6%,73.2%,65.5%
0.51,4.8%,2.4%,54.8%,47.8%,47.4%
0.99,6.5%,0.0%,74.0%,78.9%,55.0%
1.00,8.6%,5.7%,64.8%,73.5%,48.6%
1.03,5.2%,4.3%,62.6%,65.3%,55.8%
1.07,10.0%,0.0%,70.0%,71.4%,72.2%
1.13,9.6%,6.0%,43.4%,61.1%,53.2%
1.56,5.6%,5.6%,57.4%,77.4%,56.5%
1.51,3.8%,7.7%,44.2%,73.9%,55.2%
0.76,1.4%,2.8%,64.8%,47.8%,36.0%
1.43,6.2%,3.1%,63.1%,75.6%,37.5%
0.91,5.6%,3.7%,55.6%,56.7%,50.0%
1.36,0.0%,4.6%,55.4%,63.9%,65.5%
2.26,25.0%,5.0%,50.0%,90.0%,60.0%
1.02,1.6%,0.0%,59.4%,55.3%,61.5%
0.79,7.7%,4.6%,67.7%,63.6%,47.6%
1.32,10.0%,2.0%,54.0%,66.7%,52.2%
1.20,6.0%,12.0%,50.0%,60.0%,52.0%
1.28,3.4%,4.6%,56.3%,71.4%,55.3%
1.06,10.2%,6.1%,51.0%,76.0%,45.8%
2.04,12.2%,6.1%,53.1%,84.6%,69.6%
1.50,18.0%,10.0%,54.0%,85.2%,43.5%
0.86,4.0%,7.0%,64.0%,68.8%,50.0%
1.09,6.5%,2.2%,64.1%,71.2%,54.5%
1.68,9.3%,3.7%,66.7%,86.1%,44.4%
0.53,1.8%,5.5%,56.4%,54.8%,45.8%
1.08,0.9%,0.0%,61.1%,65.2%,59.1%
0.91,2.7%,4.1%,73.0%,66.7%,50.0%
1.23,1.7%,5.0%,48.3%,72.4%,54.8%
0.99,1.8%,0.9%,61.1%,59.4%,61.4%
0.99,3.1%,1.0%,56.7%,56.4%,64.3%
1.40,3.3%,5.0%,53.3%,87.5%,60.7%
0.69,0.0%,1.9%,60.4%,46.9%,42.9%
0.72,1.3%,9.0%,51.3%,72.5%,36.8%
0.85,14.5%,4.8%,48.4%,66.7%,46.9%
0.84,2.8%,8.5%,45.1%,56.3%,43.6%
0.84,2.3%,1.1%,58.6%,60.8%,52.8%
2.03,8.3%,0.0%,63.9%,69.6%,53.8%
1.28,3.4%,6.8%,72.9%,67.4%,43.8%
0.84,3.7%,1.8%,73.4%,58.8%,62.1%
0.99,2.8%,6.5%,53.7%,75.9%,34.0%
2.12,7.3%,2.4%,65.9%,77.8%,71.4%
0.75,3.6%,8.9%,44.6%,64.0%,35.5%
1.43,6.8%,8.5%,49.2%,89.7%,43.3%
1.40,7.3%,5.5%,49.1%,77.8%,71.4%
1.09,7.6%,8.9%,57.0%,68.9%,44.1%
0.82,9.8%,6.6%,57.4%,65.7%,53.8%
1.42,8.6%,8.6%,62.1%,77.8%,45.5%
1.35,6.0%,4.5%,61.2%,82.9%,57.7%
2.12,17.1%,7.3%,56.1%,87.0%,55.6%
0.81,1.7%,3.4%,62.1%,61.1%,31.8%
1.39,3.9%,3.9%,56.9%,75.9%,50.0%
1.04,1.1%,3.2%,50.5%,60.4%,57.4%
1.46,4.9%,6.6%,63.9%,79.5%,36.4%
1.34,3.8%,5.8%,50.0%,73.1%,53.8%
1.10,3.8%,2.5%,59.5%,70.2%,43.8%
1.24,6.6%,6.6%,41.0%,80.0%,52.8%
0.42,10.3%,15.4%,43.6%,64.7%,31.8%
1.30,7.1%,8.6%,42.9%,80.0%,47.5%
0.85,12.4%,6.7%,54.3%,66.7%,47.9%
0.64,6.4%,4.3%,55.3%,57.7%,33.3%
1.50,11.8%,4.4%,50.0%,88.2%,61.8%
1.60,5.4%,0.0%,55.4%,74.2%,60.0%
0.63,0.0%,8.9%,51.1%,52.2%,40.9%
0.83,0.0%,4.2%,63.4%,53.3%,42.3%
1.06,6.6%,3.3%,53.8%,77.6%,54.8%
0.61,5.6%,7.0%,57.7%,46.3%,46.7%
1.28,9.8%,1.6%,59.0%,75.0%,60.0%
1.11,1.4%,2.9%,66.7%,63.0%,39.1%
