DR,A%,DF%,1stIn,1st%,2nd%
0.55,8.7%,4.3%,65.2%,60.0%,25.0%
2.18,4.9%,2.4%,58.5%,79.2%,47.1%
1.35,13.5%,1.4%,67.6%,76.0%,62.5%
1.59,7.1%,3.6%,53.6%,80.0%,38.5%
0.52,0.0%,7.1%,42.9%,41.7%,37.5%
1.33,5.4%,4.1%,58.1%,72.1%,54.8%
0.83,3.3%,2.2%,64.4%,60.3%,40.6%
0.94,2.7%,1.4%,72.6%,58.5%,60.0%
0.96,12.5%,1.6%,57.8%,75.7%,55.6%
0.87,8.5%,3.8%,50.9%,63.0%,46.2%
3.74,7.3%,2.4%,61.0%,92.0%,81.3%
1.28,2.6%,2.6%,58.4%,73.3%,62.5%
0.56,1.4%,1.4%,60.9%,69.0%,48.1%
1.27,9.2%,5.1%,59.2%,75.9%,52.5%
0.71,3.9%,5.3%,47.4%,72.2%,60.0%
1.25,11.3%,5.0%,56.3%,75.6%,51.4%
1.57,1.8%,0.0%,60.0%,72.7%,63.6%
1.26,11.9%,1.0%,59.4%,80.0%,61.0%
1.52,8.0%,2.0%,64.0%,75.0%,55.6%
1.24,5.1%,6.4%,44.9%,80.0%,46.5%
1.92,11.1%,3.7%,48.1%,92.3%,60.7%
1.36,9.8%,6.6%,55.7%,88.2%,37.0%
1.67,9.8%,4.9%,50.8%,80.6%,66.7%
1.69,6.9%,3.4%,48.3%,82.1%,66.7%
1.37,12.3%,2.7%,50.7%,86.5%,55.6%
0.75,7.1%,7.1%,50.0%,65.7%,40.0%
2.28,10.2%,0.0%,65.3%,81.3%,76.5%
1.81,6.1%,2.0%,57.1%,85.7%,66.7%
1.43,12.1%,8.6%,44.8%,96.2%,43.8%
0.46,7.4%,5.6%,61.1%,51.5%,42.9%
1.26,11.9%,3.4%,66.1%,74.4%,45.0%
1.02,3.3%,4.9%,60.7%,70.3%,54.2%
0.51,1.9%,7.5%,52.8%,50.0%,40.0%
1.55,0.0%,8.3%,58.3%,82.9%,48.0%
1.45,9.7%,4.8%,59.7%,81.1%,72.0%
0.74,5.7%,6.8%,51.1%,66.7%,44.2%
1.18,5.2%,9.1%,45.5%,62.9%,50.0%
0.89,1.2%,10.6%,61.2%,57.7%,42.4%
1.36,1.7%,8.3%,63.3%,65.8%,59.1%
0.67,5.4%,7.1%,60.7%,52.9%,36.4%
0.85,6.0%,4.8%,55.4%,54.3%,43.2%
2.11,4.4%,6.7%,64.4%,79.3%,62.5%
0.64,0.0%,4.7%,67.2%,55.8%,52.4%
2.11,14.3%,8.2%,61.2%,86.7%,63.2%
0.95,8.8%,5.9%,52.9%,86.1%,53.1%
1.72,6.7%,4.4%,55.6%,72.0%,60.0%
1.35,9.5%,2.7%,59.5%,77.3%,36.7%
0.94,3.1%,5.1%,55.1%,70.4%,47.7%
0.53,2.0%,8.0%,48.0%,75.0%,26.9%
0.64,4.3%,3.2%,56.4%,75.5%,56.1%
1.19,12.5%,8.3%,52.8%,76.3%,44.1%
0.86,13.1%,1.9%,66.4%,71.8%,72.2%
0.34,2.0%,2.0%,60.8%,54.8%,35.0%
0.54,1.8%,7.0%,61.4%,60.0%,31.8%
0.72,7.5%,1.9%,66.0%,61.4%,55.6%
0.93,1.3%,2.6%,57.7%,75.6%,36.4%
0.87,2.9%,8.6%,55.7%,64.1%,54.8%
0.58,2.5%,2.5%,55.6%,53.3%,36.1%
0.68,17.2%,9.4%,54.7%,77.1%,51.7%
0.27,2.1%,4.2%,43.8%,71.4%,40.7%
0.67,6.7%,6.7%,50.6%,73.3%,31.8%
0.82,7.4%,2.5%,55.6%,60.0%,58.3%
1.47,16.1%,1.8%,51.8%,96.6%,48.1%
0.45,11.8%,5.9%,49.0%,56.0%,23.1%
0.98,9.8%,5.4%,59.8%,80.0%,37.8%
0.84,4.1%,5.4%,54.1%,67.5%,41.2%
1.21,5.5%,6.8%,53.4%,66.7%,58.8%
1.26,17.3%,5.8%,52.9%,80.0%,51.0%
0.86,17.6%,2.9%,63.7%,69.2%,35.1%
0.70,18.2%,7.3%,52.7%,69.0%,30.8%
0.86,1.3%,1.3%,55.0%,68.2%,47.2%
0.88,6.6%,5.5%,63.7%,77.6%,39.4%
0.59,5.0%,4.3%,59.0%,64.6%,47.4%
1.29,1.8%,3.7%,64.2%,75.7%,56.4%
0.93,8.2%,7.1%,53.1%,73.1%,52.2%
0.87,7.7%,4.6%,58.5%,57.9%,40.7%
1.40,1.6%,4.9%,55.7%,79.4%,59.3%
2.61,23.9%,4.3%,63.0%,96.6%,58.8%
2.68,22.9%,0.0%,68.8%,93.9%,60.0%
1.35,12.7%,3.2%,66.7%,78.6%,47.6%
