DR,A%,DF%,1stIn,1st%,2nd%
0.80,3.6%,3.6%,50.9%,60.7%,37.0%
1.44,6.5%,3.9%,51.9%,72.5%,59.5%
0.87,4.1%,4.1%,62.9%,65.6%,52.8%
1.24,3.4%,3.4%,42.4%,76.0%,55.9%
0.50,2.2%,3.3%,58.7%,74.1%,42.1%
1.05,3.5%,7.0%,59.6%,64.7%,30.4%
1.21,7.8%,2.6%,62.3%,72.9%,55.2%
0.86,9.1%,7.8%,54.5%,71.4%,48.6%
0.88,3.8%,2.5%,56.3%,60.0%,42.9%
1.71,10.3%,5.2%,56.9%,84.8%,52.0%
1.33,6.6%,8.2%,60.7%,73.0%,45.8%
2.68,5.1%,5.1%,64.1%,84.0%,71.4%
1.34,7.4%,2.9%,51.5%,80.0%,60.6%
1.12,2.8%,5.6%,62.5%,62.2%,55.6%
1.93,4.2%,4.2%,56.3%,77.8%,66.7%
1.43,4.8%,1.6%,66.1%,78.0%,57.1%
1.53,6.9%,1.7%,60.3%,71.4%,60.9%
1.11,4.0%,8.1%,49.5%,65.3%,48.0%
1.63,2.0%,2.0%,46.0%,82.6%,59.3%
1.63,12.3%,8.8%,54.4%,90.3%,53.8%
0.86,1.9%,1.9%,61.1%,75.8%,42.9%
1.22,11.7%,2.6%,58.4%,68.9%,59.4%
1.13,5.2%,2.6%,62.3%,70.8%,65.5%
1.08,0.9%,4.3%,54.7%,59.4%,50.9%
0.62,6.5%,3.9%,59.7%,58.7%,41.9%
1.03,2.8%,0.9%,57.9%,71.0%,51.1%
0.72,5.0%,3.3%,58.3%,65.7%,52.0%
1.75,22.4%,6.1%,51.0%,96.0%,50.0%
0.54,13.6%,2.3%,63.6%,64.3%,50.0%
0.65,1.1%,2.2%,67.4%,53.3%,48.3%
1.31,3.3%,5.0%,50.0%,80.0%,56.7%
1.06,5.1%,7.1%,54.5%,72.2%,48.9%
1.43,8.5%,5.1%,45.8%,85.2%,53.1%
0.80,4.9%,4.9%,60.5%,69.4%,37.5%
1.04,4.5%,3.4%,51.1%,75.6%,55.8%
1.73,7.7%,1.9%,50.0%,80.8%,61.5%
1.32,3.4%,6.8%,45.8%,74.1%,50.0%
0.68,0.0%,4.0%,64.0%,68.8%,50.0%
1.40,6.9%,5.2%,48.3%,78.6%,53.3%
0.73,4.6%,1.5%,60.0%,48.7%,50.0%
0.60,5.5%,5.5%,54.5%,53.3%,48.0%
0.94,7.2%,4.8%,48.2%,85.0%,46.5%
0.96,5.3%,7.4%,51.6%,59.2%,58.7%
1.27,3.6%,6.0%,51.2%,74.4%,46.3%
1.42,2.9%,10.0%,51.4%,72.2%,55.9%
1.01,5.2%,7.0%,54.8%,73.0%,36.5%
0.66,7.3%,3.7%,58.5%,68.8%,55.9%
0.93,5.5%,2.7%,45.2%,63.6%,50.0%
1.30,5.9%,2.9%,58.8%,65.0%,64.3%
1.09,4.4%,6.6%,58.2%,66.0%,47.4%
1.18,6.0%,1.2%,61.9%,67.3%,46.9%
0.81,4.4%,5.9%,52.9%,63.9%,53.1%
1.28,2.6%,6.5%,45.5%,80.0%,47.6%
1.37,9.8%,6.6%,47.5%,75.9%,46.9%
0.87,2.7%,5.3%,57.5%,73.8%,39.6%
0.66,2.5%,0.0%,60.0%,70.8%,31.3%
1.04,9.1%,10.2%,59.1%,69.2%,58.3%
1.65,8.9%,8.9%,53.6%,80.0%,61.5%
1.59,12.1%,6.1%,51.5%,82.4%,62.5%
