DR,A%,DF%,1stIn,1st%,2nd%
0.84,6.9%,0.0%,69.0%,67.5%,27.8%
1.16,1.8%,1.8%,59.5%,60.6%,62.2%
1.06,1.7%,5.0%,66.1%,60.0%,53.7%
0.59,9.4%,12.5%,40.6%,76.9%,21.1%
1.74,8.3%,10.4%,58.3%,71.4%,60.0%
0.95,14.9%,2.1%,59.6%,67.9%,47.4%
0.80,11.0%,5.9%,55.1%,72.3%,54.7%
1.41,11.1%,14.3%,47.6%,90.0%,42.4%
0.98,11.7%,6.5%,59.7%,82.6%,51.6%
1.86,7.7%,1.5%,58.5%,76.3%,85.2%
1.04,15.0%,4.6%,67.1%,72.4%,52.6%
1.21,17.0%,3.4%,62.5%,74.5%,54.5%
2.87,27.1%,0.0%,68.8%,84.8%,80.0%
3.23,28.9%,2.6%,71.1%,88.9%,72.7%
0.80,6.8%,5.7%,67.0%,78.0%,55.2%
1.02,11.8%,2.6%,73.7%,66.1%,75.0%
1.88,19.4%,1.6%,62.9%,84.6%,73.9%
1.41,8.1%,4.8%,62.9%,71.8%,52.2%
1.00,17.3%,4.1%,54.1%,81.1%,53.3%
1.39,8.5%,2.8%,69.0%,73.5%,68.2%
0.60,6.8%,8.1%,59.5%,56.8%,46.7%
0.74,0.0%,5.8%,59.6%,51.6%,47.6%
1.05,5.4%,2.7%,52.7%,69.5%,47.2%
0.71,7.3%,1.8%,63.6%,62.9%,60.0%
1.12,3.0%,2.0%,70.7%,70.0%,58.6%
1.18,3.8%,3.8%,53.8%,81.0%,50.0%
1.95,7.7%,5.8%,55.8%,89.7%,60.9%
1.26,2.9%,0.0%,80.0%,75.0%,57.1%
1.13,7.6%,3.3%,60.9%,75.0%,58.3%
0.66,4.5%,1.5%,67.2%,62.2%,59.1%
0.86,5.6%,1.4%,63.9%,63.0%,53.8%
1.67,22.0%,2.0%,64.0%,81.3%,66.7%
1.06,6.2%,2.1%,71.1%,75.4%,39.3%
1.11,5.8%,3.5%,61.6%,69.8%,57.6%
1.27,9.8%,8.2%,67.2%,68.3%,50.0%
1.05,2.8%,1.4%,70.4%,70.0%,52.4%
0.56,10.1%,3.8%,64.6%,82.4%,60.7%
1.48,8.3%,3.3%,65.0%,79.5%,42.9%
1.32,11.9%,3.4%,57.6%,73.5%,60.0%
1.05,8.0%,1.0%,70.0%,77.1%,46.7%
1.00,5.3%,0.0%,65.3%,71.4%,53.8%
1.36,1.4%,2.9%,62.3%,69.8%,57.7%
1.52,11.6%,1.4%,65.2%,75.6%,70.8%
2.29,4.7%,4.7%,58.1%,88.0%,66.7%
0.61,0.0%,0.0%,60.5%,53.8%,64.7%
1.40,6.8%,1.4%,65.8%,70.8%,76.0%
1.57,3.5%,5.3%,64.9%,78.4%,60.0%
1.68,18.4%,6.1%,67.3%,75.8%,56.3%
3.95,21.6%,0.0%,70.3%,88.5%,81.8%
1.73,7.3%,7.3%,67.3%,73.0%,61.1%
0.46,1.9%,5.7%,64.2%,64.7%,21.1%
0.80,8.9%,2.0%,67.3%,67.6%,54.5%
1.46,10.9%,2.2%,58.7%,70.4%,36.8%
1.13,5.3%,4.2%,55.8%,69.8%,57.1%
0.82,6.1%,12.3%,47.4%,68.5%,41.7%
1.18,6.5%,5.4%,60.2%,83.9%,54.1%
0.69,4.3%,10.9%,58.7%,63.0%,31.6%
0.83,13.8%,6.9%,44.8%,80.8%,50.0%
0.86,5.9%,3.4%,58.0%,69.6%,44.0%
0.77,6.5%,4.7%,58.9%,66.7%,54.5%
1.12,4.9%,7.8%,60.8%,72.6%,42.5%
0.92,1.9%,6.8%,60.2%,66.1%,41.5%
1.26,2.9%,10.3%,69.1%,59.6%,42.9%
0.96,4.5%,12.5%,54.5%,70.8%,47.5%
1.01,5.3%,4.2%,58.9%,67.9%,43.6%
0.85,6.8%,9.6%,50.7%,73.0%,25.0%
0.73,0.0%,11.9%,52.2%,65.7%,46.9%
0.90,7.4%,11.6%,52.6%,64.0%,42.2%
1.24,1.5%,6.2%,61.5%,80.0%,44.0%
1.21,3.9%,5.8%,62.1%,65.6%,41.0%
0.92,9.1%,1.1%,75.0%,71.2%,36.4%
1.54,8.5%,0.0%,67.8%,77.5%,68.4%
0.96,3.3%,4.9%,62.3%,63.2%,50.0%
0.83,0.0%,5.7%,55.7%,56.4%,41.9%
0.64,0.0%,7.0%,49.1%,53.6%,44.8%
1.09,1.7%,7.6%,59.7%,74.6%,52.1%
0.27,2.8%,5.6%,60.6%,58.1%,46.4%
1.35,6.9%,6.9%,50.0%,72.2%,50.0%
0.44,4.3%,10.9%,50.0%,39.1%,34.8%
1.32,9.1%,1.8%,49.1%,77.8%,39.3%
1.20,5.7%,1.9%,68.9%,76.7%,45.5%
0.58,2.1%,1.1%,72.3%,58.8%,65.4%
1.18,11.9%,6.0%,50.7%,73.5%,60.6%
0.56,5.1%,5.1%,66.1%,56.4%,40.0%
1.15,8.6%,5.7%,72.4%,77.6%,51.7%
1.80,8.3%,8.3%,63.9%,87.0%,46.2%
0.77,3.1%,3.1%,64.6%,59.5%,39.1%
1.07,3.9%,3.9%,60.8%,74.2%,65.0%
1.01,8.2%,1.8%,57.3%,63.5%,63.8%
1.78,17.3%,1.9%,69.2%,86.1%,50.0%
1.36,9.1%,3.9%,66.2%,88.2%,65.4%
1.32,6.2%,1.5%,63.1%,73.2%,54.2%
1.22,6.4%,2.6%,73.1%,63.2%,47.6%
2.06,7.1%,2.4%,61.9%,80.8%,68.8%
1.51,9.7%,1.6%,71.0%,75.0%,55.6%
1.03,4.5%,3.4%,68.5%,77.0%,57.1%
1.55,5.1%,6.8%,64.4%,71.1%,47.6%
1.14,5.9%,0.0%,68.6%,74.3%,53.1%
1.66,9.4%,1.9%,54.7%,93.1%,54.2%
1.15,7.6%,1.5%,60.6%,80.0%,61.5%
1.12,7.4%,5.9%,61.8%,73.8%,53.8%
1.29,1.4%,5.5%,49.3%,77.8%,56.8%
1.18,10.1%,6.7%,55.1%,71.4%,50.0%
0.80,4.3%,5.2%,55.2%,65.6%,46.2%
0.74,1.3%,2.6%,56.6%,60.5%,60.6%
0.89,6.5%,7.5%,63.4%,66.1%,41.2%
0.36,14.0%,2.3%,55.8%,66.7%,31.6%
1.09,4.9%,2.4%,59.8%,75.5%,45.5%
2.33,2.9%,2.9%,73.5%,76.0%,66.7%
0.78,5.0%,5.0%,59.4%,66.7%,46.3%
1.06,6.4%,5.1%,65.4%,68.6%,37.0%
0.61,5.4%,3.3%,51.1%,76.6%,48.9%
0.97,2.4%,5.6%,59.7%,68.9%,48.0%
0.93,2.0%,4.9%,51.0%,63.5%,44.0%
1.18,4.8%,2.4%,57.8%,72.9%,71.4%
0.88,4.8%,6.0%,48.8%,75.6%,34.9%
2.19,4.7%,4.7%,55.8%,91.7%,57.9%
0.72,4.1%,1.4%,67.6%,74.0%,41.7%
1.16,3.9%,3.9%,69.9%,80.6%,51.6%
1.21,6.7%,1.3%,76.0%,70.2%,72.2%
1.14,11.4%,2.9%,64.3%,75.6%,52.0%
1.04,11.8%,2.7%,70.9%,79.5%,53.1%
0.79,4.4%,4.4%,55.9%,60.5%,43.3%
1.67,10.0%,0.0%,72.0%,91.7%,35.7%
1.21,3.0%,1.5%,62.1%,80.5%,60.0%
0.66,1.2%,8.5%,50.0%,51.2%,46.3%
0.82,11.9%,10.2%,54.2%,59.4%,37.0%
0.54,6.1%,6.1%,53.0%,57.1%,51.6%
0.99,6.8%,0.0%,70.3%,69.9%,57.1%
1.08,11.5%,1.9%,58.7%,68.9%,62.8%
0.76,6.3%,4.8%,58.7%,62.2%,38.5%
1.06,2.0%,5.0%,52.5%,73.6%,43.8%
