DR,A%,DF%,1stIn,1st%,2nd%
0.92,2.9%,1.0%,69.9%,54.2%,58.1%
1.10,2.2%,8.9%,71.1%,65.6%,34.6%
1.25,10.4%,8.3%,64.6%,75.8%,41.2%
1.16,4.7%,4.7%,68.2%,72.4%,48.1%
1.72,2.0%,5.9%,68.6%,82.9%,50.0%
0.61,1.4%,5.8%,65.2%,62.2%,20.8%
1.20,11.4%,5.7%,71.6%,73.0%,24.0%
0.70,0.0%,5.3%,74.7%,58.9%,36.8%
1.18,0.0%,2.6%,70.1%,68.5%,30.4%
1.19,2.5%,8.8%,60.0%,75.0%,50.0%
1.37,7.9%,7.9%,57.9%,72.7%,53.1%
1.25,3.0%,4.5%,74.6%,56.0%,58.8%
0.72,3.0%,4.5%,79.1%,62.3%,50.0%
2.81,2.3%,2.3%,52.3%,91.3%,76.2%
0.48,7.7%,1.5%,67.7%,56.8%,28.6%
0.84,1.7%,4.2%,66.4%,64.6%,42.5%
1.27,4.7%,3.5%,75.6%,76.9%,47.6%
1.09,4.2%,1.7%,71.4%,72.9%,47.1%
0.86,0.0%,2.6%,67.5%,65.4%,52.0%
1.29,4.8%,1.6%,67.7%,73.8%,65.0%
1.27,1.7%,3.3%,63.3%,71.1%,59.1%
0.85,1.3%,0.0%,77.6%,62.7%,41.2%
1.89,11.1%,4.4%,75.6%,85.3%,45.5%
2.50,28.2%,2.6%,74.4%,86.2%,70.0%
0.71,5.8%,11.5%,46.2%,62.5%,42.9%
0.71,0.0%,5.4%,64.3%,55.6%,65.0%
1.09,1.2%,7.0%,61.6%,64.2%,45.5%
1.06,2.2%,9.0%,64.0%,71.9%,31.3%
1.65,6.3%,2.1%,64.6%,71.0%,35.3%
1.11,1.6%,3.1%,65.6%,57.1%,36.4%
3.16,17.1%,2.9%,60.0%,90.5%,71.4%
0.56,7.8%,7.8%,62.7%,56.3%,31.6%
0.41,9.6%,1.9%,53.8%,57.1%,41.7%
1.82,9.3%,3.7%,75.9%,92.7%,38.5%
1.81,8.5%,2.1%,68.1%,75.0%,66.7%
1.08,3.6%,3.6%,69.4%,72.7%,38.2%
1.07,9.9%,7.9%,58.4%,74.6%,40.5%
0.73,9.2%,7.7%,63.1%,80.5%,45.8%
1.57,16.9%,0.0%,75.4%,85.7%,50.0%
1.11,7.3%,2.4%,59.8%,69.4%,57.6%
1.09,10.4%,0.0%,72.2%,71.1%,40.6%
1.08,3.5%,1.8%,63.2%,66.7%,57.1%
1.05,1.5%,1.5%,80.3%,66.0%,46.2%
1.52,0.0%,1.9%,62.3%,78.8%,60.0%
3.83,17.2%,0.0%,72.4%,95.2%,50.0%
3.16,6.3%,0.0%,71.9%,78.3%,77.8%
1.13,9.3%,5.6%,64.8%,64.3%,60.5%
0.77,3.9%,7.8%,64.7%,57.6%,38.9%
1.36,3.7%,1.2%,66.7%,74.1%,51.9%
1.45,7.2%,4.3%,71.0%,77.6%,60.0%
1.23,7.1%,4.1%,72.4%,69.0%,59.3%
0.45,1.7%,1.7%,60.0%,52.8%,50.0%
1.07,2.2%,4.4%,63.7%,51.7%,48.5%
0.83,1.7%,10.2%,69.5%,56.1%,38.9%
1.43,6.0%,6.0%,64.0%,68.8%,44.4%
0.85,0.0%,3.9%,64.7%,63.6%,44.4%
2.53,2.8%,0.0%,69.4%,80.0%,45.5%
1.09,1.6%,6.6%,67.2%,61.0%,55.0%
0.75,5.3%,8.8%,61.4%,68.6%,36.4%
0.87,1.1%,5.6%,66.7%,60.0%,46.7%
1.26,9.0%,3.0%,66.0%,74.2%,50.0%
0.86,8.3%,7.3%,57.3%,70.9%,41.5%
0.88,3.1%,3.1%,66.0%,70.3%,48.5%
1.15,4.2%,4.2%,66.2%,66.0%,45.8%
0.81,2.7%,5.3%,66.7%,56.0%,52.0%
1.47,1.6%,3.2%,60.3%,65.8%,68.0%
1.17,0.9%,3.6%,57.3%,61.9%,44.7%
1.59,5.8%,1.9%,73.1%,71.1%,64.3%
0.89,5.0%,5.0%,60.0%,60.0%,57.5%
0.59,1.6%,6.6%,68.9%,54.8%,42.1%
0.89,2.0%,5.1%,70.4%,63.8%,37.9%
0.84,9.4%,4.7%,62.3%,74.2%,55.0%
0.68,3.5%,3.5%,59.6%,47.1%,52.2%
1.14,5.8%,3.9%,59.2%,77.0%,50.0%
1.28,4.3%,7.2%,69.6%,68.8%,38.1%
1.13,1.7%,4.3%,64.3%,73.0%,56.1%
0.86,0.0%,3.7%,72.9%,70.5%,44.8%
1.19,4.0%,4.0%,72.0%,63.0%,52.4%
0.68,0.0%,3.2%,66.1%,53.7%,38.1%
1.44,5.6%,3.7%,72.2%,76.9%,60.0%
1.36,6.8%,3.4%,68.2%,75.0%,50.0%
0.93,1.8%,5.5%,61.8%,50.0%,57.1%
0.91,20.8%,1.0%,76.0%,74.0%,43.5%
1.23,15.1%,5.4%,77.4%,69.4%,57.1%
1.18,0.0%,3.2%,66.7%,71.4%,52.4%
1.14,4.6%,2.8%,67.6%,75.3%,40.0%
1.36,5.6%,1.1%,68.5%,70.5%,50.0%
3.09,7.9%,2.6%,60.5%,87.0%,80.0%
1.59,5.9%,3.9%,72.5%,78.4%,42.9%
0.77,4.8%,0.0%,58.1%,58.3%,57.7%
0.92,7.4%,3.7%,68.5%,75.7%,47.1%
1.56,13.4%,3.0%,76.1%,80.4%,50.0%
0.99,7.9%,4.0%,65.3%,71.2%,42.9%
0.38,3.3%,3.3%,63.3%,55.3%,36.4%
1.66,11.9%,1.7%,76.3%,77.8%,50.0%
1.04,3.4%,2.2%,57.3%,78.4%,55.3%
0.68,4.8%,9.5%,57.1%,79.2%,33.3%
2.06,10.5%,7.9%,57.9%,77.3%,56.3%
0.70,3.6%,5.4%,39.3%,59.1%,47.1%
0.84,6.3%,9.5%,57.9%,58.2%,45.0%
0.35,1.9%,7.7%,69.2%,66.7%,43.8%
0.92,1.8%,8.8%,65.8%,57.3%,51.3%
0.87,5.3%,6.4%,68.1%,67.2%,26.7%
1.18,6.8%,6.8%,65.8%,66.7%,40.0%
0.43,3.6%,3.6%,61.8%,64.7%,38.1%
