DR,A%,DF%,1stIn,1st%,2nd%
0.74,5.3%,5.3%,50.9%,69.0%,25.0%
0.87,10.6%,1.8%,70.8%,67.5%,45.5%
0.73,6.9%,1.4%,58.3%,71.4%,40.0%
0.85,5.6%,4.2%,60.6%,65.1%,35.7%
0.85,11.1%,5.6%,61.1%,63.6%,28.6%
0.65,26.8%,4.2%,64.8%,78.3%,32.0%
0.63,2.0%,4.1%,59.2%,41.4%,20.0%
1.16,10.3%,3.7%,55.1%,64.4%,52.1%
0.98,18.1%,1.8%,73.1%,78.4%,56.5%
1.11,22.5%,4.0%,61.6%,87.1%,41.4%
1.26,17.7%,1.8%,61.9%,81.4%,53.5%
0.96,32.1%,3.8%,62.8%,85.7%,55.2%
2.56,20.5%,5.1%,56.4%,95.5%,64.7%
0.75,10.0%,4.0%,56.0%,53.6%,54.5%
0.97,20.0%,0.0%,62.7%,78.7%,50.0%
2.30,28.3%,4.3%,56.5%,88.5%,70.0%
1.06,11.5%,2.3%,56.3%,65.3%,60.5%
0.95,24.0%,1.0%,77.0%,70.1%,69.6%
0.98,19.5%,5.7%,62.1%,85.2%,39.4%
1.22,16.2%,4.4%,75.0%,78.4%,47.1%
1.49,13.4%,1.5%,58.2%,76.9%,64.3%
1.76,13.6%,1.7%,81.4%,79.2%,63.6%
1.33,16.2%,2.0%,63.6%,79.4%,52.8%
0.73,3.1%,1.5%,47.7%,77.4%,38.2%
1.17,3.3%,2.2%,71.4%,61.5%,57.7%
0.76,3.3%,1.7%,58.3%,57.1%,48.0%
1.15,7.1%,0.0%,58.3%,75.5%,37.1%
2.78,33.3%,2.4%,69.0%,89.7%,76.9%
1.55,21.7%,3.3%,65.0%,84.6%,47.6%
1.31,13.6%,4.9%,63.0%,76.5%,53.3%
1.52,28.3%,1.9%,66.0%,80.0%,50.0%
2.03,26.2%,2.4%,78.6%,78.8%,66.7%
1.08,15.7%,2.2%,64.0%,68.4%,50.0%
1.23,13.6%,5.1%,52.5%,77.4%,46.4%
1.85,25.5%,2.1%,78.7%,75.7%,40.0%
1.16,10.0%,0.0%,53.3%,78.1%,57.1%
1.73,12.8%,2.1%,61.7%,82.8%,55.6%
0.98,7.6%,2.5%,57.0%,57.8%,58.8%
1.58,25.0%,4.7%,65.6%,88.1%,59.1%
1.85,9.6%,5.8%,55.8%,75.9%,60.9%
0.66,12.1%,1.5%,62.1%,70.7%,44.0%
0.66,7.6%,1.5%,63.6%,64.3%,45.8%
1.13,10.5%,1.8%,52.6%,83.3%,55.6%
0.91,14.1%,5.1%,61.6%,63.9%,44.7%
0.81,14.4%,2.1%,60.8%,71.2%,36.8%
0.69,13.1%,1.9%,60.7%,70.8%,35.7%
0.95,11.1%,1.5%,70.4%,75.8%,52.5%
3.50,21.2%,0.0%,69.7%,87.0%,80.0%
1.59,25.9%,3.4%,72.4%,78.6%,75.0%
2.80,24.4%,0.0%,78.0%,87.5%,66.7%
0.89,19.2%,3.8%,65.4%,85.3%,44.4%
2.02,29.2%,1.5%,63.1%,90.2%,70.8%
0.53,13.2%,1.9%,58.5%,61.3%,36.4%
0.73,16.1%,3.2%,59.7%,83.8%,44.0%
2.44,14.6%,2.1%,64.6%,80.6%,76.5%
1.18,14.6%,4.5%,56.2%,92.0%,46.2%
0.84,11.3%,5.7%,58.5%,80.6%,54.5%
2.09,23.9%,2.2%,78.3%,83.3%,50.0%
1.36,13.0%,1.9%,44.4%,87.5%,36.7%
0.80,19.8%,2.5%,55.6%,88.9%,52.8%
2.83,45.2%,4.8%,66.7%,92.9%,71.4%
0.77,6.5%,6.5%,68.5%,68.3%,31.0%
1.21,27.7%,2.1%,73.4%,79.7%,68.0%
0.95,11.8%,5.9%,58.8%,93.3%,38.1%
0.72,21.8%,3.6%,69.1%,78.9%,17.6%
1.19,10.0%,0.0%,60.0%,76.2%,57.1%
1.42,21.6%,3.4%,70.5%,69.4%,61.5%
0.61,14.6%,4.2%,56.3%,77.8%,38.1%
0.76,21.2%,9.1%,65.2%,86.0%,47.8%
1.07,20.7%,5.7%,58.6%,82.4%,47.2%
1.21,30.6%,0.0%,72.2%,78.2%,43.3%
2.46,26.3%,2.6%,57.9%,86.4%,68.8%
0.84,12.4%,3.1%,67.7%,64.2%,53.8%
1.14,12.1%,1.0%,66.7%,81.8%,54.5%
1.94,21.2%,1.9%,63.5%,78.8%,78.9%
