DR,A%,DF%,1stIn,1st%,2nd%
0.75,1.7%,10.0%,51.7%,67.7%,37.9%
1.15,0.9%,0.9%,62.6%,64.2%,45.0%
0.76,2.2%,3.3%,58.9%,67.9%,35.1%
1.39,1.8%,8.9%,48.2%,74.1%,65.5%
0.75,6.9%,5.2%,48.3%,67.9%,46.7%
1.30,9.0%,5.1%,48.7%,76.3%,52.5%
1.96,2.3%,0.0%,56.8%,84.0%,68.4%
0.75,6.3%,9.4%,59.4%,68.4%,46.2%
1.29,5.6%,3.7%,63.0%,79.4%,60.0%
0.83,1.9%,9.4%,49.1%,42.3%,55.6%
0.54,0.0%,2.1%,68.8%,54.5%,33.3%
0.79,7.7%,1.1%,62.6%,70.2%,41.2%
0.82,1.8%,1.8%,52.7%,51.7%,34.6%
0.43,2.1%,4.2%,47.9%,60.9%,32.0%
1.24,2.4%,1.2%,55.4%,80.4%,62.2%
1.19,6.8%,2.7%,61.6%,73.3%,53.6%
0.97,1.8%,5.4%,50.5%,67.9%,45.5%
0.71,8.0%,6.7%,57.3%,60.5%,53.1%
1.54,4.6%,4.6%,47.7%,71.0%,79.4%
0.71,2.4%,5.9%,63.5%,66.7%,41.9%
1.29,8.5%,3.4%,64.4%,76.3%,52.4%
1.10,5.8%,2.9%,63.8%,59.1%,52.0%
1.48,5.3%,3.5%,66.7%,76.3%,68.4%
0.59,0.0%,1.5%,53.7%,72.2%,22.6%
0.54,3.5%,1.8%,71.9%,63.4%,50.0%
1.12,8.9%,3.3%,77.8%,74.3%,35.0%
1.48,9.4%,6.3%,67.2%,86.0%,57.1%
1.09,5.6%,2.8%,66.2%,70.2%,33.3%
1.53,9.1%,5.5%,54.5%,76.7%,56.0%
1.62,15.8%,1.8%,78.9%,84.4%,41.7%
1.58,3.5%,0.0%,50.9%,82.8%,67.9%
1.49,2.4%,1.2%,63.1%,77.4%,71.0%
0.86,5.4%,7.8%,56.3%,67.0%,52.1%
0.56,4.3%,8.7%,49.3%,55.9%,37.1%
1.45,11.1%,5.6%,61.1%,86.4%,35.7%
1.30,5.4%,6.5%,60.9%,89.3%,47.2%
1.48,18.1%,3.6%,65.1%,83.3%,51.7%
1.56,1.9%,3.7%,55.6%,73.3%,58.3%
1.06,9.2%,6.6%,59.2%,71.1%,45.2%
1.96,8.5%,0.0%,61.7%,75.9%,72.2%
3.39,20.5%,5.1%,74.4%,89.7%,70.0%
1.28,5.0%,7.5%,47.5%,71.1%,57.1%
0.54,9.1%,3.0%,63.6%,76.2%,62.5%
0.76,2.2%,1.1%,56.0%,64.7%,37.5%
0.90,3.8%,2.9%,62.9%,62.1%,43.6%
1.37,1.9%,5.6%,55.6%,56.7%,70.8%
1.13,8.3%,4.8%,66.7%,75.0%,57.1%
1.80,9.5%,9.5%,66.7%,85.7%,57.1%
