DR,A%,DF%,1stIn,1st%,2nd%
0.82,5.3%,9.2%,67.1%,62.7%,32.0%
1.14,2.4%,10.8%,51.8%,74.4%,32.5%
1.39,6.8%,8.5%,55.9%,72.7%,53.8%
0.81,2.7%,6.3%,64.0%,71.8%,42.5%
1.29,3.8%,6.3%,60.8%,79.2%,51.6%
0.73,0.0%,0.0%,72.4%,52.4%,56.3%
0.77,1.7%,10.0%,61.7%,56.8%,13.0%
0.89,4.0%,6.7%,62.7%,70.2%,35.7%
1.02,11.3%,1.0%,76.3%,78.4%,34.8%
0.89,1.6%,6.3%,55.9%,54.9%,44.6%
0.71,15.8%,5.3%,68.4%,66.7%,44.4%
1.37,10.0%,1.7%,65.0%,84.6%,33.3%
1.57,6.9%,3.4%,70.7%,80.5%,47.1%
1.35,7.5%,3.8%,64.2%,85.3%,52.6%
1.39,9.3%,2.3%,66.3%,75.4%,62.1%
1.51,13.4%,3.0%,59.7%,82.5%,51.9%
0.64,4.4%,11.1%,48.9%,72.7%,34.8%
1.08,10.2%,3.7%,59.3%,70.3%,54.5%
1.81,12.5%,0.0%,66.7%,78.1%,62.5%
1.04,11.3%,4.2%,69.0%,75.5%,45.5%
1.06,6.7%,4.5%,61.8%,81.8%,38.2%
0.96,5.6%,3.7%,64.8%,74.3%,47.4%
0.94,12.5%,1.0%,72.9%,68.6%,50.0%
1.41,10.6%,3.0%,71.2%,74.5%,68.4%
1.60,11.1%,4.4%,60.0%,70.4%,61.1%
1.19,10.3%,5.1%,70.5%,69.1%,52.2%
1.23,11.7%,1.7%,76.7%,76.1%,71.4%
0.82,6.2%,3.7%,76.5%,67.7%,42.1%
1.46,3.8%,5.8%,71.2%,86.5%,40.0%
0.76,2.2%,5.6%,55.1%,69.4%,42.5%
0.79,6.4%,7.3%,58.7%,70.3%,42.2%
1.36,23.4%,6.4%,70.2%,81.8%,50.0%
1.00,8.6%,1.1%,73.1%,73.5%,52.0%
1.50,19.0%,3.2%,63.5%,77.5%,78.3%
0.70,5.2%,6.9%,62.1%,75.0%,22.7%
0.78,15.8%,0.0%,64.9%,83.8%,40.0%
0.94,6.9%,9.2%,65.5%,68.4%,46.7%
0.86,0.0%,6.7%,56.2%,66.0%,48.7%
1.16,5.9%,6.9%,62.4%,76.2%,55.3%
1.09,9.2%,5.1%,68.4%,68.7%,45.2%
1.28,2.8%,2.8%,56.9%,75.6%,51.6%
1.38,12.5%,0.0%,73.2%,73.2%,60.0%
0.72,2.9%,3.9%,63.7%,73.8%,48.6%
1.12,10.0%,3.3%,63.3%,80.7%,63.6%
0.69,1.5%,2.9%,63.2%,60.5%,36.0%
1.15,9.3%,3.7%,60.2%,75.4%,55.8%
1.32,12.5%,2.5%,70.0%,75.0%,75.0%
1.47,3.1%,3.1%,63.1%,75.6%,66.7%
0.85,20.0%,7.5%,68.8%,74.5%,28.0%
0.82,8.5%,7.4%,60.6%,78.9%,48.6%
1.64,13.2%,0.0%,75.5%,80.0%,69.2%
1.01,5.2%,6.3%,62.5%,78.3%,52.8%
0.82,4.5%,4.5%,65.9%,72.4%,43.3%
1.28,5.6%,5.6%,71.9%,75.0%,56.0%
1.50,7.0%,1.8%,70.2%,75.0%,58.8%
1.36,0.0%,3.5%,64.9%,81.1%,45.0%
0.80,5.5%,1.4%,61.6%,68.9%,46.4%
0.86,8.4%,3.2%,64.2%,75.4%,47.1%
1.84,4.5%,4.5%,61.4%,81.5%,47.1%
0.82,8.1%,4.8%,62.9%,61.5%,52.2%
1.60,10.0%,0.0%,72.9%,84.3%,57.9%
2.01,9.1%,0.0%,78.2%,79.1%,75.0%
0.86,5.4%,5.4%,52.7%,69.2%,60.0%
1.27,8.0%,5.3%,54.7%,90.2%,50.0%
1.13,3.1%,5.1%,58.2%,64.9%,51.2%
1.69,8.3%,2.1%,56.3%,85.2%,61.9%
0.97,4.8%,4.8%,65.1%,56.1%,50.0%
1.67,12.3%,1.8%,64.9%,83.8%,65.0%
1.32,6.6%,0.0%,68.4%,76.9%,58.3%
1.38,19.7%,0.0%,72.7%,72.9%,50.0%
0.94,6.5%,2.5%,66.2%,74.4%,51.5%
1.13,11.9%,4.4%,69.6%,73.4%,51.2%
1.80,27.4%,1.4%,71.2%,82.7%,81.0%
1.24,12.6%,1.1%,69.0%,76.7%,55.6%
1.08,9.8%,0.0%,67.4%,62.9%,70.0%
0.85,5.7%,3.4%,57.5%,84.0%,45.9%
1.28,10.8%,2.4%,61.4%,74.5%,56.3%
1.15,9.9%,2.0%,70.3%,81.7%,53.3%
0.95,5.2%,1.3%,70.1%,75.9%,60.9%
0.34,16.0%,5.3%,68.0%,66.7%,50.0%
3.49,9.8%,0.0%,75.6%,87.1%,90.0%
1.22,10.1%,3.4%,65.2%,69.0%,71.0%
1.03,8.2%,6.2%,75.3%,65.8%,58.3%
1.17,7.1%,3.6%,76.8%,77.9%,53.8%
1.49,8.2%,1.6%,70.5%,83.7%,66.7%
2.22,17.8%,2.2%,77.8%,82.9%,70.0%
1.02,14.3%,5.2%,66.2%,80.4%,46.2%
1.30,16.9%,4.6%,70.8%,80.4%,52.6%
1.26,7.5%,4.3%,61.3%,80.7%,55.6%
1.37,6.9%,1.4%,72.2%,73.1%,55.0%
0.87,6.1%,2.6%,67.5%,66.2%,51.4%
1.62,9.3%,3.7%,72.2%,84.6%,46.7%
1.95,6.8%,2.3%,56.8%,76.0%,73.7%
0.66,7.9%,1.3%,60.5%,71.7%,46.7%
1.78,10.2%,4.1%,49.0%,79.2%,64.0%
0.60,9.6%,7.7%,75.0%,56.4%,30.8%
1.24,5.2%,3.1%,62.9%,67.2%,52.8%
0.81,4.7%,7.5%,62.6%,68.7%,60.0%
0.75,3.1%,4.6%,73.8%,66.7%,58.8%
0.98,4.9%,4.9%,68.3%,71.4%,53.8%
1.03,1.6%,8.2%,63.9%,64.1%,52.3%
1.31,3.5%,0.0%,63.2%,72.2%,61.9%
0.99,2.6%,6.1%,65.8%,61.3%,51.3%
0.85,8.5%,7.0%,71.8%,54.9%,35.0%
1.28,11.1%,2.8%,65.3%,83.0%,48.0%
2.28,14.6%,2.4%,65.9%,88.9%,57.1%
0.84,7.6%,7.6%,54.5%,63.9%,46.7%
3.05,20.5%,7.7%,61.5%,83.3%,80.0%
0.68,4.5%,4.5%,74.2%,53.1%,35.3%
1.48,5.2%,5.2%,62.1%,72.2%,45.5%
1.24,6.2%,10.8%,47.7%,77.4%,47.1%
0.85,3.1%,7.8%,57.8%,73.0%,44.4%
0.90,3.4%,4.3%,54.3%,71.4%,52.8%
0.84,5.6%,3.3%,71.1%,65.6%,46.2%
1.91,10.2%,4.1%,71.4%,80.0%,71.4%
0.98,14.0%,1.2%,68.6%,69.5%,59.3%
0.79,6.9%,1.1%,62.1%,72.2%,30.3%
0.82,2.2%,2.2%,68.8%,67.2%,41.4%
1.44,11.3%,7.5%,60.4%,75.0%,57.1%
1.25,1.6%,6.6%,72.1%,63.6%,41.2%
1.21,0.0%,3.6%,67.5%,69.6%,63.0%
0.73,2.8%,5.6%,68.1%,69.4%,30.4%
1.05,3.7%,5.6%,67.6%,67.1%,40.0%
0.85,1.4%,5.6%,76.4%,52.7%,41.2%
1.81,5.3%,10.5%,68.4%,76.9%,41.7%
0.74,3.1%,3.1%,56.7%,63.6%,42.9%
1.24,10.0%,5.0%,68.8%,65.5%,60.0%
