DR,A%,DF%,1stIn,1st%,2nd%
1.36,10.9%,2.2%,78.3%,69.4%,60.0%
0.52,2.2%,0.0%,71.1%,43.8%,46.2%
0.43,8.2%,1.6%,67.2%,63.4%,45.0%
1.38,4.8%,2.4%,63.1%,79.2%,67.7%
0.81,8.3%,2.4%,71.4%,65.0%,54.2%
2.52,2.4%,0.0%,80.5%,87.9%,50.0%
1.43,11.7%,2.6%,76.6%,76.3%,50.0%
0.80,1.7%,1.7%,67.8%,57.3%,48.7%
1.06,2.5%,1.3%,56.3%,53.3%,62.9%
1.11,2.6%,1.3%,55.8%,67.4%,64.7%
1.32,15.2%,7.6%,65.2%,74.4%,39.1%
1.16,6.8%,5.5%,56.2%,65.9%,46.9%
1.27,7.0%,2.8%,62.0%,70.5%,51.9%
1.58,4.2%,8.3%,58.3%,78.6%,50.0%
0.85,3.4%,4.5%,64.0%,54.4%,40.6%
1.09,3.6%,0.9%,71.2%,70.9%,40.6%
0.85,3.3%,3.3%,75.4%,67.4%,53.3%
1.00,5.6%,0.9%,65.7%,62.0%,54.1%
0.63,2.2%,6.7%,71.1%,46.9%,30.8%
0.97,11.6%,4.7%,52.3%,75.6%,56.1%
1.19,8.1%,0.0%,62.6%,82.3%,45.9%
1.19,4.1%,5.5%,57.5%,78.6%,35.5%
0.87,10.0%,7.0%,64.0%,70.3%,41.7%
1.08,21.9%,1.6%,67.2%,76.7%,38.1%
1.74,7.4%,1.9%,74.1%,72.5%,64.3%
0.44,4.7%,4.7%,72.1%,54.8%,41.7%
1.01,6.4%,1.3%,69.2%,61.1%,54.2%
2.96,15.4%,5.1%,64.1%,92.0%,64.3%
0.72,13.8%,6.9%,62.1%,69.4%,45.5%
1.75,16.7%,4.2%,56.3%,81.5%,52.4%
1.69,7.7%,3.8%,55.8%,75.9%,56.5%
1.10,7.1%,4.3%,61.4%,79.1%,66.7%
1.00,11.9%,7.5%,53.7%,77.8%,58.1%
1.48,5.1%,3.4%,52.5%,77.4%,64.3%
1.74,12.5%,6.3%,54.2%,88.5%,54.5%
1.21,10.1%,3.7%,56.9%,77.4%,57.4%
0.84,13.3%,4.1%,69.4%,76.5%,50.0%
0.97,8.3%,6.0%,69.0%,75.9%,42.3%
3.55,15.2%,6.1%,66.7%,90.9%,72.7%
2.29,9.1%,2.3%,56.8%,76.0%,63.2%
1.93,4.5%,2.3%,59.1%,84.6%,61.1%
0.65,8.4%,3.2%,69.5%,68.2%,37.9%
1.63,12.1%,5.2%,74.1%,86.0%,53.3%
0.86,4.9%,0.0%,64.2%,61.5%,86.2%
5.56,20.0%,0.0%,68.6%,91.7%,90.9%
1.54,15.7%,5.9%,56.9%,86.2%,36.4%
0.87,3.3%,4.1%,63.4%,69.2%,46.7%
1.42,8.8%,1.8%,61.4%,65.7%,72.7%
0.72,4.1%,6.1%,58.2%,54.4%,43.9%
0.68,6.1%,0.0%,65.3%,59.4%,52.9%
1.46,6.4%,12.8%,44.7%,71.4%,53.8%
0.99,1.2%,3.7%,69.5%,61.4%,44.0%
1.18,4.4%,4.4%,57.8%,69.2%,55.3%
1.16,3.1%,3.9%,57.8%,74.3%,61.1%
0.72,12.6%,4.6%,63.2%,67.3%,50.0%
0.80,6.3%,4.7%,64.1%,61.0%,47.8%
1.48,8.8%,0.0%,68.4%,66.7%,83.3%
0.77,5.2%,6.5%,53.2%,80.5%,55.6%
4.43,15.0%,0.0%,70.0%,92.9%,83.3%
1.13,3.1%,4.2%,68.8%,69.7%,30.0%
1.11,8.2%,0.6%,68.8%,71.8%,60.4%
0.74,1.4%,5.6%,67.6%,72.9%,43.5%
0.94,6.0%,8.0%,66.0%,75.8%,35.3%
3.79,5.4%,2.7%,70.3%,88.5%,81.8%
0.70,2.4%,2.4%,63.1%,66.0%,45.2%
1.10,2.4%,5.9%,67.1%,63.2%,46.4%
0.88,0.0%,2.9%,66.7%,47.8%,56.5%
1.45,10.2%,1.7%,83.1%,75.5%,40.0%
0.90,0.0%,4.9%,64.1%,56.1%,45.9%
0.55,1.8%,3.6%,64.3%,52.8%,30.0%
0.57,0.0%,4.2%,66.2%,55.3%,41.7%
0.97,0.0%,3.6%,69.9%,70.7%,36.0%
1.02,5.1%,3.4%,66.7%,66.7%,51.3%
0.69,3.6%,9.1%,65.5%,58.3%,26.3%
0.67,0.0%,6.5%,65.2%,56.7%,25.0%
0.61,8.9%,2.2%,66.7%,63.3%,60.0%
1.37,14.8%,4.9%,57.4%,74.3%,65.4%
0.28,6.7%,1.7%,73.3%,61.4%,43.8%
1.36,6.5%,3.2%,54.8%,79.4%,53.6%
1.06,5.5%,0.0%,71.4%,72.3%,46.2%
1.50,0.0%,3.2%,68.3%,79.1%,50.0%
0.87,2.3%,1.1%,59.1%,57.7%,47.2%
0.94,5.4%,2.2%,64.1%,62.7%,45.5%
1.45,7.8%,2.6%,62.3%,79.2%,55.2%
1.26,8.9%,1.1%,70.0%,81.0%,48.1%
1.11,3.5%,0.0%,66.7%,65.8%,52.6%
1.46,1.8%,3.6%,87.3%,70.8%,42.9%
0.71,5.4%,2.2%,71.0%,66.7%,37.0%
1.03,5.3%,0.7%,58.6%,68.5%,58.7%
0.72,2.1%,10.4%,54.2%,53.8%,36.4%
2.47,10.3%,3.4%,65.5%,94.7%,60.0%
1.45,3.6%,1.8%,50.9%,75.0%,51.9%
0.77,3.3%,8.3%,53.3%,62.5%,32.1%
1.73,9.6%,3.8%,71.2%,81.1%,66.7%
1.39,5.0%,1.7%,61.7%,75.7%,60.9%
1.21,5.7%,5.7%,61.4%,60.5%,55.6%
0.61,0.0%,1.6%,69.4%,67.4%,52.6%
1.75,12.2%,6.1%,63.3%,83.9%,61.1%
0.57,3.6%,3.6%,62.5%,48.6%,52.4%
1.11,4.8%,6.0%,66.3%,67.3%,46.4%
0.75,4.3%,5.7%,62.4%,69.3%,50.9%
0.93,2.4%,3.6%,59.5%,70.0%,29.4%
1.03,3.1%,3.1%,64.3%,71.4%,40.0%
1.07,6.7%,0.0%,52.2%,76.6%,53.5%
2.20,17.4%,4.3%,41.3%,94.7%,70.4%
0.72,13.0%,1.9%,66.7%,72.2%,38.9%
1.95,9.8%,2.0%,60.8%,90.3%,65.0%
1.52,11.7%,5.0%,55.0%,81.8%,63.0%
0.80,9.3%,4.7%,60.5%,55.8%,52.9%
1.62,7.3%,0.0%,60.0%,81.8%,63.6%
1.27,8.1%,1.6%,69.4%,67.4%,68.4%
0.62,9.4%,1.9%,69.8%,73.0%,56.3%
0.90,3.2%,7.2%,62.4%,67.9%,29.8%
0.88,1.7%,3.3%,80.0%,60.4%,41.7%
0.71,1.8%,5.4%,67.9%,57.9%,33.3%
0.93,0.9%,0.0%,71.6%,61.5%,51.6%
0.87,1.5%,1.5%,64.7%,61.4%,41.7%
1.15,11.3%,2.5%,72.5%,75.9%,40.9%
0.69,11.0%,4.9%,59.8%,71.4%,45.5%
1.07,8.1%,1.2%,64.0%,74.5%,71.0%
1.26,4.7%,6.3%,65.6%,71.4%,50.0%
0.85,3.9%,2.0%,60.8%,71.0%,65.0%
1.74,12.2%,4.9%,56.1%,82.6%,55.6%
0.41,0.0%,2.2%,60.0%,55.6%,38.9%
2.06,4.7%,0.0%,58.1%,80.0%,61.1%
2.32,23.4%,4.3%,87.2%,85.4%,50.0%
0.82,9.8%,3.3%,62.3%,71.1%,39.1%
0.96,4.7%,2.3%,66.3%,54.4%,51.7%
1.35,11.0%,6.1%,61.0%,74.0%,59.4%
1.87,0.0%,4.4%,55.6%,84.0%,60.0%
0.45,8.7%,0.0%,60.9%,60.7%,38.9%
1.91,6.4%,0.0%,57.4%,66.7%,70.0%
0.78,6.1%,5.2%,60.9%,65.7%,35.6%
1.28,14.7%,2.1%,66.3%,68.3%,62.5%
1.10,9.0%,2.6%,66.7%,77.9%,59.6%
0.96,5.0%,7.0%,62.0%,58.1%,47.4%
1.28,11.0%,2.7%,54.8%,72.5%,51.5%
0.89,5.3%,3.5%,63.2%,72.2%,38.1%
2.18,20.0%,5.0%,70.0%,100.0%,33.3%
0.96,5.3%,3.2%,62.8%,61.0%,45.7%
0.85,5.9%,1.0%,67.6%,68.1%,63.6%
0.85,4.9%,2.0%,68.6%,62.9%,50.0%
1.34,11.6%,2.3%,72.1%,74.2%,66.7%
1.56,10.5%,0.0%,64.9%,70.3%,65.0%
1.70,5.0%,1.7%,66.7%,87.5%,50.0%
0.54,6.0%,0.0%,82.0%,48.8%,44.4%
1.22,7.4%,5.9%,61.8%,73.8%,46.2%
1.22,3.5%,2.4%,58.8%,62.0%,60.0%
0.73,15.4%,4.4%,60.4%,74.5%,38.9%
1.13,12.4%,0.0%,66.7%,77.1%,57.1%
0.79,7.9%,1.6%,65.1%,73.2%,59.1%
1.33,8.8%,1.5%,63.2%,79.1%,44.0%
1.34,14.1%,2.8%,66.2%,83.0%,45.8%
0.84,3.8%,1.3%,66.7%,65.4%,53.8%
2.05,7.5%,0.0%,75.0%,73.3%,70.0%
0.98,7.9%,5.8%,69.1%,67.7%,41.9%
0.41,1.8%,5.5%,65.5%,58.3%,52.6%
2.67,25.8%,3.2%,64.5%,90.0%,54.5%
0.63,3.6%,1.2%,72.3%,61.7%,52.2%
1.06,4.4%,2.2%,54.4%,59.2%,56.1%
0.75,3.4%,1.7%,69.0%,72.5%,22.2%
1.18,5.6%,1.4%,60.6%,60.5%,50.0%
0.88,7.5%,6.0%,67.2%,73.3%,45.5%
1.15,8.8%,1.8%,71.1%,76.5%,57.6%
0.87,3.1%,1.0%,63.5%,70.5%,65.7%
1.16,9.2%,2.0%,65.3%,76.6%,50.0%
0.66,0.0%,3.0%,62.1%,68.3%,36.0%
1.05,13.4%,0.0%,70.1%,74.5%,75.0%
0.60,4.1%,3.1%,73.5%,65.3%,50.0%
0.79,2.3%,1.5%,74.0%,60.8%,50.0%
1.46,2.7%,1.3%,58.7%,68.2%,61.3%
1.07,0.8%,1.6%,68.5%,63.5%,51.3%
0.67,3.0%,3.0%,62.7%,57.1%,56.0%
0.61,3.0%,1.5%,66.7%,54.5%,36.4%
1.07,4.5%,1.1%,68.2%,68.3%,46.4%
0.94,1.8%,3.6%,65.5%,61.1%,36.8%
0.72,2.8%,8.5%,59.2%,42.9%,31.0%
1.11,1.8%,1.8%,62.2%,65.2%,45.2%
0.92,12.2%,3.3%,71.1%,70.3%,53.8%
0.60,3.2%,1.6%,64.5%,60.0%,40.9%
1.33,1.8%,3.5%,63.2%,72.2%,66.7%
1.18,2.8%,0.0%,69.2%,58.1%,48.5%
0.76,1.6%,6.3%,63.5%,50.0%,47.8%
0.97,2.9%,2.9%,60.0%,74.6%,54.8%
0.81,8.1%,2.7%,58.1%,65.1%,35.5%
1.10,7.9%,5.3%,53.9%,70.7%,40.0%
1.16,19.5%,5.2%,59.7%,76.1%,48.4%
0.69,1.6%,0.0%,67.7%,69.0%,60.0%
1.02,5.2%,1.0%,53.6%,65.4%,57.8%
1.52,8.9%,1.8%,69.6%,79.5%,41.2%
0.65,3.4%,0.0%,69.0%,67.5%,44.4%
1.37,7.0%,4.2%,59.2%,73.8%,58.6%
0.86,5.4%,2.7%,62.5%,68.6%,40.5%
1.37,6.4%,2.8%,57.8%,79.4%,54.3%
0.84,13.3%,3.3%,60.0%,72.2%,58.3%
0.70,5.3%,1.8%,63.2%,66.7%,42.9%
2.20,15.6%,0.0%,68.9%,87.1%,42.9%
1.03,5.1%,2.0%,63.6%,65.1%,61.1%
0.86,14.3%,4.1%,75.5%,75.7%,50.0%
0.56,6.1%,0.0%,71.4%,60.0%,42.9%
1.47,3.7%,0.0%,66.7%,77.8%,55.6%
0.64,0.0%,3.1%,62.5%,47.5%,54.2%
1.17,14.8%,6.6%,54.1%,75.8%,57.1%
0.51,1.8%,1.8%,69.1%,68.4%,35.3%
1.34,12.7%,3.2%,55.6%,77.1%,50.0%
1.05,8.3%,4.5%,69.9%,62.4%,55.3%
1.18,13.1%,2.8%,71.0%,65.8%,58.1%
0.60,2.2%,6.7%,57.8%,53.8%,31.6%
1.52,9.4%,1.6%,50.0%,84.4%,62.5%
0.98,3.8%,5.7%,62.3%,72.7%,55.0%
1.03,3.7%,2.8%,60.7%,63.1%,47.6%
1.67,11.8%,3.9%,60.8%,80.6%,60.0%
1.34,13.3%,0.0%,63.3%,81.6%,54.5%
1.00,4.3%,0.9%,59.0%,69.6%,47.9%
1.25,11.1%,1.6%,57.1%,80.6%,59.3%
0.69,2.8%,1.9%,72.0%,61.0%,43.3%
0.84,8.3%,6.7%,58.3%,71.4%,32.0%
0.93,10.0%,4.6%,60.8%,73.4%,49.0%
1.11,8.3%,0.7%,72.9%,73.3%,64.1%
1.26,5.5%,4.1%,67.1%,69.4%,37.5%
1.47,10.6%,3.2%,73.4%,76.8%,56.0%
0.83,7.0%,4.7%,65.1%,82.1%,33.3%
2.35,27.5%,0.0%,77.5%,80.6%,77.8%
1.09,8.1%,3.6%,61.3%,66.2%,51.2%
1.96,4.3%,0.0%,71.7%,78.8%,76.9%
0.97,7.4%,1.9%,77.8%,66.7%,50.0%
1.04,6.5%,1.2%,70.2%,68.6%,58.0%
0.99,6.5%,2.6%,66.2%,64.7%,48.1%
1.35,1.8%,3.5%,64.9%,78.4%,55.0%
1.27,2.7%,1.3%,58.7%,65.9%,41.9%
1.13,3.5%,0.0%,50.9%,65.5%,57.1%
0.72,2.3%,0.0%,56.8%,84.0%,52.6%
1.50,5.3%,0.0%,70.7%,79.2%,63.6%
1.04,2.9%,0.0%,68.9%,64.8%,62.5%
1.58,1.8%,1.8%,67.3%,73.0%,55.6%
1.10,1.2%,0.0%,68.7%,70.2%,42.3%
1.14,12.7%,5.5%,50.9%,60.7%,55.6%
0.89,3.8%,1.0%,68.6%,63.9%,60.6%
1.17,3.4%,2.2%,62.9%,64.3%,51.5%
0.73,2.5%,4.9%,59.3%,66.7%,48.5%
1.55,5.1%,1.7%,66.1%,79.5%,65.0%
1.40,4.9%,3.3%,65.6%,72.5%,38.1%
1.53,3.6%,1.8%,58.9%,66.7%,65.2%
0.84,1.4%,2.8%,65.3%,59.6%,52.0%
0.95,10.3%,3.8%,67.9%,79.2%,48.0%
1.35,2.5%,2.5%,69.1%,76.8%,60.0%
1.23,7.9%,1.6%,79.4%,84.0%,61.5%
1.56,0.0%,2.0%,68.0%,67.6%,62.5%
0.84,6.2%,1.2%,67.9%,61.8%,42.3%
1.22,9.8%,3.3%,60.9%,73.2%,58.3%
0.77,7.7%,7.7%,51.9%,66.7%,28.0%
1.13,10.3%,2.3%,56.3%,79.6%,47.4%
1.78,13.7%,3.9%,68.6%,77.1%,56.3%
1.59,10.3%,3.4%,58.6%,76.5%,54.2%
0.96,10.6%,3.8%,66.3%,78.3%,37.1%
1.50,5.6%,1.9%,59.3%,65.6%,63.6%
1.43,10.6%,0.0%,60.6%,75.0%,57.7%
0.66,1.4%,2.9%,60.0%,66.7%,42.9%
1.55,13.6%,3.4%,65.9%,81.0%,53.3%
1.15,11.3%,0.0%,71.3%,72.0%,69.7%
1.43,14.7%,3.2%,65.3%,79.0%,54.5%
0.98,4.7%,2.8%,63.6%,67.6%,53.8%
1.29,11.8%,0.0%,76.5%,80.8%,50.0%
0.83,7.7%,3.8%,61.5%,59.4%,60.0%
