DR,A%,DF%,1stIn,1st%,2nd%
0.78,2.7%,1.4%,63.0%,56.5%,40.7%
0.73,5.8%,2.9%,60.6%,69.8%,41.5%
0.89,8.1%,7.1%,48.5%,81.3%,51.0%
1.42,12.6%,8.4%,61.1%,86.2%,45.9%
1.73,5.8%,7.7%,63.5%,81.8%,68.4%
1.28,9.4%,6.3%,59.4%,81.6%,50.0%
1.03,15.4%,3.8%,51.3%,82.5%,50.0%
1.24,13.0%,1.1%,64.1%,81.4%,51.5%
1.16,5.2%,7.8%,58.4%,80.0%,43.8%
2.01,12.5%,4.2%,54.2%,88.5%,68.2%
1.07,11.0%,7.7%,50.5%,73.9%,42.2%
0.91,9.6%,5.3%,57.4%,74.1%,57.5%
1.66,10.5%,12.3%,57.9%,84.8%,62.5%
1.93,22.2%,2.2%,66.7%,83.3%,60.0%
0.83,6.6%,2.6%,59.2%,64.4%,48.4%
1.93,15.6%,4.4%,62.2%,78.6%,70.6%
0.95,13.7%,3.9%,49.0%,80.0%,53.8%
0.95,9.9%,3.7%,49.4%,85.0%,36.6%
1.32,13.4%,3.0%,73.1%,79.6%,50.0%
1.29,6.2%,0.0%,69.2%,75.6%,50.0%
0.37,8.7%,1.4%,65.2%,68.9%,41.7%
0.91,12.8%,0.0%,66.0%,71.0%,68.8%
1.43,7.1%,0.0%,58.9%,78.8%,47.8%
0.61,3.9%,1.3%,64.5%,67.3%,63.0%
2.14,10.6%,0.0%,61.7%,82.8%,66.7%
2.81,16.7%,2.8%,80.6%,75.9%,71.4%
0.69,9.2%,6.9%,55.2%,72.9%,38.5%
0.79,5.2%,3.4%,58.6%,64.7%,50.0%
2.21,17.6%,3.9%,60.8%,87.1%,75.0%
1.67,19.2%,0.0%,75.0%,79.5%,53.8%
3.77,13.5%,2.7%,59.5%,95.5%,73.3%
0.88,5.3%,2.7%,58.7%,70.5%,38.7%
1.84,12.7%,3.6%,65.5%,88.9%,63.2%
1.73,15.4%,0.0%,69.2%,83.3%,62.5%
1.03,14.5%,3.2%,45.2%,78.6%,61.8%
1.62,13.0%,5.6%,48.1%,92.3%,53.6%
1.18,11.0%,2.4%,52.4%,83.7%,51.3%
2.07,11.6%,2.3%,48.8%,81.0%,72.7%
1.79,4.1%,10.2%,49.0%,87.5%,56.0%
1.93,16.0%,6.0%,52.0%,96.2%,62.5%
1.03,8.4%,4.8%,53.0%,70.5%,56.4%
1.98,15.7%,3.9%,58.8%,80.0%,81.0%
1.48,1.8%,3.5%,47.4%,74.1%,53.3%
1.89,8.7%,4.3%,47.8%,68.2%,75.0%
0.78,11.1%,2.0%,54.5%,75.9%,60.0%
0.87,14.3%,5.7%,54.3%,78.9%,34.4%
1.95,4.1%,2.0%,57.1%,78.6%,76.2%
0.81,16.1%,1.7%,63.6%,73.3%,46.5%
0.74,20.5%,0.0%,60.3%,79.5%,37.9%
0.98,9.3%,2.3%,67.4%,72.4%,60.7%
1.38,14.1%,0.0%,62.5%,80.0%,66.7%
0.75,6.5%,1.6%,62.9%,66.7%,47.8%
1.27,27.0%,0.0%,64.9%,83.3%,53.8%
1.72,17.9%,2.6%,51.3%,80.0%,63.2%
0.80,6.1%,2.0%,60.2%,62.7%,46.2%
0.72,7.4%,4.3%,59.6%,60.7%,47.4%
1.01,4.0%,6.0%,55.0%,80.0%,44.4%
1.21,7.7%,3.3%,68.1%,80.6%,41.4%
1.17,5.6%,3.4%,57.3%,82.4%,44.7%
0.93,3.6%,3.6%,54.2%,75.6%,34.2%
0.76,9.7%,1.4%,68.1%,67.3%,60.9%
1.43,8.5%,3.4%,62.7%,73.0%,59.1%
1.36,5.7%,4.3%,60.0%,64.3%,67.9%
1.40,21.6%,2.1%,62.9%,82.0%,61.1%
5.74,29.0%,0.0%,71.0%,95.5%,77.8%
0.75,8.2%,8.2%,58.9%,65.1%,40.0%
0.97,3.4%,0.0%,77.3%,67.6%,60.0%
1.92,6.5%,2.2%,63.0%,82.8%,58.8%
1.47,7.7%,0.0%,64.6%,73.8%,69.6%
1.03,5.2%,0.9%,45.7%,75.5%,54.0%
1.08,15.3%,10.6%,50.6%,86.0%,47.6%
1.19,10.5%,6.6%,60.5%,76.1%,56.7%
0.80,11.1%,5.6%,56.3%,73.2%,61.8%
1.00,7.3%,1.2%,65.9%,74.1%,53.6%
1.84,20.0%,2.2%,57.8%,88.5%,52.6%
0.80,9.3%,7.4%,55.6%,73.3%,37.5%
0.80,14.8%,5.6%,55.6%,73.3%,50.0%
0.81,13.0%,0.0%,63.6%,77.6%,50.0%
0.82,9.7%,1.0%,62.1%,73.4%,48.7%
0.95,14.4%,1.9%,51.9%,81.5%,50.0%
1.87,13.6%,2.3%,59.1%,84.6%,55.6%
3.88,14.6%,4.9%,51.2%,100.0%,75.0%
1.51,17.2%,1.1%,64.4%,80.4%,80.6%
1.14,10.3%,3.8%,53.8%,64.3%,61.1%
0.85,9.6%,4.3%,58.5%,67.3%,41.0%
1.07,16.4%,1.6%,63.9%,71.8%,68.2%
8.10,26.7%,0.0%,73.3%,100.0%,75.0%
1.52,10.7%,0.0%,69.6%,71.8%,70.6%
0.91,9.9%,4.1%,60.3%,76.7%,50.0%
2.06,15.7%,0.0%,64.7%,87.9%,66.7%
1.85,19.2%,0.0%,69.2%,80.6%,62.5%
0.53,6.5%,13.0%,58.7%,63.0%,42.1%
0.96,11.7%,7.2%,53.2%,83.1%,55.8%
-,46.9%,0.0%,68.8%,100.0%,100.0%
0.32,14.5%,3.6%,49.1%,81.5%,50.0%
0.87,12.8%,8.5%,48.9%,91.3%,45.8%
0.69,6.8%,1.7%,54.2%,56.3%,40.7%
0.73,20.0%,3.3%,75.0%,66.7%,33.3%
0.79,7.5%,5.4%,61.2%,74.4%,40.4%
0.90,14.1%,4.7%,62.5%,72.5%,45.8%
1.56,11.1%,4.8%,52.4%,75.8%,70.0%
0.65,7.0%,3.5%,54.4%,61.3%,61.5%
1.22,8.5%,7.0%,56.3%,87.5%,38.7%
0.81,10.1%,2.2%,65.2%,70.7%,45.2%
0.72,2.1%,3.2%,54.3%,49.0%,48.8%
