DR,A%,DF%,1stIn,1st%,2nd%
0.92,3.4%,4.5%,56.8%,58.0%,47.4%
1.75,7.5%,3.8%,66.0%,68.6%,72.2%
1.08,1.1%,4.5%,63.6%,53.6%,46.9%
1.36,4.6%,1.5%,70.8%,76.1%,63.2%
0.76,3.7%,9.2%,61.5%,74.6%,50.0%
2.42,5.1%,2.6%,87.2%,76.5%,60.0%
1.32,3.8%,1.3%,60.0%,75.0%,53.1%
0.83,2.9%,2.9%,68.3%,53.5%,54.5%
1.04,4.8%,9.5%,66.7%,62.9%,40.0%
1.11,4.8%,5.6%,64.3%,71.6%,60.0%
1.41,5.9%,3.9%,56.9%,69.0%,72.7%
0.78,6.3%,5.2%,64.6%,67.7%,52.9%
1.34,12.3%,4.6%,64.6%,83.3%,56.5%
2.00,4.3%,6.4%,66.0%,80.6%,56.3%
1.76,16.7%,2.1%,62.5%,83.3%,66.7%
0.84,2.6%,6.5%,72.7%,57.1%,42.9%
1.10,5.9%,5.0%,66.3%,68.7%,61.8%
1.50,2.0%,3.9%,60.8%,74.2%,55.0%
1.12,4.3%,2.1%,61.7%,63.8%,50.0%
1.36,7.8%,3.1%,70.3%,64.4%,57.9%
0.52,7.8%,3.9%,58.8%,63.3%,47.6%
6.00,11.1%,0.0%,33.3%,100.0%,83.3%
1.05,8.0%,5.7%,69.3%,72.1%,48.1%
1.00,11.7%,2.1%,66.0%,79.0%,50.0%
1.97,14.0%,2.3%,67.4%,79.3%,42.9%
0.96,11.2%,4.5%,69.7%,64.5%,44.4%
0.78,7.4%,5.9%,67.6%,60.9%,50.0%
1.17,11.3%,2.8%,63.4%,84.4%,46.2%
2.17,20.0%,3.6%,67.3%,81.1%,83.3%
0.71,6.7%,4.4%,61.1%,65.5%,42.9%
2.05,28.3%,5.7%,54.7%,93.1%,66.7%
1.42,9.4%,9.4%,66.0%,74.3%,44.4%
0.60,11.8%,2.6%,71.1%,70.4%,54.5%
1.34,21.1%,2.8%,67.6%,83.3%,56.5%
1.53,12.7%,5.6%,56.3%,75.0%,64.5%
1.85,4.9%,2.4%,56.1%,73.9%,55.6%
0.74,9.5%,4.8%,64.3%,59.3%,46.7%
2.35,20.9%,7.0%,60.5%,80.8%,64.7%
1.00,4.9%,0.0%,71.6%,82.8%,56.5%
1.55,11.5%,0.0%,68.9%,76.2%,57.9%
0.83,1.6%,8.2%,63.9%,59.0%,22.7%
1.10,5.7%,1.1%,80.5%,71.4%,47.1%
1.04,7.2%,1.8%,71.2%,68.4%,50.0%
0.95,3.3%,3.3%,71.7%,60.6%,50.0%
1.78,10.3%,1.7%,69.0%,82.5%,61.1%
1.19,16.2%,4.0%,72.7%,77.8%,37.0%
0.62,2.4%,4.9%,53.7%,45.5%,52.6%
1.09,6.5%,2.6%,77.9%,71.7%,35.3%
0.72,9.3%,8.1%,59.3%,76.5%,42.9%
1.14,4.2%,8.3%,65.3%,76.6%,36.0%
2.21,8.7%,2.2%,60.9%,89.3%,66.7%
1.70,5.8%,3.8%,55.8%,89.7%,47.8%
1.11,15.3%,4.1%,65.3%,81.3%,50.0%
0.63,2.0%,12.2%,55.1%,51.9%,45.5%
1.30,8.4%,3.6%,68.7%,82.5%,42.3%
1.12,4.2%,4.2%,71.6%,72.1%,40.7%
1.57,8.9%,5.4%,55.4%,83.9%,56.0%
2.02,10.9%,1.8%,65.5%,77.8%,78.9%
0.86,11.6%,3.5%,61.6%,73.6%,36.4%
0.86,8.5%,6.8%,55.1%,70.8%,41.5%
1.55,13.5%,7.7%,51.9%,77.8%,48.0%
1.31,5.6%,9.0%,59.6%,84.9%,47.2%
0.64,6.9%,2.0%,67.6%,58.0%,57.6%
1.64,16.0%,0.0%,69.3%,90.4%,60.9%
1.39,16.9%,2.8%,66.2%,80.9%,58.3%
1.91,12.0%,2.7%,61.3%,89.1%,65.5%
0.62,3.3%,3.3%,62.3%,57.9%,26.1%
1.39,2.7%,4.1%,72.6%,71.7%,50.0%
0.75,4.1%,1.0%,70.1%,67.6%,51.7%
1.41,10.5%,3.5%,66.7%,76.3%,63.2%
0.75,7.1%,0.0%,73.8%,48.4%,36.4%
0.93,2.6%,2.6%,62.1%,70.8%,54.5%
0.85,1.3%,10.7%,54.7%,68.3%,52.9%
1.28,19.3%,3.6%,63.9%,81.1%,53.3%
0.65,14.0%,8.8%,49.1%,78.6%,34.5%
1.22,7.6%,5.1%,67.1%,73.6%,53.8%
1.54,5.9%,5.9%,52.9%,85.2%,50.0%
1.10,10.0%,8.9%,60.0%,74.1%,44.4%
0.85,4.3%,8.6%,48.4%,62.2%,60.4%
1.05,5.6%,6.7%,56.2%,72.0%,48.7%
1.67,17.6%,11.8%,44.1%,66.7%,57.9%
0.79,3.1%,7.8%,53.1%,64.7%,56.7%
1.45,0.0%,5.9%,58.8%,73.3%,57.1%
0.61,5.6%,9.7%,47.2%,67.6%,44.7%
0.85,4.1%,5.2%,63.9%,71.0%,34.3%
0.56,4.5%,4.5%,61.2%,75.6%,42.3%
0.48,8.1%,3.2%,59.7%,62.2%,32.0%
1.36,3.1%,6.2%,70.8%,63.0%,68.4%
1.65,9.6%,3.8%,55.8%,79.3%,65.2%
0.77,8.1%,6.3%,59.5%,71.2%,37.8%
0.83,0.0%,5.7%,60.4%,62.5%,42.9%
0.98,6.3%,5.4%,65.8%,69.9%,28.9%
1.40,6.9%,2.8%,58.3%,73.8%,66.7%
0.92,3.0%,6.0%,53.7%,50.0%,45.2%
1.63,8.0%,10.0%,52.0%,88.5%,50.0%
0.78,3.3%,0.8%,69.1%,61.2%,42.1%
1.55,8.5%,3.7%,61.0%,86.0%,65.6%
1.51,11.5%,3.4%,72.4%,76.2%,62.5%
1.82,9.8%,2.0%,66.7%,82.4%,52.9%
0.86,8.3%,0.0%,61.1%,72.7%,46.4%
0.94,7.6%,4.2%,66.1%,70.5%,45.0%
0.90,8.2%,6.1%,64.3%,63.5%,45.7%
1.32,12.3%,1.8%,75.4%,74.4%,50.0%
1.09,9.3%,2.7%,66.7%,80.0%,52.0%
1.53,15.1%,1.9%,62.3%,84.8%,65.0%
0.90,6.2%,6.2%,48.7%,69.1%,44.8%
0.80,8.2%,4.9%,54.1%,78.8%,57.1%
1.43,3.8%,1.9%,69.8%,70.3%,37.5%
0.85,4.2%,4.2%,63.2%,55.0%,57.1%
0.66,4.2%,2.8%,61.1%,61.4%,25.0%
1.87,5.9%,3.9%,62.7%,81.3%,57.9%
2.50,2.9%,2.9%,57.1%,85.0%,73.3%
1.34,7.8%,6.5%,66.2%,64.7%,42.3%
0.49,13.2%,1.9%,60.4%,46.9%,47.6%
1.08,7.9%,7.9%,44.4%,75.0%,62.9%
0.76,13.0%,11.1%,75.9%,48.8%,23.1%
1.50,5.5%,0.0%,65.5%,72.2%,68.4%
1.00,5.6%,3.3%,70.0%,65.1%,51.9%
0.92,8.5%,3.8%,57.5%,77.0%,37.8%
0.72,1.3%,2.6%,61.5%,56.3%,40.0%
1.24,1.4%,8.5%,64.8%,80.4%,48.0%
1.24,4.3%,3.3%,67.4%,69.4%,60.0%
1.53,7.8%,3.9%,64.7%,81.8%,33.3%
0.84,3.1%,4.6%,67.2%,70.5%,62.8%
1.32,7.3%,3.7%,54.9%,73.3%,59.5%
1.89,10.9%,6.5%,60.9%,85.7%,55.6%
0.83,5.1%,0.8%,59.3%,58.6%,56.3%
0.58,4.0%,4.0%,70.0%,54.3%,46.7%
1.50,6.3%,1.6%,58.7%,64.9%,69.2%
1.49,11.7%,3.3%,73.3%,77.3%,56.3%
1.21,6.7%,2.7%,60.0%,57.8%,60.0%
1.37,4.7%,1.6%,65.6%,78.6%,59.1%
1.20,5.3%,5.3%,64.5%,69.4%,44.4%
1.25,8.8%,2.9%,64.7%,72.7%,54.2%
0.69,5.6%,7.4%,66.7%,72.2%,27.8%
1.17,1.4%,1.4%,75.7%,73.6%,76.5%
1.30,4.6%,10.8%,56.9%,75.7%,42.9%
1.10,3.6%,3.6%,69.0%,70.7%,46.2%
1.39,5.5%,6.8%,60.3%,84.1%,58.6%
0.35,3.3%,8.2%,54.1%,75.8%,50.0%
1.22,10.5%,3.9%,68.4%,75.0%,41.7%
0.53,6.7%,2.2%,60.0%,63.0%,33.3%
1.26,9.4%,0.0%,71.9%,71.7%,55.6%
0.72,5.4%,6.8%,67.6%,54.0%,45.8%
1.05,2.4%,2.4%,65.5%,69.1%,34.5%
1.67,7.8%,2.0%,58.8%,73.3%,71.4%
2.67,8.8%,8.8%,64.7%,77.3%,66.7%
1.47,6.2%,4.6%,60.0%,82.1%,53.8%
1.00,8.5%,5.6%,59.2%,73.8%,48.3%
0.92,1.9%,3.7%,61.1%,66.7%,57.1%
2.43,13.7%,2.0%,64.7%,87.9%,72.2%
1.50,6.8%,5.1%,76.3%,75.6%,35.7%
0.90,15.0%,3.0%,66.0%,72.7%,38.2%
1.50,11.1%,1.6%,66.7%,85.7%,47.6%
1.69,8.0%,8.0%,70.0%,88.6%,40.0%
0.85,11.5%,5.3%,59.3%,64.2%,41.3%
0.67,4.2%,11.3%,60.6%,72.1%,28.6%
1.49,8.3%,5.0%,55.0%,72.7%,40.7%
0.84,18.2%,6.1%,62.1%,80.5%,44.0%
0.87,3.2%,1.6%,59.7%,64.9%,36.0%
2.28,7.5%,1.9%,58.5%,90.3%,68.2%
1.53,7.0%,0.0%,59.6%,79.4%,65.2%
1.51,8.8%,3.5%,66.7%,81.6%,57.9%
