DR,A%,DF%,1stIn,1st%,2nd%
0.54,2.0%,8.0%,62.0%,58.1%,36.8%
0.93,7.0%,5.6%,57.7%,73.2%,66.7%
0.98,4.7%,5.7%,59.4%,71.4%,48.8%
0.93,3.5%,5.3%,58.8%,62.7%,40.4%
1.23,10.8%,4.9%,54.9%,75.0%,60.9%
1.22,1.2%,4.9%,64.2%,71.2%,51.7%
1.11,0.0%,2.7%,67.3%,65.8%,56.8%
1.22,2.3%,0.0%,71.6%,66.7%,48.0%
1.35,6.2%,3.7%,63.0%,72.5%,53.3%
0.77,3.0%,3.0%,65.7%,59.1%,60.9%
1.03,4.1%,2.7%,61.6%,62.2%,53.6%
1.23,2.5%,6.2%,60.5%,69.4%,56.3%
0.91,5.2%,2.6%,54.5%,54.8%,57.1%
0.75,3.4%,8.6%,46.6%,74.1%,48.4%
1.17,3.9%,7.9%,60.5%,60.9%,53.3%
1.38,8.5%,8.5%,67.8%,75.0%,31.6%
1.51,8.3%,2.1%,66.7%,71.9%,62.5%
0.78,4.0%,8.0%,49.3%,67.6%,39.5%
1.22,5.3%,5.3%,59.6%,79.4%,30.4%
0.79,6.9%,9.2%,50.6%,77.3%,27.9%
0.65,2.2%,2.2%,58.7%,51.9%,47.4%
0.76,11.3%,6.3%,58.8%,63.8%,45.5%
0.89,13.4%,5.9%,63.0%,77.3%,47.7%
1.23,9.1%,6.1%,62.1%,73.2%,68.0%
1.68,22.6%,7.5%,73.6%,79.5%,57.1%
1.62,7.4%,9.3%,63.0%,70.6%,35.0%
0.84,4.1%,5.4%,63.5%,70.2%,44.4%
0.61,7.1%,4.8%,50.0%,61.9%,33.3%
0.45,13.7%,9.8%,58.8%,70.0%,14.3%
1.07,3.4%,5.2%,62.1%,66.7%,47.7%
2.30,2.5%,7.5%,52.5%,71.4%,78.9%
1.55,11.1%,6.3%,60.3%,76.3%,48.0%
0.63,1.8%,10.7%,50.0%,50.0%,46.4%
0.40,2.6%,13.2%,57.9%,40.9%,18.8%
1.12,6.8%,4.1%,69.9%,70.6%,50.0%
1.05,7.5%,5.6%,61.7%,57.6%,53.7%
1.00,5.9%,1.5%,69.1%,68.1%,61.9%
0.97,4.7%,3.5%,62.8%,64.8%,59.4%
1.09,5.7%,1.4%,68.6%,66.7%,63.6%
2.13,12.2%,0.0%,69.4%,82.4%,80.0%
1.18,9.3%,4.1%,68.0%,74.2%,41.9%
1.39,4.8%,1.6%,68.3%,74.4%,50.0%
0.84,2.8%,6.9%,62.5%,66.7%,48.1%
1.11,6.7%,2.2%,62.2%,66.1%,64.7%
1.52,12.1%,12.1%,51.7%,83.3%,57.1%
1.08,6.6%,1.6%,59.0%,61.1%,56.0%
0.73,0.0%,3.0%,53.0%,51.4%,58.1%
1.46,4.0%,6.0%,56.0%,89.3%,54.5%
1.23,7.9%,3.9%,60.5%,78.3%,30.0%
0.74,1.6%,9.4%,59.4%,57.9%,42.3%
0.45,4.1%,2.0%,59.2%,48.3%,20.0%
0.78,0.0%,4.3%,63.8%,70.5%,24.0%
1.51,3.0%,3.0%,63.6%,78.6%,70.8%
0.82,5.3%,1.3%,65.3%,63.3%,50.0%
1.30,3.2%,1.6%,71.4%,64.4%,72.2%
0.68,1.7%,1.7%,66.7%,55.0%,45.0%
1.18,2.8%,0.9%,80.2%,63.5%,61.9%
0.96,1.9%,1.9%,72.1%,69.3%,48.3%
0.78,8.5%,4.2%,60.6%,69.8%,35.7%
0.51,0.0%,1.7%,46.7%,50.0%,40.6%
1.32,5.1%,5.1%,64.1%,70.0%,53.6%
0.66,2.0%,7.8%,45.1%,52.2%,50.0%
0.36,0.0%,13.2%,47.4%,66.7%,25.0%
0.82,6.8%,1.9%,74.8%,64.9%,61.5%
1.23,4.4%,8.8%,60.4%,67.3%,55.6%
0.79,3.8%,7.5%,58.8%,55.3%,45.5%
1.09,2.2%,10.9%,57.6%,71.7%,41.0%
1.62,4.9%,1.6%,65.6%,62.5%,76.2%
1.45,9.3%,5.6%,63.0%,64.7%,55.0%
1.92,2.2%,8.7%,54.3%,76.0%,71.4%
1.05,4.2%,5.6%,57.7%,73.2%,33.3%
1.35,6.3%,7.8%,45.3%,75.9%,60.0%
1.82,9.6%,7.7%,63.5%,84.8%,52.6%
0.77,13.5%,12.2%,54.1%,85.0%,38.2%
0.70,2.0%,12.0%,56.0%,57.1%,40.9%
1.70,5.9%,3.9%,68.6%,82.9%,43.8%
1.20,18.8%,7.2%,60.9%,81.0%,51.9%
1.31,9.0%,4.5%,59.7%,80.0%,63.0%
1.27,6.8%,4.5%,67.0%,66.1%,55.2%
1.24,4.5%,6.1%,59.1%,69.2%,44.4%
0.77,4.1%,9.6%,63.0%,65.2%,37.0%
0.59,7.7%,4.6%,67.7%,59.1%,71.4%
2.84,15.6%,6.3%,62.5%,85.0%,66.7%
1.30,6.4%,3.2%,69.1%,84.6%,41.4%
1.64,9.6%,9.6%,67.3%,71.4%,52.9%
2.02,17.0%,1.9%,73.6%,82.1%,78.6%
0.53,7.1%,2.4%,52.4%,68.2%,35.0%
0.42,2.3%,9.1%,45.5%,50.0%,33.3%
0.80,2.4%,3.7%,61.0%,62.0%,59.4%
1.01,5.5%,8.2%,56.2%,70.7%,46.9%
1.19,6.5%,6.5%,54.8%,61.8%,50.0%
0.58,3.9%,5.9%,43.1%,59.1%,34.5%
0.52,3.0%,7.5%,52.2%,51.4%,31.3%
0.82,6.7%,4.4%,63.3%,68.4%,45.5%
2.41,5.4%,2.7%,54.1%,85.0%,64.7%
1.65,4.8%,1.6%,53.2%,90.9%,55.2%
1.20,4.9%,6.1%,54.9%,73.3%,51.4%
1.42,1.4%,4.2%,49.3%,77.1%,52.8%
1.13,0.9%,9.3%,51.9%,67.9%,44.2%
0.80,0.0%,3.5%,57.5%,64.6%,52.1%
1.03,3.8%,2.5%,49.4%,61.5%,50.0%
1.15,4.6%,5.7%,60.9%,71.7%,35.3%
0.99,7.0%,4.4%,59.6%,72.1%,47.8%
1.02,9.5%,5.6%,58.7%,67.6%,50.0%
0.90,6.6%,4.4%,57.1%,75.0%,53.8%
0.83,1.4%,2.9%,58.0%,62.5%,48.3%
1.13,0.0%,7.1%,51.8%,56.8%,58.5%
1.00,5.8%,5.8%,58.3%,72.9%,44.0%
1.74,6.1%,8.2%,55.1%,70.4%,59.1%
1.09,5.9%,8.2%,43.5%,73.0%,43.8%
0.66,1.3%,7.8%,55.8%,67.4%,41.2%
1.37,5.3%,1.8%,61.4%,74.3%,63.6%
1.54,13.8%,0.0%,66.2%,79.1%,68.2%
0.82,5.6%,2.8%,63.4%,60.0%,42.3%
1.48,9.4%,1.6%,56.3%,83.3%,64.3%
0.77,3.1%,0.0%,59.2%,67.2%,52.5%
1.32,2.6%,7.7%,56.4%,77.3%,52.9%
0.84,3.4%,10.3%,74.1%,53.5%,40.0%
