DR,A%,DF%,1stIn,1st%,2nd%
0.68,6.3%,7.9%,55.6%,68.6%,35.7%
0.62,3.8%,1.9%,63.5%,45.5%,47.4%
0.86,4.2%,2.1%,62.1%,62.7%,47.2%
0.70,3.8%,5.8%,51.9%,59.3%,52.0%
0.50,8.3%,1.7%,66.7%,55.0%,40.0%
1.16,3.9%,2.6%,62.3%,79.2%,34.5%
0.67,10.2%,13.6%,57.6%,76.5%,36.0%
1.71,8.0%,0.0%,56.0%,75.0%,72.7%
1.52,16.1%,5.4%,57.1%,81.3%,62.5%
0.51,9.0%,6.0%,52.2%,80.0%,40.6%
0.72,4.2%,2.8%,65.3%,68.1%,36.0%
0.74,4.8%,4.8%,52.4%,72.7%,25.0%
0.78,5.4%,4.3%,58.7%,74.1%,44.7%
0.30,1.7%,5.0%,53.3%,59.4%,25.0%
3.24,11.9%,0.0%,71.4%,90.0%,75.0%
0.53,0.0%,4.4%,53.3%,70.8%,23.8%
1.47,8.8%,3.5%,57.9%,75.8%,66.7%
0.90,1.5%,0.8%,64.9%,65.9%,54.3%
1.51,16.9%,6.8%,66.1%,79.5%,45.0%
2.99,16.7%,0.0%,58.3%,90.5%,66.7%
2.04,11.4%,0.0%,52.3%,91.3%,57.1%
0.83,21.1%,0.0%,66.2%,78.7%,66.7%
1.25,11.4%,1.4%,57.1%,85.0%,46.7%
0.89,8.6%,8.6%,55.7%,82.1%,51.6%
0.81,5.5%,5.5%,57.5%,71.4%,48.4%
1.87,19.2%,3.8%,48.1%,88.0%,66.7%
0.47,4.2%,4.2%,62.5%,60.0%,55.6%
0.73,10.4%,1.9%,63.2%,65.7%,59.0%
0.91,9.6%,2.1%,69.1%,66.2%,31.0%
0.85,1.4%,2.8%,59.7%,53.5%,48.3%
2.13,11.1%,0.0%,68.9%,87.1%,57.1%
1.75,10.0%,8.0%,58.0%,86.2%,52.4%
1.24,9.7%,4.2%,43.1%,71.0%,65.9%
0.63,2.9%,1.5%,63.2%,72.1%,48.0%
1.06,5.4%,5.4%,60.4%,55.2%,47.7%
1.08,4.4%,6.6%,58.4%,73.8%,47.4%
1.41,3.8%,7.7%,48.1%,76.0%,51.9%
1.63,9.3%,1.9%,51.9%,78.6%,65.4%
0.75,7.4%,5.9%,60.3%,73.2%,40.7%
1.59,12.3%,4.6%,63.1%,80.5%,62.5%
0.58,9.6%,2.7%,63.0%,63.0%,44.4%
1.30,5.3%,1.8%,61.4%,74.3%,59.1%
1.57,17.7%,3.2%,64.5%,80.0%,59.1%
1.23,12.8%,3.8%,61.5%,75.0%,56.7%
0.42,11.1%,1.9%,64.8%,60.0%,52.6%
1.71,12.0%,6.0%,68.0%,79.4%,56.3%
1.11,14.4%,6.2%,59.8%,72.4%,53.8%
0.43,7.4%,5.9%,52.9%,55.6%,40.6%
2.52,18.9%,2.7%,64.9%,83.3%,69.2%
0.73,16.7%,6.5%,68.8%,70.5%,39.5%
1.64,13.3%,1.1%,64.4%,87.9%,62.5%
1.49,10.4%,4.2%,58.3%,71.4%,70.0%
1.58,11.1%,7.4%,59.3%,87.5%,50.0%
1.54,7.5%,1.9%,66.0%,71.4%,66.7%
1.06,7.6%,5.4%,59.8%,69.1%,45.9%
1.80,8.7%,2.2%,63.0%,79.3%,58.8%
1.80,13.3%,4.4%,62.2%,67.9%,64.7%
1.55,7.3%,3.6%,63.6%,62.9%,70.0%
1.64,12.3%,5.3%,61.4%,82.9%,54.5%
1.30,6.0%,6.0%,68.7%,69.6%,47.6%
1.15,8.2%,4.1%,53.4%,66.7%,50.0%
0.73,23.5%,2.9%,64.7%,68.2%,45.8%
1.39,11.5%,5.1%,66.7%,78.8%,57.7%
1.25,12.1%,6.9%,57.8%,80.6%,59.2%
1.26,5.4%,5.4%,63.5%,78.7%,48.1%
0.95,7.1%,2.4%,55.3%,66.0%,63.2%
1.07,15.3%,1.8%,72.1%,77.5%,54.8%
1.06,14.8%,1.9%,75.9%,65.9%,53.8%
1.26,11.1%,3.7%,63.0%,78.4%,60.0%
3.70,24.2%,3.0%,63.6%,81.0%,91.7%
0.99,7.5%,4.1%,51.7%,78.9%,56.3%
1.01,11.2%,3.7%,61.9%,67.5%,56.9%
1.23,13.0%,7.2%,46.4%,84.4%,51.4%
1.17,12.6%,2.4%,63.8%,76.5%,56.5%
0.80,12.8%,3.7%,49.5%,77.8%,58.2%
0.57,13.0%,6.5%,73.9%,67.6%,16.7%
1.55,7.8%,3.1%,56.3%,77.8%,71.4%
1.07,3.4%,8.6%,50.0%,86.2%,58.6%
1.29,4.5%,3.4%,59.1%,75.0%,66.7%
0.83,11.6%,8.0%,58.0%,80.0%,46.6%
0.92,11.1%,7.2%,58.8%,84.4%,39.7%
1.20,5.3%,3.2%,61.7%,84.5%,44.4%
1.37,5.7%,0.0%,57.1%,75.0%,60.0%
1.40,4.7%,1.6%,67.2%,60.5%,81.0%
0.72,3.1%,0.0%,62.5%,62.5%,37.5%
1.11,4.1%,3.1%,53.1%,61.5%,58.7%
1.52,3.0%,1.5%,62.7%,81.0%,64.0%
0.94,5.3%,5.3%,55.8%,71.7%,40.5%
0.51,2.7%,4.0%,60.0%,66.7%,40.0%
2.10,4.3%,4.3%,48.9%,91.3%,58.3%
0.81,10.1%,2.0%,51.5%,76.5%,56.3%
1.96,15.7%,2.0%,62.7%,81.3%,63.2%
1.41,16.4%,5.5%,43.6%,79.2%,61.3%
0.91,11.3%,8.5%,56.3%,72.5%,48.4%
0.76,4.6%,10.8%,58.5%,63.2%,29.6%
0.95,10.0%,3.8%,65.0%,71.2%,50.0%
1.18,13.0%,2.9%,65.2%,80.0%,50.0%
1.31,13.1%,4.9%,54.1%,78.8%,53.6%
0.96,24.2%,3.0%,63.6%,74.6%,55.6%
0.60,8.9%,0.0%,64.4%,62.1%,12.5%
0.81,15.1%,2.3%,68.6%,76.3%,55.6%
1.57,7.8%,3.9%,60.8%,74.2%,65.0%
1.15,2.7%,1.4%,64.4%,68.1%,73.1%
0.80,2.9%,1.4%,55.1%,65.8%,45.2%
1.20,10.1%,1.4%,62.3%,74.4%,38.5%
0.59,3.6%,0.0%,67.9%,63.2%,44.4%
0.47,6.5%,0.0%,69.6%,65.6%,42.9%
0.86,9.8%,0.0%,78.0%,62.5%,77.8%
0.70,1.9%,0.0%,63.5%,63.6%,68.4%
1.28,4.0%,4.0%,64.4%,73.8%,58.3%
0.71,8.4%,2.4%,57.8%,72.9%,40.0%
0.75,8.6%,4.3%,67.1%,57.4%,39.1%
0.67,4.7%,4.7%,62.8%,55.6%,31.3%
1.33,8.2%,6.6%,57.4%,85.7%,53.8%
1.18,2.8%,4.2%,57.7%,73.2%,50.0%
0.78,7.0%,0.0%,71.9%,61.0%,25.0%
1.70,7.5%,3.0%,61.2%,80.5%,76.9%
2.53,9.4%,0.0%,67.9%,83.3%,88.2%
1.42,5.7%,2.9%,64.3%,75.6%,72.0%
1.25,5.5%,3.3%,56.0%,86.3%,40.0%
1.16,13.8%,3.4%,65.5%,80.7%,53.3%
1.36,14.5%,3.2%,62.9%,79.5%,69.6%
0.72,5.1%,2.6%,59.0%,54.3%,50.0%
4.63,15.6%,0.0%,56.3%,88.9%,85.7%
1.13,6.9%,4.9%,52.9%,74.1%,56.3%
0.84,4.1%,2.1%,62.9%,67.2%,52.8%
0.46,5.7%,1.4%,67.1%,74.5%,65.2%
1.06,1.4%,1.4%,70.3%,75.0%,50.0%
1.74,5.5%,0.0%,67.3%,75.7%,72.2%
1.51,13.8%,5.2%,48.3%,96.4%,56.7%
1.10,21.2%,7.6%,63.6%,73.8%,37.5%
1.13,2.6%,3.9%,60.5%,65.2%,46.7%
2.69,17.9%,0.0%,76.9%,86.7%,66.7%
1.71,20.4%,2.0%,57.1%,82.1%,71.4%
0.94,5.5%,0.0%,68.5%,60.0%,47.8%
1.44,16.4%,4.5%,53.7%,80.6%,61.3%
1.83,2.1%,2.1%,60.4%,82.8%,63.2%
0.78,3.9%,1.3%,70.1%,66.7%,39.1%
1.04,6.7%,3.4%,60.7%,64.8%,57.1%
1.59,2.0%,10.0%,52.0%,73.1%,66.7%
1.18,7.8%,6.0%,52.6%,80.3%,49.1%
0.88,9.9%,4.0%,54.5%,72.7%,54.3%
0.71,4.6%,7.7%,66.2%,81.4%,22.7%
0.70,3.8%,2.8%,58.5%,59.7%,61.4%
1.23,9.6%,6.0%,61.4%,72.5%,50.0%
