DR,A%,DF%,1stIn,1st%,2nd%
0.41,7.5%,4.5%,52.2%,62.9%,43.8%
1.28,8.4%,3.7%,49.5%,73.6%,61.1%
0.43,8.9%,2.2%,46.7%,71.4%,54.2%
1.68,23.1%,4.6%,47.7%,93.5%,58.8%
0.99,7.0%,1.0%,55.0%,70.9%,60.0%
0.36,10.6%,4.8%,53.8%,83.9%,43.8%
0.84,15.2%,2.5%,51.9%,78.0%,44.7%
1.73,17.0%,0.0%,61.7%,82.8%,66.7%
1.44,21.0%,1.2%,59.3%,83.3%,60.6%
0.65,5.2%,3.9%,64.9%,70.0%,33.3%
0.50,6.0%,4.0%,60.0%,73.3%,45.0%
1.39,7.3%,1.2%,67.1%,76.4%,70.4%
1.11,7.2%,2.9%,66.7%,76.1%,56.5%
1.48,9.3%,0.0%,57.4%,87.1%,52.2%
1.38,13.2%,1.3%,67.1%,74.5%,52.0%
1.34,9.2%,6.2%,56.9%,81.1%,60.7%
1.27,18.1%,2.8%,65.3%,74.5%,48.0%
0.81,7.9%,3.2%,57.1%,72.2%,48.1%
1.31,28.8%,0.0%,62.7%,83.8%,54.5%
3.03,23.7%,0.0%,76.3%,89.7%,66.7%
0.84,6.1%,0.0%,65.2%,74.4%,52.2%
0.87,4.5%,1.9%,54.1%,62.4%,58.3%
0.61,12.3%,3.5%,70.2%,67.5%,58.8%
1.22,12.0%,2.2%,56.5%,82.7%,47.5%
1.26,11.5%,3.4%,72.4%,66.7%,62.5%
0.46,4.7%,2.4%,57.6%,57.1%,50.0%
1.34,9.3%,4.0%,53.3%,72.5%,60.0%
0.82,4.8%,3.2%,48.4%,73.3%,40.6%
0.34,4.5%,0.0%,62.1%,58.5%,56.0%
1.00,6.0%,2.0%,52.0%,76.9%,56.3%
0.57,7.7%,6.2%,47.7%,71.0%,47.1%
1.17,7.6%,2.9%,41.9%,77.3%,60.7%
0.43,2.0%,2.0%,71.4%,48.6%,35.7%
0.58,0.0%,9.3%,50.0%,66.7%,29.6%
0.72,13.1%,7.1%,51.2%,72.1%,41.5%
0.53,0.0%,7.8%,56.3%,66.7%,46.4%
1.01,4.9%,3.9%,53.4%,67.3%,50.0%
0.88,1.7%,3.4%,43.1%,68.0%,51.5%
0.73,12.7%,0.0%,57.7%,61.0%,53.3%
0.98,12.5%,4.5%,58.9%,72.7%,52.2%
0.95,16.9%,3.8%,66.9%,78.5%,56.6%
1.07,12.5%,2.2%,59.6%,75.3%,54.5%
0.47,8.3%,0.0%,65.0%,61.5%,57.1%
1.89,19.6%,0.0%,60.8%,93.5%,65.0%
0.83,8.1%,4.1%,64.9%,72.9%,50.0%
1.05,16.2%,2.7%,62.2%,80.4%,53.6%
1.32,12.3%,1.8%,54.4%,77.4%,50.0%
0.81,14.1%,7.8%,54.7%,77.1%,37.9%
0.85,13.1%,6.1%,60.6%,75.0%,38.5%
0.73,13.4%,3.7%,61.0%,70.0%,34.4%
1.04,10.6%,2.9%,60.6%,69.8%,31.7%
0.56,4.3%,2.2%,37.0%,58.8%,41.4%
1.25,14.5%,2.6%,60.5%,71.7%,50.0%
0.76,8.7%,2.9%,52.2%,86.1%,36.4%
0.82,18.4%,5.3%,65.8%,74.0%,30.8%
0.97,16.9%,3.1%,60.8%,77.2%,47.1%
0.78,11.6%,10.1%,53.6%,75.7%,53.1%
1.26,13.9%,5.1%,60.8%,79.2%,51.6%
1.88,17.0%,2.1%,57.4%,81.5%,65.0%
2.17,11.9%,4.8%,61.9%,88.5%,62.5%
0.83,9.8%,6.9%,59.8%,67.2%,43.9%
1.52,13.0%,3.7%,57.4%,71.0%,69.6%
0.98,13.2%,4.4%,46.2%,73.8%,63.3%
1.06,8.2%,3.3%,65.6%,80.0%,57.1%
1.03,7.9%,0.8%,46.5%,67.8%,60.3%
1.00,15.1%,5.8%,52.3%,86.7%,39.0%
0.93,9.4%,3.8%,53.8%,77.2%,49.0%
1.92,16.0%,2.0%,62.0%,90.3%,63.2%
1.66,14.3%,4.1%,55.1%,77.8%,54.5%
1.89,21.7%,4.3%,54.3%,84.0%,61.9%
0.97,11.1%,0.9%,63.9%,72.5%,46.2%
0.74,8.0%,0.0%,64.4%,66.1%,54.8%
0.63,1.9%,0.0%,71.7%,52.6%,53.3%
0.81,11.3%,4.2%,63.4%,71.1%,46.2%
0.56,14.1%,0.0%,53.1%,67.6%,50.0%
0.80,5.0%,4.3%,55.3%,69.2%,44.4%
0.93,6.0%,0.9%,64.7%,72.0%,61.0%
0.79,5.0%,0.0%,69.3%,61.4%,48.4%
0.69,2.4%,2.4%,68.3%,57.1%,23.1%
1.54,15.8%,0.0%,66.7%,78.9%,63.2%
1.11,6.3%,1.6%,64.1%,65.9%,52.2%
1.14,8.7%,1.4%,66.7%,69.6%,56.5%
1.73,4.0%,0.0%,62.0%,83.9%,57.9%
0.71,4.4%,4.4%,57.8%,50.0%,36.8%
1.99,19.4%,0.0%,50.0%,83.3%,55.6%
1.29,3.2%,8.1%,50.0%,71.0%,48.4%
1.43,10.5%,7.0%,43.9%,88.0%,50.0%
1.25,7.9%,4.8%,65.1%,73.2%,40.9%
0.82,1.9%,3.8%,52.8%,57.1%,32.0%
2.62,10.4%,0.0%,54.2%,88.5%,77.3%
0.82,7.5%,3.8%,56.3%,55.6%,42.9%
1.10,6.1%,0.0%,63.4%,75.0%,56.7%
0.98,4.9%,0.0%,69.6%,62.0%,58.1%
1.31,11.3%,0.0%,53.2%,81.8%,62.1%
