DR,A%,DF%,1stIn,1st%,2nd%
0.75,0.0%,3.7%,57.3%,63.8%,45.7%
0.61,3.3%,0.0%,68.9%,54.8%,57.9%
0.75,8.2%,2.7%,47.9%,80.0%,52.6%
1.41,3.6%,5.5%,43.6%,79.2%,61.3%
0.73,7.1%,3.6%,66.1%,70.3%,42.1%
0.96,5.3%,1.3%,58.7%,65.9%,54.8%
0.43,13.8%,5.2%,75.9%,63.6%,57.1%
1.42,7.0%,5.3%,43.9%,80.0%,59.4%
1.07,13.8%,1.1%,66.7%,77.6%,62.1%
0.94,6.1%,2.4%,54.9%,68.9%,51.4%
0.54,17.8%,6.7%,57.8%,65.4%,42.1%
0.44,8.2%,2.7%,65.8%,62.5%,40.0%
1.79,22.0%,0.0%,68.0%,82.4%,50.0%
1.28,9.8%,0.0%,60.7%,78.4%,70.8%
0.68,6.0%,4.3%,63.2%,60.8%,48.8%
0.43,5.7%,13.2%,45.3%,70.8%,41.4%
1.33,20.9%,7.5%,53.7%,86.1%,54.8%
1.36,18.8%,0.0%,56.5%,87.2%,43.3%
0.63,8.3%,2.8%,51.4%,64.9%,40.0%
1.23,2.7%,4.0%,56.0%,69.0%,54.5%
1.52,3.6%,1.8%,58.2%,65.6%,73.9%
1.34,6.5%,4.3%,59.1%,72.7%,68.4%
1.33,5.8%,2.9%,55.1%,65.8%,58.1%
0.45,2.0%,0.0%,80.0%,47.5%,10.0%
1.09,3.3%,2.5%,54.9%,68.7%,52.7%
0.57,0.0%,4.9%,70.7%,37.9%,41.7%
1.21,9.6%,2.9%,57.7%,81.7%,54.5%
0.69,10.3%,5.1%,62.8%,67.3%,37.9%
0.51,4.5%,4.5%,63.6%,45.2%,45.8%
1.06,3.3%,2.2%,66.7%,63.3%,46.7%
1.45,16.9%,1.7%,62.7%,83.8%,54.5%
0.57,5.2%,6.5%,64.9%,70.0%,55.6%
0.55,2.2%,6.7%,60.0%,44.4%,38.9%
2.13,8.9%,6.7%,53.3%,95.8%,52.4%
0.49,3.6%,0.9%,60.4%,62.7%,45.5%
1.80,6.0%,4.5%,59.7%,70.0%,70.4%
0.81,4.7%,4.7%,48.8%,57.1%,50.0%
0.62,5.3%,1.8%,70.2%,60.0%,41.2%
2.28,21.3%,2.1%,74.5%,82.9%,91.7%
1.16,4.2%,0.0%,65.3%,80.6%,39.4%
0.83,6.6%,0.0%,75.4%,65.2%,60.0%
0.97,3.4%,1.7%,68.1%,69.6%,62.2%
0.92,4.2%,1.1%,65.3%,69.4%,45.5%
0.79,3.2%,7.4%,62.1%,59.3%,44.4%
1.72,6.0%,4.0%,52.0%,69.2%,62.5%
0.59,1.7%,3.4%,57.6%,67.6%,44.0%
0.46,6.8%,5.1%,69.5%,56.1%,50.0%
1.11,15.8%,6.9%,59.4%,83.3%,46.3%
1.40,5.4%,7.1%,64.3%,75.0%,50.0%
0.81,2.8%,1.4%,55.6%,65.0%,56.3%
0.81,3.4%,3.4%,74.6%,52.3%,46.7%
1.12,5.8%,5.8%,60.9%,78.6%,51.9%
0.60,6.8%,1.4%,57.5%,71.4%,45.2%
0.74,4.1%,2.7%,52.1%,57.9%,37.1%
0.61,4.4%,2.2%,66.7%,60.0%,33.3%
0.64,9.3%,3.4%,66.9%,64.6%,43.6%
0.91,9.8%,2.2%,52.2%,77.1%,47.7%
1.76,8.3%,2.1%,56.3%,81.5%,47.6%
1.09,6.9%,4.6%,54.0%,72.3%,62.5%
1.40,13.8%,3.1%,61.5%,70.0%,60.0%
1.81,8.5%,2.1%,57.4%,81.5%,60.0%
0.42,3.6%,0.0%,63.6%,57.1%,45.0%
1.17,22.9%,1.8%,66.1%,87.5%,62.2%
2.96,17.4%,2.2%,69.6%,90.6%,78.6%
3.15,20.9%,0.0%,60.5%,84.6%,88.2%
2.33,23.2%,8.9%,69.6%,97.4%,58.8%
1.21,28.8%,7.7%,65.4%,91.2%,50.0%
0.71,1.4%,2.8%,63.4%,57.8%,65.4%
2.18,18.8%,0.0%,70.8%,91.2%,57.1%
1.70,18.6%,3.4%,66.1%,89.7%,55.0%
1.21,18.6%,1.7%,59.3%,77.1%,66.7%
1.33,13.0%,3.7%,63.0%,76.5%,80.0%
1.52,15.8%,1.8%,59.6%,82.4%,56.5%
0.92,3.8%,3.8%,70.0%,67.9%,50.0%
0.84,5.6%,4.2%,53.5%,68.4%,60.6%
1.07,11.5%,1.3%,52.6%,80.5%,51.4%
1.53,8.9%,3.6%,53.6%,86.7%,61.5%
1.45,7.0%,7.0%,56.1%,81.3%,40.0%
0.44,6.8%,8.5%,52.5%,64.5%,46.4%
1.12,3.9%,3.9%,76.5%,75.6%,45.8%
1.29,3.0%,0.0%,57.6%,63.2%,60.7%
1.17,10.7%,6.7%,64.0%,68.8%,48.1%
0.78,4.5%,4.5%,59.7%,72.5%,48.1%
1.41,15.1%,4.1%,61.6%,84.4%,53.6%
1.09,3.5%,3.5%,67.4%,69.0%,46.4%
0.63,1.8%,1.8%,72.7%,67.5%,40.0%
1.41,24.6%,3.1%,69.2%,75.6%,50.0%
1.53,1.8%,0.0%,58.9%,75.8%,69.6%
1.02,12.0%,0.0%,68.7%,80.7%,38.5%
2.56,7.5%,0.0%,67.5%,88.9%,61.5%
1.16,8.0%,4.0%,64.0%,66.7%,66.7%
1.35,22.4%,1.7%,65.5%,73.7%,60.0%
0.86,9.5%,4.3%,57.8%,74.6%,49.0%
0.51,4.8%,2.9%,67.3%,64.3%,47.1%
1.31,12.3%,2.8%,65.1%,84.1%,59.5%
1.35,12.5%,4.4%,61.0%,88.0%,52.8%
0.98,13.1%,3.4%,64.6%,81.4%,51.6%
1.42,12.0%,4.0%,61.3%,73.9%,48.3%
1.56,14.5%,2.9%,71.0%,79.6%,60.0%
0.80,7.4%,7.4%,54.7%,71.2%,58.1%
0.82,8.9%,5.4%,56.3%,71.4%,40.8%
0.87,1.6%,7.8%,60.9%,64.1%,44.0%
0.64,0.0%,0.0%,58.8%,30.0%,28.6%
1.42,3.5%,3.5%,57.9%,78.8%,66.7%
1.48,6.5%,3.2%,59.7%,73.0%,60.0%
0.81,3.9%,2.9%,58.3%,70.0%,55.8%
1.04,10.4%,3.9%,61.0%,74.5%,50.0%
0.58,1.5%,1.5%,62.7%,69.0%,20.0%
0.52,2.0%,3.9%,62.7%,53.1%,31.6%
0.77,13.9%,1.6%,51.6%,84.1%,50.8%
0.79,4.4%,4.4%,54.4%,73.0%,61.3%
1.97,11.5%,3.8%,57.7%,83.3%,68.2%
0.53,5.7%,4.5%,62.5%,58.2%,42.4%
2.14,3.7%,3.7%,53.7%,89.7%,68.0%
1.01,1.9%,1.0%,60.0%,74.6%,52.4%
0.49,1.5%,5.9%,48.5%,60.6%,37.1%
0.42,6.6%,3.9%,52.6%,70.0%,44.4%
1.28,8.9%,0.0%,66.1%,86.5%,52.6%
0.89,9.5%,2.1%,58.9%,55.4%,61.5%
0.29,3.6%,3.6%,60.7%,47.1%,54.5%
1.63,7.8%,2.0%,60.8%,80.6%,60.0%
1.41,9.8%,3.3%,50.8%,67.7%,60.0%
0.72,7.0%,2.3%,60.5%,57.7%,52.9%
0.42,2.0%,2.0%,72.5%,59.5%,50.0%
1.46,17.5%,3.2%,71.4%,75.6%,77.8%
1.43,18.5%,1.5%,63.1%,80.5%,54.2%
2.53,25.0%,2.3%,68.2%,90.0%,64.3%
1.08,5.4%,5.4%,55.9%,82.7%,58.5%
0.87,7.8%,1.6%,53.1%,73.5%,63.3%
1.21,13.3%,0.0%,56.0%,85.7%,54.5%
0.27,3.2%,1.6%,69.8%,47.7%,57.9%
