DR,A%,DF%,1stIn,1st%,2nd%
1.09,6.8%,8.2%,53.4%,61.5%,47.1%
0.96,3.7%,3.7%,58.5%,64.6%,32.4%
1.69,10.0%,4.0%,72.0%,75.0%,64.3%
0.89,6.4%,5.1%,61.5%,68.8%,30.0%
1.41,5.1%,1.7%,71.2%,69.0%,58.8%
0.81,8.2%,6.6%,60.7%,59.5%,29.2%
0.79,13.2%,9.4%,73.6%,74.4%,21.4%
0.79,7.5%,7.5%,60.2%,60.7%,43.2%
1.56,8.7%,6.5%,58.7%,74.1%,52.6%
0.91,12.3%,4.1%,71.2%,67.3%,52.4%
0.99,5.6%,10.3%,61.1%,67.5%,36.7%
0.83,10.1%,7.2%,73.9%,58.8%,50.0%
1.11,6.3%,1.3%,68.8%,67.3%,52.0%
2.47,8.2%,4.1%,59.2%,93.1%,65.0%
1.09,10.8%,2.7%,64.0%,66.2%,55.0%
0.59,11.6%,7.0%,65.1%,57.1%,40.0%
1.10,10.1%,0.0%,64.0%,56.1%,46.9%
1.26,12.5%,3.1%,62.5%,75.0%,62.5%
1.11,2.7%,4.0%,60.0%,64.4%,63.3%
0.82,10.6%,0.0%,56.1%,67.6%,55.2%
1.12,6.1%,3.0%,68.7%,76.5%,51.6%
0.95,3.1%,6.2%,72.3%,57.4%,44.4%
0.93,7.3%,7.3%,53.7%,61.4%,47.4%
0.48,6.7%,3.3%,63.3%,63.2%,72.7%
1.76,12.7%,0.0%,70.9%,82.1%,62.5%
1.29,13.7%,2.7%,71.2%,73.1%,42.9%
0.77,5.8%,7.7%,54.8%,73.7%,48.9%
0.76,6.9%,6.9%,65.3%,66.0%,32.0%
0.95,7.3%,5.5%,56.9%,69.4%,40.4%
0.63,3.8%,11.3%,58.5%,71.0%,27.3%
1.51,3.6%,7.1%,67.9%,73.7%,50.0%
5.50,44.4%,0.0%,88.9%,87.5%,100.0%
0.20,11.5%,1.9%,76.9%,67.5%,41.7%
1.88,0.0%,4.1%,61.2%,86.7%,52.6%
0.70,9.1%,8.0%,69.3%,68.9%,40.7%
1.36,6.8%,3.4%,59.3%,71.4%,58.3%
1.09,14.5%,0.0%,79.7%,74.5%,57.1%
0.98,9.7%,2.8%,70.8%,78.4%,42.9%
0.59,5.9%,3.9%,60.8%,48.4%,35.0%
0.69,8.5%,2.6%,66.7%,71.8%,43.6%
1.92,10.6%,2.1%,66.0%,83.9%,68.8%
0.71,7.2%,4.8%,67.5%,53.6%,48.1%
1.85,8.3%,4.2%,68.8%,87.9%,40.0%
1.31,3.6%,3.6%,56.4%,54.8%,54.2%
1.48,11.1%,1.6%,65.1%,75.6%,54.5%
1.83,8.7%,2.2%,73.9%,79.4%,58.3%
