DR,A%,DF%,1stIn,1st%,2nd%
0.36,3.2%,0.0%,67.7%,64.3%,60.0%
1.07,0.0%,1.3%,66.7%,71.2%,57.7%
1.19,2.0%,1.0%,57.0%,64.9%,44.2%
1.29,3.3%,1.6%,68.9%,76.2%,52.6%
0.29,7.8%,1.6%,71.9%,58.7%,44.4%
0.54,11.1%,0.0%,72.2%,61.5%,50.0%
1.35,3.6%,0.0%,69.1%,65.8%,64.7%
1.12,3.3%,3.3%,74.7%,61.8%,43.5%
1.21,4.3%,4.3%,69.9%,70.8%,46.4%
0.76,1.6%,0.0%,76.2%,58.3%,60.0%
1.00,0.7%,2.1%,73.0%,63.1%,42.1%
0.82,4.6%,3.1%,61.5%,62.5%,28.0%
0.91,2.8%,1.4%,62.0%,54.5%,48.1%
1.46,0.0%,0.0%,86.8%,67.4%,42.9%
1.03,3.1%,0.0%,78.5%,64.7%,71.4%
1.65,0.0%,0.0%,64.8%,77.1%,57.9%
0.77,4.7%,0.0%,59.4%,57.9%,61.5%
1.83,4.4%,0.0%,71.1%,78.1%,53.8%
0.75,11.6%,0.0%,55.1%,57.9%,51.6%
0.76,6.8%,2.7%,56.2%,53.7%,59.4%
1.17,9.8%,1.1%,68.5%,77.8%,62.1%
0.51,2.4%,2.4%,69.0%,41.4%,23.1%
0.77,2.6%,3.9%,61.8%,63.8%,58.6%
1.34,10.9%,0.0%,61.8%,79.4%,47.6%
1.29,5.0%,0.0%,68.3%,73.2%,52.6%
0.52,1.7%,1.7%,67.8%,67.5%,52.6%
0.93,1.4%,1.4%,52.7%,59.0%,57.1%
0.53,6.9%,1.1%,67.8%,61.0%,50.0%
1.09,2.2%,1.1%,71.1%,64.1%,57.7%
0.76,3.3%,3.3%,68.3%,58.5%,31.6%
2.20,7.1%,0.0%,76.2%,84.4%,60.0%
1.00,4.9%,0.0%,75.4%,68.5%,53.3%
0.78,3.6%,0.9%,66.1%,66.2%,44.7%
2.22,8.3%,0.0%,66.7%,78.1%,68.8%
1.10,5.0%,0.0%,60.0%,75.0%,54.2%
0.52,4.0%,4.0%,62.0%,67.7%,42.1%
0.64,2.0%,4.0%,66.0%,57.6%,41.2%
1.26,3.1%,1.5%,66.2%,76.7%,54.5%
1.36,9.5%,4.8%,58.7%,75.7%,42.3%
0.81,3.9%,3.9%,54.9%,75.0%,47.8%
1.89,4.0%,2.0%,64.0%,84.4%,55.6%
1.39,4.5%,3.0%,59.7%,65.0%,66.7%
1.14,9.1%,1.5%,54.5%,83.3%,56.7%
0.83,5.9%,1.0%,54.9%,64.3%,54.3%
1.05,2.0%,2.9%,60.8%,62.9%,45.0%
0.56,0.0%,2.2%,57.8%,61.5%,10.5%
1.14,4.0%,3.0%,65.7%,75.4%,52.9%
1.13,3.3%,1.1%,70.0%,71.4%,55.6%
0.97,3.5%,4.4%,71.1%,65.4%,51.5%
1.84,2.2%,0.0%,63.0%,69.0%,70.6%
1.26,6.2%,0.0%,61.5%,72.5%,72.0%
1.34,1.4%,2.7%,69.9%,72.5%,50.0%
0.76,2.6%,2.6%,57.1%,54.5%,51.5%
0.83,3.9%,1.3%,75.3%,55.2%,52.6%
0.82,2.1%,2.1%,60.6%,73.7%,37.8%
1.05,1.0%,3.0%,62.6%,62.9%,59.5%
0.89,4.5%,1.8%,70.5%,62.0%,48.5%
1.37,5.3%,0.0%,59.6%,73.5%,82.6%
1.45,5.5%,1.8%,74.5%,73.2%,50.0%
0.62,2.3%,0.0%,69.8%,60.0%,46.2%
0.39,12.9%,6.5%,54.8%,70.6%,21.4%
1.62,4.5%,1.5%,74.2%,83.7%,58.8%
1.06,7.4%,3.0%,71.1%,70.8%,46.2%
1.03,3.4%,1.7%,64.4%,75.0%,47.6%
1.08,3.5%,0.0%,73.3%,60.3%,52.2%
1.91,5.9%,0.0%,72.5%,78.4%,71.4%
0.52,1.3%,0.0%,68.4%,50.0%,33.3%
1.19,1.1%,2.2%,58.7%,63.0%,68.4%
1.51,2.0%,4.0%,72.0%,77.8%,42.9%
1.66,2.0%,0.0%,73.5%,72.2%,69.2%
0.82,2.0%,1.0%,66.0%,60.6%,47.1%
0.96,0.7%,0.0%,69.1%,67.0%,47.6%
1.10,0.9%,0.0%,66.1%,62.5%,51.4%
1.94,0.0%,0.0%,62.5%,60.0%,66.7%
1.56,1.5%,1.5%,78.8%,71.2%,71.4%
0.90,0.0%,1.5%,66.2%,53.3%,60.9%
0.63,1.6%,3.2%,77.4%,52.1%,21.4%
0.94,4.9%,1.4%,60.1%,61.6%,52.6%
1.27,6.7%,2.2%,68.9%,74.2%,46.4%
1.44,3.3%,0.0%,77.0%,66.0%,71.4%
0.95,0.0%,1.2%,63.1%,69.8%,41.9%
0.68,0.0%,0.0%,75.8%,64.0%,56.3%
0.37,3.2%,0.0%,64.5%,30.0%,36.4%
0.70,0.0%,0.0%,61.5%,56.3%,55.0%
1.20,5.6%,1.4%,59.2%,64.3%,58.6%
1.98,2.3%,2.3%,65.1%,71.4%,73.3%
1.41,3.1%,1.6%,71.9%,78.3%,61.1%
1.61,4.5%,0.0%,79.5%,74.3%,55.6%
1.13,1.6%,0.0%,58.1%,72.2%,69.2%
1.33,0.0%,0.0%,81.0%,70.6%,75.0%
1.38,3.2%,1.6%,75.8%,61.7%,73.3%
0.75,4.1%,0.0%,67.6%,72.0%,58.3%
1.53,9.6%,1.9%,67.3%,82.9%,47.1%
2.48,14.9%,2.1%,72.3%,88.2%,76.9%
1.04,6.6%,0.0%,64.5%,75.5%,59.3%
1.12,2.8%,1.9%,80.6%,70.1%,66.7%
1.95,2.2%,0.0%,71.1%,71.9%,76.9%
1.12,1.4%,1.4%,74.3%,71.2%,44.4%
3.42,0.0%,0.0%,69.6%,87.5%,92.9%
0.21,0.0%,0.0%,65.0%,38.5%,42.9%
0.96,1.0%,0.0%,60.0%,71.4%,33.3%
1.87,1.8%,0.0%,70.2%,87.5%,70.6%
0.56,9.1%,0.0%,56.8%,64.0%,15.8%
0.82,1.6%,0.0%,60.7%,59.5%,62.5%
0.64,11.3%,1.9%,67.9%,63.9%,41.2%
0.98,1.8%,0.9%,70.3%,69.2%,51.5%
2.45,7.3%,0.0%,68.3%,82.1%,76.9%
0.79,1.4%,2.9%,63.8%,63.6%,48.0%
0.25,0.0%,0.0%,66.7%,50.0%,25.0%
1.15,0.0%,0.9%,72.2%,64.1%,70.0%
1.86,3.9%,0.0%,82.4%,78.6%,55.6%
2.09,2.2%,0.0%,84.4%,81.6%,71.4%
1.01,3.7%,2.8%,64.2%,71.4%,59.0%
0.84,3.5%,1.2%,58.1%,68.0%,47.2%
1.11,4.9%,0.0%,73.8%,60.0%,43.8%
0.58,1.3%,5.2%,51.9%,70.0%,40.5%
1.28,0.0%,1.5%,60.3%,70.7%,63.0%
0.67,1.1%,2.2%,63.7%,63.8%,60.6%
0.78,2.0%,2.9%,50.0%,66.7%,49.0%
1.38,12.3%,7.0%,59.6%,67.6%,52.2%
2.02,2.3%,2.3%,51.2%,72.7%,71.4%
0.80,9.5%,0.0%,68.9%,66.7%,39.1%
0.85,3.1%,0.8%,55.0%,66.7%,47.5%
1.52,4.5%,0.0%,65.9%,65.5%,66.7%
1.61,9.8%,2.0%,49.0%,80.0%,61.5%
1.20,9.8%,2.4%,57.3%,70.2%,68.6%
1.22,4.6%,3.7%,56.9%,79.0%,55.3%
0.92,4.5%,0.9%,73.0%,69.1%,66.7%
1.22,3.6%,2.4%,56.6%,74.5%,50.0%
1.11,3.3%,1.1%,66.3%,70.5%,51.6%
1.08,15.4%,1.3%,59.0%,78.3%,46.9%
1.16,1.4%,1.4%,54.2%,64.1%,66.7%
0.96,2.9%,1.0%,65.7%,73.1%,54.3%
1.58,3.8%,1.9%,56.6%,83.3%,60.9%
1.32,2.9%,4.4%,50.0%,70.6%,64.7%
0.71,1.5%,3.0%,62.1%,58.5%,28.0%
0.51,1.7%,0.0%,66.1%,51.3%,60.0%
0.64,0.0%,4.4%,62.2%,53.6%,35.3%
1.38,1.6%,1.6%,82.0%,70.0%,54.5%
1.35,1.4%,4.2%,77.5%,69.1%,25.0%
0.50,1.9%,0.0%,61.5%,62.5%,50.0%
0.67,4.2%,1.0%,63.5%,72.1%,51.4%
2.24,6.8%,0.0%,63.6%,75.0%,68.8%
0.69,1.6%,3.3%,65.6%,60.0%,42.9%
0.95,2.1%,3.1%,69.1%,65.7%,36.7%
0.59,0.0%,2.1%,68.1%,53.1%,20.0%
0.74,2.9%,2.9%,59.6%,60.5%,56.4%
1.08,6.3%,2.5%,67.1%,71.7%,46.2%
1.10,5.6%,0.0%,66.2%,72.3%,54.2%
0.76,6.9%,1.1%,63.2%,60.0%,46.9%
1.26,0.0%,1.4%,61.4%,69.8%,48.1%
1.74,1.9%,0.0%,67.3%,80.0%,58.8%
1.92,6.5%,0.0%,56.5%,73.1%,75.0%
1.29,6.7%,0.0%,65.0%,69.2%,52.4%
0.61,1.4%,2.8%,58.3%,50.0%,33.3%
1.75,16.2%,0.0%,67.6%,76.0%,58.3%
1.42,9.1%,0.0%,65.5%,80.6%,52.6%
1.38,6.0%,4.5%,62.7%,66.7%,68.0%
1.01,5.3%,5.3%,62.7%,78.7%,42.9%
0.50,0.0%,0.0%,60.3%,56.1%,63.0%
0.78,3.4%,3.4%,62.7%,64.9%,50.0%
0.64,3.6%,0.0%,60.7%,70.6%,45.5%
0.70,4.9%,1.4%,66.0%,60.0%,53.1%
1.53,4.3%,0.0%,63.8%,83.3%,47.1%
1.24,0.0%,0.0%,75.3%,72.7%,50.0%
0.92,1.8%,1.8%,61.4%,68.6%,45.5%
1.21,3.2%,2.2%,67.7%,71.4%,36.7%
0.68,2.0%,2.0%,63.0%,60.3%,54.1%
1.04,4.8%,4.8%,61.9%,67.3%,56.3%
0.66,4.8%,0.0%,50.8%,81.3%,51.6%
1.41,7.3%,0.0%,58.2%,81.3%,47.8%
0.98,5.7%,1.9%,57.5%,67.2%,57.8%
2.32,5.1%,0.0%,53.8%,71.4%,77.8%
0.63,2.7%,2.7%,64.9%,54.2%,38.5%
1.24,3.3%,0.7%,66.4%,63.4%,58.8%
1.19,3.8%,1.9%,66.3%,76.8%,51.4%
1.99,0.0%,2.8%,69.4%,80.0%,45.5%
